Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;35,4;28,2;22,7;66,8;36;
2015-01-02;35,5;28;22,4;66,4;34;
2015-01-03;37,4;28,4;22;64,5;30;
2015-01-04;35,1;27,6;22,9;65,4;33;
2015-01-05;33,7;26,2;20,1;67,1;37;
2015-01-06;33,7;26,1;22,4;71,5;44;
2015-01-07;35,4;27,7;21,3;66;33;
2015-01-08;35,2;28,3;22,1;63,5;33;
2015-01-09;35,2;28,8;23,6;59,1;33;
2015-01-10;36,5;28,3;22;64,4;30;
2015-01-11;35,3;28,6;23,4;64,4;34;
2015-01-12;34,4;28,9;24,6;64,3;34;
2015-01-13;34,7;28,2;22,9;62,9;32;
2015-01-14;34,3;27,2;22,4;64,6;33;
2015-01-15;35,2;26,8;21,1;61,6;24;
2015-01-16;33,5;26;20,9;66,8;33;
2015-01-17;33,3;27,1;23,2;67,1;41;
2015-01-18;37,3;26,4;23;72;30;
2015-01-19;33,9;25;22,3;77,4;47;
2015-01-20;32,5;25,5;21,1;76,7;46;
2015-01-21;31,6;24,1;20,6;74,9;45;
2015-01-22;32,9;25,6;19,9;64,9;31;
2015-01-23;33,5;26,6;21;62,2;28;
2015-01-24;32,5;25,2;22,2;72,1;41;
2015-01-25;25,4;22,8;21,2;83,5;66;
2015-01-26;31;24,9;21,4;75,3;43;
2015-01-27;34,2;26,7;22,5;70,8;38;
2015-01-28;34,9;27,5;21,3;67,3;29;
2015-01-29;35,8;28,4;21,6;65,1;33;
2015-01-30;36,5;28,8;21,8;62,8;29;
2015-01-31;36,5;27,8;21,5;63,7;27;
2015-02-01;28,9;23,5;18,6;77,7;49;
2015-02-02;34,1;25,3;20,3;73,5;36;
2015-02-03;33,7;26,2;21,2;71;40;
2015-02-04;32,4;24,5;20,9;77,4;45;
2015-02-05;30,5;24,5;22,6;82,5;55;
2015-02-06;26;22,7;20,7;89,7;76;
2015-02-07;25,8;22,9;20,7;87,9;70;
2015-02-08;28,7;23,8;20,7;81,8;57;
2015-02-09;30,1;24,8;21,7;79,2;56;
2015-02-10;33,5;24,7;21,1;79,8;46;
2015-02-11;34,7;27,1;21,8;71,5;33;
2015-02-12;35,3;27,3;20,7;68,5;32;
2015-02-13;36,2;28,5;22,5;63,3;25;
2015-02-14;35;27,7;21,7;65,4;34;
2015-02-15;33,2;26,5;22,4;66,8;37;
2015-02-16;34,9;27;22,3;70,4;35;
2015-02-17;32,7;24,5;22,2;81,2;47;
2015-02-18;30,8;25,2;22,3;79,8;55;
2015-02-19;27,5;24;21,7;80;64;
2015-02-20;29,6;24,1;21,5;79,1;55;
