Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.01527777
Longitude: -48.54444444
Altitude: 250.87
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;34,9;27,6;22,5;71,9;39;
2015-01-02;34,9;28,1;23;72,3;34;
2015-01-03;36,9;27,7;21,7;72;32;
2015-01-04;31,9;26,1;23,3;79,6;55;
2015-01-05;33,8;26,8;22,2;74,2;39;
2015-01-06;33,1;27,3;23,1;72,6;45;
2015-01-07;34,2;27;22,2;75,2;41;
2015-01-08;33,4;27,4;22,8;76,3;47;
2015-01-09;32,7;27,4;24,3;79,1;47;
2015-01-10;35,5;28,4;23,4;73,7;37;
2015-01-11;29;25,9;22,9;85,3;71;
2015-01-12;30,8;26,1;22,9;83,5;57;
2015-01-13;34;26,7;21,7;75,5;41;
2015-01-14;34;26,6;22,2;72,9;42;
2015-01-15;33,4;25,8;21,9;76,2;39;
2015-01-16;28,6;24,6;21,8;82,5;62;
2015-01-17;32,1;26,4;22,7;77,2;47;
2015-01-18;35,4;27,5;22,6;71,3;37;
2015-01-19;27,8;24,1;22,9;85,3;68;
2015-01-20;32,6;25,8;21,2;78,1;47;
2015-01-21;28,8;24;21,7;84;58;
2015-01-22;33,9;25,8;20,4;73,5;35;
2015-01-23;33,8;27;22,1;67,6;33;
2015-01-24;31,4;25,3;23,1;79,8;50;
2015-01-25;25,7;22,5;21,5;90,7;70;
2015-01-26;31,9;25,3;19,4;78,9;47;
2015-01-27;33,9;26,4;22,4;77,2;42;
2015-01-28;35,4;27,9;22,5;73,9;34;
2015-01-29;35,7;28,2;22,5;73,4;40;
2015-01-30;36,9;29;23;70,8;32;
2015-01-31;36,7;29;23;67,3;30;
2015-02-01;29,4;23,8;19,8;82,9;56;
2015-02-02;34,1;25,9;21,1;78,5;40;
2015-02-03;33,2;26,7;21,7;74,9;46;
2015-02-04;30,9;25,4;21,5;79,6;56;
2015-02-05;31,8;25,4;23,3;84,4;53;
2015-02-06;26,6;24,1;22,3;90,8;74;
2015-02-07;25,7;23,3;22;91,1;78;
2015-02-08;28,2;24,3;21,6;86;60;
2015-02-09;27,2;24,4;21,8;85,2;66;
2015-02-10;32,7;25,1;22,2;80,3;50;
2015-02-11;34,6;27,4;22,2;73,5;35;
2015-02-12;34,7;27,7;21,9;72,4;37;
2015-02-13;35;28,3;23,3;73;37;
2015-02-14;34,2;27,6;22;73,2;43;
2015-02-15;34,1;26,6;21,2;73,3;38;
2015-02-16;34,2;26,5;24;80;44;
2015-02-17;28,9;25;23,1;84,7;65;
2015-02-18;31,6;25,5;22,8;81,5;54;
2015-02-19;30,9;24,3;21,8;86,1;55;
2015-02-20;28,3;24,5;22,2;83,9;62;
2015-02-21;31;25,2;22,4;82,5;55;
2015-02-22;30,9;25,2;21,2;79,8;52;
2015-02-23;32,6;24;20,3;83,4;46;
2015-02-24;31,9;25,1;21,3;79,4;47;
2015-02-25;33,1;27;23;75,1;46;
2015-02-26;34,3;27,9;23,6;77,6;44;
2015-02-27;30,1;25,9;24,3;83,2;62;
2015-02-28;33,2;25,7;22,4;85,3;49;
2015-03-01;31,4;24,8;23,2;87;60;
2015-03-02;33,3;25,3;20,5;79,7;44;
2015-03-03;33,5;26,2;22,7;80,6;45;
2015-03-04;32,3;25,4;22,7;82,9;51;
2015-03-05;31,1;25,4;20,6;83,9;58;
2015-03-06;33,5;25,5;22,2;83,5;48;
2015-03-07;31,9;23,7;21,5;89,5;55;
2015-03-08;32,7;25,6;20,9;82,5;48;
2015-03-09;33,4;26,2;22,2;83,5;50;
2015-03-10;35,1;27,6;23,6;78,4;43;
2015-03-11;32,3;26,1;23,9;84,2;54;
2015-03-12;30,2;25,3;22,6;85,7;62;
2015-03-13;31,9;25,7;23;83;56;
2015-03-14;34;26,4;22,9;80,4;48;
2015-03-15;32,7;25;22,8;84,3;53;
2015-03-16;32;24,2;21,6;89,2;61;
2015-03-17;31,1;25,2;21,6;83,7;52;
2015-03-18;30,2;24,6;21,8;84,9;58;
2015-03-19;25,2;null;21,8;91,8;80;
2015-03-20;29,8;24,2;22;86;62;
2015-03-21;23,6;21,9;21,4;92,1;80;
2015-03-22;29,4;23,5;20,4;86;61;
2015-03-23;32,5;26,2;21,7;77,8;46;
2015-03-24;null;null;23,5;null;47;
2015-03-25;null;null;null;null;null;
2015-03-26;null;null;null;null;null;
2015-03-27;null;null;null;null;null;
2015-03-28;null;null;null;null;null;
2015-03-29;null;null;null;null;null;
2015-03-30;null;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-01;null;null;null;null;52;
2015-04-02;null;null;null;null;null;
2015-04-03;null;null;null;null;null;
2015-04-04;null;null;null;null;47;
2015-04-05;null;null;null;null;50;
2015-04-06;null;null;22,8;null;91;
2015-04-07;null;null;null;null;null;
2015-04-08;null;null;null;null;null;
2015-04-09;null;null;null;null;null;
2015-04-10;null;null;null;null;null;
2015-04-11;null;null;null;null;null;
2015-04-12;null;null;null;null;null;
2015-04-13;null;null;null;null;null;
2015-04-14;null;null;null;null;null;
2015-04-15;null;null;null;null;null;
2015-04-16;null;null;null;null;null;
2015-04-17;null;null;null;null;null;
2015-04-18;null;null;null;null;null;
2015-04-19;null;null;null;null;null;
2015-04-20;null;null;null;null;null;
2015-04-21;null;null;null;null;null;
2015-04-22;null;null;null;null;null;
2015-04-23;null;null;null;null;null;
2015-04-24;null;null;null;null;null;
2015-04-25;null;null;null;null;null;
2015-04-26;null;null;null;null;null;
2015-04-27;null;null;null;null;null;
2015-04-28;null;null;null;null;null;
2015-04-29;null;null;null;null;null;
2015-04-30;null;null;null;null;null;
2015-05-01;null;null;null;null;null;
2015-05-02;null;null;null;null;null;
2015-05-03;null;null;null;null;null;
2015-05-04;null;null;null;null;null;
2015-05-05;null;null;null;null;null;
2015-05-06;null;null;null;null;null;
2015-05-07;null;null;null;null;null;
2015-05-08;null;null;null;null;null;
2015-05-09;null;null;null;null;null;
2015-05-10;null;null;null;null;null;
2015-05-11;null;null;null;null;null;
2015-05-12;null;null;null;null;null;
2015-05-13;null;null;null;null;null;
2015-05-14;null;null;null;null;null;
2015-05-15;null;null;null;null;null;
2015-05-16;null;null;null;null;null;
2015-05-17;null;null;null;null;null;
2015-05-18;null;null;null;null;null;
2015-05-19;null;null;null;null;null;
2015-05-20;null;null;null;null;null;
2015-05-21;null;null;null;null;null;
2015-05-22;null;null;null;null;null;
2015-05-23;null;null;null;null;null;
2015-05-24;null;null;null;null;null;
2015-05-25;null;null;null;null;null;
2015-05-26;null;null;null;null;null;
2015-05-27;null;null;null;null;null;
2015-05-28;null;null;null;null;null;
2015-05-29;null;null;null;null;null;
2015-05-30;null;null;null;null;null;
2015-05-31;null;null;null;null;null;
2015-06-01;null;null;null;null;null;
2015-06-02;null;null;null;null;30;
2015-06-03;33,4;25,7;19,1;68,9;35;
2015-06-04;32,7;25,7;20,8;66,3;36;
2015-06-05;32,6;25,3;19,8;67,2;38;
2015-06-06;32,6;25,8;20,9;66,3;36;
2015-06-07;32,9;26,1;20,1;67,1;38;
2015-06-08;32,2;26,2;21,6;66;42;
2015-06-09;33,2;25,3;19;67,1;34;
2015-06-10;33,9;25,5;20,2;69;34;
2015-06-11;33,8;25,9;19,4;68,5;33;
2015-06-12;34;25,9;20,6;70,3;35;
2015-06-13;34,1;26,3;20,9;65,9;28;
2015-06-14;34,6;26,1;19,7;64;28;
2015-06-15;35,2;26,5;19,8;64,3;28;
2015-06-16;35;26,2;19,3;66;30;
2015-06-17;34,3;26,6;20,7;61,3;29;
2015-06-18;32,9;26,1;20,3;59,3;26;
2015-06-19;33,9;24,7;18;63,7;24;
2015-06-20;32,3;24,1;16,9;63,4;29;
2015-06-21;31,4;24,4;17,8;58,4;31;
2015-06-22;31,7;24,2;18,8;62,1;35;
2015-06-23;32,1;24,2;17,9;63,7;29;
2015-06-24;32,8;24,2;16,8;62,5;26;
2015-06-25;33,6;25;17,5;61,3;34;
2015-06-26;31,8;26,1;22,2;57,4;36;
2015-06-27;31,1;24,6;20,1;54,4;32;
2015-06-28;31,2;23,5;17,9;59,8;35;
2015-06-29;32,3;24,4;19,1;62;33;
2015-06-30;31;23,7;18,6;68,8;40;
2015-07-01;33,8;24,9;18,2;67,5;33;
2015-07-02;33,3;25,3;18,9;66,1;32;
2015-07-03;34,1;25,3;18,5;65,6;29;
2015-07-04;35,1;26;18,9;62,5;27;
2015-07-05;36,4;26;18,6;61,1;23;
2015-07-06;35;25,8;17,6;61,8;28;
2015-07-07;32,4;26;21,5;62,7;36;
2015-07-08;32,1;25,2;20,8;65,9;37;
2015-07-09;33,5;26,2;20,2;62,1;34;
2015-07-10;34,3;26,9;20,4;59,8;31;
2015-07-11;34,2;26;19,4;62,5;30;
2015-07-12;32,7;25,6;19,8;65,4;34;
2015-07-13;34,6;26,2;18,4;60,5;26;
2015-07-14;34,6;26,1;18,4;57,8;24;
2015-07-15;33,3;25,9;17,6;54,1;27;
2015-07-16;32,3;24,7;18,2;60,2;28;
2015-07-17;32,9;24,6;17,2;55,3;27;
2015-07-18;32,9;25,9;20,6;50,9;25;
2015-07-19;32,6;25;19,1;52,4;26;
2015-07-20;33,6;24,4;17,5;58,8;23;
2015-07-21;34,1;24,7;16,9;59,1;25;
2015-07-22;34,3;25,1;16,8;55,8;22;
2015-07-23;33,5;24,4;16,3;54,6;22;
2015-07-24;33,8;24,8;17,3;54,6;26;
2015-07-25;34,8;25,1;16,4;59,1;26;
2015-07-26;34,9;25,7;18,8;59,9;25;
2015-07-27;35,9;26,1;18,1;56,9;20;
2015-07-28;35,9;26,6;19,5;52,9;21;
2015-07-29;35,6;26,5;19,2;49,9;20;
2015-07-30;33,9;25,5;19,3;48,3;23;
2015-07-31;34,7;25,4;16,7;52;19;
2015-08-01;34;24,6;16,7;52;20;
2015-08-02;34;24,3;15,1;56,7;22;
2015-08-03;34,1;25;16,3;55,2;21;
2015-08-04;34,5;25;16,5;51;18;
2015-08-05;35,5;24,7;15,5;51,8;14;
2015-08-06;35,8;25;15,1;51;15;
2015-08-07;36,7;25,5;15,1;49,8;14;
2015-08-08;35;25,4;16,4;48,3;17;
2015-08-09;34,2;25,6;19;47,5;19;
2015-08-10;34,5;25,7;17,2;47,5;21;
2015-08-11;33,4;24,9;17,1;53,1;24;
2015-08-12;32,6;24,3;17;44,8;19;
2015-08-13;31,8;23,9;16,8;45,4;24;
2015-08-14;32,3;23,1;15,2;52,8;21;
2015-08-15;35;25;16;51,9;22;
2015-08-16;35,5;26,1;17,8;54;23;
2015-08-17;34,5;27,5;21,7;42,9;19;
2015-08-18;34,5;25,9;16,9;45,6;21;
2015-08-19;35,4;25,9;17,5;51,2;20;
2015-08-20;37,1;26,9;18,9;51,2;18;
2015-08-21;38,1;27,8;18,8;49,7;16;
2015-08-22;38,4;28,5;18,9;48;14;
2015-08-23;37,9;28,1;19,7;49,6;18;
2015-08-24;38,4;28,6;21,1;51,4;19;
2015-08-25;38;28,7;21,3;51;19;
2015-08-26;37,9;28,9;21,3;48,3;20;
2015-08-27;38,9;28,3;19,6;47,3;11;
2015-08-28;38,6;27,8;18,3;45,3;14;
2015-08-29;37,3;27,9;18,9;46,8;19;
2015-08-30;37,1;29,2;22,6;40,5;18;
2015-08-31;37;29;22,8;41,5;20;
2015-09-01;36,5;27,5;19;44,5;14;
2015-09-02;38,1;27,3;17;42,5;12;
2015-09-03;38,2;26,9;16,6;43;12;
2015-09-04;39,1;27,4;17,4;45,3;12;
2015-09-05;39,5;28,5;20,4;43,7;12;
2015-09-06;38;28,2;19,5;51;26;
2015-09-07;36,7;28,7;21,8;57,1;25;
2015-09-08;36,8;28,5;20,8;55,8;25;
2015-09-09;37,6;28,4;20,1;52,3;19;
2015-09-10;38,1;29,3;20,8;45,7;18;
2015-09-11;38,7;29,6;21,5;44,5;16;
2015-09-12;39,1;29,2;20,7;49,5;18;
2015-09-13;39,6;30,3;22,5;47,1;20;
2015-09-14;36,7;28,6;22,8;56,2;33;
2015-09-15;38,9;29,6;23;52,1;17;
2015-09-16;37,9;29,9;22,2;37,8;14;
2015-09-17;38,6;28,6;17,6;32,4;14;
2015-09-18;39,1;28,7;18,8;39,8;13;
2015-09-19;39,1;29,3;19,5;36,8;10;
2015-09-20;39,3;29,7;19,4;35,6;13;
2015-09-21;38,7;29,8;21,4;41,9;16;
2015-09-22;36,6;28,1;23,8;55,8;25;
2015-09-23;38,9;29,1;21,3;55,2;17;
2015-09-24;38,5;29,7;22;48;21;
2015-09-25;38,9;30,3;22,6;48,7;18;
2015-09-26;40;29,8;20,9;48,9;14;
2015-09-27;38,3;null;22,9;42,4;23;
2015-09-28;38;null;23,3;56,3;27;
2015-09-29;29,4;24,9;22;82,3;56;
2015-09-30;37,6;null;21;55,9;24;
2015-10-01;38,8;30,1;23,6;48,3;13;
2015-10-02;38,1;29;21,2;48;18;
2015-10-03;39,2;29,4;21,2;49,6;15;
2015-10-04;40,4;30,4;21,6;47;13;
2015-10-05;40,9;31,5;23;47,6;19;
2015-10-06;32,9;25,4;23,3;71,8;38;
2015-10-07;35,8;27,3;20,4;66,3;34;
2015-10-08;37,5;29,9;23,8;57,9;26;
2015-10-09;38,2;30,1;23,1;51,9;22;
2015-10-10;38,3;29,8;22,8;47,7;18;
2015-10-11;39,1;29,6;21,8;48,8;17;
2015-10-12;38,5;29,6;22,1;44,5;16;
2015-10-13;38,5;30,3;22,8;37,1;15;
2015-10-14;39,2;29,4;21;44,8;12;
2015-10-15;40,3;29,9;19,5;42,4;12;
2015-10-16;39,8;31,5;25,1;38,7;15;
2015-10-17;40,7;29,8;19,7;43;12;
2015-10-18;40;30,4;22;40,3;12;
2015-10-19;38,3;29,4;21,3;45,1;19;
2015-10-20;39,2;29,8;21,9;51,1;18;
2015-10-21;38,9;30,9;23,9;51,2;19;
2015-10-22;41,1;31,7;24,2;50,6;21;
2015-10-23;32,3;28,1;25,8;60,3;41;
2015-10-24;35,9;27;23,6;74,3;38;
2015-10-25;33;26,8;23,1;75,4;45;
2015-10-26;34,6;27,8;23,6;66,8;41;
2015-10-27;36,7;29,3;24,7;64,2;29;
2015-10-28;35,3;27,7;25,5;67,5;37;
2015-10-29;36,8;28,8;22,8;62,4;30;
2015-10-30;33;28;23,2;64,9;45;
2015-10-31;35,4;27,9;24;67,5;33;
2015-11-01;27,5;24,7;23,5;88,6;67;
2015-11-02;34,6;27,1;21,9;73,5;36;
2015-11-03;36,1;27,9;23,1;70;33;
2015-11-04;38,2;29,8;22,8;60,8;26;
2015-11-05;37;28,9;21,5;53;23;
2015-11-06;37,2;29,4;22,8;55,5;27;
2015-11-07;38,5;30,3;23,4;58,1;29;
2015-11-08;33,7;28,5;25,6;68,4;44;
2015-11-09;34,1;27,8;24,2;72,5;47;
2015-11-10;37,6;29,1;22,1;59,4;22;
2015-11-11;38,4;29,9;22,2;49,8;20;
2015-11-12;39,1;29,5;21;51;15;
2015-11-13;38,8;30;22,4;54,2;27;
2015-11-14;31,5;27,4;24,5;69,6;53;
2015-11-15;36;26,8;24;74,5;35;
2015-11-16;32,2;25,8;22,4;81,1;51;
2015-11-17;33,4;26,1;23,8;80,2;49;
2015-11-18;34,3;27,4;23,7;75,9;43;
2015-11-19;32,5;26,7;23,1;76,9;48;
2015-11-20;35,2;27,9;22,1;67,8;40;
2015-11-21;34,4;29;24,4;66,4;40;
2015-11-22;36,7;28,8;24,2;62,3;32;
2015-11-23;35,8;28;24;72;38;
2015-11-24;31;26,7;23,4;77,8;53;
2015-11-25;31,5;26,4;22,2;76,8;54;
2015-11-26;36,2;28,5;22,9;69,3;37;
2015-11-27;35,9;28,1;24,5;71;40;
2015-11-28;34;27,2;22,9;72,8;45;
2015-11-29;35;27,9;23,1;68,1;36;
2015-11-30;38,2;30,1;23,7;60,7;28;
2015-12-01;39,5;30,7;23,6;55,8;18;
2015-12-02;39,4;30,9;23,2;50;20;
2015-12-03;40,2;31,4;23,1;47,9;18;
2015-12-04;37,1;29;23,6;60,2;33;
2015-12-05;33,3;27;20,3;72,5;45;
2015-12-06;33,9;27,2;22,1;68,8;40;
2015-12-07;35,7;29,2;23,7;68,9;37;
2015-12-08;33,1;26;24,6;82,1;50;
2015-12-09;35,7;28,1;21,5;72,7;39;
2015-12-10;36,3;29;23,3;68,6;34;
2015-12-11;38,4;30,7;24,3;60,2;27;
2015-12-12;36,3;27,9;23;70,2;39;
2015-12-13;34,5;25,9;21,8;76,6;37;
2015-12-14;36,4;27,4;21,2;69,2;27;
2015-12-15;37,1;29,5;22,9;60;22;
2015-12-16;36,3;28,6;23,4;62;30;
2015-12-17;35,5;27,5;21,7;68,3;34;
2015-12-18;36,3;28,3;22,3;63,5;29;
2015-12-19;37,6;30,4;24,8;53,7;23;
2015-12-20;33,6;27,5;23,1;72,3;40;
2015-12-21;33;26,7;22,3;76,2;46;
2015-12-22;34,2;27,9;23,2;72,3;39;
2015-12-23;35,7;28,8;23,3;65,5;34;
2015-12-24;36,7;29,1;23,1;64;24;
2015-12-25;36,2;28,2;23,4;65,6;34;
2015-12-26;31,5;25,7;20,9;75;44;
2015-12-27;35,5;27,4;22,6;65,2;33;
2015-12-28;34,4;27,7;22,7;67;33;
2015-12-29;32,4;26,6;23,5;74,2;48;
2015-12-30;30;26;22,9;79;58;
2015-12-31;36,1;28,2;23,2;66,4;31;
2016-01-01;34,8;27,1;23,8;73,7;43;
2016-01-02;34,3;27;22,2;74,3;39;
2016-01-03;35,6;28,5;23;68,5;36;
2016-01-04;36,4;28;24,6;71,8;32;
2016-01-05;33,2;26,9;23,8;79,9;47;
2016-01-06;31,5;26,3;22,6;80,5;54;
2016-01-07;26,6;24,8;22,3;89,3;76;
2016-01-08;29,3;25,4;22,6;83,8;64;
2016-01-09;29;24,6;22,5;87;67;
2016-01-10;32,3;25,4;21,6;81,1;52;
2016-01-11;31,1;26;23,9;85;61;
2016-01-12;31,6;27,2;24,4;78,2;52;
2016-01-13;29;24,9;22,3;85,5;66;
2016-01-14;26,9;24,7;22,5;86,9;71;
2016-01-15;31,4;26,3;22,6;82,6;57;
2016-01-16;28,4;24,8;24,4;89,6;73;
2016-01-17;32,8;25,9;22;82,8;50;
2016-01-18;27,2;25,1;23,9;90;82;
2016-01-19;29,5;25,4;23,4;89,8;69;
2016-01-20;26,4;24,5;23,6;94;86;
2016-01-21;25;24;23;94,2;91;
2016-01-22;30,1;24,9;23,5;88,2;65;
2016-01-23;27,4;24,2;23,1;91,1;75;
2016-01-24;30,4;25,2;22,7;86,5;61;
2016-01-25;33,1;27,2;23,1;79,1;50;
2016-01-26;31,4;26,5;25;86,7;63;
2016-01-27;26,6;24,3;23;89,8;77;
2016-01-28;30,3;25,1;22,5;84,2;57;
2016-01-29;30,2;25;23;85,7;59;
2016-01-30;33,6;26,8;22,6;75,5;38;
2016-01-31;33,6;27,4;22,1;66,6;33;
2016-02-01;34;27,1;21,5;66,5;35;
2016-02-02;33,7;27,2;21,9;67,5;33;
2016-02-03;32,1;25,4;21,1;73,4;47;
2016-02-04;34;25,8;22,3;79;42;
2016-02-05;33,8;25,7;22,4;82,6;48;
2016-02-06;33,8;26,9;22,8;77,9;46;
2016-02-07;35,2;28,2;24,1;74;38;
2016-02-08;35,3;28,7;23,7;70,5;34;
2016-02-09;34,5;28,6;24,4;70,6;40;
2016-02-10;35,6;28,7;23;68,7;32;
2016-02-11;37,3;28,8;22,2;66,5;27;
2016-02-12;36,8;29,1;23;68,8;33;
2016-02-13;36;28;23,2;72,4;36;
2016-02-14;30;25,5;21,1;86,5;64;
2016-02-15;31,6;25,7;22,8;81,7;50;
2016-02-16;34,7;27,8;22,4;71,7;37;
2016-02-17;35,4;28,7;23,2;70,2;33;
2016-02-18;35,7;28,9;23,3;65,7;31;
2016-02-19;35,2;28,2;22,8;63;27;
2016-02-20;35,8;28,5;22,9;67,9;35;
2016-02-21;34,9;27,4;23,1;72,2;42;
2016-02-22;34,9;27,1;19,6;70,6;37;
2016-02-23;35,5;28,4;22,4;67,3;32;
2016-02-24;36,1;29;22,7;66;32;
2016-02-25;34,3;28,2;23,2;71,4;43;
2016-02-26;29,2;26,2;24,1;81,5;62;
2016-02-27;35,2;28,1;23,1;74;37;
2016-02-28;36,9;29,6;23,6;66,5;30;
2016-02-29;36,7;29,5;23,8;64,9;30;
2016-03-01;37,3;30;25;60,8;28;
2016-03-02;36,2;29,9;24,8;61,3;33;
2016-03-03;30;25,9;22,3;81,5;61;
2016-03-04;34,4;27,3;23,7;78;44;
2016-03-05;29,7;25,3;24,1;90,3;69;
2016-03-06;32,3;26,3;23,1;82,8;55;
2016-03-07;31,7;25,6;23,8;87,7;56;
2016-03-08;32,6;26,6;23,2;80,7;55;
2016-03-09;28,5;25,3;23,4;88,8;73;
2016-03-10;32,9;26,7;23,3;80,2;49;
2016-03-11;27,3;25;24,3;90,8;73;
2016-03-12;32,2;25,9;23;83,1;54;
2016-03-13;32;25,9;22,2;82,2;53;
2016-03-14;33,9;26,8;22,7;80,5;47;
2016-03-15;33,6;28,3;23,9;74,8;44;
2016-03-16;33,6;27,9;24,5;75,8;44;
2016-03-17;34,7;28,2;23,4;70,9;36;
2016-03-18;35,7;28,8;23,7;69,3;35;
2016-03-19;35,6;28;24,1;76,4;40;
2016-03-20;33,8;26,2;23,4;85,9;50;
2016-03-21;28,8;25,1;22,8;88,6;67;
2016-03-22;33,9;27,4;22,4;78,3;46;
2016-03-23;35,5;28;22,5;73,6;40;
2016-03-24;34,6;27,9;24;78,7;44;
2016-03-25;33,3;27,1;22,5;78,6;52;
2016-03-26;33,3;27,2;24,5;79,9;52;
2016-03-27;35,2;27,4;23,7;77,4;45;
2016-03-28;35,2;28,7;23,3;70,4;38;
2016-03-29;34,9;29;23,9;67,4;39;
2016-03-30;34,6;28,2;23,3;70,3;41;
2016-03-31;33,3;28,1;23,9;75,6;51;
2016-04-01;34,3;28,1;23,9;69,4;35;
2016-04-02;33,3;26,4;23,6;79,6;48;
2016-04-03;34,8;27;22,3;77,2;37;
2016-04-04;34,9;28,4;24,5;74;42;
2016-04-05;35,8;28,9;23,4;70,5;34;
2016-04-06;36,2;28,8;22,8;67,3;32;
2016-04-07;36,2;28,8;23,4;69,3;35;
2016-04-08;35,7;28,2;23;74,2;38;
2016-04-09;34,7;26,8;23,9;81,6;46;
2016-04-10;34,4;26,4;23,1;79,6;44;
2016-04-11;31,5;25,4;23,1;83,5;56;
