Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.71
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33,9;26,7;21,1;74,4;47;
2015-01-02;34,5;27;23,6;76,3;43;
2015-01-03;35,2;27,5;22;74,8;39;
2015-01-04;27,8;24,2;24,6;87,1;77;
2015-01-05;32,2;25,4;21,2;80,7;54;
2015-01-06;32,7;26,3;22;79,3;49;
2015-01-07;31,7;26;22;81,7;58;
2015-01-08;34;25,5;22,4;82,4;48;
2015-01-09;32,2;26,4;22,5;80,1;54;
2015-01-10;32,9;25,6;22,8;82,4;51;
2015-01-11;32,7;26,7;22,8;80,1;53;
2015-01-12;31,7;24,2;23,4;87,3;59;
2015-01-13;30,4;24;21,6;84,4;56;
2015-01-14;33,2;26,1;21,1;76,9;46;
2015-01-15;33,7;25,5;22,7;79;44;
2015-01-16;28,7;24,6;22,2;83,8;63;
2015-01-17;31,9;25,3;22,3;83,3;56;
2015-01-18;32,8;24,7;22,8;84,1;56;
2015-01-19;30,2;23,4;21,8;89,7;62;
2015-01-20;31,5;24,7;21,4;82,6;50;
2015-01-21;32,4;24,9;21,4;79,5;47;
2015-01-22;32,6;25,5;21,6;75,8;45;
2015-01-23;33,2;26;21,5;74,2;45;
2015-01-24;25,5;23,1;21,6;90,3;80;
2015-01-25;29,3;23,1;21,7;87,6;64;
2015-01-26;32,3;24,6;20,5;81;49;
2015-01-27;33;25,9;22,3;82,3;52;
2015-01-28;34,5;26,7;22;79;42;
2015-01-29;35,6;26,8;21,2;75,9;40;
2015-01-30;34,9;27,6;20,9;74,8;42;
2015-01-31;31,5;27;24,3;78,3;53;
2015-02-01;31,1;25,1;20,3;79,2;55;
2015-02-02;30,8;25,6;21,7;80,8;52;
2015-02-03;31,9;26,2;22,2;77,3;54;
2015-02-04;28,7;24,2;21,7;84;65;
2015-02-05;32,3;26,7;22,7;76,3;48;
2015-02-06;31,9;26,1;23,6;80,6;55;
2015-02-07;32,1;25,2;22,8;83,3;54;
2015-02-08;32,3;24,5;21,8;82,3;53;
2015-02-09;33,5;26,5;22;77,5;49;
2015-02-10;32,9;27,9;23,5;72,2;52;
2015-02-11;null;null;24,9;null;50;
2015-02-12;null;null;null;null;48;
2015-02-13;null;null;null;null;58;
2015-02-14;null;null;null;null;60;
2015-02-15;null;null;null;null;41;
2015-02-16;null;null;null;65,8;51;
2015-02-17;null;null;null;null;79;
2015-02-18;null;null;null;null;73;
2015-02-19;null;null;null;null;59;
2015-02-20;null;null;null;null;89;
2015-02-21;null;null;null;null;62;
2015-02-22;null;null;null;null;58;
2015-02-23;null;null;null;null;45;
2015-02-24;null;null;null;null;50;
2015-02-25;null;null;null;null;50;
2015-02-26;null;null;null;null;null;
2015-02-27;null;null;null;null;null;
2015-02-28;null;null;null;null;null;
2015-03-01;null;null;null;null;51;
2015-03-02;null;null;null;null;53;
2015-03-03;null;null;null;null;54;
2015-03-04;32,9;26,4;22,3;76,6;49;
2015-03-05;33,5;27,4;22,9;75;45;
2015-03-06;33,4;26,1;22,3;77,6;49;
2015-03-07;27,8;23,4;23,1;89,4;73;
2015-03-08;33,6;26,3;20,9;80,1;49;
2015-03-09;32,6;26,9;21,9;78,3;53;
2015-03-10;34,1;27,1;23,4;78,2;50;
2015-03-11;32,4;26,1;23;82,2;52;
2015-03-12;32,6;25,6;23,1;85;55;
2015-03-13;34,6;27,1;23;77,2;44;
2015-03-14;32;25,3;23,7;84,2;59;
2015-03-15;33,7;27;21,6;78,3;47;
2015-03-16;33;26,7;22;75,9;51;
2015-03-17;29,8;25,2;23,3;83,9;65;
2015-03-18;31,4;25,8;22,7;80;56;
2015-03-19;28;null;22,5;85,8;71;
2015-03-20;30,7;25,2;23;83,5;60;
2015-03-21;23,8;22;20,4;92;84;
2015-03-22;30,1;24,8;21,2;83,6;60;
2015-03-23;30;25,1;23,1;85,7;65;
2015-03-24;31,8;25,5;22,9;84,7;56;
2015-03-25;32;25,5;22,4;83,8;51;
2015-03-26;33;27;22,8;77,9;48;
2015-03-27;32;26,4;23;82,8;57;
2015-03-28;34,1;26,5;22,6;79,2;46;
2015-03-29;33,2;27;21,7;78,3;51;
2015-03-30;33;28,1;23,9;77,6;51;
2015-03-31;32,2;26,2;23,5;83;54;
2015-04-01;33,8;26,4;22,9;81,4;49;
2015-04-02;32,6;27,2;23,3;77,3;52;
2015-04-03;34,1;28;23,8;75,6;46;
2015-04-04;33;27,3;23,9;77,8;46;
2015-04-05;33,6;27,2;22,8;76,5;48;
2015-04-06;31,5;26,2;21,2;76,3;51;
2015-04-07;32,8;26,9;24,1;79,8;51;
2015-04-08;33,7;27,5;23,5;77;43;
2015-04-09;29,1;25,6;22,5;84,2;67;
2015-04-10;31,1;26,2;23;84,5;62;
2015-04-11;28,9;24,9;22,4;87,4;68;
2015-04-12;33,3;26;23;84,8;53;
2015-04-13;33,9;27,2;23,1;79,8;50;
2015-04-14;28,4;24,8;20,5;87,2;69;
2015-04-15;33,6;26,5;22,9;82,3;51;
2015-04-16;30,2;25,9;23,7;85,9;66;
2015-04-17;33,8;27,3;22,3;77;47;
2015-04-18;34,2;27,5;23,5;79,5;50;
2015-04-19;34,2;27,4;22,6;75,5;46;
2015-04-20;28;24,8;22,5;88,6;77;
2015-04-21;33,1;26;22;81,6;45;
2015-04-22;33,9;27,6;23,7;77,8;45;
2015-04-23;33,1;27;23,9;79,9;53;
2015-04-24;31,2;25,8;23,3;85,1;64;
2015-04-25;32,6;26,4;23,2;83,8;54;
2015-04-26;32,7;26,5;23,9;83,9;59;
2015-04-27;27,6;24,3;21,4;88,9;76;
2015-04-28;33;25,7;21,8;82,4;51;
2015-04-29;32,3;25,2;22,4;85,5;56;
2015-04-30;29,2;24,4;22,1;87,6;67;
2015-05-01;30;25,1;23,1;86,5;65;
2015-05-02;32,6;26,4;22,8;80,3;51;
2015-05-03;30,8;24,8;20,7;84,7;61;
2015-05-04;32,2;25,3;22;84,7;53;
2015-05-05;32,3;26,3;23,3;81,9;56;
2015-05-06;30,8;25,8;23,1;84,3;63;
2015-05-07;33,1;26,8;23,6;79,8;55;
2015-05-08;32,5;27;23,6;80,6;56;
2015-05-09;33,5;25,7;22,5;83,8;50;
2015-05-10;32,7;26,9;23,4;79,8;51;
2015-05-11;33,3;26,9;23;81,1;50;
2015-05-12;32,5;26,3;22,4;79,4;53;
2015-05-13;33,3;27,6;23,7;75,5;51;
2015-05-14;33,7;27,7;23,4;76;45;
2015-05-15;33;27,2;22,2;75;47;
2015-05-16;33,4;26,9;21,5;72;42;
2015-05-17;33,4;26,9;21,7;73,8;45;
2015-05-18;33,5;27,2;21,8;73,5;44;
2015-05-19;33,4;27,6;23,9;75,8;47;
2015-05-20;33,3;27,3;22,9;74,3;46;
2015-05-21;33,6;27,3;22,9;75,4;46;
2015-05-22;32,9;27,4;22,8;72,3;46;
2015-05-23;33,3;27,3;22,8;71,2;45;
2015-05-24;33,5;27,1;22,1;72,2;44;
2015-05-25;34;27,3;21,8;71,1;43;
2015-05-26;34,5;27,4;21,7;73,3;39;
2015-05-27;33,7;27;22,4;78,3;48;
2015-05-28;33,5;27,4;22,8;76;48;
2015-05-29;34;27,4;22,5;75,7;45;
2015-05-30;34,6;27,6;22,2;74,4;38;
2015-05-31;34,7;27,5;21,4;71,8;37;
2015-06-01;34,5;27,6;21,5;69,3;36;
2015-06-02;34,4;27,3;21,8;71,9;36;
2015-06-03;34,1;27;21,6;71,8;37;
2015-06-04;34,3;27,4;22,1;69,7;36;
2015-06-05;34;27;21,4;69,7;40;
2015-06-06;34,2;27,1;21,6;68,7;37;
2015-06-07;31,3;26,1;22;73,5;50;
2015-06-08;33,1;26,9;21,9;68,1;39;
2015-06-09;33,1;26;20,7;72;39;
2015-06-10;34,6;26,3;19,8;72,2;33;
2015-06-11;35,2;26,6;20,1;70,2;29;
2015-06-12;35,2;26,7;20,9;69,4;33;
2015-06-13;34,6;27;20,6;69,9;35;
2015-06-14;35,2;27,1;20,9;68,5;33;
2015-06-15;34,7;26,8;21;71,2;36;
2015-06-16;36,2;27,3;20,5;69,2;31;
2015-06-17;35,5;27,3;21,4;66,5;28;
2015-06-18;34;25,7;19,1;64,3;26;
2015-06-19;35,1;25,3;17,3;64,5;25;
2015-06-20;34,4;25,5;18,6;67,5;30;
2015-06-21;34,4;25,9;19,1;63,8;31;
2015-06-22;33,6;25,2;18;62,4;30;
2015-06-23;34;25,4;18;62,5;30;
2015-06-24;34,5;25,6;18,5;64,5;25;
2015-06-25;34,9;26,2;19,8;67,4;34;
2015-06-26;34,2;27;21,5;62,7;32;
2015-06-27;33,8;25,9;19,1;61;32;
2015-06-28;33,1;25,4;19,1;65,1;35;
2015-06-29;33,9;25,9;19,6;64,3;33;
2015-06-30;33,7;25,9;20,4;67;33;
2015-07-01;33,8;25,7;20,2;70;38;
2015-07-02;35,5;26,7;19,9;65,4;27;
2015-07-03;35,4;26,5;20,1;64,1;30;
2015-07-04;35,6;27,1;20,3;67,3;34;
2015-07-05;35;27,2;20,4;68,1;34;
2015-07-06;33,8;27,8;24,4;69,5;41;
2015-07-07;34,2;27,3;23,1;70,3;36;
2015-07-08;34,4;26,5;21,3;69,4;35;
2015-07-09;35,9;27,1;20,5;65,9;29;
2015-07-10;35,8;27,6;21,1;59,8;26;
2015-07-11;35,3;27,1;21;61,8;29;
2015-07-12;36,2;27,6;21,1;61,7;23;
2015-07-13;35,8;26,5;18,9;62;25;
2015-07-14;36,2;27,5;21,5;59,4;26;
2015-07-15;35,3;26,6;19,1;54,9;21;
2015-07-16;34,2;25,8;18,3;56,8;26;
2015-07-17;34,9;26,2;19;55,7;26;
2015-07-18;35,1;25,8;17,7;53,8;26;
2015-07-19;34,5;26;18,3;55;25;
2015-07-20;35,3;25,4;17,2;59,5;26;
2015-07-21;35,9;26,4;19;61,3;26;
2015-07-22;36,5;26,9;19,6;60,3;22;
2015-07-23;35,9;26,7;20;58,2;23;
2015-07-24;36,4;26,3;18,2;58,6;23;
2015-07-25;36,7;26,8;18,8;60,9;28;
2015-07-26;36,4;27,5;20;60,8;26;
2015-07-27;37,2;27,5;20,1;59,1;22;
2015-07-28;37,2;27,6;19,7;57,1;23;
2015-07-29;37,5;27,4;19,1;53,6;18;
2015-07-30;36,6;26,8;18,4;49;18;
2015-07-31;36,4;26,7;18,8;53,1;21;
2015-08-01;36;25,8;17,1;54,6;19;
2015-08-02;35,3;25,3;16,3;58,1;23;
2015-08-03;36,4;26,9;18,7;53;22;
2015-08-04;36,9;27,1;19;50,9;19;
2015-08-05;36,8;26,7;18;52;18;
2015-08-06;36,9;26,1;17,8;55,8;18;
2015-08-07;37;26,7;17,8;55,9;19;
2015-08-08;37,8;26,9;18,7;54,6;18;
2015-08-09;36,8;27,3;19,1;49,8;18;
2015-08-10;36,7;27,2;18,6;49,8;20;
2015-08-11;34,9;26,7;18,4;49,4;24;
2015-08-12;35,3;26,5;18,5;44,6;17;
2015-08-13;33,6;25,1;17;42,5;20;
2015-08-14;34,8;24,9;16;49,4;20;
2015-08-15;36,7;26,9;18,5;52,1;22;
2015-08-16;37,2;27,8;19,2;50,1;20;
2015-08-17;36,8;28;21;45,3;20;
2015-08-18;36,6;27,2;18,5;47,1;19;
2015-08-19;37,7;27,3;18,8;50,5;17;
2015-08-20;38,3;28,4;20,7;48,3;15;
2015-08-21;38,5;28,7;20,6;50;19;
2015-08-22;37,6;28,3;19,6;56,8;24;
2015-08-23;38,5;28,8;20,6;54,8;21;
2015-08-24;38,5;29,4;21,5;53,9;22;
2015-08-25;37,7;28,8;21,8;58,9;28;
2015-08-26;38,3;29,1;21,7;57,1;23;
2015-08-27;37,5;28,8;20,7;57;28;
2015-08-28;36,7;28,5;22,4;60,3;29;
2015-08-29;37,3;28,7;22,2;60,2;26;
2015-08-30;37,9;28,1;19,1;51;16;
2015-08-31;37,2;27,5;19,5;49,7;21;
2015-09-01;37,5;27,9;19,6;51;19;
2015-09-02;38,8;28;18,2;50,5;14;
2015-09-03;38,3;28,9;20,4;49,9;24;
2015-09-04;38,6;29,7;21,7;54;23;
2015-09-05;38,9;29,9;21,8;53;25;
2015-09-06;36,4;29,1;23,2;60,1;35;
2015-09-07;37,6;29,2;22,6;60,2;25;
2015-09-08;37,9;29,5;21,9;53,8;23;
2015-09-09;38;29,2;21,4;52,5;21;
2015-09-10;37,5;29,2;21,6;53,1;24;
2015-09-11;38;30,2;23,8;49,3;22;
2015-09-12;39,2;30,4;22,3;52,3;22;
2015-09-13;37,8;30;23,4;56;28;
2015-09-14;31,7;26,4;23,5;72,8;54;
2015-09-15;38,5;28,2;21,4;60;16;
2015-09-16;38,8;29,5;21;42,9;16;
2015-09-17;39,8;30,1;21,7;39,3;15;
2015-09-18;40,3;30,1;20,4;39,6;11;
2015-09-19;40;29,6;20,2;41,1;15;
2015-09-20;38,5;29,5;21,6;46,7;20;
2015-09-21;37;28,3;21,4;57;27;
2015-09-22;35,8;27,9;24,8;65,4;35;
2015-09-23;38;29,3;23,2;61,4;25;
2015-09-24;38,3;30,4;23,9;52;22;
2015-09-25;38,8;30,3;23,3;50,9;20;
2015-09-26;38,8;30;22;49,1;24;
2015-09-27;37,4;30,4;23,6;52,8;30;
2015-09-28;36,4;29,3;24,3;61,7;36;
2015-09-29;38,3;27,9;23;67,3;28;
2015-09-30;38,4;28,5;21,8;66,1;28;
2015-10-01;38,1;30,8;25,1;50,7;18;
2015-10-02;38,1;30,4;24,3;47,8;25;
2015-10-03;39;30,1;21,9;51,4;22;
2015-10-04;39,2;30,6;23;54,5;23;
2015-10-05;38,3;30,9;23,8;54,8;32;
2015-10-06;32,4;26,6;26,5;72,1;48;
2015-10-07;35,8;27,2;20,8;69,3;35;
2015-10-08;36,8;28,5;24,9;65,1;33;
2015-10-09;38,4;30,3;23,6;56,5;23;
2015-10-10;38,9;30,5;23,3;49,6;21;
2015-10-11;39,4;30,5;23,6;48,7;19;
2015-10-12;39;30,1;22,6;47,8;18;
2015-10-13;38,4;30,4;23,5;46,8;22;
2015-10-14;39,4;30,8;22,6;46,5;14;
2015-10-15;39,6;31,2;24,3;41,3;17;
2015-10-16;40,6;32,2;26,2;40,8;13;
2015-10-17;41,3;31,4;23,3;36,1;10;
2015-10-18;38,3;30,5;22,4;45,7;25;
2015-10-19;37,8;30,3;24,6;55,2;32;
2015-10-20;38,5;30;23,4;54,8;28;
2015-10-21;40,3;31,3;23,3;51,6;20;
2015-10-22;40,1;31,8;24,7;49,6;23;
2015-10-23;34,7;27,6;24,5;69,9;42;
2015-10-24;34,3;27,4;22,5;71,6;40;
2015-10-25;35,7;29,2;24,5;68;38;
2015-10-26;32,4;27,5;23;69,9;45;
2015-10-27;37,4;28,7;23,5;69,1;32;
2015-10-28;28,5;25,7;23,8;81,9;66;
2015-10-29;36,2;28;22,8;71;37;
2015-10-30;34,8;27;24,7;76,3;46;
2015-10-31;34,5;27,6;22,5;68,3;41;
2015-11-01;29;24,8;23,5;83,4;62;
2015-11-02;32,8;26,1;22;77,5;50;
2015-11-03;36,7;29,7;24;63,6;29;
2015-11-04;34,9;27,3;24;69,8;41;
2015-11-05;35,3;27,7;23,3;69,3;37;
2015-11-06;35,2;29,2;25,1;64,3;39;
2015-11-07;36,7;29,9;24,6;63,2;33;
2015-11-08;36,9;29,5;26;66,4;32;
2015-11-09;28,7;25,5;22,4;81,1;69;
2015-11-10;36;28,1;21,9;71,3;35;
2015-11-11;36,6;29,8;24,5;63,8;34;
2015-11-12;36,7;28,7;24,5;67,4;35;
2015-11-13;37,1;29,1;22,3;63,4;31;
2015-11-14;35,8;29,9;24,8;63,6;38;
2015-11-15;33,9;28,3;24,3;67,2;44;
2015-11-16;35,7;27,5;23,5;73,6;40;
2015-11-17;33,9;26,1;23,5;79,4;46;
2015-11-18;34,3;27,2;22,5;77,6;47;
2015-11-19;34,6;26,5;23,6;77,5;46;
2015-11-20;34,3;27,2;22,8;74,5;43;
2015-11-21;35,9;28,3;23,9;71,1;40;
2015-11-22;36,5;28,3;23,1;69,2;35;
2015-11-23;32,3;26,5;22,9;77,8;53;
2015-11-24;36,5;27,5;24,3;76,8;34;
2015-11-25;33,2;26,6;22,4;80;52;
2015-11-26;34,9;28,3;23,6;72;44;
2015-11-27;35,2;27,9;24,5;72,8;43;
2015-11-28;34,8;26,6;23,1;76,4;43;
2015-11-29;31,5;25,6;22,7;84,5;59;
2015-11-30;34,3;27,4;22,7;77,8;47;
2015-12-01;36,2;29,3;23;67,8;31;
2015-12-02;37,6;30;23,7;60,4;23;
