Nome: ARAGUAINA
Codigo Estacao: A021
Latitude: -7.10388888
Longitude: -48.20111111
Altitude: 230.76
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33,9;null;19,7;74,2;43;
2015-01-02;33,8;null;22;73,6;47;
2015-01-03;34,9;null;22,2;72;42;
2015-01-04;28;null;22,5;80,5;70;
2015-01-05;32,3;null;21,4;71,4;48;
2015-01-06;32,2;null;20;75,6;51;
2015-01-07;29,7;null;20,4;87,4;66;
2015-01-08;33,2;null;20,2;70,6;46;
2015-01-09;33,9;null;20,5;77;45;
2015-01-10;30,9;null;21;82,1;59;
2015-01-11;32,5;null;21,4;78,9;55;
2015-01-12;null;null;22,9;90;72;
2015-01-13;null;null;null;83,5;60;
2015-01-14;31,6;null;21,5;78,6;53;
2015-01-15;31,9;null;20,4;81,8;52;
2015-01-16;28,9;null;21,4;85,7;66;
2015-01-17;31,2;null;20;84,9;55;
2015-01-18;27,6;null;21,8;93,9;76;
2015-01-19;null;null;null;90,1;77;
2015-01-20;28,7;null;21,1;87,6;68;
2015-01-21;30,7;null;21,4;79,7;56;
2015-01-22;28,7;null;20,6;85,9;66;
2015-01-23;30,5;null;22,4;84,7;61;
2015-01-24;25,9;null;22;96;80;
2015-01-25;null;null;null;91,4;69;
2015-01-26;31,1;null;20,9;80,2;54;
2015-01-27;31,6;25,3;20,5;84,7;56;
2015-01-28;33,3;null;19,9;76,3;43;
2015-01-29;32,5;null;21,2;78,4;51;
2015-01-30;34,4;null;20,7;73,7;45;
2015-01-31;31,6;null;22,5;78,3;54;
2015-02-01;null;null;22,4;null;78;
2015-02-02;null;null;null;79,5;61;
2015-02-03;31,8;null;20,5;78,1;53;
2015-02-04;27,9;null;21,7;89;64;
2015-02-05;31,5;null;21,3;79,5;57;
2015-02-06;31,9;25,7;21,6;82,5;52;
2015-02-07;28,2;null;21,9;87,9;73;
2015-02-08;30,1;null;20,9;85,3;64;
2015-02-09;32;null;22,2;77,8;55;
2015-02-10;32,2;null;21,5;82,7;51;
2015-02-11;31,9;null;22,5;86,3;59;
2015-02-12;33;null;22,1;79,4;53;
2015-02-13;32,4;null;22,8;82,5;55;
2015-02-14;32,1;null;20,3;80,7;56;
2015-02-15;31,8;null;21,6;81,3;57;
2015-02-16;31,4;null;22,9;82,9;60;
2015-02-17;31,6;null;22,8;81,9;56;
2015-02-18;27,7;null;21,9;93,7;76;
2015-02-19;null;null;null;84,5;61;
2015-02-20;27,1;null;20,8;85,7;68;
2015-02-21;31,3;null;21,7;84,4;52;
2015-02-22;28,3;null;21,6;88,5;66;
2015-02-23;32,6;null;21,4;80,6;47;
2015-02-24;30,1;null;21,6;87,2;62;
2015-02-25;32,1;null;22;81,4;56;
2015-02-26;31,1;null;22,6;86,6;62;
2015-02-27;31,2;null;22,3;83,8;60;
2015-02-28;33,2;null;20,7;75,9;47;
2015-03-01;32,1;null;21,4;75,4;53;
2015-03-02;null;null;null;84,5;65;
2015-03-03;31,5;null;22,8;80,6;56;
2015-03-04;31,8;24,9;21;85;52;
2015-03-05;32,1;24,6;21,6;89,1;56;
2015-03-06;30,8;24,5;21,5;88,5;58;
2015-03-07;29,4;24,2;20,4;86,3;61;
2015-03-08;33,1;25,9;21,2;83,2;50;
2015-03-09;31,8;null;22,3;80,9;58;
2015-03-10;32,1;null;22,2;84,8;58;
2015-03-11;30,2;null;23,4;89,5;69;
2015-03-12;null;null;null;88,1;60;
2015-03-13;34,4;null;22,7;77,8;41;
2015-03-14;29,5;null;23,3;86,9;69;
2015-03-15;33,1;null;22,2;82,5;53;
2015-03-16;32;null;22,8;81,4;53;
2015-03-17;25,7;null;22,9;91,9;82;
2015-03-18;null;null;null;81,4;56;
2015-03-19;null;null;21,8;null;78;
2015-03-20;null;null;null;90,8;80;
2015-03-21;null;null;null;85,4;70;
2015-03-22;31,4;null;21,4;77,8;52;
2015-03-23;30,8;null;22,7;86,6;59;
2015-03-24;29,4;null;22,5;88,9;64;
2015-03-25;31,8;null;22;83,3;55;
2015-03-26;31;null;21,6;87,4;58;
2015-03-27;33,1;null;22,7;82,4;53;
2015-03-28;null;null;22,8;null;53;
2015-03-29;null;null;null;null;null;
2015-03-30;null;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-01;null;null;null;null;null;
2015-04-02;null;null;null;null;null;
2015-04-03;null;null;null;null;null;
2015-04-04;null;null;null;null;null;
2015-04-05;null;null;null;null;null;
2015-04-06;null;null;null;null;null;
2015-04-07;null;null;null;null;null;
2015-04-08;null;null;null;null;null;
2015-04-09;null;null;null;null;null;
2015-04-10;null;null;null;null;null;
2015-04-11;null;null;null;null;null;
2015-04-12;null;null;null;null;null;
2015-04-13;null;null;null;null;null;
2015-04-14;null;null;null;null;null;
2015-04-15;null;null;null;null;null;
2015-04-16;null;null;null;null;null;
2015-04-17;null;null;null;null;null;
2015-04-18;null;null;null;null;null;
2015-04-19;null;null;null;null;null;
2015-04-20;null;null;null;null;null;
2015-04-21;null;null;null;null;null;
2015-04-22;null;null;null;null;null;
2015-04-23;null;null;null;null;null;
2015-04-24;null;null;null;null;null;
2015-04-25;null;null;null;null;null;
2015-04-26;null;null;null;null;null;
2015-04-27;null;null;null;null;null;
2015-04-28;null;null;null;null;null;
2015-04-29;null;null;null;null;null;
2015-04-30;null;null;null;null;null;
2015-05-01;null;null;null;null;null;
2015-05-02;null;null;null;null;null;
2015-05-03;null;null;null;null;null;
2015-05-04;null;null;null;null;null;
2015-05-05;null;null;null;null;null;
2015-05-06;null;null;null;null;null;
2015-05-07;null;null;null;null;null;
2015-05-08;null;null;null;null;null;
2015-05-09;null;null;null;null;null;
2015-05-10;null;null;null;null;null;
2015-05-11;null;null;null;null;null;
2015-05-12;null;null;null;null;null;
2015-05-13;null;null;null;null;null;
2015-05-14;null;null;null;null;null;
2015-05-15;null;null;null;null;null;
2015-05-16;null;null;null;null;null;
2015-05-17;null;null;null;null;null;
2015-05-18;null;null;null;null;null;
2015-05-19;null;null;null;null;null;
2015-05-20;null;null;null;null;null;
2015-05-21;null;null;null;null;null;
2015-05-22;null;null;null;null;null;
2015-05-23;null;null;null;null;null;
2015-05-24;null;null;null;null;null;
2015-05-25;null;null;null;null;null;
2015-05-26;null;null;null;null;null;
2015-05-27;null;null;null;null;null;
2015-05-28;null;null;null;null;null;
2015-05-29;null;null;null;null;null;
2015-05-30;null;null;null;null;null;
2015-05-31;null;null;null;null;null;
2015-06-01;null;null;null;null;null;
2015-06-02;null;null;null;null;null;
2015-06-03;null;null;null;null;null;
2015-06-04;null;null;null;null;null;
2015-06-05;null;null;null;58,9;45;
2015-06-06;33,4;26,1;20,6;74,5;41;
2015-06-07;33,7;25,6;18,8;74,5;41;
2015-06-08;32,5;26,1;21,7;73,5;45;
2015-06-09;32,3;25,3;21;75,6;46;
2015-06-10;33,6;24,7;18,2;74,5;34;
2015-06-11;35;25,3;17,8;71,8;33;
2015-06-12;35;24,7;18,1;74,3;36;
2015-06-13;34,4;25,3;17,7;73;37;
2015-06-14;34,4;26,4;20,1;73,3;40;
2015-06-15;34,9;25,9;18,9;73,3;32;
2015-06-16;35,7;25,9;18,6;71,8;35;
2015-06-17;34;25,8;20;74,3;40;
2015-06-18;33,9;25,1;18,8;69,3;30;
2015-06-19;33,9;24,3;16,8;68;30;
2015-06-20;33,7;24,6;17,8;71,2;33;
2015-06-21;33,3;24,9;18;68,4;37;
2015-06-22;33,4;25,1;18;68,9;35;
2015-06-23;33,8;null;17,5;60,8;30;
2015-06-24;34,1;null;17,6;55,8;28;
2015-06-25;32,5;null;20,4;64,8;46;
2015-06-26;null;null;null;56,6;37;
2015-06-27;32,2;null;18,8;59,8;39;
2015-06-28;33,1;null;19,1;56,3;34;
2015-06-29;33,8;null;17,8;58,3;34;
2015-06-30;null;null;null;54,5;35;
2015-07-01;null;null;null;57,7;38;
2015-07-02;null;null;null;53,7;34;
2015-07-03;null;null;null;58,9;37;
2015-07-04;null;null;null;61,4;39;
2015-07-05;null;null;null;66,4;43;
2015-07-06;null;null;null;78,8;54;
2015-07-07;null;null;null;69,8;49;
2015-07-08;33,4;null;21;69,4;39;
2015-07-09;34,4;null;19,3;63,7;35;
2015-07-10;32,7;null;19,9;66,6;45;
2015-07-11;null;null;null;64,4;39;
2015-07-12;null;null;null;55,6;31;
2015-07-13;null;null;null;56,1;35;
2015-07-14;null;null;null;54,3;32;
2015-07-15;null;null;null;50;28;
2015-07-16;null;null;null;49,5;32;
2015-07-17;null;null;null;48,9;27;
2015-07-18;null;null;null;43,8;31;
2015-07-19;null;null;null;46,5;31;
2015-07-20;null;null;null;45,7;30;
2015-07-21;null;null;null;43,9;28;
2015-07-22;null;null;null;null;28;
2015-07-23;null;null;null;null;35;
2015-07-24;null;null;null;null;26;
2015-07-25;null;null;null;null;34;
2015-07-26;null;null;null;null;34;
