Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,4;24,2;20,6;76,8;48;
2015-01-02;31,8;25,6;17,1;64,6;42;
2015-01-03;32,7;27,6;22,4;56,5;41;
2015-01-04;29,3;23,4;19,7;79,9;59;
2015-01-05;30;23,2;18,8;78,2;50;
2015-01-06;29,3;24,1;20,5;75,7;56;
2015-01-07;31,9;26;19,9;65,8;42;
2015-01-08;31,7;26,4;21,4;62,8;42;
2015-01-09;31,8;26,8;22,3;57;38;
2015-01-10;32,5;26,8;23,1;57,1;40;
2015-01-11;31,7;26,5;23,2;60,3;41;
2015-01-12;31,9;26;22,5;64,3;39;
2015-01-13;32,1;25,6;20,3;64,2;32;
2015-01-14;32,4;26,2;20,4;54,5;28;
2015-01-15;32,7;26,3;21,5;46,3;27;
2015-01-16;29,7;23,8;20,6;69,5;45;
2015-01-17;29,4;23,3;19,9;80;56;
2015-01-18;30,9;24,2;21,5;80,5;55;
2015-01-19;30,1;24,2;18,6;77;49;
2015-01-20;29,9;23,4;20,2;80,3;48;
2015-01-21;30,5;22,6;17,4;76,9;45;
2015-01-22;30,7;23,1;19;67,3;38;
2015-01-23;30,9;24,4;19,3;62,4;34;
2015-01-24;30,4;23,3;19,1;72,6;48;
2015-01-25;26,8;21,3;19,4;88,5;67;
2015-01-26;28,8;22,6;19,1;81,8;48;
2015-01-27;29,8;24,2;20,8;75,2;55;
2015-01-28;32,8;26,4;21;61,2;31;
2015-01-29;33,1;27,3;22;50;32;
2015-01-30;33,9;28;22,8;46,7;29;
2015-01-31;33,2;27,4;22,3;51,8;37;
2015-02-01;28;22,1;15,4;81,5;58;
2015-02-02;27,4;22,4;19;83;63;
2015-02-03;29,8;22,4;20,1;82;58;
2015-02-04;28,7;22,9;18,8;80,1;52;
2015-02-05;26,6;22,3;20,1;86;66;
2015-02-06;22,8;21,3;20;92,7;87;
2015-02-07;24,9;21,2;19,7;89,4;78;
2015-02-08;28,8;21,9;18,8;84;57;
2015-02-09;30;23;19,6;82;55;
2015-02-10;31,3;24,1;20,3;80,8;47;
2015-02-11;32,6;26,1;20,8;65,1;37;
2015-02-12;32,1;26,7;21,9;58;40;
2015-02-13;33,3;27,1;22;55,5;31;
2015-02-14;30,8;24,8;21,1;73,1;51;
2015-02-15;31,5;24;17,7;77,5;42;
2015-02-16;30;24;20,5;76,2;55;
2015-02-17;29,4;23,7;20,4;78,6;52;
2015-02-18;27,6;21,6;20,3;89,7;65;
2015-02-19;27,4;21,6;18,9;89,1;65;
2015-02-20;27,1;21,8;18,5;87,3;64;
2015-02-21;30,4;24,1;19,7;72,3;40;
2015-02-22;30,6;23,7;19,2;69,8;43;
2015-02-23;29,5;21,8;17,9;79,8;48;
2015-02-24;28,4;22,9;19,6;77,9;55;
2015-02-25;31,6;24,8;20,3;70,2;47;
2015-02-26;31,7;26,4;21,9;66;45;
2015-02-27;28;23,4;22,3;81,5;66;
2015-02-28;30,3;23,5;20,3;78,7;50;
2015-03-01;30,5;22,5;20,9;83;53;
2015-03-02;30,4;22,5;18,6;82,4;54;
2015-03-03;30,3;23,7;20,2;80,6;54;
2015-03-04;30,9;24,2;20,1;76,4;46;
2015-03-05;31,4;24,9;20,9;73,8;50;
2015-03-06;31,4;25,4;20,4;69,9;46;
2015-03-07;26,2;22,7;20,3;82,6;71;
2015-03-08;29;23,2;20,2;85,2;63;
2015-03-09;30,1;24,1;20;81,1;56;
2015-03-10;32,2;25,1;21,1;75,4;50;
2015-03-11;24,1;22,1;21;91,6;81;
2015-03-12;27,6;22,9;19,4;89,3;75;
2015-03-13;30,7;24,8;21,1;76,3;52;
2015-03-14;32,8;26,1;22;71,6;41;
2015-03-15;31;24,8;20,9;78,8;51;
2015-03-16;29,7;22,7;21,8;85;59;
2015-03-17;28,2;21,6;19,8;87,6;61;
2015-03-18;28,7;22;18,7;84,3;56;
