Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,1;24,8;19,9;68,2;33;
2015-01-02;33;25,6;19,5;60,5;25;
2015-01-03;34,1;26,3;18,9;54,1;23;
2015-01-04;26,4;23,3;21;75,9;53;
2015-01-05;28,2;22,3;19;81,5;52;
2015-01-06;31,4;24,4;18,5;68,6;31;
2015-01-07;32;24,9;19,9;68,5;34;
2015-01-08;31,6;25;20,3;63,2;35;
2015-01-09;32,2;25,3;18,6;59,9;32;
2015-01-10;33,2;26,3;19,9;55;29;
2015-01-11;33,5;26,6;19,9;52,9;22;
2015-01-12;32,5;26,6;19,6;50,8;30;
2015-01-13;29,6;24,8;20,3;63,4;37;
2015-01-14;31,6;25;19,4;54;24;
2015-01-15;30,4;24,8;19,9;56;38;
2015-01-16;31,5;25;20,4;64;34;
2015-01-17;29,8;24,1;21;74,8;45;
2015-01-18;31,8;25,5;19,8;64,1;29;
2015-01-19;32,7;24,6;20,7;71,6;32;
2015-01-20;27,2;22,2;19,5;84;56;
2015-01-21;29,8;21,5;18,5;81,4;45;
2015-01-22;29,1;21,5;18,8;78,4;43;
2015-01-23;29,4;22,8;18,1;72;37;
2015-01-24;29,9;24;19,6;67,1;42;
2015-01-25;24,9;21,3;19,6;87,7;67;
2015-01-26;28,5;21,6;18,7;83,7;52;
2015-01-27;31,1;24,3;19,3;70,5;29;
2015-01-28;32,3;25,3;19,4;61,3;24;
2015-01-29;32;25,6;20,3;55,3;30;
2015-01-30;33,5;25,6;18,1;56,6;26;
2015-01-31;33,1;26,4;21;58,3;36;
2015-02-01;28,6;23,6;20,7;74,4;49;
2015-02-02;27,3;22;17,8;80,9;57;
2015-02-03;24,8;21,4;20,2;89,4;72;
2015-02-04;27;21,3;17,6;83,5;55;
2015-02-05;28,2;23;19,4;79,2;55;
2015-02-06;27;22,7;20,9;81;61;
2015-02-07;26,5;20,9;19,6;88,9;63;
2015-02-08;27,8;21,9;18,7;84,9;55;
2015-02-09;29,7;23,4;19,1;74,4;45;
2015-02-10;31;24,8;21;71,4;38;
2015-02-11;31;24,4;19,1;68,6;38;
2015-02-12;31;25;20,3;67,5;42;
2015-02-13;30,4;24,5;18,7;68,3;40;
2015-02-14;27,3;23,4;20,7;77,7;55;
2015-02-15;31,2;23,8;17,8;70,9;36;
2015-02-16;29,1;23,4;20,6;78;51;
2015-02-17;28,4;23,6;20,2;75,7;55;
2015-02-18;26,7;21,8;19,6;86,4;60;
2015-02-19;26,5;22;19,2;84,9;64;
2015-02-20;25,7;21,4;18,9;86,1;68;
2015-02-21;28,4;22;17,1;77,5;46;
2015-02-22;29;22,1;17,2;76,2;38;
2015-02-23;27,4;21;16,8;82,5;52;
2015-02-24;26,7;21,7;18,9;83,6;60;
2015-02-25;29,5;23,4;19,2;79;52;
2015-02-26;30;23,9;19;74;41;
2015-02-27;29,4;22,9;19,1;78;45;
2015-02-28;30,4;22,5;18;80,1;42;
2015-03-01;26,1;22,1;19,2;80,5;51;
2015-03-02;28,7;22,6;17,9;79,2;52;
2015-03-03;29,2;23,2;18,8;80,1;49;
2015-03-04;29,6;23,5;18,9;76,6;45;
2015-03-05;30,9;23,7;18,2;70,6;39;
2015-03-06;30;22,8;17,7;77,5;49;
2015-03-07;25,3;22,2;18,6;85,7;69;
2015-03-08;29,9;23,9;19,1;78,9;48;
2015-03-09;29,1;23,8;19,9;79,7;53;
2015-03-10;27,8;23,6;20;79,7;62;
2015-03-11;24,4;22,2;20,8;90,1;78;
2015-03-12;27,8;22,2;18,3;89,3;61;
2015-03-13;29,8;23,6;19,4;81;51;
2015-03-14;30,7;25,1;20,3;69,2;37;
2015-03-15;29,6;23,9;19,7;78,9;53;
2015-03-16;28,8;23,5;18,9;78,5;49;
2015-03-17;27,9;21,7;20,5;87,1;61;
2015-03-18;25,6;21,7;19,3;86,3;70;
2015-03-19;25,7;null;19,3;89,4;67;
2015-03-20;24,2;21,2;19,4;90,7;76;
2015-03-21;24,4;20,6;19,3;89,2;67;
2015-03-22;27,2;21,5;19,3;87,4;59;
2015-03-23;28,9;22,3;19,7;84;54;
2015-03-24;28,6;22,9;19,3;81,2;54;
2015-03-25;29,7;23;19;83;52;
2015-03-26;28,4;22,3;19,1;83,3;54;
2015-03-27;30;22,2;18,7;84,3;50;
2015-03-28;30,2;23,4;18,7;81,4;56;
2015-03-29;30,1;23,9;19,5;77,3;50;
2015-03-30;31;24,5;18,7;75;43;
2015-03-31;29,4;23,9;20,3;78,9;52;
2015-04-01;30,2;23,4;19,9;83,3;49;
2015-04-02;31,2;23,9;20;80,5;43;
2015-04-03;30,7;23,3;17,9;78,9;47;
2015-04-04;30,1;24;19,4;74,6;44;
2015-04-05;28,7;22,1;19,2;84,7;56;
2015-04-06;27,2;22,3;18,6;85;62;
2015-04-07;29,3;22,9;19,7;83,7;52;
