Nome: ARAGUATINS
Codigo Estacao: A044
Latitude: -5.6436111
Longitude: -48.11194444
Altitude: 130.71
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33,7;26,9;22;70,5;45;
2015-01-02;33,9;27,2;22,3;71,3;46;
2015-01-03;34,5;27,4;22;70,8;44;
2015-01-04;32,3;25,7;21,4;76;53;
2015-01-05;33,6;27,2;22,5;71,2;42;
2015-01-06;31,2;26,5;22,4;73,3;51;
2015-01-07;32,3;25,4;22,6;78,5;53;
2015-01-08;32,4;25,8;21,1;75;45;
2015-01-09;33,4;27,1;22,6;72,2;47;
2015-01-10;32,5;26,3;23,1;79,8;54;
2015-01-11;33,3;26,3;21,9;76,3;47;
2015-01-12;32,6;25,2;23;81;46;
2015-01-13;32,4;25,4;21,5;78,5;49;
2015-01-14;30,9;24,6;22,1;82,4;55;
2015-01-15;33,1;25,3;21,9;82,3;49;
2015-01-16;29,7;25,4;22,4;81,6;60;
2015-01-17;28,7;24,4;22;84,8;67;
2015-01-18;30,6;25,7;22,4;82,7;61;
2015-01-19;30,1;25;23,2;81,5;60;
2015-01-20;30,8;23,8;21,9;86,4;58;
2015-01-21;31,2;25,7;22,6;77,6;50;
2015-01-22;32,2;26;22,8;78;54;
2015-01-23;28,5;25;22,8;81,9;67;
2015-01-24;30,7;25,8;23,6;81;54;
2015-01-25;30,9;24,7;22,7;85,7;53;
2015-01-26;31,5;26;22,4;76,9;48;
2015-01-27;32,9;27,2;22,7;72,8;44;
2015-01-28;33,4;27,1;21,7;72,3;48;
2015-01-29;33,2;27,6;23,1;74,9;48;
