Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.09277777
Longitude: -48.4786111
Altitude: 200
Situacao: Operante
Data Inicial: 2016-11-10
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2016-11-10;30,2;null;null;null;63;
2016-11-11;32;25,8;23,4;84,2;57;
2016-11-12;26,1;23,5;23,3;94,1;82;
2016-11-13;30,5;25,2;22,2;85,8;61;
2016-11-14;33,9;27,3;22,8;78,9;43;
2016-11-15;30;25;21,3;84;64;
2016-11-16;31,7;25,3;21,8;84,3;59;
2016-11-17;30,8;25,4;22,4;86,8;64;
2016-11-18;27,3;24,4;22,8;91,8;78;
2016-11-19;34,3;25,6;22,2;86,1;50;
2016-11-20;29,9;24,5;22,9;91,7;70;
2016-11-21;32,2;26,2;22,3;79,3;51;
2016-11-22;33,4;26,2;22,3;81,6;50;
2016-11-23;34,1;26,7;22;81,3;49;
2016-11-24;33,8;26,9;21,9;82,3;49;
2016-11-25;33,2;26,9;23,1;85,4;55;
2016-11-26;35,4;28,3;22,6;73,2;38;
2016-11-27;35,1;28,2;22,4;73,2;40;
2016-11-28;37,5;28,5;21,9;69,9;25;
2016-11-29;35,8;28,6;21,9;69,1;32;
2016-11-30;34;27,5;23;73,9;48;
2016-12-01;33,4;27,1;23;77,5;52;
2016-12-02;32,4;25,7;21,1;80,3;51;
2016-12-03;33,8;26,8;22,8;79,8;49;
2016-12-04;32,2;26,8;22,6;78,6;56;
2016-12-05;32,3;25;23,1;87;56;
2016-12-06;34,9;26,7;20,9;78,9;44;
2016-12-07;32,9;26,1;22;78,7;53;
2016-12-08;30,1;24,7;22,9;87,9;61;
2016-12-09;33,4;25,6;22;84,4;49;
2016-12-10;33,8;25,1;22,7;87,1;51;
2016-12-11;33,2;26;22,5;82,9;54;
2016-12-12;31,5;25,2;23,2;90;64;
2016-12-13;32,8;26;21,9;83,9;56;
2016-12-14;29,2;24,8;22,2;87,2;70;
2016-12-15;30,9;24;22,7;90;60;
2016-12-16;32,4;25,2;22;84,8;51;
2016-12-17;30,3;24,8;22,7;87,2;61;
2016-12-18;28,8;24,2;22;87,4;65;
2016-12-19;31,5;25,2;21,9;80,3;52;
2016-12-20;32,8;25,9;21,1;76,4;43;
2016-12-21;29,7;25,4;21,8;83,7;63;
2016-12-22;33,6;27,3;22,6;77,2;48;
2016-12-23;35,2;28,5;23,3;73,3;42;
2016-12-24;35,2;28,3;23;75,2;44;
2016-12-25;32,6;27,2;23,3;77,4;55;
2016-12-26;33,8;27,4;23,1;77,7;48;
2016-12-27;33,5;26,4;21,4;78,6;51;
2016-12-28;33;24,7;22,1;87;54;
2016-12-29;31,1;24,7;21,1;87,4;64;
2016-12-30;29,3;25,5;22,7;86;66;
2016-12-31;31,4;26,4;23,1;82,3;57;
2017-01-01;34,4;27;21,8;76,5;43;
2017-01-02;32,9;26,3;23,4;82,3;55;
2017-01-03;28,1;24;22,4;90,1;75;
2017-01-04;32,1;25,4;20,8;83,1;56;
2017-01-05;31,9;23,8;21,3;89,2;56;
2017-01-06;33,6;26,3;21,2;80,8;48;
2017-01-07;33;26;23,8;84,6;55;
2017-01-08;32,1;24,7;21,2;87;56;
2017-01-09;31,4;25,1;21,3;85,2;60;
2017-01-10;32,8;26,1;22,1;81,8;51;
2017-01-11;30,8;23,5;21,8;91;62;
2017-01-12;33,8;25,9;20,3;77,5;45;
2017-01-13;33,3;25,4;21,5;82,9;50;
2017-01-14;29,3;23,5;20,4;87,2;59;
2017-01-15;32,7;25,6;20,2;80,2;52;
2017-01-16;31,6;24,8;21,6;86,5;56;
2017-01-17;30,3;25,1;21,6;86,2;65;
2017-01-18;26;23,3;22,6;91,8;86;
2017-01-19;31,4;24,7;20,9;85,8;56;
2017-01-20;32,1;25,8;21,1;82,9;54;
2017-01-21;32,8;25,7;22;83,3;55;
2017-01-22;31,6;25,7;21,4;82,1;55;
