Nome: RIO SONO
Codigo Estacao: A050
Latitude: -9.793363
Longitude: -47.132732
Altitude: 291
Situacao: Operante
Data Inicial: 2016-08-02
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2016-08-02;null;null;null;null;null;
2016-08-03;null;null;null;null;null;
2016-08-04;null;26,4;null;null;null;
2016-08-05;null;null;null;null;null;
2016-08-06;null;24,2;null;48,1;null;
2016-08-07;null;25;null;48,5;null;
2016-08-08;null;25,6;null;null;null;
2016-08-09;null;25,7;null;null;null;
2016-08-10;null;26;null;null;null;
2016-08-11;null;26,8;null;null;null;
2016-08-12;null;27,6;null;null;null;
2016-08-13;null;28,2;null;null;null;
2016-08-14;null;28,2;null;null;null;
2016-08-15;null;27,9;null;null;null;
2016-08-16;null;28,1;null;null;null;
2016-08-17;null;27,9;null;null;null;
2016-08-18;null;29,5;null;null;null;
2016-08-19;null;29,3;null;null;null;
2016-08-20;null;30,4;null;null;null;
2016-08-21;null;27,8;null;null;null;
2016-08-22;null;28,4;null;null;null;
2016-08-23;null;29,7;null;null;null;
2016-08-24;null;29,2;null;null;null;
2016-08-25;null;28,9;null;null;null;
2016-08-26;null;29,5;null;null;null;
2016-08-27;null;28,9;null;null;null;
2016-08-28;null;30,1;null;null;null;
2016-08-29;null;29;null;null;null;
2016-08-30;null;27,5;null;null;null;
2016-08-31;null;28,8;null;null;null;
2016-09-01;38,3;29,9;null;null;null;
2016-09-02;37,6;30,6;25,9;null;null;
2016-09-03;35,8;29,1;24;null;null;
2016-09-04;36,6;27,6;18,2;null;null;
2016-09-05;37,3;29,3;20,9;null;null;
2016-09-06;37,5;29,8;23,2;null;null;
2016-09-07;37,5;29,1;21,3;null;null;
2016-09-08;37,7;29,1;20,1;null;null;
2016-09-09;38,6;30,5;24;null;null;
2016-09-10;38,2;29,3;19,1;null;null;
2016-09-11;37,6;29,1;20,6;null;null;
2016-09-12;37,3;28,9;20;null;null;
2016-09-13;38,1;28,8;19,8;null;null;
2016-09-14;38,4;30,1;22,7;null;null;
2016-09-15;39,1;28,9;18,6;null;31;
2016-09-16;37,8;29,6;20,3;null;null;
2016-09-17;37,5;29,2;21,8;null;null;
2016-09-18;38,3;29,5;21,3;null;null;
2016-09-19;38,1;30,2;22,5;null;null;
2016-09-20;38,5;29,5;20,5;null;null;
2016-09-21;37,8;28;21,2;null;null;
2016-09-22;35,4;27,9;22,5;null;null;
2016-09-23;33,3;25,7;22,3;null;null;
2016-09-24;36,9;28;22,1;null;null;
2016-09-25;30,1;26,1;22,9;null;null;
2016-09-26;34,7;26,1;22,2;null;null;
2016-09-27;32,8;25,4;22;null;null;
2016-09-28;33,8;26,4;21,8;null;null;
2016-09-29;34,3;27,2;22,4;null;null;
2016-09-30;35,2;27,3;21,2;null;null;
2016-10-01;34,7;26,5;20,9;null;null;
2016-10-02;38;29,6;21,3;null;null;
2016-10-03;37,6;29,8;22,1;null;null;
