Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Pane
Data Inicial: 2016-04-05
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2016-04-05;null;null;null;null;null;
2016-04-06;null;null;null;null;null;
2016-04-07;null;null;null;65,3;45;
2016-04-08;34,7;27,4;25;82,7;55;
2016-04-09;33,6;28;24,5;82,7;55;
2016-04-10;34,5;26,3;24,2;88,3;56;
2016-04-11;31,6;25,7;23,1;88,9;64;
2016-04-12;33,3;26,3;23,4;87,1;55;
2016-04-13;33,5;26,5;22,7;83,6;54;
2016-04-14;34,9;27,1;21,2;78,8;43;
2016-04-15;35,5;27,5;21,3;76;37;
2016-04-16;35,4;27,8;21,1;74,1;41;
2016-04-17;35,9;27,3;21,4;75,5;40;
2016-04-18;36;27,4;20,9;72,6;36;
2016-04-19;34;27,2;22,1;76,8;46;
2016-04-20;34,8;27,1;21,3;76,9;42;
2016-04-21;35,4;26,8;20;73,8;33;
2016-04-22;36,9;27,1;19,9;71,1;33;
2016-04-23;36,7;27,5;20,4;72,3;35;
2016-04-24;36,8;28,1;21;72,5;36;
2016-04-25;34,9;27,5;23,4;77;47;
2016-04-26;35;28,1;22,8;76,3;45;
2016-04-27;30,8;26,4;23,5;84,6;64;
2016-04-28;32,9;26;23;85,2;57;
2016-04-29;30,7;25,6;22,8;84,7;63;
2016-04-30;33,1;26,4;21,6;82,4;55;
2016-05-01;35;26,7;22,4;83,7;48;
2016-05-02;34,6;27,4;22,2;80,8;51;
2016-05-03;31,1;25,3;22,2;88,8;68;
2016-05-04;33,7;26,4;21,8;83,5;49;
2016-05-05;34;26,6;21,1;81,2;50;
2016-05-06;34,8;27,2;22,7;82,3;48;
2016-05-07;35,5;27,6;22,5;76;35;
2016-05-08;35,3;26,4;20,5;76,2;38;
2016-05-09;35,5;26,2;19,5;77,2;35;
2016-05-10;35,6;26,3;19,6;74,8;36;
2016-05-11;35,8;26,9;20;75,1;36;
2016-05-12;36,1;26,9;19,9;75,9;38;
2016-05-13;36,8;27,5;20,6;74,6;35;
2016-05-14;34;27,1;22,2;79,6;52;
2016-05-15;34,9;26,4;20,5;80,5;48;
2016-05-16;34,9;26,3;20,3;78,2;43;
2016-05-17;35,5;26,4;19,9;77,8;40;
2016-05-18;35,4;26,8;20,3;77;41;
2016-05-19;36,2;27,1;20,5;75;38;
2016-05-20;35,5;26,7;20,4;73,8;37;
2016-05-21;34,7;26,2;19,5;71,6;34;
2016-05-22;35,8;25,8;19,3;71,1;30;
2016-05-23;34,8;25,5;18,7;72,5;35;
2016-05-24;35,6;25,7;18,1;73,8;36;
2016-05-25;35,9;26,3;18,8;73,3;35;
2016-05-26;34,7;26,6;21,8;75,2;42;
2016-05-27;34,5;26,2;20,4;73,5;40;
2016-05-28;34,4;26,1;21;76,5;40;
2016-05-29;34,5;26,2;19;67,8;34;
2016-05-30;35,3;26,4;18,5;69,9;36;
2016-05-31;36,4;26,7;20;71,4;36;
2016-06-01;36;26,2;19;73,9;33;
2016-06-02;36,2;26,9;20;74,8;40;
2016-06-03;35,4;27,1;21;76,8;42;
2016-06-04;36,9;27,4;21,3;75,6;38;
2016-06-05;36,2;27;19,8;74,4;38;
2016-06-06;36,4;27,4;20,4;72,7;35;
2016-06-07;34,8;27,3;21;74,9;47;
2016-06-08;34,3;27,5;23,8;78,4;52;
2016-06-09;31,3;25,9;22,4;81,8;59;
2016-06-10;33,6;26,1;20,4;79;46;
2016-06-11;29,3;25,3;23;86,7;64;
2016-06-12;33,8;26,1;21;80,2;47;
2016-06-13;34,4;26,1;20,5;77,4;44;
2016-06-14;34,3;26,4;21;75,1;38;
2016-06-15;33,8;25,3;18,5;72,4;37;
2016-06-16;34,5;24,7;17,3;70,8;34;
2016-06-17;34,4;24,3;16,5;68,9;31;
2016-06-18;33,9;24;16,1;73,7;36;
2016-06-19;34,7;24,5;17,1;73,6;35;
2016-06-20;35,3;25,1;17,7;72,2;34;
2016-06-21;34,8;25,4;17,8;70;33;
2016-06-22;34,2;24,6;17;67,9;29;
2016-06-23;34,8;23,9;14,4;69,8;32;
2016-06-24;34,9;25,3;17,7;68,8;34;
2016-06-25;33,9;23,9;16,2;65;30;
2016-06-26;34,1;23,2;14,1;65,5;29;
2016-06-27;33,6;24,1;16,4;68,1;35;
2016-06-28;33,2;23,7;16,3;68;32;
2016-06-29;33,6;23,1;14,6;66,6;28;
2016-06-30;33,4;22,2;12,7;70,3;31;
2016-07-01;33,9;22,6;13,2;67,1;22;
2016-07-02;33,8;23,3;14,2;74,3;31;
2016-07-03;34,2;22,9;13,4;68,3;32;
2016-07-04;34,6;23,1;13,6;69,4;31;
2016-07-05;34,5;24,1;16,1;67,5;30;
2016-07-06;34,5;24;15,2;67,6;29;
2016-07-07;35,4;24,5;15,6;66,5;26;
2016-07-08;35,5;24,2;14,9;68,1;29;
2016-07-09;37,4;25,5;15,7;62,5;18;
2016-07-10;35,8;24;14,4;66,2;28;
2016-07-11;36,3;24,9;16,5;65,8;26;
2016-07-12;36,3;24,9;15,4;64,1;24;
2016-07-13;36,6;24,7;15,1;64,3;23;
2016-07-14;37,2;25,6;17,3;61,6;21;
2016-07-15;36,7;24,7;14,6;64,6;24;
2016-07-16;36,3;24,8;14,4;62,6;20;
