Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2015-08-13
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-08-13;null;null;null;null;null;
2015-08-14;null;null;null;null;null;
2015-08-15;null;null;null;null;null;
2015-08-16;null;null;null;null;null;
2015-08-17;null;null;null;null;null;
2015-08-18;null;null;null;null;21;
2015-08-19;35,6;25,8;15,4;44,6;19;
2015-08-20;36,7;27,6;18,3;42,2;18;
2015-08-21;37,9;28;18,2;43,7;14;
2015-08-22;38,8;29,5;21,2;38,1;14;
2015-08-23;37,9;28,9;20,6;43,4;18;
2015-08-24;38,3;28,3;18,7;46,8;19;
2015-08-25;37,6;29,8;22,7;42;21;
2015-08-26;37,4;29;21,4;43,5;20;
2015-08-27;39;28,6;19,2;40,3;11;
2015-08-28;37,9;27,7;17,1;37;14;
2015-08-29;37,4;28,1;18,2;39;19;
2015-08-30;37,2;29;19,2;35,5;17;
2015-08-31;36,5;27,9;19,9;41,2;20;
2015-09-01;36,4;27,3;17,3;39,4;14;
2015-09-02;38,6;27,3;16,7;36,9;11;
2015-09-03;37,8;27,5;16,1;32;12;
2015-09-04;38,8;28;17,4;35,5;12;
2015-09-05;39,2;28,9;18,4;35,5;13;
2015-09-06;37,4;29;19,9;43,3;27;
2015-09-07;36,1;28,9;22,3;52,9;28;
2015-09-08;36,9;28,2;20,3;53,3;23;
2015-09-09;38,4;28,4;17,9;45,6;14;
2015-09-10;38,3;29;19,5;39,3;15;
2015-09-11;38,8;29,7;21;35,9;15;
2015-09-12;39,1;29,4;18,5;40,3;17;
2015-09-13;39;30,2;22,6;43,6;21;
2015-09-14;35,8;28;22,9;58;34;
2015-09-15;38,9;29,2;21,3;52,9;17;
2015-09-16;38,3;30,3;23,3;29,9;13;
2015-09-17;38,5;28,3;16,4;29,2;13;
2015-09-18;39;30;21,1;27,5;13;
2015-09-19;38,7;29,1;17,6;33;12;
2015-09-20;38,8;29,1;18,9;34,8;15;
2015-09-21;36,9;29,2;21,4;40,9;21;
2015-09-22;36;28,7;23,8;48,7;27;
2015-09-23;39,7;29,3;20,7;50,9;15;
2015-09-24;39,8;29,9;20,6;42,6;13;
2015-09-25;38,9;30,6;22,7;37,6;15;
2015-09-26;39,3;29,7;19,7;40,7;12;
2015-09-27;38,6;29,7;21,3;43;21;
2015-09-28;37,8;27,7;22,8;59,9;29;
2015-09-29;32,4;25,9;21,7;70,7;47;
2015-09-30;38,7;27,9;18,8;59;20;
2015-10-01;39,9;30,6;22,5;33,5;12;
2015-10-02;38,7;30,3;22,6;30,8;15;
2015-10-03;38,9;29,4;20,4;40,6;18;
2015-10-04;40,2;30,4;20,7;39,3;15;
2015-10-05;39,7;31,4;23,5;41,5;22;
2015-10-06;31,8;24,4;20,4;79,8;45;
2015-10-07;35,3;26,9;20,2;69,1;32;
2015-10-08;37;29,6;23,5;57,8;26;
2015-10-09;38,3;29,9;21,8;51,1;21;
2015-10-10;38,1;30,5;22,9;43;18;
2015-10-11;38,9;29,9;21,5;43,1;17;
2015-10-12;38,1;29,8;22,3;38,5;17;
2015-10-13;38,8;29,8;21,2;41;15;
2015-10-14;39,4;29,7;20;38,2;14;
2015-10-15;40,6;31,1;20,3;31,1;11;
2015-10-16;40,2;31,5;25;34,2;14;
2015-10-17;40,9;31,5;21,1;25,4;10;
2015-10-18;39,6;30,1;20,5;33,9;13;
2015-10-19;38;29,6;20,7;40,3;15;
2015-10-20;36,8;29;21,1;54,2;29;
2015-10-21;38,1;30;21,6;52,4;25;
2015-10-22;40,3;31,2;22,1;48,8;21;
2015-10-23;32,3;28,1;24,1;59,2;40;
2015-10-24;34,8;28;22,9;68,2;43;
2015-10-25;34,7;26,9;23,5;70,4;39;
2015-10-26;35,3;26,9;21,7;67,4;37;
2015-10-27;37,5;28,9;23,6;61,4;28;
2015-10-28;31,1;26;23,6;77,5;53;
2015-10-29;35,7;27,8;21,4;66,7;33;
2015-10-30;33,6;27,9;23,3;63,2;39;
2015-10-31;34,5;26,9;21,8;68,3;40;
2015-11-01;27,6;24,8;24,7;82,7;66;
2015-11-02;33,7;25,8;21,4;77,5;40;
2015-11-03;36,1;28,2;22,1;67,5;32;
2015-11-04;36,7;29,1;21,8;60,4;29;
2015-11-05;38,7;28,5;20,2;49;19;
2015-11-06;36,6;28,7;21,8;55,7;26;
2015-11-07;37,7;30,2;22,7;56,6;26;
2015-11-08;35,5;29,7;23,7;58,8;36;
