Nome: ALMAS
Codigo Estacao: A053
Latitude: -11.28416666
Longitude: -47.21222222
Altitude: 503
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2016-03-31;null;null;null;null;null;
2016-04-01;null;null;null;null;51;
2016-04-02;30;26,6;23,1;73,2;52;
2016-04-03;32,5;26,4;21,6;75,9;49;
2016-04-04;34,3;27,9;21,7;65;39;
2016-04-05;34,8;null;22,1;63,8;37;
2016-04-06;34,5;27,2;20,9;68;38;
2016-04-07;34,7;29;24;62,3;40;
2016-04-08;33,2;27,1;24,5;74,6;53;
2016-04-09;33,7;26,8;23,3;77,2;50;
2016-04-10;28,8;25,1;23,1;83,8;63;
2016-04-11;26,1;23,3;21,9;92;79;
2016-04-12;32,8;26,1;21,5;78,6;45;
2016-04-13;33,6;26,7;21,4;70;41;
2016-04-14;33,7;27;20,2;63,5;33;
2016-04-15;33,8;27,8;22,3;56,9;36;
2016-04-16;34,1;27,4;21;56,5;36;
2016-04-17;33,9;26,4;19,5;61,3;34;
2016-04-18;34,3;26,7;19,7;62;36;
2016-04-19;32,1;26,8;20,6;64,1;44;
2016-04-20;32,7;25,4;19,5;69,2;42;
2016-04-21;33,7;25,6;19,1;66,7;35;
2016-04-22;33,6;26,2;19,2;59,6;31;
2016-04-23;35,4;26,9;19,4;56,1;30;
2016-04-24;35,2;28,1;21,7;55,3;32;
2016-04-25;33,1;27,5;24,7;57,8;38;
2016-04-26;33,3;26,7;22,9;65,3;41;
2016-04-27;33,8;26,3;21,8;73,2;42;
2016-04-28;34,3;26,6;21,3;72,3;38;
2016-04-29;33,6;27,1;21,6;63,9;36;
2016-04-30;32,4;25,7;22,8;80,6;52;
2016-05-01;34,6;27,1;22,8;73,8;39;
2016-05-02;34,3;27,5;21,8;67,9;39;
2016-05-03;32,7;26,2;22,2;73,5;44;
2016-05-04;33;26,2;20,2;68,4;34;
2016-05-05;33,5;26,5;21,1;65,1;40;
2016-05-06;33;26,7;21,9;61,6;38;
2016-05-07;34,5;26,7;19,9;60,1;30;
2016-05-08;33,8;26,5;19,3;56,9;29;
2016-05-09;34,2;27,5;22,7;51,7;31;
2016-05-10;34,4;26,7;19,1;54,6;30;
2016-05-11;35;26,5;19,5;59,8;31;
2016-05-12;36;27,2;20,5;56;27;
2016-05-13;35,2;27,1;21;58,3;32;
2016-05-14;34,1;28;22,2;59,1;32;
2016-05-15;34,7;27,7;21,6;55,9;34;
2016-05-16;34;27,2;20,5;56,5;34;
2016-05-17;34,5;26,3;19,5;60;34;
2016-05-18;35,7;26,8;19,5;59,5;31;
2016-05-19;35,4;27,7;21,3;55,3;33;
2016-05-20;34;26,9;19,7;51,7;32;
2016-05-21;33,2;26,6;20,6;50,1;33;
2016-05-22;34,4;27,4;20,5;44,1;24;
2016-05-23;34,1;25,4;17,7;53,8;28;
2016-05-24;35,1;26,5;18,8;53,5;29;
2016-05-25;35,6;27,2;20,5;53,5;31;
2016-05-26;32,2;26,1;20,8;61,1;39;
2016-05-27;33,2;25,7;19,8;58,8;33;
2016-05-28;33,3;25,6;18,9;53,1;30;
2016-05-29;31,8;24,7;20,7;56,7;38;
2016-05-30;34,4;26,3;19;56,3;29;
2016-05-31;34,9;27,4;20,1;53,7;31;
2016-06-01;35,1;26,6;19,8;57,2;32;
2016-06-02;34,8;27,9;21,4;53,2;28;
2016-06-03;35,2;27,1;21,6;55,7;30;
