Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2015-08-18
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-08-18;null;null;null;null;null;
2015-08-19;null;null;null;null;20;
2015-08-20;36,9;25,8;16,8;57,5;18;
2015-08-21;37,9;26,6;17,1;55,5;16;
2015-08-22;39;27,4;17,3;53,2;15;
2015-08-23;39,4;29;20,8;50,5;17;
2015-08-24;39,2;28,3;18,6;54,9;17;
2015-08-25;38,8;28,6;19,9;52,8;18;
2015-08-26;38,2;28,7;19,9;52;17;
2015-08-27;38,1;27,7;18,9;53,3;18;
2015-08-28;38,4;28,8;20,7;47,8;14;
2015-08-29;37,2;27,5;18,6;51,9;19;
2015-08-30;37,2;28,7;21,2;49,3;19;
2015-08-31;37,4;28,3;19,7;50,5;19;
2015-09-01;37,8;27,8;17,4;47,5;13;
2015-09-02;38,3;26,8;15,6;48;12;
2015-09-03;38,8;27;15,6;45,4;10;
2015-09-04;38,7;26,9;15,7;46,8;11;
2015-09-05;40,1;28,2;17,7;45,5;12;
2015-09-06;39,1;28,2;18,4;52,6;19;
2015-09-07;36,5;29,1;22,9;55,6;30;
2015-09-08;37,2;28,5;20,9;59,1;27;
2015-09-09;37,8;29,1;20,8;54,4;19;
2015-09-10;38,2;28,6;20,8;52,3;18;
2015-09-11;38,8;29,2;20;49,8;20;
2015-09-12;39,4;29,3;21,6;53,5;19;
2015-09-13;39,8;30,4;23,6;49,8;22;
2015-09-14;37,2;29,2;24;58,3;30;
2015-09-15;37,7;28,4;22,2;66,6;28;
2015-09-16;38,5;29;20,7;54,8;13;
2015-09-17;38,3;27,4;16,8;52,7;15;
2015-09-18;39,1;28,3;18;49,3;14;
2015-09-19;39,2;28,4;17,5;46,5;10;
2015-09-20;40;28,5;17,3;42,5;11;
2015-09-21;39,7;29,2;18,1;46,2;12;
2015-09-22;37,4;29,3;22,1;53,8;27;
2015-09-23;38,9;30,3;22,3;53,7;21;
2015-09-24;39,4;30,3;21,6;53;20;
2015-09-25;38,2;29,4;22,2;56,3;25;
2015-09-26;39,4;29,3;20,4;55,2;19;
2015-09-27;39,4;30,3;21,5;50,1;21;
2015-09-28;38,1;30,8;23,5;49,5;28;
2015-09-29;31,3;24,9;22,2;79;46;
2015-09-30;37,8;28,1;21;65,8;24;
2015-10-01;38,9;29,6;22,5;54,8;15;
2015-10-02;38,4;29,1;20;54,1;18;
2015-10-03;39,3;29,5;21,3;57,5;18;
2015-10-04;39,9;30,3;21,9;56,7;18;
2015-10-05;40,4;31,5;23,8;52,4;21;
2015-10-06;32,4;26,6;24,3;68,3;42;
