Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2016-11-14;null;null;null;null;null;
2016-11-15;33,4;26,5;null;79,9;48;
2016-11-16;31,7;26,5;22,6;79;54;
2016-11-17;33,9;26,2;22,5;82,4;47;
2016-11-18;30;null;22,7;87;63;
2016-11-19;33,3;26,8;21,9;81,4;54;
2016-11-20;28,7;24,9;22,4;90,3;73;
2016-11-21;32,9;25,7;22,3;85,6;51;
2016-11-22;26,8;23,9;23,6;94,7;85;
2016-11-23;33,7;26,6;21,9;81;55;
2016-11-24;32,6;27;22,8;81,4;55;
2016-11-25;34,5;27,7;22,6;77,4;52;
2016-11-26;36,5;29,5;23,7;72,6;41;
2016-11-27;36,4;28,7;23,1;70,5;35;
2016-11-28;36,4;null;21,5;null;null;
2016-11-29;37,9;29,1;20,7;62,6;31;
2016-11-30;36,9;28,2;22,8;72,2;36;
2016-12-01;30,1;25,5;22,9;84,3;68;
2016-12-02;30,8;24,4;21,2;86;61;
2016-12-03;35,5;27,6;23,1;91,6;62;
2016-12-04;32,1;26,1;21,8;null;null;
2016-12-05;33,8;26,6;22,4;77,8;49;
2016-12-06;34,8;27,7;23;null;null;
2016-12-07;29,5;25,1;22,6;null;62;
2016-12-08;32,5;26,4;22,6;84,3;54;
2016-12-09;33,2;26,6;21,9;null;null;
2016-12-10;33,7;27;23,7;null;null;
2016-12-11;32,4;26;22,8;87,8;62;
2016-12-12;33,8;26,2;22,9;null;null;
2016-12-13;31,5;24,6;22,5;null;null;
2016-12-14;31,4;25,8;22,8;86;61;
2016-12-15;30,2;25,7;22,8;86,9;61;
2016-12-16;29,9;25;23,2;87,1;63;
2016-12-17;29,6;24,3;22,3;88;67;
2016-12-18;28,9;23,1;20,9;91,8;67;
2016-12-19;31,7;25,6;21,8;84,1;55;
2016-12-20;26,2;23,6;20,6;92,1;78;
2016-12-21;32,2;25,5;20,6;84;53;
2016-12-22;28,4;24,3;22;90,3;74;
2016-12-23;35;27,7;23,1;87,3;50;
2016-12-24;35,3;28,5;22,9;null;46;
