Nome: MANAUS
Codigo Estacao: A101
Latitude: -3.10333333
Longitude: -60.01638888
Altitude: 61.25
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33,3;28,2;26,1;71,7;49;
2015-01-02;32,9;27,8;25,6;73,9;50;
2015-01-03;33,5;28,4;24,8;69,9;49;
2015-01-04;31,3;28;26,3;77;64;
2015-01-05;29,8;26,2;24,8;83,5;67;
2015-01-06;31,9;26,2;23,8;79,5;54;
2015-01-07;33,6;28,1;24,3;71,1;47;
2015-01-08;33,3;28,3;24,6;70,3;49;
2015-01-09;29,5;26;22,3;83,8;65;
2015-01-10;27,8;25,4;22,8;86;75;
2015-01-11;27,1;24,3;22,1;90,8;81;
2015-01-12;31,5;25,4;22,2;84,1;56;
2015-01-13;32,5;26,6;23,1;78,3;56;
2015-01-14;28,7;25,2;24,3;84,3;70;
2015-01-15;31,4;26,3;23,4;80,4;58;
2015-01-16;32,9;27,3;24,8;78,8;52;
2015-01-17;30,9;25,8;24,1;82,2;61;
2015-01-18;33,3;26,7;23,3;76,9;50;
2015-01-19;30,7;25,5;24,4;83,7;63;
2015-01-20;31,4;25,4;22,9;83,7;59;
2015-01-21;32;26,4;23,4;77,3;53;
2015-01-22;33;27,3;25;75,7;50;
2015-01-23;26,9;25;25,1;86,4;72;
2015-01-24;26,2;24,4;22,9;89,5;79;
2015-01-25;32;25,8;22,7;81,6;54;
2015-01-26;30,4;25,9;24;81,9;61;
2015-01-27;32,5;27;23,2;74,3;48;
2015-01-28;32,7;27,9;24,8;74;49;
2015-01-29;33,1;27,8;24,4;74,1;54;
2015-01-30;33,3;28;24,6;73,8;54;
2015-01-31;30,2;26,5;25,4;79,4;66;
2015-02-01;26;24,3;24,5;88,8;82;
2015-02-02;28,8;24,8;22,7;83,5;67;
2015-02-03;31,6;26,2;22,8;75,9;57;
2015-02-04;32,4;26,7;24,4;78,8;54;
2015-02-05;32,8;28,1;24,8;70,8;48;
2015-02-06;33,3;28,7;24,5;61,9;40;
2015-02-07;34,2;29,3;25,5;62,8;43;
2015-02-08;34,5;30,1;26,7;61,1;45;
2015-02-09;31,4;27,3;25,6;77,6;60;
2015-02-10;32,5;27;23,6;79,5;55;
2015-02-11;32;27,6;25,7;78;58;
2015-02-12;33,6;27,9;25,7;76,7;51;
2015-02-13;33,7;27,9;25;77,4;52;
2015-02-14;32,3;28,9;24,2;72,5;55;
2015-02-15;33,2;28,6;26,3;77,6;58;
2015-02-16;33,6;28,6;24,8;75;51;
2015-02-17;29,5;27,6;26,3;76,4;65;
2015-02-18;28,7;25,5;24,4;84,8;74;
2015-02-19;34,3;28,2;24,1;70,8;44;
