Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,2;25,3;21,9;88,3;55;
2015-01-02;31,2;25;22,2;88,3;62;
2015-01-03;26,1;23,8;22,1;92,9;82;
2015-01-04;30,7;24,8;22,1;87,3;61;
2015-01-05;26,6;23,8;22,7;92,6;73;
2015-01-06;33,3;25,2;21;83,9;50;
2015-01-07;30,8;25,2;22,2;85,7;61;
2015-01-08;31,2;24,9;22,5;89,8;65;
2015-01-09;30,9;24;21,3;91,6;63;
2015-01-10;31,9;24,6;21,1;87,4;52;
2015-01-11;30,7;24,3;20,8;91,3;63;
2015-01-12;28,5;24,4;22,2;90,7;69;
2015-01-13;32,1;24,9;20,3;85,4;56;
2015-01-14;30,1;24,8;21,9;90,4;64;
2015-01-15;31,5;25,1;22,6;89,8;60;
2015-01-16;31,1;25,1;22,2;88,3;56;
2015-01-17;26,6;23,7;21,5;92;80;
2015-01-18;30,7;24,2;21,9;89,8;61;
2015-01-19;31,6;24,8;22;87,1;58;
2015-01-20;30,9;24,5;21,9;88,6;59;
2015-01-21;30,8;24,6;22,3;89,9;64;
2015-01-22;25,4;23,2;22,3;96,2;86;
2015-01-23;29,6;24;22;91,5;66;
2015-01-24;27,9;24;21,7;92,7;78;
2015-01-25;31,8;25,5;21,5;83,6;57;
2015-01-26;30,7;24,3;22,5;92,6;64;
2015-01-27;25,1;23,2;22,6;96,1;88;
2015-01-28;30,6;23,6;22,2;94,1;66;
2015-01-29;33,5;25;20,5;86,9;52;
2015-01-30;31,3;24,4;22,3;92,2;62;
2015-01-31;29,7;24,3;22,1;90,2;65;
2015-02-01;25,5;22,6;21,4;95,4;84;
2015-02-02;31,4;24,2;19,4;86,3;55;
2015-02-03;33,1;25,5;21,2;86;50;
