Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.95920402
Longitude: -67.86898266
Altitude: 163
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;30,7;25,1;22,6;86,7;63;
2015-01-02;29,8;24,6;22,5;87,5;64;
2015-01-03;26,9;23,7;22,2;90,5;76;
2015-01-04;30,1;24,7;21,4;85,6;59;
2015-01-05;28;24,2;22,3;88,8;71;
2015-01-06;31,1;24,1;21,5;85,8;59;
2015-01-07;30,8;24,4;20,7;83,8;57;
2015-01-08;31,1;25,9;22;81,1;54;
2015-01-09;28,3;23,9;22,1;89,7;67;
2015-01-10;30,2;25,1;21,7;85;55;
2015-01-11;29,1;24,8;21,9;88,7;68;
2015-01-12;28,3;24;22,9;91,3;68;
2015-01-13;30,1;24,5;22;87,4;59;
2015-01-14;25;23,2;21,6;92,2;85;
2015-01-15;31,6;24,9;20,2;83,5;52;
2015-01-16;29,3;24,7;21,8;85;60;
2015-01-17;27,6;23,7;22,3;90,8;71;
2015-01-18;29;23,6;21,8;91,3;70;
2015-01-19;30,2;24,8;22,4;85,9;59;
2015-01-20;28,4;23,7;21,3;87,4;60;
2015-01-21;29,1;24,1;21,9;89,5;63;
2015-01-22;26,2;23,3;22,2;92,7;76;
2015-01-23;30,1;25,2;21,9;84,7;57;
2015-01-24;27,7;24,7;22,4;87,3;75;
2015-01-25;28;24,6;22,7;88;70;
2015-01-26;29,4;24,3;22,6;90,3;66;
2015-01-27;26,6;23,8;22,5;90,6;74;
2015-01-28;30,4;24,6;22,6;88,4;60;
2015-01-29;30,2;24,5;22,5;90,2;63;
2015-01-30;31,9;25,4;22,5;86,2;52;
2015-01-31;27,4;23,6;21,5;89;70;
2015-02-01;28,7;24,3;22,1;88,2;64;
2015-02-02;31,2;24,5;21,2;86,2;54;
2015-02-03;31,6;25,4;21,8;82,9;55;
2015-02-04;32,5;26,7;23;77,8;50;
2015-02-05;32,5;27,1;23,6;77,7;52;
2015-02-06;31,5;26,4;23,1;79,8;54;
2015-02-07;30,2;26,2;23,3;82,6;64;
2015-02-08;31,6;25;22,5;86;56;
2015-02-09;30,9;24,6;22,9;88,4;62;
2015-02-10;31;25,2;22,7;85,9;60;
