Nome: BOCA DO ACRE
Codigo Estacao: A110
Latitude: -8.77666666
Longitude: -67.33249999
Altitude: 111.98
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,2;26,4;22,6;82;60;
2015-01-02;32,4;null;23,4;86,4;55;
2015-01-03;27,9;24,5;22,4;89,1;71;
2015-01-04;33;26,1;22,7;82,2;52;
2015-01-05;31,3;26,5;23;81,3;59;
2015-01-06;27,7;24,5;23;87,7;71;
2015-01-07;29,8;25,1;21,8;84,4;60;
2015-01-08;32,9;25,4;22,3;84,5;51;
2015-01-09;30;25;21,9;84,2;58;
2015-01-10;32,2;25,2;21,7;82,8;51;
2015-01-11;30,4;25,3;22,5;85,5;67;
2015-01-12;30,1;24,7;22,8;87,3;63;
2015-01-13;31,2;25,5;22,6;84,8;59;
2015-01-14;30,4;25;23,2;85,5;59;
2015-01-15;33,2;25,2;22,1;84,7;51;
2015-01-16;31,9;null;21,5;83,9;57;
2015-01-17;31,4;25,2;22,7;86,5;58;
2015-01-18;31,5;25,5;22,6;82,7;56;
2015-01-19;31,4;25;23;84,8;56;
2015-01-20;30,1;24,3;21,8;85,8;65;
2015-01-21;31,8;25,3;22,4;85,5;53;
2015-01-22;28,5;24,2;23;88,7;67;
2015-01-23;33;25,8;21,5;80,4;47;
2015-01-24;28,3;24,5;22,5;89,7;73;
2015-01-25;30;24,3;22,6;87,8;63;
2015-01-26;31,3;24,7;22,7;88,9;63;
2015-01-27;30,1;25,4;22,5;83,4;61;
2015-01-28;31,9;25,9;23,3;85;55;
2015-01-29;32,5;null;23,7;82,6;47;
2015-01-30;32,5;null;23,6;82,1;57;
2015-01-31;29,9;null;21,6;86,3;64;
2015-02-01;29,8;24,5;22,3;90;67;
2015-02-02;30,7;null;22,6;90,1;69;
2015-02-03;29,3;null;22,3;89,4;67;
2015-02-04;32,6;null;23,3;83,1;56;
2015-02-05;33,4;null;24,4;81,3;54;
2015-02-06;32,7;25,6;23,5;82,8;54;
2015-02-07;32,8;25,8;23,3;84,4;52;
2015-02-08;33,5;null;23,9;81,5;55;
2015-02-09;27,4;24,6;23;88,5;72;
2015-02-10;31,7;null;22,1;85,8;61;
2015-02-11;32,6;25,7;23,2;85,7;56;
2015-02-12;32,3;25,8;23,3;83,9;55;
2015-02-13;30,3;25,1;23,4;88,9;67;
2015-02-14;30,8;24,8;22,9;87,8;64;
2015-02-15;32,4;null;22,9;85,7;55;
2015-02-16;30,6;null;23,8;85,9;64;
2015-02-17;32,7;null;23,7;87,3;57;
2015-02-18;32,2;null;24,1;84,6;59;
2015-02-19;27,5;24,8;23,3;89;78;
2015-02-20;29,3;null;23,3;88,1;73;
2015-02-21;26,9;23,7;21,3;90,8;82;
2015-02-22;31,4;null;22;85,5;55;
2015-02-23;26,9;null;23;91,8;80;
2015-02-24;31;null;21;86,9;57;
2015-02-25;30,5;null;21,6;86,2;67;
2015-02-26;33;null;22,9;87,2;51;
2015-02-27;33,1;null;23,1;85,8;54;
2015-02-28;27,6;null;23,5;90;79;
2015-03-01;30,7;24,1;22,5;89;64;
2015-03-02;29;null;22,9;89,2;70;
2015-03-03;30,8;null;null;89,8;66;
2015-03-04;32,2;null;23,1;87,6;58;
2015-03-05;25,5;null;22,3;93;83;
2015-03-06;26;23,5;22,5;92;80;
2015-03-07;null;null;21,4;92,8;72;
2015-03-08;null;null;null;null;74;
2015-03-09;null;null;null;86,1;45;
2015-03-10;32,9;null;23,2;88,7;56;
2015-03-11;30,5;null;23,6;87,7;66;
2015-03-12;30,7;25,4;24,8;90;66;
2015-03-13;31,1;null;23,4;90,2;61;
2015-03-14;28,1;null;24;89,4;78;
2015-03-15;29;24,9;23,8;89,5;74;
2015-03-16;31,5;25,5;22,4;83,8;60;
2015-03-17;28,3;null;23,4;89,2;73;
2015-03-18;27,4;null;24,5;91,1;78;
2015-03-19;29,2;null;23,4;90,6;67;
2015-03-20;28,8;null;null;88,5;74;
2015-03-21;29,1;null;23,1;89,6;69;
2015-03-22;30,4;null;23;89,2;68;
2015-03-23;27,4;24,5;23,2;90,6;77;
2015-03-24;25,5;null;23,6;93,1;86;
2015-03-25;null;null;null;89,8;77;
2015-03-26;null;null;null;null;90;
2015-03-27;34,7;null;null;82,9;48;
2015-03-28;26,5;null;23,3;89,9;82;
2015-03-29;28,7;null;23,2;89;72;
2015-03-30;30;null;null;89,8;67;
2015-03-31;32,3;null;22,2;87,7;58;
2015-04-01;33,9;null;22,8;86,3;49;
2015-04-02;30,2;25,5;22,1;86,4;68;
2015-04-03;31,5;25,3;23,2;88;57;
2015-04-04;29,2;null;23;89,9;72;
2015-04-05;32,5;25;23,1;88,7;57;
2015-04-06;31;25,4;23,9;89;63;
2015-04-07;29,9;null;22,8;88,5;62;
2015-04-08;null;null;22,2;91,3;64;
2015-04-09;27,6;null;23,3;90,6;75;
2015-04-10;32;null;23,9;87,9;55;
2015-04-11;29,6;null;22,7;91,5;69;
2015-04-12;29,1;null;22,7;89,9;71;
2015-04-13;null;null;23,3;88,9;61;
2015-04-14;null;null;null;90,3;70;
2015-04-15;null;null;null;null;72;
2015-04-16;null;null;null;91,3;69;
2015-04-17;null;null;22,9;null;87;
2015-04-18;null;null;null;86,3;56;
2015-04-19;null;null;23,1;null;83;
2015-04-20;null;null;null;null;76;
2015-04-21;null;null;null;null;83;
2015-04-22;null;null;null;null;77;
2015-04-23;null;null;null;null;78;
2015-04-24;null;null;null;null;null;
2015-04-25;null;null;null;null;84;
2015-04-26;null;null;null;null;87;
2015-04-27;null;null;null;null;63;
2015-04-28;null;null;null;null;54;
2015-04-29;null;null;null;null;76;
2015-04-30;null;null;null;null;72;
2015-05-01;null;null;null;null;69;
2015-05-02;null;null;null;null;null;
2015-05-03;null;null;null;null;82;
2015-05-04;null;null;null;null;61;
2015-05-05;null;null;null;null;null;
2015-05-06;null;null;null;null;null;
2015-05-07;null;null;null;null;null;
2015-05-08;null;null;null;null;null;
2015-05-09;null;null;null;null;null;
2015-05-10;null;null;null;null;null;
2015-05-11;null;null;null;null;79;
2015-05-12;null;null;null;null;73;
2015-05-13;null;null;null;null;73;
2015-05-14;null;null;null;null;null;
2015-05-15;null;null;null;null;null;
2015-05-16;null;null;null;null;null;
2015-05-17;null;null;null;null;null;
2015-05-18;null;null;null;null;null;
2015-05-19;null;null;null;null;null;
2015-05-20;null;null;null;null;null;
2015-05-21;null;null;null;null;null;
2015-05-22;null;null;null;null;null;
2015-05-23;null;null;null;null;null;
2015-05-24;null;null;null;null;null;
2015-05-25;null;null;null;null;null;
2015-05-26;null;null;null;null;null;
2015-05-27;null;null;null;null;null;
2015-05-28;null;null;null;null;null;
2015-05-29;null;null;null;null;null;
2015-05-30;null;null;null;null;null;
2015-05-31;null;null;null;null;null;
2015-06-01;null;null;null;null;null;
2015-06-02;null;null;null;null;null;
2015-06-03;null;null;null;null;null;
2015-06-04;null;null;null;null;null;
2015-06-05;null;null;null;null;null;
2015-06-06;null;null;null;null;null;
2015-06-07;null;null;null;null;null;
2015-06-08;null;null;null;null;null;
2015-06-09;null;null;null;null;null;
2015-06-10;null;null;null;null;null;
2015-06-11;null;null;null;null;null;
2015-06-12;null;null;null;null;null;
2015-06-13;null;null;null;null;null;
2015-06-14;null;null;null;null;null;
