Nome: HUMAITA
Codigo Estacao: A112
Latitude: -7.5525
Longitude: -63.07138888
Altitude: 53.56
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,9;27,2;23,1;78,9;49;
2015-01-02;32,9;26,7;23,3;80,9;50;
2015-01-03;33,2;26,7;23,1;80,4;48;
2015-01-04;32,7;25,4;22,1;86;54;
2015-01-05;33,3;25,8;21,6;81,9;50;
2015-01-06;31,9;26,3;23,4;81,2;56;
2015-01-07;32,9;25,4;22,3;84,4;50;
2015-01-08;33,3;26,5;22,1;79,4;48;
2015-01-09;31,4;26;22,4;82,5;59;
2015-01-10;32,7;26,3;22,4;81,5;52;
2015-01-11;31,5;26;21,8;80,8;53;
2015-01-12;32,7;26,1;22,1;80;52;
2015-01-13;31,6;25,9;22,7;82;56;
2015-01-14;32,1;25,9;22,6;82;51;
2015-01-15;31,1;25,8;23,4;84,5;61;
2015-01-16;32,3;25,2;23,2;86,6;55;
2015-01-17;28,4;24,8;23,1;85,2;68;
2015-01-18;32,6;25,7;22,4;83,8;55;
2015-01-19;31,2;25,3;22,4;86,2;57;
2015-01-20;26,2;23,8;23;92,1;81;
2015-01-21;32,9;25,5;22;83;47;
2015-01-22;30,4;25,5;23,2;85,7;66;
2015-01-23;32,3;25,5;23,7;88;54;
2015-01-24;28,9;25;23,3;87,3;66;
2015-01-25;30,3;25,8;23,5;84;60;
2015-01-26;33;26,9;23,1;79;50;
2015-01-27;31,8;26,3;23,1;83,5;58;
2015-01-28;31,5;25,6;23,5;87,6;63;
2015-01-29;34,7;27;23,7;80,5;47;
2015-01-30;34,8;27;23,8;81,8;48;
2015-01-31;31,1;26,3;23,4;83,7;58;
2015-02-01;28,9;24,4;20,8;85,9;65;
2015-02-02;33,3;26,8;23;79,2;42;
2015-02-03;30,3;25,8;23,6;85,8;65;
2015-02-04;34,3;26,1;23,1;85;47;
2015-02-05;33,1;26,7;23,9;82;53;
2015-02-06;31,3;25,8;23,1;84,8;62;
2015-02-07;33,6;26,9;23,4;81,3;49;
2015-02-08;27,5;25;23,5;90,2;77;
2015-02-09;32,1;26,4;22,9;83,5;58;
2015-02-10;32,7;26,1;23,2;84,7;56;
2015-02-11;34,3;25,8;22,9;86,3;53;
2015-02-12;33,1;26,5;23,3;83,1;54;
2015-02-13;33,2;26,7;23,6;82;55;
2015-02-14;32,8;26,7;24,7;85,2;57;
2015-02-15;33,8;26,7;23,9;82,7;53;
2015-02-16;30,5;25,9;23,5;85,5;64;
2015-02-17;33,7;26,3;24,2;86;52;
2015-02-18;32,8;26,3;23;82,7;57;
2015-02-19;25,9;24,1;24;91,7;84;
2015-02-20;32,8;26;21,4;82,2;56;
2015-02-21;27,5;24,2;22,9;91;78;
2015-02-22;29,5;25;22,1;85,3;62;
2015-02-23;29,4;25,2;23,1;84,5;60;
