Nome: AUTAZES
Codigo Estacao: A120
Latitude: -3.58333333
Longitude: -59.12944443
Altitude: 19.9
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,3;25,7;24;87,2;59;
2015-01-02;32,3;26,5;23;83,2;58;
2015-01-03;33;27,6;24,1;80,1;52;
2015-01-04;31,8;26,1;23,9;87,6;63;
2015-01-05;30,4;24,8;22,5;88,2;61;
2015-01-06;32,2;26,2;22,5;81,1;56;
2015-01-07;33,3;27,5;22,7;76,5;49;
2015-01-08;32,6;27,4;23,4;79,1;57;
2015-01-09;33,2;26,8;23,2;79,9;55;
2015-01-10;30,1;25,9;24,9;86,8;67;
2015-01-11;26,7;24,5;23;91,5;79;
2015-01-12;31,7;25,3;22,7;86,3;59;
2015-01-13;32,9;25,6;22,5;85,1;56;
2015-01-14;29,1;24,5;23,4;91;71;
2015-01-15;28,8;24,8;22,5;87,9;72;
2015-01-16;32,8;26,4;23,8;84;56;
2015-01-17;32;25,1;22,6;86,5;60;
2015-01-18;31,6;25;22,7;88,4;64;
2015-01-19;28,6;24,5;22,5;90,2;72;
2015-01-20;32,1;26,1;23,2;83,3;56;
2015-01-21;31,7;26,3;22,9;82,1;56;
2015-01-22;33,5;26,6;23,5;81,6;48;
2015-01-23;28,9;25,3;24,7;88,1;72;
2015-01-24;26,2;24,2;23,2;92;80;
2015-01-25;31,5;26;23,2;82,6;53;
2015-01-26;32,2;25,2;22,2;85,8;54;
2015-01-27;33;27,2;23,1;76,6;49;
2015-01-28;34,4;27,1;23,3;79,2;48;
2015-01-29;32,5;26,4;23,3;83,4;58;
2015-01-30;34,4;26,4;23,2;84;52;
2015-01-31;32,7;26,5;22,5;85,2;60;
2015-02-01;27,2;24,4;23,6;90,4;84;
2015-02-02;28,5;24,2;22,6;90;70;
2015-02-03;31,5;25,7;21,9;81,3;56;
2015-02-04;32,1;26,6;23,1;81,2;55;
2015-02-05;32,6;27,5;23,9;77,3;53;
2015-02-06;32,4;27,3;22,9;74,8;49;
2015-02-07;33,9;28,6;25,1;72,3;47;
2015-02-08;34;27,7;23,6;80;55;
2015-02-09;32;26,9;24,4;82,3;59;
2015-02-10;31,3;25,8;22,7;83,6;60;
2015-02-11;33,6;27,7;24,3;80,5;52;
2015-02-12;32,8;26,3;24,3;85,2;58;
2015-02-13;33,9;27,7;23,6;76,8;47;
2015-02-14;33,6;27,7;24,6;81,6;56;
2015-02-15;34;28,2;24;77,7;54;
2015-02-16;32;27,4;24,4;82,8;60;
2015-02-17;26,1;24,7;23,1;92,2;81;
2015-02-18;29,2;25,5;23;88,1;70;
2015-02-19;32,3;27;23,6;81,7;58;
2015-02-20;33,1;27,6;24;79,6;54;
2015-02-21;32;26,7;23,6;80,6;59;
2015-02-22;28,2;25;24,1;90,3;75;
2015-02-23;30,8;25;21,5;85,2;61;
2015-02-24;29,1;25,5;23,6;86,7;65;
2015-02-25;33,5;27,1;22,9;78,1;49;
2015-02-26;30,5;25,9;24;87,2;64;
2015-02-27;31,6;26,3;23,8;82,1;58;
2015-02-28;34,1;27,6;23;78,7;49;
2015-03-01;31,6;26,2;24,1;84,4;60;
2015-03-02;33,4;26,7;23,9;82,5;56;
2015-03-03;33,1;26,8;24,1;83,2;57;
2015-03-04;29;25,8;23,9;85,5;67;
2015-03-05;28,2;24,7;23,6;89,9;73;
2015-03-06;25,4;23,8;23,4;91,9;86;
2015-03-07;32,4;26,6;22,6;79,6;56;
