Nome: ITACOATIARA
Codigo Estacao: A121
Latitude: -3.13333333
Longitude: -58.48277777
Altitude: 41.54
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;30,8;26,7;24,7;81,9;63;
2015-01-02;31,8;27,1;24,1;79,3;59;
2015-01-03;32,8;27,8;23,9;74,8;51;
2015-01-04;30,9;27,3;24;80,8;63;
2015-01-05;29,8;25,1;21,7;87,5;66;
2015-01-06;30,9;26,4;22,5;80,5;61;
2015-01-07;32,3;27,4;23,2;76,5;53;
2015-01-08;32,4;27,5;24,2;76,8;55;
2015-01-09;32,3;27,1;23,9;78,5;57;
2015-01-10;28,3;25,8;22,1;86,5;77;
2015-01-11;26,3;24,6;22,3;90,5;82;
2015-01-12;29,5;24,7;22,8;89,7;69;
2015-01-13;30,8;26,1;22,8;83,9;66;
2015-01-14;27,1;25;24,7;90,3;78;
2015-01-15;29,6;25,5;23;84,5;68;
2015-01-16;31,9;26,5;23,9;81,3;54;
2015-01-17;31,2;25,6;23,4;83,5;64;
2015-01-18;30,9;26;24,2;86;67;
2015-01-19;26,6;24,6;23,2;88,7;80;
2015-01-20;30,5;25,4;23;86,2;63;
2015-01-21;31;25,9;22,9;83,7;62;
2015-01-22;31,7;26,6;23,5;79,5;57;
2015-01-23;27;24,5;24,1;91,1;77;
2015-01-24;26,7;24,3;22,9;90,8;82;
2015-01-25;29;25,1;23,1;84,8;66;
2015-01-26;29,1;25,4;22,8;84,8;67;
2015-01-27;31,2;26,3;22,4;80;56;
2015-01-28;31,7;26,6;23,5;81,8;54;
2015-01-29;32,2;27,1;24;81,5;56;
2015-01-30;32,2;27,3;23,9;81,4;61;
2015-01-31;31,9;27,2;24,8;82,3;61;
2015-02-01;27,9;24,6;21,4;89,7;82;
2015-02-02;26,2;24,1;21,5;89,5;81;
2015-02-03;30,9;25,5;22;80,8;58;
2015-02-04;31,3;26,7;23,6;81;58;
2015-02-05;31,8;27,2;24;78,6;57;
2015-02-06;32,1;27,2;23,7;74,8;52;
2015-02-07;32,6;27,9;23,6;72,3;50;
2015-02-08;32;28,1;25,5;79,5;61;
2015-02-09;29,5;25,3;23,7;87,8;72;
2015-02-10;31,2;26,1;22,5;83,3;61;
2015-02-11;33;27,8;24,4;77,9;55;
2015-02-12;31,1;26,7;25,2;84,5;67;
2015-02-13;32,6;28;24,4;78;56;
2015-02-14;31,9;27,9;25,2;79,1;59;
2015-02-15;33;28,1;24,8;78,4;56;
2015-02-16;31,6;27,4;24,8;81,5;61;
2015-02-17;27,6;25,3;23;87,8;80;
2015-02-18;29,7;26;23,1;85,5;64;
2015-02-19;31,6;26,8;23,3;82,4;58;
2015-02-20;32,1;27,6;25,1;78,9;56;
2015-02-21;29,6;25,6;23,7;84,3;70;
2015-02-22;28,9;25,1;24,4;88,1;72;
2015-02-23;28,9;25;22,6;83,8;62;
2015-02-24;28,5;25,2;22,8;86,9;72;
2015-02-25;31,5;26,2;22,8;81,6;58;
2015-02-26;30,5;26,8;24,4;82;63;
2015-02-27;30,3;26,5;22,4;82,3;65;
2015-02-28;33,5;27,8;24;77,4;48;
2015-03-01;28,9;26,5;25,8;87,1;71;
2015-03-02;30,9;26,6;24,9;84,4;63;
2015-03-03;30,1;26;24,3;85,6;68;
2015-03-04;28,9;25,3;22,9;87,3;71;
2015-03-05;25,9;24,7;22,8;88;80;
2015-03-06;25,4;23,6;22,7;92,2;87;
2015-03-07;31,1;25,6;22;84;58;
2015-03-08;32,3;27,3;23,8;78,6;54;
2015-03-09;30,3;25,9;24,3;87;68;
2015-03-10;29,9;26,3;24,2;87;69;
2015-03-11;28,7;25,7;23;85,4;71;
2015-03-12;31,9;27,4;22,9;81;60;
2015-03-13;30,6;26,9;24,9;83,1;66;
2015-03-14;27,1;24,8;23,9;91;83;
2015-03-15;30,7;25,8;23,5;85,9;65;
2015-03-16;28;25,7;24,7;88,8;79;
2015-03-17;31,3;26,4;23,3;82,9;60;
2015-03-18;30,1;25,9;23,7;86,1;67;
2015-03-19;30,3;null;24,2;84,1;62;
2015-03-20;26,3;24,8;22,7;89,8;83;
2015-03-21;30,5;25,7;22,5;84,3;62;
2015-03-22;30,4;26;22,9;82,3;57;
2015-03-23;32,7;27,3;23,7;79,1;48;
2015-03-24;27,5;24,8;23;88,9;73;
2015-03-25;31,6;26;23,2;83;61;
2015-03-26;32,9;27,3;24,6;80,8;51;
