Nome: MAUES
Codigo Estacao: A122
Latitude: -3.39888888
Longitude: -57.67388888
Altitude: 25.49
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;30,2;25,1;22,3;90,9;72;
2015-01-02;31,5;25,4;22,5;91,2;67;
2015-01-03;32,8;null;21,9;90,7;59;
2015-01-04;33;26,3;22,2;87;55;
2015-01-05;27,3;24,1;23,1;93,8;82;
2015-01-06;31,7;null;22,4;90,2;62;
2015-01-07;33;26,2;21,4;85,1;52;
2015-01-08;33,5;null;22,9;88,1;56;
2015-01-09;32,8;26,2;22,6;86;58;
2015-01-10;33;25,6;23,9;92,3;63;
2015-01-11;27;24,3;22,5;94,3;80;
2015-01-12;30,7;24,9;21,7;91,1;68;
2015-01-13;31,3;25,3;22,2;89,9;64;
2015-01-14;32,1;25,3;23,4;90,8;63;
2015-01-15;29,7;24,9;21,8;90;72;
2015-01-16;31,6;25,5;23,6;91,7;61;
2015-01-17;31,3;24,9;22,2;89,4;64;
2015-01-18;32,2;25,5;23,4;91,8;62;
2015-01-19;26,8;24,4;22,7;93,2;81;
2015-01-20;30,5;25;23,1;91,8;71;
2015-01-21;32,6;25,1;21,9;88,9;58;
2015-01-22;32,1;null;22;93,3;60;
2015-01-23;27;24,4;23,4;95,9;84;
2015-01-24;29,6;24,7;23;92,1;68;
2015-01-25;26,7;24,2;23,5;95,2;85;
2015-01-26;29,6;24,3;22,1;93,7;73;
2015-01-27;32,1;null;20,7;88,1;61;
2015-01-28;32,5;25,3;21,8;91;59;
2015-01-29;31,4;25,2;22,3;93;70;
2015-01-30;33,4;null;21,9;89,8;61;
2015-01-31;32,2;26,4;24;89,7;64;
2015-02-01;26,6;24,9;24,1;95,2;85;
2015-02-02;27,7;23,9;23,3;95,2;80;
2015-02-03;30,6;null;21,4;93,4;69;
2015-02-04;31,9;null;23,1;91,1;61;
2015-02-05;28,9;null;23,3;94,3;73;
2015-02-06;30,6;null;21,2;91,2;62;
2015-02-07;31,6;null;22,3;95,1;60;
2015-02-08;31,8;25,9;23,3;91,5;66;
2015-02-09;27,3;24,6;23,4;96,1;85;
2015-02-10;30,6;null;21,8;94,2;71;
2015-02-11;32,9;null;23,1;89,2;60;
2015-02-12;30,7;25,7;23,2;90;68;
2015-02-13;33,2;null;23,3;90,2;60;
2015-02-14;31,2;null;22,8;92,1;70;
2015-02-15;31,5;null;21,9;93,2;67;
2015-02-16;31,3;26;23,2;92,3;70;
2015-02-17;29,4;25,1;23,1;94;74;
2015-02-18;29,7;25,5;23,4;92,8;71;
2015-02-19;30,2;null;23,6;92,6;69;
2015-02-20;30,5;25,9;24,1;90,6;69;
2015-02-21;29,8;25,3;23,2;88,8;69;
2015-02-22;27,4;24,9;24;94,2;81;
2015-02-23;31;25,4;22,9;88,9;61;
2015-02-24;30,3;24,4;23,3;94,6;67;
2015-02-25;31,3;25,4;22,3;91,1;68;
2015-02-26;30,1;24,9;23,4;94,2;75;
2015-02-27;31,6;25,3;22,9;90,5;65;
2015-02-28;31,6;25,8;22,8;92,4;65;
2015-03-01;33,5;null;24,3;90,8;60;
2015-03-02;31,5;24,9;23,6;93,8;66;
2015-03-03;28,8;null;22,5;95,1;77;
2015-03-04;27,1;null;22,9;95;79;
2015-03-05;30,6;null;22,7;93,2;67;
2015-03-06;25,4;24;23;97;90;
2015-03-07;33,2;null;21,4;90,5;59;
2015-03-08;31,2;null;21,8;90,5;65;
2015-03-09;28,6;null;23,2;95,5;79;
2015-03-10;30;null;23,4;95;74;
2015-03-11;29,9;null;22;92,2;68;
2015-03-12;31,2;null;23,4;90;68;
2015-03-13;29;null;23,8;95,2;78;
2015-03-14;27,5;24,5;23,8;96,1;84;
2015-03-15;29,4;24,7;23;94,8;73;
2015-03-16;27,4;24,5;23,5;96,6;85;
2015-03-17;28,8;null;23,3;94,9;77;
2015-03-18;29,1;25,1;23,6;92,7;75;
2015-03-19;30,3;null;23,2;95,8;68;
2015-03-20;25,9;24,3;23,2;95,8;90;
2015-03-21;29,5;24,8;22,8;92,3;71;
2015-03-22;28,4;24,4;22,9;93,5;77;
2015-03-23;32,5;25,3;22,7;91,5;60;
2015-03-24;29,3;25;23,3;91,3;69;
2015-03-25;29,7;null;22,6;93,9;70;
2015-03-26;33,6;null;24;87;54;
2015-03-27;34,2;null;22,8;92,1;57;
2015-03-28;30,1;null;24;92,4;77;
2015-03-29;32,4;26,2;23,5;92,2;63;
2015-03-30;30,5;null;24;93,4;72;
2015-03-31;31,6;26,2;24,1;90,5;61;
2015-04-01;25,8;24,5;23,1;95,5;85;
2015-04-02;32,4;25,6;21,3;88,4;62;
2015-04-03;31;25,3;23,5;94;69;
2015-04-04;32;26,4;23,8;88,3;58;
2015-04-05;34;null;22,4;86,9;53;
2015-04-06;31,8;26,3;24;89,7;62;
2015-04-07;32,3;26,3;23,3;89,1;63;
2015-04-08;32,6;26,5;24,4;89,6;61;
2015-04-09;32,5;null;24;91,5;62;
2015-04-10;29,5;25,1;24,2;94,7;74;
2015-04-11;32,1;null;23;92,1;62;
2015-04-12;30,2;25,9;23;91;72;
2015-04-13;31,4;26;23,2;90,5;64;
2015-04-14;29,9;25,4;22,3;92,4;71;
2015-04-15;32,1;25,1;23,2;93,4;62;
2015-04-16;30,6;25,6;22,6;91,5;68;
2015-04-17;27,8;null;23,3;95,4;79;
2015-04-18;32,1;25,8;23,3;91,7;64;
2015-04-19;28;25,1;23,8;95,4;83;
2015-04-20;31,7;25,2;23,2;94,2;69;
2015-04-21;32,2;null;22,1;91,8;64;
2015-04-22;31,4;25,3;23;93,8;70;
2015-04-23;33,1;25,9;23,4;91,1;62;
2015-04-24;32,1;26;23,7;92,9;69;
2015-04-25;28,1;null;23,3;95,4;82;
2015-04-26;30,3;26,1;23,2;91,6;74;
2015-04-27;32,3;26,4;24,2;91,3;64;
2015-04-28;31;25,9;24,1;93,3;70;
2015-04-29;29,9;25,5;23,7;93,8;74;
2015-04-30;29,8;25,5;24;94,8;76;
2015-05-01;29;25,6;23,1;91,2;75;
2015-05-02;30,8;24,9;23,4;93,5;67;
2015-05-03;28,1;24,5;21,9;93;76;
2015-05-04;31,3;25,7;22,3;89,7;67;
2015-05-05;30,9;null;22,2;90,8;68;
2015-05-06;30,5;null;22,8;92,9;68;
2015-05-07;29,2;25,4;23;92,2;76;
2015-05-08;30,6;25,6;23,7;92,4;70;
2015-05-09;31,2;null;23,8;95,9;71;
2015-05-10;31,1;null;23,4;94,2;69;
2015-05-11;31;25,9;24,5;94,1;70;
2015-05-12;33,5;26;22,5;89,8;58;
2015-05-13;33,3;26,1;22,9;90,2;59;
2015-05-14;31,4;null;22,9;91,9;65;
2015-05-15;32,7;null;24;90,1;60;
2015-05-16;30,6;25,3;23,6;93,4;73;
2015-05-17;31,1;24,8;22,5;93,6;73;
2015-05-18;33,7;null;23,5;90,8;60;
2015-05-19;31,5;null;24,2;92,5;72;
2015-05-20;30,3;null;24,7;93,8;72;
2015-05-21;31,7;null;23,7;94,7;67;
2015-05-22;29,1;null;24;92,2;77;
2015-05-23;31,9;null;23,3;94,3;68;
2015-05-24;31,4;null;23,6;93,8;70;
2015-05-25;32,7;null;24;91,4;63;
2015-05-26;29,8;25,7;23,4;94;74;
2015-05-27;33,4;26,4;23,7;88,7;58;
2015-05-28;32;null;23,6;90,8;64;
2015-05-29;32,8;26,8;23,8;89,7;63;
2015-05-30;33,1;null;23,2;91,4;60;
2015-05-31;33,3;25,6;23;92,3;57;
2015-06-01;32,2;26;23,9;91,6;66;
2015-06-02;32,3;25,7;23;92;64;
2015-06-03;32,5;null;23,7;93,3;62;
2015-06-04;33,9;null;23,2;90,1;58;
2015-06-05;33,3;null;23,6;89,6;59;
2015-06-06;31,2;26,5;24,2;88,5;64;
2015-06-07;31,6;null;24;93,6;65;
2015-06-08;31,7;null;21,5;92,2;63;
2015-06-09;33,3;null;22,6;92,1;59;
2015-06-10;32,6;null;22,9;91,8;62;
2015-06-11;32,6;25,5;22,1;91,4;61;
2015-06-12;33,4;null;22,7;91,8;57;
2015-06-13;32,3;null;24,2;90;62;
2015-06-14;33,1;26,2;23,5;88,9;62;
2015-06-15;33;null;23,6;88,6;58;
2015-06-16;33,6;27;22,8;85;54;
2015-06-17;33,7;26,4;23,2;88,4;52;
2015-06-18;32,5;25,5;23,3;90,9;62;
2015-06-19;33,2;null;23,5;92,4;59;
2015-06-20;32,9;26,7;23,1;86,7;55;
2015-06-21;30;25,5;24;92,5;73;
2015-06-22;32,3;25,8;22,9;89,9;61;
2015-06-23;31,7;26,2;23,9;88,8;64;
2015-06-24;33,7;null;21,4;88,7;56;
2015-06-25;33,4;null;23,1;85,8;50;
2015-06-26;32,3;null;23;91,2;59;
2015-06-27;29,9;25,1;22,4;92,8;73;
2015-06-28;31,5;25,6;22,6;90,2;67;
2015-06-29;31,8;26,4;23,9;87,3;61;
2015-06-30;32,5;26,6;22,4;86,7;61;
2015-07-01;33,6;26,8;22,3;84,7;52;
2015-07-02;33;null;23,4;90,7;58;
2015-07-03;30,5;25,8;22,8;90;68;
2015-07-04;31,3;25,8;22,9;90,7;65;
2015-07-05;33,1;26,7;23,4;87,3;56;
2015-07-06;32,7;26,4;22,9;87,9;59;
2015-07-07;31,7;25,7;22,2;88;63;
2015-07-08;33;26,6;23,4;86,5;58;
2015-07-09;32,9;26,6;23,4;86,1;56;
2015-07-10;33,2;26,7;22,7;85,2;55;
2015-07-11;32,2;26,3;22,8;87,2;58;
2015-07-12;33;26,8;22,5;83,8;55;
2015-07-13;32,9;25,8;22,5;88;57;
2015-07-14;32,5;25,6;21,9;89,2;59;
2015-07-15;33,3;26,7;22,1;85,3;56;
2015-07-16;33,4;26,9;23,5;87,9;54;
2015-07-17;34,3;27,1;23;84,5;48;
2015-07-18;34,7;27,1;22,1;82;45;
2015-07-19;32,6;25,2;23;91,1;55;
2015-07-20;31,9;25,2;22,1;92;62;
2015-07-21;33,1;26,6;22,9;86;54;
2015-07-22;32,4;null;23,5;90,8;62;
2015-07-23;32,9;25,1;22,7;91,2;62;
2015-07-24;33,3;25,8;21,3;87,7;56;
2015-07-25;28,9;25,3;24,4;93;77;
2015-07-26;31,3;25,3;22;90,4;67;
2015-07-27;33;26,6;22,8;87,5;58;
2015-07-28;33,1;27,1;22,9;83,8;54;
2015-07-29;33,8;26,6;21,7;85;54;
2015-07-30;31,8;26,4;23,6;88,4;64;
2015-07-31;33,2;26,3;22,1;86,7;56;
2015-08-01;33,5;26,7;23,6;86,8;55;
2015-08-02;34,2;27;23;85;51;
2015-08-03;33,6;27,7;23,8;83;50;
2015-08-04;33,7;null;null;76,7;52;
2015-08-05;33,2;26,9;23,9;87,7;58;
2015-08-06;34,2;27,4;23,2;85,2;51;
