Nome: PARINTINS
Codigo Estacao: A123
Latitude: -2.63916666
Longitude: -56.75611111
Altitude: 18.72
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;null;null;null;null;null;
2015-01-02;null;null;null;null;null;
2015-01-03;null;null;null;null;null;
2015-01-04;null;null;null;null;null;
2015-01-05;null;null;null;null;null;
2015-01-06;null;null;null;null;null;
2015-01-07;null;null;null;null;null;
2015-01-08;null;null;null;null;null;
2015-01-09;null;null;null;null;null;
2015-01-10;null;null;null;null;null;
2015-01-11;null;null;null;null;null;
2015-01-12;null;null;null;null;null;
2015-01-13;null;null;null;null;null;
2015-01-14;null;null;null;null;null;
2015-01-15;null;null;null;null;null;
2015-01-16;null;null;null;null;null;
2015-01-17;null;null;null;null;null;
2015-01-18;null;null;null;null;null;
2015-01-19;null;null;null;null;null;
2015-01-20;null;null;null;null;null;
2015-01-21;null;null;null;null;null;
2015-01-22;null;null;null;null;null;
2015-01-23;null;null;null;null;null;
2015-01-24;null;null;null;null;null;
2015-01-25;null;null;null;null;null;
2015-01-26;null;null;null;null;null;
2015-01-27;null;null;null;null;null;
2015-01-28;null;null;null;null;null;
2015-01-29;null;null;null;null;null;
2015-01-30;null;null;null;null;null;
2015-01-31;null;null;null;null;null;
2015-02-01;null;null;null;null;null;
2015-02-02;null;null;null;null;null;
2015-02-03;null;null;null;null;null;
2015-02-04;null;null;null;null;null;
2015-02-05;null;null;null;null;null;
2015-02-06;null;null;null;null;null;
2015-02-07;null;null;null;null;null;
2015-02-08;null;null;null;null;null;
2015-02-09;null;null;null;null;null;
2015-02-10;null;null;null;null;null;
2015-02-11;null;null;null;null;null;
2015-02-12;null;null;null;null;null;
2015-02-13;null;null;null;null;null;
2015-02-14;null;null;null;null;null;
2015-02-15;null;null;null;null;null;
2015-02-16;null;null;null;null;null;
2015-02-17;null;null;null;null;null;
2015-02-18;null;null;null;null;null;
2015-02-19;null;null;null;null;null;
2015-02-20;null;null;null;null;null;
2015-02-21;null;null;null;null;null;
2015-02-22;null;null;null;null;null;
2015-02-23;null;null;null;null;null;
2015-02-24;null;null;null;null;null;
2015-02-25;null;null;null;null;null;
2015-02-26;null;null;null;null;null;
2015-02-27;null;null;null;null;63;
2015-02-28;31,8;27;23,9;82,3;60;
2015-03-01;33;27,3;24,9;80,8;61;
2015-03-02;30,3;26,1;23,7;86,3;71;
2015-03-03;31,4;26,5;22,8;83,5;64;
2015-03-04;27,7;25,2;22,8;88,9;78;
2015-03-05;31,1;25,4;22,1;88,5;66;
2015-03-06;25,7;24,2;22,6;91,4;86;
2015-03-07;32,3;26,4;22,8;83;63;
2015-03-08;33,2;27,1;23,2;79,6;54;
2015-03-09;30,9;27,3;24,4;82,7;64;
2015-03-10;31,4;26,8;24,3;84,8;66;
2015-03-11;30,8;27,2;24,2;75,9;57;
2015-03-12;33,5;27,9;24,6;77,3;55;
2015-03-13;31;26,9;24,8;84,1;68;
2015-03-14;26,9;24,5;23,6;92,6;86;
2015-03-15;30,2;25,3;23,2;90,4;73;
2015-03-16;29,2;25;23,3;91,5;79;
2015-03-17;31,9;26,3;24;85,2;63;
2015-03-18;29,2;25;23,3;89,3;75;
2015-03-19;29,6;null;23,5;90,9;71;
2015-03-20;27,4;25,1;23,6;89,4;80;
2015-03-21;30,9;25,2;23,1;86,3;66;
2015-03-22;30,7;26,1;23,8;83,8;63;
2015-03-23;32,9;27;24;81,3;59;
2015-03-24;29,1;25;23,4;87,7;73;
2015-03-25;28,6;25,9;22,8;84,3;74;
2015-03-26;32,8;27,4;23,8;79,6;60;
2015-03-27;33,5;27,7;23,6;80,5;60;
2015-03-28;31,7;27;25;84,6;67;
2015-03-29;32,1;27,4;24;80,5;62;
2015-03-30;31;27,4;24,7;81,5;63;
2015-03-31;31,6;27,2;25;77,9;58;
2015-04-01;26;24,1;22,6;90,3;80;
2015-04-02;31;25,7;22;85,3;67;
2015-04-03;31,9;26,8;23,2;83,3;61;
2015-04-04;31,8;27,6;24,5;78,3;56;
2015-04-05;32,7;27,9;23,4;75,3;55;
2015-04-06;32,4;28,3;25,1;73,3;58;
2015-04-07;31,3;26,8;23,3;83,1;66;
2015-04-08;32,8;27,3;24,9;78,5;58;
2015-04-09;32,2;26,6;24,9;84,9;64;
2015-04-10;29,8;26,1;23,7;87;70;
2015-04-11;32,2;26,4;23,1;83,4;61;
2015-04-12;31,9;26,8;24,2;84,9;63;
2015-04-13;31,5;26,5;23,6;85,1;62;
2015-04-14;30,8;26;24,1;88,5;68;
2015-04-15;31,4;25,8;23,9;87,7;66;
2015-04-16;32,3;27;23;81,8;62;
2015-04-17;29,3;25,8;22,9;87,6;76;
2015-04-18;30,3;26,1;22,2;85;69;
2015-04-19;30,9;26,8;23,2;82,2;64;
2015-04-20;30;26,2;23,7;85,2;72;
2015-04-21;31,6;26,7;23,1;83,8;63;
2015-04-22;30,8;26,3;23,8;87;64;
2015-04-23;32,6;27,6;24,5;81,3;58;
2015-04-24;31,2;26,4;24,6;86,7;69;
2015-04-25;30,1;26,5;22,8;84,1;71;
2015-04-26;30;25,7;23,4;90;75;
2015-04-27;31;26,8;24,1;84,8;68;
2015-04-28;30,4;26,3;24,1;85,6;70;
2015-04-29;30,2;26,1;23,8;85,5;68;
2015-04-30;29,5;26;24;85,8;72;
2015-05-01;30,8;26,4;23,1;83,8;65;
2015-05-02;27,7;25,2;24;90,3;84;
2015-05-03;27,2;25,1;22,5;89,3;79;
2015-05-04;31,1;25,7;23,7;86;65;
2015-05-05;30,4;26;23,1;85,5;68;
2015-05-06;29,8;25,9;22,9;87,6;70;
2015-05-07;30;25,6;24,2;88,4;72;
2015-05-08;31,3;25,8;23,3;88,1;67;
2015-05-09;30,9;26,2;23,5;85,3;69;
2015-05-10;30,7;26,1;23,9;86,5;67;
2015-05-11;30,6;26,2;23,8;87,6;70;
2015-05-12;31,7;27;22,8;83,5;67;
2015-05-13;32,6;27,7;23;80,1;64;
2015-05-14;32,2;28,2;24,5;78,1;63;
2015-05-15;32,9;27,6;23,7;80,3;61;
2015-05-16;31,2;26,3;24;87,1;70;
2015-05-17;30,6;25,6;23,2;89,9;73;
2015-05-18;30,5;25,6;23,7;89,5;78;
2015-05-19;29,9;26,6;23;89,7;78;
2015-05-20;31,4;27,5;24,6;83;65;
2015-05-21;31,7;26,7;23,8;83,2;63;
2015-05-22;30,5;26,2;24,1;87,3;68;
2015-05-23;31,5;27,4;23,7;82,7;64;
2015-05-24;31,5;27,4;25,7;84,3;68;
2015-05-25;31,7;27,5;24,8;83,3;64;
2015-05-26;31,2;25,7;23,8;87,7;67;
2015-05-27;30,3;26,2;23,3;86,5;69;
2015-05-28;31,5;27,2;23,9;81,1;65;
2015-05-29;31,3;27,2;24,6;83,2;66;
2015-05-30;31,9;26,9;23,2;83,7;65;
2015-05-31;32,9;27,6;23;80,9;63;
2015-06-01;32,5;27,6;24,1;81,8;62;
2015-06-02;31,1;26,3;24,2;87,3;70;
2015-06-03;32,1;27,3;23,2;83,5;65;
2015-06-04;31,6;27,5;24,1;79,8;65;
2015-06-05;32,2;27,8;24,7;80,3;63;
2015-06-06;31,3;27,1;23,8;80,5;66;
2015-06-07;31,4;26,6;24,6;83,3;65;
2015-06-08;31,8;26,2;21,9;83,2;59;
2015-06-09;30,8;26,5;22,2;84,3;68;
2015-06-10;32;27;24,1;81;60;
2015-06-11;29,7;25,7;24,2;88,9;79;
2015-06-12;32,3;26,6;23,3;85,7;67;
2015-06-13;32,2;27,8;25,2;81,4;62;
2015-06-14;31,8;27;24,7;82,7;63;
2015-06-15;32,7;27,6;24,6;82,2;59;
2015-06-16;31,6;27,7;23,2;80;65;
2015-06-17;32,4;28,2;23,7;75,4;58;
2015-06-18;32,2;27,5;24,7;80;62;
2015-06-19;32,1;26,9;23,7;81,6;63;
2015-06-20;32;26,5;23,7;84,5;61;
2015-06-21;31,5;26,9;23,9;81,3;65;
2015-06-22;31,6;26,3;22,9;83,7;60;
2015-06-23;31,3;26,9;24,6;79,2;60;
2015-06-24;32,4;26,8;21,2;80,9;60;
2015-06-25;32,9;27,6;22,7;78,4;50;
2015-06-26;31,6;26,5;22,9;82;65;
2015-06-27;30;25,3;22,6;88;69;
2015-06-28;31,1;25,7;22,8;86,3;67;
2015-06-29;31,5;26;23,8;84,4;66;
2015-06-30;32,4;27;23;83,4;58;
2015-07-01;32,9;26,9;23,7;83,5;64;
2015-07-02;31,3;27,1;23,9;83,8;66;
2015-07-03;30;26,5;23,9;83,4;71;
2015-07-04;31,7;26,4;23,4;83,8;61;
2015-07-05;32,1;27,8;24,3;78,5;61;
2015-07-06;31,9;27;23,7;81,3;60;
2015-07-07;30,6;25,8;23,1;85;66;
2015-07-08;31,2;26,5;22,9;81,7;58;
2015-07-09;31,4;26,2;24,3;83,1;66;
2015-07-10;31,7;27,3;23,6;80,3;59;
2015-07-11;31,5;27,4;24,6;75,3;60;
2015-07-12;31,5;27,1;25,2;76,6;60;
2015-07-13;31,3;26,6;22,9;81,9;63;
2015-07-14;31,6;26,7;23,6;81,6;66;
2015-07-15;32,6;27,1;22,4;79,5;59;
2015-07-16;32,9;28,1;24,6;80;48;
2015-07-17;32,4;28,1;25,2;82,5;62;
2015-07-18;32,8;27,5;25,2;82,6;60;
2015-07-19;29,5;26;25;85,8;71;
2015-07-20;30,8;25,8;23,6;87,4;68;
2015-07-21;31,5;27,6;24,3;83,4;67;
2015-07-22;31,8;27,3;24,5;80,3;63;
2015-07-23;31,8;26;23,7;84,6;67;
2015-07-24;31,9;26;21,8;85;65;
2015-07-25;30,2;26,4;24,4;82,4;64;
2015-07-26;30;25,3;23,2;88,3;68;
2015-07-27;31,2;26,7;23,4;83,6;62;
2015-07-28;31,7;27;23,8;82,1;58;
2015-07-29;33,9;27,8;23,7;79,5;49;
