Nome: S. G. DA CACHOEIRA
Codigo Estacao: A134
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.67
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33,5;26,8;23,8;84,7;69;
2015-01-02;33;26,6;23,1;83,5;67;
2015-01-03;34,1;27,2;23,1;79,5;61;
2015-01-04;32,6;26,7;23;80,5;61;
2015-01-05;31,1;25,4;22,7;84,6;69;
2015-01-06;29,5;24,6;22,4;89,8;83;
2015-01-07;32,1;26,4;22,6;84,2;68;
2015-01-08;28,5;25,3;23,4;86,4;72;
2015-01-09;31,9;25,8;23,2;87,6;75;
2015-01-10;30,2;25,3;23;89;82;
2015-01-11;30;25,5;23,4;89,1;83;
2015-01-12;31,8;26,3;23,4;86,9;74;
2015-01-13;32,8;26,1;23,4;85,3;72;
2015-01-14;29,3;25,2;22,7;87,6;81;
2015-01-15;30,4;25,9;22,8;86,7;78;
2015-01-16;32,3;26,2;22,6;84,6;70;
2015-01-17;31,1;25,8;23,2;85,3;73;
2015-01-18;31;25,7;23,3;87,2;80;
2015-01-19;29,2;24,4;22,3;89,4;84;
2015-01-20;31,9;25,3;23;88,9;81;
2015-01-21;30,6;25;22,8;89,8;84;
2015-01-22;31,2;25,1;22,4;89;79;
2015-01-23;25,6;23,8;22,9;91,3;82;
2015-01-24;30,9;25,1;22;91,2;85;
2015-01-25;30,4;25,3;22,1;90,3;86;
2015-01-26;32,8;null;22,9;86,6;73;
2015-01-27;null;null;null;null;72;
2015-01-28;null;null;null;null;55;
2015-01-29;null;null;null;null;76;
2015-01-30;null;null;null;null;87;
2015-01-31;null;null;null;null;null;
2015-02-01;null;null;null;null;null;
2015-02-02;null;null;null;null;83;
2015-02-03;null;null;null;null;83;
2015-02-04;null;null;null;null;78;
2015-02-05;null;null;null;null;88;
2015-02-06;null;null;null;null;56;
2015-02-07;null;null;null;null;54;
2015-02-08;null;null;null;null;69;
2015-02-09;null;null;null;null;78;
2015-02-10;null;null;null;null;71;
2015-02-11;null;null;null;null;64;
2015-02-12;null;null;null;null;75;
2015-02-13;null;null;null;null;null;
2015-02-14;null;null;null;null;90;
2015-02-15;null;null;null;null;91;
2015-02-16;null;null;null;null;87;
2015-02-17;null;null;null;null;81;
2015-02-18;null;null;null;null;82;
2015-02-19;null;null;null;null;76;
2015-02-20;null;null;null;null;69;
2015-02-21;null;null;null;null;70;
2015-02-22;null;null;null;null;null;
2015-02-23;null;null;null;null;87;
2015-02-24;null;null;null;null;83;
2015-02-25;null;null;null;null;86;
2015-02-26;null;null;null;null;81;
2015-02-27;null;null;null;null;85;
2015-02-28;null;null;null;null;79;
2015-03-01;null;null;null;null;79;
2015-03-02;null;null;null;null;81;
2015-03-03;null;null;null;null;82;
2015-03-04;null;null;null;null;83;
2015-03-05;null;null;null;null;88;
2015-03-06;null;null;null;null;81;
2015-03-07;null;null;null;null;84;
2015-03-08;null;null;null;null;84;
2015-03-09;null;null;null;null;90;
2015-03-10;null;null;null;null;82;
2015-03-11;null;null;null;null;91;
2015-03-12;null;null;null;null;75;
2015-03-13;null;null;null;null;83;
2015-03-14;null;null;null;null;86;
2015-03-15;null;null;null;null;82;
2015-03-16;null;null;null;null;85;
2015-03-17;null;null;null;null;null;
2015-03-18;null;null;null;null;84;
2015-03-19;null;null;null;null;90;
2015-03-20;null;null;null;null;87;
2015-03-21;null;null;null;null;84;
2015-03-22;null;null;null;null;null;
2015-03-23;null;null;null;null;null;
2015-03-24;null;null;null;null;78;
2015-03-25;null;null;null;null;66;
2015-03-26;null;null;null;null;69;
2015-03-27;null;null;null;null;74;
2015-03-28;null;null;null;null;79;
2015-03-29;null;null;null;null;null;
2015-03-30;null;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-01;null;null;null;null;null;
2015-04-02;null;null;null;null;null;
2015-04-03;null;null;null;null;null;
2015-04-04;null;null;null;null;null;
2015-04-05;null;null;null;null;null;
2015-04-06;null;null;null;null;null;
2015-04-07;null;null;null;null;null;
2015-04-08;null;null;null;null;null;
2015-04-09;null;null;null;null;null;
2015-04-10;null;null;null;null;null;
2015-04-11;null;null;null;null;null;
2015-04-12;null;null;null;null;null;
2015-04-13;null;null;null;null;null;
2015-04-14;null;null;null;null;null;
2015-04-15;null;null;null;null;null;
2015-04-16;null;null;null;null;null;
2015-04-17;null;null;null;null;null;
2015-04-18;null;null;null;null;null;
2015-04-19;null;null;null;null;null;
2015-04-20;null;null;null;null;null;
2015-04-21;null;null;null;null;null;
2015-04-22;null;null;null;null;null;
2015-04-23;null;null;null;null;null;
2015-04-24;null;null;null;null;null;
2015-04-25;null;null;null;null;null;
2015-04-26;null;null;null;null;null;
2015-04-27;null;null;null;null;null;
2015-04-28;null;null;null;null;null;
2015-04-29;null;null;null;null;null;
2015-04-30;null;null;null;null;null;
2015-05-01;null;null;null;null;null;
2015-05-02;null;null;null;null;null;
2015-05-03;null;null;null;null;null;
2015-05-04;null;null;null;null;null;
2015-05-05;null;null;null;null;null;
2015-05-06;null;null;null;null;null;
2015-05-07;null;null;null;null;null;
2015-05-08;null;null;null;null;null;
2015-05-09;null;null;null;null;null;
2015-05-10;null;null;null;null;null;
2015-05-11;null;null;null;null;null;
2015-05-12;null;null;null;null;null;
2015-05-13;null;null;null;null;null;
2015-05-14;null;null;null;null;null;
2015-05-15;null;null;null;null;null;
2015-05-16;null;null;null;null;null;
2015-05-17;null;null;null;null;null;
