Nome: EPITACIOLANDIA
Codigo Estacao: A140
Latitude: -11.02388888
Longitude: -68.73527777
Altitude: 224.5
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,6;25,5;22,7;83,2;57;
2015-01-02;29,8;25,1;22,4;83,6;60;
2015-01-03;27,1;23,3;23,3;93,2;79;
2015-01-04;30,2;24,7;21,9;83,8;55;
2015-01-05;30,5;25;22,4;84,3;59;
2015-01-06;32,3;25,3;20,5;80,5;47;
2015-01-07;30,5;24,9;22,3;83,9;59;
2015-01-08;31,5;25,6;22,4;83,7;53;
2015-01-09;32,6;25,1;21,9;82,7;49;
2015-01-10;31,3;25,2;22;81,6;53;
2015-01-11;31,6;25,2;22,4;84,2;55;
2015-01-12;29,7;24,3;21,9;88,5;64;
2015-01-13;31,1;25,4;22,1;80,1;51;
2015-01-14;26,7;23,3;21,5;89,9;75;
2015-01-15;30,9;24,5;20,4;83,3;56;
2015-01-16;27,9;23,7;21,8;90,5;71;
2015-01-17;29,5;23,8;21,5;87;62;
2015-01-18;29,1;24,4;22,3;86,8;60;
2015-01-19;30,3;25,3;22,6;82,7;57;
2015-01-20;27,8;23,9;22,5;88,4;71;
2015-01-21;27,8;23,8;22,1;88,5;69;
2015-01-22;28;24,1;22,5;87,6;67;
2015-01-23;30,2;24,6;22,2;86,8;57;
2015-01-24;30,8;25,3;21,2;83,4;56;
2015-01-25;30,3;25,7;22,1;81,9;58;
2015-01-26;27,1;24;23,1;90,5;75;
2015-01-27;24,9;23,2;22,1;92,7;83;
2015-01-28;30,1;24,5;21,9;85,9;59;
2015-01-29;32,8;25,6;21,6;81,5;50;
2015-01-30;28,1;24,3;22,9;89;71;
2015-01-31;29,5;24,1;21,3;85,3;58;
2015-02-01;30,8;24,8;22,1;86,1;53;
2015-02-02;32,1;25,7;20,8;80,5;49;
2015-02-03;32,9;26,8;21,9;76,9;47;
2015-02-04;32,4;26,5;21,8;77,6;50;
2015-02-05;32,2;26,5;22,4;79,7;55;
2015-02-06;32,4;27,1;23;75,8;54;
2015-02-07;29,9;26,3;23;80,2;62;
2015-02-08;32,2;25,9;22,9;83,8;55;
2015-02-09;31,4;25,7;22,8;82,8;56;
2015-02-10;28,6;25,1;23,3;86,8;68;
2015-02-11;29,6;24,4;23,1;90,5;64;
2015-02-12;31,1;24,8;22,5;86,9;55;
2015-02-13;27,3;24,2;21,8;89,4;73;
2015-02-14;29,5;24,9;23;88;65;
2015-02-15;29,5;24,8;22,6;87,7;66;
2015-02-16;32,5;26,1;21,9;81,6;53;
2015-02-17;32;26;22,5;83,1;56;
2015-02-18;25,7;23,9;23;93,2;89;
2015-02-19;28,8;24,9;22,6;87,1;73;
2015-02-20;28,1;25,5;23,5;87,1;73;
2015-02-21;26,1;22,2;20,6;90,7;76;
2015-02-22;29,8;24,4;21;84,9;59;
2015-02-23;28,2;24,2;22,5;90,1;71;
