Nome: BELEM
Codigo Estacao: A201
Latitude: -1.41111111
Longitude: -48.43944444
Altitude: 21.17
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33,2;25,8;23,2;86,3;55;
2015-01-02;32,2;26,7;22,7;79,5;55;
2015-01-03;32,2;27,1;23,9;78;55;
2015-01-04;32,1;26,6;24,1;81,3;56;
2015-01-05;27,3;24;23,1;91,1;79;
2015-01-06;32,3;24,9;22,2;86;54;
2015-01-07;32,6;25,9;22,5;85,7;56;
2015-01-08;32,7;27,2;23,3;77,6;52;
2015-01-09;33,5;26,7;23;80;49;
2015-01-10;32,5;27;23,9;82,4;54;
2015-01-11;32,8;27,1;24,2;80,5;54;
2015-01-12;32,8;27,4;24,1;77,1;53;
2015-01-13;33,9;27,6;23,5;78;50;
2015-01-14;33,3;27,1;24,3;79,7;53;
2015-01-15;32,3;26,1;23,7;86,5;58;
2015-01-16;32,7;26;23,1;84,3;55;
2015-01-17;32,7;26,5;21,7;83,2;55;
2015-01-18;32,9;27;24,1;79;51;
2015-01-19;32,8;26,1;23,4;82,5;55;
2015-01-20;31,1;25,4;22,1;87,6;64;
2015-01-21;32,7;25,5;22,5;86,8;60;
2015-01-22;32,4;25,5;22,2;87,4;54;
2015-01-23;32,2;25,6;23,2;86,9;56;
2015-01-24;31,3;26,7;23,5;78,7;55;
2015-01-25;32,5;26;23,2;83,4;54;
2015-01-26;31,5;25,6;23,6;86,3;59;
2015-01-27;33;25,8;23,5;85,3;52;
2015-01-28;33,1;26,1;22,7;83,6;51;
2015-01-29;33,4;26,4;22,9;82,2;53;
