Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;null;null;null;67,8;47;
2015-01-02;null;null;null;62,4;45;
2015-01-03;32,5;null;23,6;73,1;47;
2015-01-04;null;null;null;74,7;54;
2015-01-05;null;null;null;null;64;
2015-01-06;null;null;null;null;58;
2015-01-07;null;null;null;74,3;55;
2015-01-08;null;null;null;null;46;
2015-01-09;null;null;null;71,7;50;
2015-01-10;32,5;27;23,5;78,3;53;
2015-01-11;32,8;27,4;23,9;74;51;
2015-01-12;32,5;27,4;24,3;72,8;52;
2015-01-13;34,6;27,6;23;72,8;43;
2015-01-14;32,3;27,2;24,1;77,2;55;
2015-01-15;33,1;26,9;23,8;77,8;48;
2015-01-16;32,2;26,6;23,2;78,4;51;
2015-01-17;32,7;27;23,1;75,6;49;
2015-01-18;32,5;26,5;23,6;77,4;50;
2015-01-19;31,9;26,3;22,2;78;52;
2015-01-20;33,3;26,6;23,4;78,8;46;
2015-01-21;34;25,7;22,9;80,7;46;
2015-01-22;33,5;26;22,5;81;48;
2015-01-23;32,8;26,8;23,3;73,8;46;
2015-01-24;32,5;null;23,6;68,2;46;
2015-01-25;34;null;22,7;71,1;45;
2015-01-26;31,7;null;23,8;72,2;53;
2015-01-27;33,9;null;23,3;74,9;45;
2015-01-28;null;null;null;72,1;49;
2015-01-29;33;null;22,1;72,2;50;
2015-01-30;33;null;24;64,2;48;
2015-01-31;32,3;null;23,1;74;51;
2015-02-01;null;null;null;null;58;
2015-02-02;null;null;null;null;61;
2015-02-03;null;null;null;null;77;
2015-02-04;null;null;null;null;59;
2015-02-05;null;null;null;null;53;
2015-02-06;null;null;null;null;66;
2015-02-07;null;null;null;null;59;
2015-02-08;null;null;null;null;55;
2015-02-09;null;null;null;null;61;
2015-02-10;null;null;null;null;56;
2015-02-11;null;null;null;null;49;
2015-02-12;null;null;null;62,8;51;
2015-02-13;null;null;null;null;50;
2015-02-14;null;null;null;64,2;50;
2015-02-15;33,2;27;22,9;77,1;48;
2015-02-16;32,3;26,8;24;79,1;56;
2015-02-17;32,2;26,8;23,9;80;56;
2015-02-18;30,3;25,2;23;86,1;67;
2015-02-19;29,1;25,2;23;83,9;65;
2015-02-20;31,8;25,6;22,7;81,3;55;
2015-02-21;28,7;25,1;22,5;79,4;58;
2015-02-22;29,9;25,3;23,2;81,5;60;
2015-02-23;30,3;25,2;22,6;81;57;
2015-02-24;30,7;26,4;23,3;78,5;60;
2015-02-25;32,8;26,4;23;78,8;50;
2015-02-26;33,4;27,6;23,7;74,2;48;
2015-02-27;32,4;25,9;23,5;83;52;
2015-02-28;31,9;25,8;23,1;83,9;58;
2015-03-01;32,9;25,4;22,5;84,6;54;
2015-03-02;30,1;24,5;22,7;88,4;65;
2015-03-03;30,9;24,7;23,2;89,6;60;
2015-03-04;30,5;25,6;23;83,9;61;
2015-03-05;31,4;24,5;22,8;87,4;57;
2015-03-06;28,4;25,1;23;85,9;71;
2015-03-07;27,4;24,9;22,1;87,4;77;
2015-03-08;31,5;25,7;23,4;84,4;58;
2015-03-09;31,4;null;22,8;84,1;60;
2015-03-10;29,9;null;24,2;84,4;67;
2015-03-11;27,7;null;23,8;86,1;75;
2015-03-12;null;null;null;77,9;54;
2015-03-13;null;null;null;83,1;62;
2015-03-14;null;null;null;79,6;59;
2015-03-15;32,1;null;24,3;86,6;58;
2015-03-16;null;null;null;null;75;
2015-03-17;null;null;null;null;65;
2015-03-18;null;null;null;66,9;55;
2015-03-19;null;null;null;null;58;
2015-03-20;null;null;null;null;62;
2015-03-21;null;null;null;null;58;
2015-03-22;null;null;null;null;76;
2015-03-23;null;null;null;null;56;
2015-03-24;null;null;null;null;52;
2015-03-25;null;null;null;79,5;55;
2015-03-26;32,8;null;23,7;77,6;53;
2015-03-27;32,8;null;24,8;81,9;53;
2015-03-28;33;null;23,3;81,7;55;
2015-03-29;null;null;null;77,2;62;
2015-03-30;30,5;null;23,7;84,6;65;
2015-03-31;null;null;null;null;64;
2015-04-01;null;null;null;null;69;
2015-04-02;null;null;null;76,5;61;
2015-04-03;null;null;null;66,9;48;
2015-04-04;30,6;null;23;71,6;54;
2015-04-05;27,8;null;23,9;84,4;69;
2015-04-06;null;null;null;80;59;
2015-04-07;null;null;null;83,2;65;
2015-04-08;30,3;25,9;23,7;83,5;63;
2015-04-09;29,4;25,3;23,3;87,1;69;
2015-04-10;null;null;24,2;84;73;
2015-04-11;null;null;null;76;58;
2015-04-12;null;null;24,8;null;79;
2015-04-13;null;null;null;79,8;61;
2015-04-14;null;null;null;null;69;
2015-04-15;null;null;null;null;61;
2015-04-16;null;null;null;null;64;
2015-04-17;null;null;null;80,8;59;
2015-04-18;null;null;null;84,1;61;
2015-04-19;null;null;null;null;70;
2015-04-20;null;null;null;70,5;54;
2015-04-21;31,7;null;25;79,8;56;
2015-04-22;31,2;null;24,6;82,6;63;
2015-04-23;null;null;null;75,1;59;
2015-04-24;31,9;null;24,2;80,1;56;
2015-04-25;31,3;null;24,2;86,1;63;
2015-04-26;null;null;24,4;84,4;61;
2015-04-27;null;null;null;null;63;
2015-04-28;null;null;null;76,5;55;
2015-04-29;32,8;null;24,1;81,1;53;
2015-04-30;33;null;23,7;76,1;49;
2015-05-01;33,5;null;23,8;81,3;55;
2015-05-02;31,6;null;24,1;84,1;60;
2015-05-03;null;null;null;null;68;
2015-05-04;null;null;null;78,5;57;
2015-05-05;null;null;null;80,3;55;
2015-05-06;null;null;null;78,7;60;
2015-05-07;null;null;null;77,7;57;
2015-05-08;29,3;null;24,5;85,5;70;
2015-05-09;null;null;null;73,1;55;
2015-05-10;32,8;null;24,2;76,6;52;
2015-05-11;32,9;null;23,3;74,6;52;
2015-05-12;32,8;27,6;22,9;74,9;52;
2015-05-13;32,9;27,5;23,7;76;50;
2015-05-14;33,4;26,7;23,9;80,6;52;
2015-05-15;28,9;25,9;24,7;84,1;70;
2015-05-16;33;null;24,1;72,9;52;
2015-05-17;32,2;null;23,3;80,8;57;
2015-05-18;32,1;null;23,7;82,5;57;
2015-05-19;null;null;24,9;82,1;67;
2015-05-20;null;null;null;76,9;55;
2015-05-21;32,4;null;24,2;74,2;57;
2015-05-22;32,5;27,6;23,2;75,7;53;
2015-05-23;32,4;26,6;23,2;81,6;61;
2015-05-24;32,6;null;24,1;79,2;56;
2015-05-25;31,3;null;24;86,9;64;
2015-05-26;null;null;null;79,9;63;
2015-05-27;null;null;null;81,3;65;
2015-05-28;32;null;23,9;82,8;59;
2015-05-29;null;null;null;71,4;54;
2015-05-30;32,8;null;24,6;72,1;51;
2015-05-31;33,2;27,6;24,2;77,2;54;
2015-06-01;32,6;27,2;23,8;79,4;55;
2015-06-02;32,2;null;23,6;79,3;55;
2015-06-03;33,2;26,3;22,7;80,5;52;
2015-06-04;32,8;26,5;23,2;80,7;55;
2015-06-05;32,2;25,8;23;84,3;58;
2015-06-06;32;25,3;23,1;85,8;56;
2015-06-07;32,9;26,8;23;79,8;54;
2015-06-08;32,4;26,5;23,8;81,5;56;
2015-06-09;32,2;26,3;23,4;81,5;57;
2015-06-10;31,3;25,5;22,6;85,4;60;
2015-06-11;30,7;24,4;22,2;88,5;62;
2015-06-12;33,3;26,5;22,7;81,1;50;
2015-06-13;32,8;26,5;23,4;80,7;54;
2015-06-14;32,6;26,6;22,8;78,9;54;
2015-06-15;32,2;26,3;22,6;80;55;
2015-06-16;32,7;26,9;22;76,2;51;
2015-06-17;32,5;26,7;23,7;79,2;53;
2015-06-18;32,5;26,6;23,6;79;53;
2015-06-19;33,1;26,3;22,3;78;48;
2015-06-20;32,7;26,4;23,6;79,2;53;
2015-06-21;32,5;25,6;21,9;82,3;53;
2015-06-22;30;25,4;23,1;84,9;65;
2015-06-23;31,6;25,7;22;82;57;
2015-06-24;33;26,7;22,6;77,6;51;
2015-06-25;32,1;26,7;22,4;76,6;51;
2015-06-26;31,9;25,1;22,9;83,5;58;
2015-06-27;32,1;26,2;22,2;77,9;51;
2015-06-28;32,5;26,6;22,2;77,5;51;
2015-06-29;32,4;26,3;23,7;81,2;54;
2015-06-30;31,9;26,1;22,6;81,8;57;
2015-07-01;32,5;26,2;22,6;82,2;57;
2015-07-02;30,5;25,9;23,7;83,7;65;
2015-07-03;32,5;27,2;23,1;74,8;49;
2015-07-04;32,7;27,1;22,9;73,6;48;
2015-07-05;null;null;23,7;null;78;
2015-07-06;null;null;null;null;null;
2015-07-07;null;null;null;null;null;
2015-07-08;null;null;null;null;null;
2015-07-09;null;null;null;null;null;
2015-07-10;null;null;null;null;null;
2015-07-11;null;null;null;null;null;
2015-07-12;null;null;null;null;null;
2015-07-13;null;null;null;null;null;
2015-07-14;null;null;null;null;null;
2015-07-15;null;null;null;null;null;
2015-07-16;null;null;null;null;null;
2015-07-17;null;null;null;null;null;
2015-07-18;null;null;null;null;null;
2015-07-19;null;null;null;null;null;
2015-07-20;null;null;null;null;null;
2015-07-21;null;null;null;null;null;
2015-07-22;null;null;null;null;null;
2015-07-23;null;null;null;null;null;
2015-07-24;null;null;null;null;null;
2015-07-25;null;null;null;null;null;
2015-07-26;null;null;null;null;null;
2015-07-27;null;null;null;null;null;
2015-07-28;null;null;null;null;null;
2015-07-29;null;null;null;null;null;
2015-07-30;null;null;null;null;null;
2015-07-31;null;null;null;null;null;
2015-08-01;null;null;null;null;null;
2015-08-02;null;null;null;null;null;
2015-08-03;null;null;null;null;null;
2015-08-04;null;null;null;null;null;
2015-08-05;null;null;null;null;null;
2015-08-06;null;null;null;null;null;
2015-08-07;null;null;null;null;null;
2015-08-08;null;null;null;null;null;
2015-08-09;null;null;null;null;null;
2015-08-10;null;null;null;null;null;
2015-08-11;null;null;null;null;null;
2015-08-12;null;null;null;null;null;
2015-08-13;null;null;null;null;null;
2015-08-14;null;null;null;null;null;
2015-08-15;null;null;null;null;null;
2015-08-16;null;null;null;null;null;
2015-08-17;null;null;null;null;null;
2015-08-18;null;null;null;null;null;
2015-08-19;null;null;null;null;null;
2015-08-20;null;null;null;null;null;
2015-08-21;null;null;null;null;53;
2015-08-22;32,7;27,1;22,7;72,7;47;
2015-08-23;32,5;26,4;22,5;76;49;
2015-08-24;32,6;26,6;24,1;80,6;53;
2015-08-25;31,8;26,8;23,5;78,2;56;
2015-08-26;32,5;27;21,9;72,5;49;
2015-08-27;32,9;27,2;23;72,5;45;
2015-08-28;31,8;27;23,7;74,9;51;
2015-08-29;31,5;26,8;23,6;75,8;56;
2015-08-30;32,5;26,9;22,6;72,4;50;
2015-08-31;32,6;26,9;22,4;73,8;50;
2015-09-01;33,2;27,1;22,8;75,9;48;
