Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;30,8;24,8;21,9;80,5;52;
2015-01-02;31,4;25,5;21,8;77,7;52;
2015-01-03;32,1;26,2;22,2;73,3;48;
2015-01-04;31,3;26,6;23,5;74,3;52;
2015-01-05;28;24,4;22,1;83,2;68;
2015-01-06;30,3;24,7;20,8;77,1;51;
2015-01-07;31,3;26,2;22,1;71,5;48;
2015-01-08;30,8;26,4;22,6;73,3;50;
2015-01-09;31,4;26,5;23,3;72,7;50;
2015-01-10;31,9;26,9;23,3;72,6;52;
2015-01-11;28,1;24,3;22,6;86,7;66;
2015-01-12;28,2;24,6;22,2;81,6;63;
2015-01-13;30,1;24,8;21,7;81;52;
2015-01-14;26,4;23,7;22,4;87,6;72;
2015-01-15;28,4;24,5;22,2;84,8;65;
2015-01-16;27,1;24,1;23,3;84,4;74;
2015-01-17;30,3;24,2;20,8;80,7;55;
2015-01-18;29,9;25,5;22,9;80,8;59;
2015-01-19;25,8;23,5;22,5;90,5;79;
2015-01-20;25,8;23;21;87,7;69;
2015-01-21;30;24,8;21,1;76,8;49;
2015-01-22;29,5;25,2;22,2;79,5;58;
2015-01-23;26,4;24;23;88,1;73;
2015-01-24;27,3;23,1;22,4;90,5;69;
2015-01-25;28,6;24,4;21,7;84,2;59;
2015-01-26;29,1;24,4;22,1;82,2;55;
2015-01-27;30,6;25,7;22,3;75,9;52;
2015-01-28;30,9;25,7;22,6;76,4;53;
2015-01-29;31,7;26,4;23,1;75,4;52;
2015-01-30;31,5;26,9;23,9;74;50;
2015-01-31;31,3;26,8;23,6;75,5;52;
2015-02-01;30,7;25,7;23,7;83,2;56;
2015-02-02;26,2;23,3;21;88,7;74;
2015-02-03;26,5;23,8;21,4;87,6;65;
2015-02-04;30;24,3;21,1;83,6;59;
2015-02-05;27,1;23,8;22,6;88,9;71;
2015-02-06;28,6;24,2;21,8;83,9;62;
2015-02-07;30,2;25,5;22,8;80,5;53;
2015-02-08;30,3;25,2;22,4;81,6;58;
2015-02-09;25,5;23,7;21,5;91,3;83;
2015-02-10;27,2;24,2;21,8;87;70;
2015-02-11;29,4;25,3;22,2;84,7;63;
2015-02-12;29;25,1;22,3;83,8;63;
2015-02-13;30,4;25,7;23,1;81,1;58;
2015-02-14;29,5;25,4;23,1;81,8;63;
2015-02-15;30,4;26,1;23,3;79,6;57;
2015-02-16;30,2;24,8;23,6;87,7;62;
2015-02-17;29,2;24,9;22,2;85,2;62;
2015-02-18;27,5;23,9;22,8;88,5;73;
2015-02-19;28,9;24,7;22,1;81,8;57;
2015-02-20;26,2;24,2;23,3;85,8;72;
2015-02-21;28,7;24,6;22,2;81,8;59;
2015-02-22;27,3;23,8;23,1;85,5;69;
2015-02-23;27,3;23,2;20,8;87,4;68;
2015-02-24;30;25,1;22,4;81,7;54;
2015-02-25;29,9;25,7;23,2;80,1;62;
2015-02-26;28,7;25,2;22,8;85,7;69;
2015-02-27;28,4;25;22,8;87;67;
2015-02-28;31;25,3;20,9;76,8;51;
2015-03-01;31,1;25,7;23,1;82,5;55;
2015-03-02;28,7;24,7;23,1;87;62;
2015-03-03;30,1;25,3;22,6;78,7;51;
2015-03-04;30,5;25;22,3;83,3;55;
2015-03-05;30,3;24,8;22,5;84,2;57;
2015-03-06;28,1;23,9;21,7;85,8;66;
2015-03-07;30;24,8;22,4;82,2;55;
2015-03-08;29,8;25,6;23,1;81,4;57;
2015-03-09;29,8;25,7;23,3;83,7;61;
2015-03-10;29,9;25,1;23,3;87,3;61;
2015-03-11;28,5;24,6;22,9;89,5;68;
2015-03-12;28,6;24,9;23;87,2;64;
2015-03-13;26,9;24,4;23,4;90,8;76;
2015-03-14;26,1;24,1;22,4;91,3;78;
2015-03-15;29,1;24,9;22,9;87,4;63;
2015-03-16;26,5;24,2;23,3;89,2;74;
2015-03-17;28,9;24,4;22,4;86,7;65;
2015-03-18;27,2;24,3;22,4;87,3;70;
2015-03-19;26,8;24,4;22,5;90,4;77;
2015-03-20;27;23,7;21,5;88,5;67;
2015-03-21;25,6;23,8;22,6;89,1;76;
2015-03-22;30;24,4;21,7;83,2;53;
2015-03-23;24,5;23,1;22,5;92,7;85;
2015-03-24;28,1;24;21,7;87,9;66;
2015-03-25;30;25;21,7;80,8;52;
2015-03-26;30,3;25,9;23,4;80,8;55;
2015-03-27;30,7;26,1;23;82,4;56;
2015-03-28;30,6;25,9;22,3;80,3;60;
2015-03-29;29,6;25,7;23,9;85;63;
2015-03-30;27,5;24,4;23,2;88,9;73;
2015-03-31;28,5;24,6;22,5;88;64;
2015-04-01;26,3;23,8;22,5;90,8;77;
2015-04-02;25,8;23,5;22,1;90,9;77;
2015-04-03;29,2;24,6;22,2;85,3;59;
2015-04-04;30,1;25,5;22,3;77,1;54;
2015-04-05;30,1;25,8;23,2;77,4;56;
2015-04-06;30,5;25,8;22,6;80,2;56;
2015-04-07;29,2;24,6;22,5;87,5;58;
2015-04-08;28,9;24,9;22,9;84,8;60;
2015-04-09;28,7;25,2;22,8;86,3;66;
2015-04-10;27,5;24,3;23,4;87,5;67;
2015-04-11;29;25,1;22,5;85,6;63;
2015-04-12;30,3;25,8;23;85,5;58;
2015-04-13;28,8;24,4;23,3;90;66;
2015-04-14;28,6;24,6;22,9;84,8;63;
2015-04-15;29,8;25,3;22,1;83,2;58;
2015-04-16;29,4;25,6;23,4;83;63;
2015-04-17;30,4;25,6;22,2;83,6;58;
2015-04-18;29,7;25,4;22,6;85,3;63;
2015-04-19;30,4;25,1;22,1;84,5;60;
2015-04-20;28,8;25,4;23,3;85,5;68;
2015-04-21;31,2;26;23,1;82,4;56;
2015-04-22;30,5;25,5;23,1;84,7;56;
2015-04-23;30;25,8;23,2;81,8;60;
2015-04-24;30,1;25,6;23,5;84,8;61;
2015-04-25;30;25,4;23,1;85,9;61;
