Nome: PACAJA
Codigo Estacao: A210
Latitude: -3.8436111
Longitude: -50.63805555
Altitude: 89.02
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,4;25,7;21,7;62,7;39;
2015-01-02;32,4;26,6;22,4;59;34;
2015-01-03;32,9;27;23,4;58,8;32;
2015-01-04;31,9;26;22,8;63,8;36;
2015-01-05;29,8;25,6;22,7;62,6;43;
2015-01-06;31,6;25,8;22,2;60;34;
2015-01-07;32,8;26,5;22;59,6;33;
2015-01-08;32,1;26,5;21,9;56,8;36;
2015-01-09;31,9;26,4;22,2;60,2;37;
2015-01-10;31,7;26,4;23,3;64,7;42;
2015-01-11;29,4;25,6;23,5;66,9;50;
2015-01-12;31,6;25,6;23;68,1;42;
2015-01-13;32;25,8;22,7;66;38;
2015-01-14;26,1;23,8;22,1;74,3;66;
2015-01-15;31,5;26,2;22,1;66,7;39;
2015-01-16;29;25,3;22,7;69;50;
2015-01-17;30,9;25,5;22,2;67,5;44;
2015-01-18;30,1;25,1;21,9;67,5;46;
2015-01-19;28,3;24,8;22,5;69,9;48;
2015-01-20;28,8;24,5;21,2;67,2;48;
2015-01-21;29,6;25;21,3;64,3;44;
2015-01-22;29,8;25;22,3;66,9;47;
2015-01-23;29,4;25,1;22,4;64,4;41;
2015-01-24;27,7;24;21,7;70,4;49;
2015-01-25;30,8;25,2;21,1;63;37;
2015-01-26;30,7;25,3;21,9;61,5;40;
2015-01-27;31,5;25,8;21,9;61,8;34;
2015-01-28;32,5;26,7;22,4;60,2;34;
2015-01-29;33,5;27,3;23,2;59;33;
2015-01-30;32,7;27,4;24,1;58,2;35;
2015-01-31;32,1;27,1;23,7;60;37;
2015-02-01;31,7;27,2;24,2;62;40;
2015-02-02;28,1;24,3;21,4;70,5;52;
2015-02-03;29,5;25,5;22,4;66;49;
2015-02-04;31,4;25,8;21,8;63;40;
2015-02-05;27,4;24,6;23,1;73;58;
2015-02-06;29,5;25,2;22,8;69,3;46;
2015-02-07;30,7;26,1;23,4;65,8;43;
2015-02-08;31,4;26,2;23;66,8;44;
2015-02-09;30,1;25,4;21;69,1;51;
2015-02-10;30,6;24,8;21,7;69,5;45;
2015-02-11;30,6;25,2;22,2;69,1;46;
2015-02-12;30;25,2;22,6;69,2;50;
2015-02-13;31,8;27;23,4;64,7;43;
2015-02-14;31,4;26,6;23,5;64,3;42;
2015-02-15;32;26,5;24,1;64,8;40;
2015-02-16;29,6;25,9;23,5;69;52;
2015-02-17;31,6;27;23,9;62,9;43;
2015-02-18;29,5;24,7;22,9;71,6;53;
2015-02-19;30,2;25,3;22,3;66,5;45;
2015-02-20;27,8;24,5;23,4;71,8;55;
2015-02-21;29,3;25,2;22,5;66,3;44;
2015-02-22;25,5;22,9;21;76,2;65;
2015-02-23;28,9;24,3;21,1;68;47;
2015-02-24;31,4;25,8;22,6;64,2;39;
2015-02-25;31,7;26;23,1;65,8;41;
2015-02-26;29,8;25,6;23;68,3;48;
2015-02-27;31,9;26,3;23,7;66,8;43;
2015-02-28;31,8;25,5;21,7;66,3;40;
2015-03-01;32,3;26,6;23;66,1;39;
2015-03-02;31,8;26,2;22,3;63,1;39;
2015-03-03;31,9;25,7;22,8;64,6;41;
2015-03-04;29,3;24,5;22,5;72;54;
2015-03-05;31,8;25,8;22,8;66,7;40;
2015-03-06;29,2;24,1;21,8;71,2;49;
