Nome: PARAGOMINAS
Codigo Estacao: A212
Latitude: -2.90055555
Longitude: -47.49499999
Altitude: 88
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;34,1;26,8;22,6;74,7;43;
2015-01-02;34,5;27,2;21,2;71;41;
2015-01-03;34;26,5;21,8;75,5;46;
2015-01-04;34,9;26,2;22,2;76,5;41;
2015-01-05;31,1;24,8;20,9;84,4;56;
2015-01-06;33,6;27,1;21,4;72,7;40;
2015-01-07;33,8;26,5;22,1;77,1;46;
2015-01-08;33,4;26,2;21,1;76,3;47;
2015-01-09;33,7;27,6;22;71,3;45;
2015-01-10;33,6;27,6;22,7;73,4;48;
2015-01-11;32,7;26,4;23,3;79,1;54;
2015-01-12;32,5;25,9;22,2;84,6;54;
2015-01-13;33,4;26,4;21,9;77,5;49;
2015-01-14;29,8;26,5;24,1;80,5;65;
2015-01-15;33;27,6;22,6;71,6;45;
2015-01-16;31,7;26,9;22,6;73,7;53;
2015-01-17;33,1;27,7;23,8;70,9;47;
2015-01-18;32,1;26,8;23,1;74,5;53;
2015-01-19;31,9;25,5;21,6;82,7;51;
2015-01-20;31,8;25,9;23;81,9;55;
2015-01-21;31,3;25,2;21,7;84,2;59;
2015-01-22;32,4;26;23;80,5;53;
2015-01-23;30,8;26,1;23,4;80;57;
2015-01-24;30,8;25,6;23;81,7;60;
2015-01-25;32,4;25,8;22,3;82;52;
2015-01-26;28,9;25;22,7;86,1;65;
2015-01-27;33,1;26,8;22,1;75,3;45;
2015-01-28;33,6;26,9;22;74,1;45;
2015-01-29;33,2;27,1;21,7;73,5;49;
2015-01-30;32,7;26,9;21,8;74,4;51;
2015-01-31;32,5;25,9;21,8;80,3;54;
2015-02-01;32,8;26,4;22,6;79,3;52;
2015-02-02;31,8;25,6;22;81,5;56;
2015-02-03;31,5;25;22;83,8;57;
2015-02-04;32,9;26;23,4;81;50;
2015-02-05;30,4;25,1;23,2;84,7;64;
2015-02-06;32;25,3;22,5;84,8;56;
2015-02-07;30,5;26;23,3;84;60;
2015-02-08;32,3;26,7;23,4;81,1;54;
2015-02-09;33;27,1;23,2;79,5;56;
2015-02-10;30,9;25,9;22,9;82,3;61;
2015-02-11;32,6;26,8;23,5;81,4;57;
2015-02-12;31,7;26,9;23,2;80,7;58;
2015-02-13;32,5;26,6;22,4;79,8;56;
2015-02-14;31,6;26,7;23,1;80,2;59;
2015-02-15;32,1;26,8;22,6;78,8;55;
2015-02-16;32,4;26,4;23,3;81,3;56;
2015-02-17;32,7;26,5;23,9;80,3;55;
2015-02-18;29,6;24,4;22,9;90,5;71;
2015-02-19;25,8;23,6;22;91,7;85;
2015-02-20;30,9;24,9;22,6;86,9;60;
2015-02-21;28,5;24,2;21,2;86,8;71;
2015-02-22;25,2;23,3;21,3;89,6;81;
2015-02-23;29,3;24,5;21,8;86,1;63;
2015-02-24;31,3;25,4;21,9;83,1;57;
2015-02-25;30,7;25,3;22;86,5;65;
2015-02-26;32,5;26;23,7;85,1;56;
2015-02-27;30,5;24,8;22,8;89,5;67;
2015-02-28;31,5;25,5;21;85,3;59;
2015-03-01;33,1;25,4;21,5;83,1;53;
2015-03-02;31,1;25,6;23,2;84,5;61;
2015-03-03;31,1;25;22,2;86;62;
2015-03-04;31,5;25,4;23,2;88,2;60;
2015-03-05;32,6;24,9;22,5;87,5;56;
2015-03-06;31,5;24,4;21,8;88,6;61;
2015-03-07;30,2;24,5;21,1;86,4;67;
2015-03-08;31,1;25,4;23;87,5;63;
2015-03-09;31,7;25,5;23;88,5;62;
2015-03-10;30,8;25,3;23,4;90,5;68;
2015-03-11;32,3;26,1;23,2;84,9;57;
2015-03-12;32,8;26,6;23,1;81,3;54;
2015-03-13;32,9;26,7;23,9;84,2;58;
2015-03-14;32,3;26,2;23,6;86,3;60;
2015-03-15;31,9;26,1;22,8;85,9;64;
2015-03-16;32;25,7;23,6;87,6;62;
2015-03-17;32;25,3;23,5;87,3;62;
2015-03-18;31;25,1;22,5;86,8;58;
2015-03-19;32,1;25,8;23,1;85,4;59;
2015-03-20;26,4;23,2;22,9;93,4;85;
2015-03-21;30,3;24,8;21,4;85,9;65;
2015-03-22;30;24,6;21,7;88,1;67;
2015-03-23;31,9;25,7;22,5;82,9;57;
2015-03-24;32,7;26,4;23,3;82,1;55;
2015-03-25;30,4;25,2;22,9;87,7;66;
2015-03-26;33;26,4;22,8;82,8;53;
2015-03-27;32,3;26,2;23,4;85,1;61;
2015-03-28;32,7;25,7;22,8;87,9;60;
2015-03-29;32,6;26;22,3;85;57;
2015-03-30;31,8;26,4;22,5;83,8;57;
2015-03-31;30,5;25,3;23,9;91,1;67;
2015-04-01;32,4;26,1;23,3;85,7;60;
2015-04-02;30,3;25,1;22,6;88;65;
2015-04-03;30,5;25,8;22,4;83,9;62;
2015-04-04;31,9;25,6;21,2;82,9;54;
2015-04-05;31,3;24,7;22,3;88,5;63;
2015-04-06;31,6;25,4;22,4;86,8;63;
2015-04-07;32,3;26,2;23,2;84,2;57;
2015-04-08;31,1;25,6;22,6;87,3;66;
2015-04-09;31;25,7;22,8;86,3;60;
2015-04-10;30,3;25,4;21,5;87,3;68;
2015-04-11;32,1;26,4;22,9;84,8;59;
2015-04-12;29,8;25,1;23,7;90,5;70;
2015-04-13;32;26;23;86;60;
2015-04-14;31,7;25,4;22;89;63;
2015-04-15;31,8;25,5;22,9;86,7;61;
2015-04-16;31,7;25,7;23,3;86,8;60;
2015-04-17;32;25,6;22,5;87;61;
2015-04-18;32,2;25,9;22,4;86,2;59;
2015-04-19;31,1;25,1;22,3;88,1;63;
2015-04-20;31,6;26,2;23,3;84,3;61;
2015-04-21;32,4;27;23,3;81,1;55;
2015-04-22;31,3;25,8;22,3;85,5;61;
2015-04-23;32,2;25,8;22,5;86,2;58;
2015-04-24;31,6;26,1;23,1;85,1;61;
2015-04-25;32,1;26,1;22,8;84,2;58;
2015-04-26;32,4;25,4;22,9;87,3;57;
2015-04-27;31,9;26,4;22,1;83,4;57;
2015-04-28;32,3;25,8;22,3;85,3;59;
2015-04-29;32,4;26,5;22,1;81,3;55;
2015-04-30;31;26,2;22,6;83,8;63;
2015-05-01;32,2;25,8;22,3;84,7;59;
2015-05-02;29,3;25;22,9;89;76;
2015-05-03;29,4;24,2;21,7;90,4;74;
2015-05-04;31,4;25,5;22,2;84,3;62;
2015-05-05;32,1;26;22,4;83,4;54;
2015-05-06;32,2;25,6;22,1;84,8;57;
2015-05-07;32,4;25,5;21,8;86,2;57;
2015-05-08;31,5;25,8;23,7;87,6;62;
2015-05-09;32,6;26;22,9;85,7;58;
2015-05-10;31,8;26,6;23,8;82,9;55;
2015-05-11;32,4;26,7;21,8;80,2;53;
2015-05-12;32,4;26,7;22,1;81,4;57;
2015-05-13;32,6;26,8;22;80,4;53;
2015-05-14;32,6;26,9;22;79,8;51;
2015-05-15;29,9;26;23,3;84,8;67;
2015-05-16;32,2;25,9;22,2;85,7;55;
2015-05-17;32,1;27,1;23,5;80;57;
2015-05-18;31,9;26,7;24;81,3;56;
2015-05-19;33,1;26,9;24,1;82,6;54;
2015-05-20;32,7;26,8;23,7;82,8;53;
2015-05-21;31,8;26,4;23,9;84,5;59;
2015-05-22;31,3;25,9;22,4;84,6;63;
2015-05-23;31,9;26,3;22,3;86,1;60;
2015-05-24;31,8;26,7;23,2;82,4;61;
2015-05-25;31,4;26,1;22,8;87,3;61;
2015-05-26;32,2;26,8;23,1;83,3;58;
2015-05-27;32,1;25,8;23,2;86;58;
2015-05-28;31,9;26,3;22,1;82,4;59;
2015-05-29;32;26,3;22,6;82,9;60;
2015-05-30;32,3;26,2;22;82,1;55;
2015-05-31;32,5;26,5;21,6;81,5;56;
2015-06-01;32,4;26,2;22;82,6;56;
2015-06-02;32,7;26,3;22,3;82,6;53;
2015-06-03;32,3;26,9;21,6;78,1;53;
2015-06-04;31,6;25,8;22,9;85,7;61;
2015-06-05;28,7;24,1;23,2;92;75;
2015-06-06;32,1;26;22,4;83,8;57;
2015-06-07;32,4;26,1;22;83,3;56;
2015-06-08;31,6;25,9;21,9;83,8;59;
2015-06-09;30,9;25,2;22;85,4;61;
2015-06-10;32,2;26,3;21,8;81,8;56;
2015-06-11;32,6;26,6;21,8;80,1;56;
2015-06-12;32,5;26,6;22,1;79,1;54;
2015-06-13;32,6;26,7;22,8;81,3;54;
2015-06-14;32,3;26,1;22,8;83,4;52;
2015-06-15;32,4;26,3;21,6;80,1;51;
2015-06-16;32,9;26;20,4;80,3;53;
2015-06-17;32,3;26,6;22,3;79,8;54;
2015-06-18;32,4;26,2;21,5;78,9;49;
2015-06-19;33,5;26,4;20,8;77,9;45;
2015-06-20;32,8;26,6;22,1;77;50;
2015-06-21;33,1;26;20,9;79,6;50;
2015-06-22;31,5;25,1;22,4;84,6;58;
2015-06-23;32,4;25,9;20,6;78,4;50;
2015-06-24;32,3;25,5;20,5;81;50;
2015-06-25;31,9;25,5;21,5;83;56;
2015-06-26;32,1;25,9;21,4;79,6;52;
2015-06-27;32,2;26,2;21,2;76,5;49;
2015-06-28;32,4;25,5;19,8;77,3;47;
2015-06-29;33,3;25,9;19,8;77,3;49;
2015-06-30;31,7;25,9;21,9;80,3;54;
2015-07-01;32,4;25,9;21,3;81,6;53;
2015-07-02;32,8;26,1;22,3;83,7;55;
2015-07-03;31,8;26;22,9;84,4;58;
2015-07-04;32,1;26,7;23,4;80,3;54;
2015-07-05;32,1;26,4;22,1;81,8;58;
2015-07-06;32,2;26,5;22;79,8;53;
2015-07-07;32,9;26,8;22;78,1;51;
2015-07-08;32,7;26,3;21,5;78,9;51;
2015-07-09;32,5;26,3;21,3;78,1;50;
2015-07-10;33,1;26,8;21,4;76,2;49;
2015-07-11;32,8;26,3;21;76,6;48;
2015-07-12;32,9;27;22;73,4;47;
2015-07-13;32,4;25,7;20,4;79,2;51;
2015-07-14;32,4;26,1;20,7;76,6;47;
2015-07-15;32,5;25;19,3;78,1;46;
2015-07-16;32,9;25,5;19,5;75;44;
2015-07-17;33,4;25,6;19,7;75;42;
2015-07-18;33,1;27,3;22,9;70,5;46;
2015-07-19;33,1;26,8;23,4;74,9;47;
2015-07-20;33,2;26,4;20,4;75,5;44;
2015-07-21;33,3;27,3;22,5;74,7;48;
2015-07-22;33,5;26,5;21,3;76;45;
2015-07-23;33,3;25,3;21,3;82,3;49;
2015-07-24;32,8;26,5;21,9;78,5;50;
2015-07-25;32,5;26,3;22,2;78;50;
2015-07-26;31,9;26,5;23,2;78,1;54;
2015-07-27;32,3;26,2;21,8;77,8;50;
2015-07-28;33,4;26,4;21,9;77,2;46;
2015-07-29;32,8;26,3;22,1;79,5;53;
2015-07-30;32,7;26,4;22,8;78;48;
2015-07-31;33,4;26,6;22,2;75,1;43;
2015-08-01;33,7;25,5;18,5;74,4;43;
2015-08-02;33,8;26,2;20;73,8;40;
2015-08-03;33,3;26;20,4;75,4;44;
2015-08-04;33,9;26,8;20,9;73,8;43;
2015-08-05;33,5;26,6;20,7;74,5;42;
2015-08-06;33,6;26,4;20,9;74,6;43;
2015-08-07;33,6;26,9;22,2;74,8;46;
2015-08-08;33,2;27,1;21,8;72,8;44;
2015-08-09;34;26,6;20,4;73,5;42;
2015-08-10;32,9;26,1;19,8;74,9;44;
2015-08-11;33;26,3;20,9;73,5;41;
2015-08-12;33,7;26,2;20,7;72,4;41;
2015-08-13;33,1;25,4;19,1;70,5;34;
2015-08-14;33,1;25,3;18,4;71;38;
2015-08-15;34,4;26,6;20,5;70,1;36;
2015-08-16;34,4;26,5;20,4;73,5;42;
2015-08-17;34,2;28;23,9;68,4;41;
2015-08-18;34,7;26,5;20,3;71,6;37;
2015-08-19;33,6;26,6;21,4;73,4;39;
2015-08-20;33,4;27;22,5;72,7;43;
2015-08-21;34;27,1;22;72,6;44;
2015-08-22;34,4;27,7;21,6;69,4;43;
2015-08-23;34,1;27,2;21,5;72,1;46;
2015-08-24;33,2;27,5;23,7;73,7;48;
2015-08-25;33,3;27,6;24,6;72,3;49;
2015-08-26;34,2;27,5;22,7;67,5;39;
2015-08-27;34,9;27,5;20,6;68,2;41;
2015-08-28;32,6;27,4;22,9;71,9;50;
2015-08-29;33,7;27,3;22,7;72,3;49;
2015-08-30;33,3;27,1;21,6;70,5;47;
2015-08-31;33,8;26,9;21,3;72,8;45;
2015-09-01;33,9;27,2;22,3;70,8;39;
2015-09-02;33,7;27;23;74,3;47;
2015-09-03;34,4;28;23,6;70,5;45;
2015-09-04;33,8;27,7;21,7;71,2;47;
2015-09-05;32,7;27,3;22,5;73,3;54;
2015-09-06;33,8;27,6;22,7;71,2;46;
2015-09-07;34;27,2;21,7;71,7;47;
2015-09-08;34,2;27,2;21,5;70;40;
2015-09-09;34;27,3;21,4;67,2;41;
2015-09-10;34,5;27,5;21,2;65,7;38;
2015-09-11;34,6;27,6;22,6;69,4;41;
2015-09-12;35,3;28,3;21,8;66,6;40;
2015-09-13;34,2;27,6;22;71,1;45;
