Nome: TOME ACU
Codigo Estacao: A213
Latitude: -2.59249999
Longitude: -48.36055555
Altitude: 42.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,5;25;21,4;87,6;55;
2015-01-02;32,5;25,7;20,7;83,2;53;
2015-01-03;33;null;21;84,5;54;
2015-01-04;null;null;null;null;48;
2015-01-05;null;null;null;null;62;
2015-01-06;null;null;null;null;55;
2015-01-07;31,2;null;21,8;88,4;61;
2015-01-08;32,7;25,7;20,7;82;55;
2015-01-09;33;26,7;22,2;80,4;49;
2015-01-10;32,7;26;22,7;89,1;56;
2015-01-11;31,9;26,4;23,4;87,8;59;
2015-01-12;31,7;26,2;23,2;84,6;58;
2015-01-13;33,1;null;22,3;81;51;
2015-01-14;29,3;null;21,3;90,9;74;
2015-01-15;33,4;27;22,6;79,6;42;
2015-01-16;32;null;22;83,4;54;
2015-01-17;32,9;26,6;22,6;81,1;52;
2015-01-18;31,4;26,9;23,1;79,5;57;
2015-01-19;30,6;26,1;23;86,4;62;
2015-01-20;31,1;25;22;88,1;59;
2015-01-21;30,4;25;21,3;88,3;65;
2015-01-22;32,3;25,6;22,5;87,6;56;
2015-01-23;30,2;25,9;22,8;85,1;62;
2015-01-24;29,7;25,2;22,4;88,7;65;
2015-01-25;32,3;26,3;22,8;85,6;54;
2015-01-26;31,4;25,3;22,1;85,8;56;
2015-01-27;32,7;26,3;21,4;81,6;50;
2015-01-28;33,3;26,5;21,6;81,1;51;
2015-01-29;32,4;26;21,5;84,5;55;
2015-01-30;32,1;null;22,3;82,1;55;
2015-01-31;32,1;26;21,9;86;57;
2015-02-01;33;25,9;21,8;86;54;
2015-02-02;30;24,9;20,6;90;69;
2015-02-03;30,8;24,9;22,4;89;61;
2015-02-04;32,3;25,3;21,5;86,2;54;
2015-02-05;28,5;24;22;91,3;72;
2015-02-06;32,4;25,6;22,3;87,4;55;
2015-02-07;31,4;26,2;23;83,9;59;
2015-02-08;32;26,2;22,3;86,9;59;
2015-02-09;31,5;25,6;21,9;87,4;62;
2015-02-10;31,6;25,6;22;88;60;
2015-02-11;33;26,8;23,4;85,8;58;
2015-02-12;32,7;27,5;23,5;81,9;57;
2015-02-13;32,4;26,7;22,8;83,7;60;
2015-02-14;32;26,8;23,1;84,2;58;
2015-02-15;32,2;26,9;22,9;83,6;56;
2015-02-16;31,2;26,3;24,1;86,8;64;
2015-02-17;32;25,7;23,3;87,8;62;
2015-02-18;30,4;24,6;23,5;92,6;67;
2015-02-19;26,4;23,9;22,5;92,8;78;
2015-02-20;27,7;24,5;22,2;92,1;77;
2015-02-21;27,9;24;21,1;89,9;73;
2015-02-22;24,7;23,1;21,8;93,4;83;
2015-02-23;27,9;23,4;21,4;91,8;69;
2015-02-24;32,5;25,7;21;83,1;52;
2015-02-25;32,6;26,2;22,2;83,5;55;
2015-02-26;32,4;25,9;22,7;86,2;56;
2015-02-27;31,4;24,9;21,9;89,8;62;
2015-02-28;32,9;25,6;22,2;88,3;55;
2015-03-01;32,9;25,3;22,7;89,4;53;
2015-03-02;30,8;25;22,3;89,9;65;
2015-03-03;30,6;24,6;22,6;91,3;65;
2015-03-04;32,1;24,8;22,6;91,3;57;
2015-03-05;31,3;24,3;21,6;91,9;61;
2015-03-06;30,7;24;22,3;94;63;
2015-03-07;28,9;null;21,6;93;69;
2015-03-08;31,6;26;22,2;86,8;59;
2015-03-09;32,8;25,8;23;88,9;56;
2015-03-10;31;25,7;23,1;91,3;68;
2015-03-11;31,8;26,3;23,9;88,3;61;
2015-03-12;32,5;27,2;23,7;83,9;57;
2015-03-13;32,1;26;23,5;88,6;61;
2015-03-14;31,5;25,8;23,9;90,5;66;
2015-03-15;32;25,6;22,6;90,6;66;
2015-03-16;30,3;25,1;23,1;92,5;73;
2015-03-17;32,4;25,2;22,8;90;57;
2015-03-18;31,3;25,1;22,4;89,3;59;
2015-03-19;32,6;25,8;22,6;86,3;57;
2015-03-20;29;23,9;22,6;92,5;70;
2015-03-21;29,5;24,3;21,7;90,5;70;
2015-03-22;null;null;22,8;null;59;
2015-03-23;null;null;null;null;56;
2015-03-24;null;null;null;null;70;
2015-03-25;null;null;null;null;54;
2015-03-26;null;null;null;null;55;
2015-03-27;null;null;null;null;58;
2015-03-28;null;null;null;null;59;
2015-03-29;null;null;null;null;56;
2015-03-30;null;null;null;null;58;
2015-03-31;null;null;null;null;60;
2015-04-01;null;null;null;null;68;
2015-04-02;null;null;null;null;58;
2015-04-03;null;null;null;null;57;
2015-04-04;null;null;null;67,5;51;
2015-04-05;30,8;25,1;23,1;89,3;62;
2015-04-06;31,1;25,5;21;87,2;60;
2015-04-07;32;25,2;21,5;89,9;60;
2015-04-08;31,2;25,8;22,9;88,5;64;
2015-04-09;31,1;null;23,2;89,5;63;
2015-04-10;27,6;null;22,5;92,1;77;
2015-04-11;32,1;25,7;22,5;88,9;61;
2015-04-12;30,4;25,3;23,7;93,4;67;
2015-04-13;32,4;25,6;23,3;89,4;59;
2015-04-14;31,5;25,5;22,2;89;61;
2015-04-15;31,8;25,4;23,2;91,3;64;
2015-04-16;31,2;25,7;22,8;88,8;65;
2015-04-17;31,2;25,1;22,8;91,7;62;
2015-04-18;32,1;25,6;22,3;89,8;63;
2015-04-19;30,9;25;23,6;93,2;65;
2015-04-20;31,6;25,6;22,2;87,9;61;
2015-04-21;32,6;26,3;22,4;86,4;56;
2015-04-22;30,9;24,9;22;91,7;66;
2015-04-23;32,3;null;22;90,9;58;
2015-04-24;30;25,6;22,8;90,2;69;
2015-04-25;31,4;25,4;23,3;90,9;63;
2015-04-26;32,4;25,4;22,7;90,6;61;
2015-04-27;31,9;25,3;21,8;89,5;61;
2015-04-28;31;25,5;22,2;89,5;66;
2015-04-29;32,4;26,1;22,7;86,3;57;
2015-04-30;31,6;25,3;22,4;89,6;60;
2015-05-01;30,6;25,7;22;89,5;66;
2015-05-02;31,4;null;22,8;91,6;64;
2015-05-03;29,8;24,3;21,2;90,1;67;
2015-05-04;31,2;25;21,9;89;63;
2015-05-05;31,9;25,7;21,8;86;57;
2015-05-06;31,7;25,6;21,9;86,9;62;
2015-05-07;30,7;null;22,2;91,3;65;
2015-05-08;null;null;null;null;null;
2015-05-09;null;null;null;null;null;
2015-05-10;null;null;null;null;null;
2015-05-11;null;null;null;null;null;
2015-05-12;null;null;null;null;null;
2015-05-13;null;null;null;null;null;
2015-05-14;null;null;null;null;null;
2015-05-15;null;null;null;null;null;
2015-05-16;null;null;null;null;null;
2015-05-17;null;null;null;null;null;
2015-05-18;null;null;null;null;null;
2015-05-19;null;null;null;null;null;
2015-05-20;null;null;null;null;null;
2015-05-21;null;null;null;null;null;
2015-05-22;null;null;null;null;null;
2015-05-23;null;null;null;null;null;
2015-05-24;null;null;null;null;null;
2015-05-25;null;null;null;null;null;
2015-05-26;null;null;null;null;null;
2015-05-27;null;null;null;null;null;
2015-05-28;null;null;null;null;null;
2015-05-29;null;null;null;null;null;
2015-05-30;null;null;null;null;null;
2015-05-31;null;null;null;null;null;
2015-06-01;null;null;null;null;null;
2015-06-02;null;null;null;null;null;
2015-06-03;null;null;null;null;null;
2015-06-04;null;null;null;null;null;
2015-06-05;null;null;null;null;null;
2015-06-06;null;null;null;null;null;
2015-06-07;null;null;null;null;null;
2015-06-08;null;null;null;null;null;
2015-06-09;null;null;null;null;null;
2015-06-10;null;null;null;null;null;
2015-06-11;null;null;null;null;null;
2015-06-12;null;null;null;null;null;
2015-06-13;null;null;null;null;null;
2015-06-14;null;null;null;null;null;
2015-06-15;null;null;null;null;null;
2015-06-16;null;null;null;null;null;
2015-06-17;null;null;null;null;null;
2015-06-18;null;null;null;null;null;
2015-06-19;null;null;null;null;null;
2015-06-20;null;null;null;null;null;
2015-06-21;null;null;null;null;null;
2015-06-22;null;null;null;null;null;
2015-06-23;null;null;null;null;null;
2015-06-24;null;null;null;null;null;
