Nome: SALINOPOLIS
Codigo Estacao: A215
Latitude: -0.61888888
Longitude: -47.35666666
Altitude: 23.18
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;30,8;28,1;26,9;54,5;42;
2015-01-02;30,8;28,1;26,7;50;37;
2015-01-03;32,1;28;26,7;54,3;41;
2015-01-04;31,2;27,8;25,5;57,9;45;
2015-01-05;27,6;25;23,3;69,8;61;
2015-01-06;29,7;26,6;22,1;63,3;49;
2015-01-07;31,1;27,9;24,9;57,8;47;
2015-01-08;30,7;28,1;26,2;55,8;39;
2015-01-09;30,5;27,7;26,4;55,3;46;
2015-01-10;30,2;27,8;25,8;54,2;43;
2015-01-11;30,7;28;26,6;51,9;42;
2015-01-12;30,9;28;26,8;57,9;48;
2015-01-13;30,8;28;26,1;54,8;45;
2015-01-14;31,2;28,2;27,1;54,3;41;
2015-01-15;30,5;28,1;27;57,2;44;
2015-01-16;31;28;26,7;59;46;
2015-01-17;30,6;28;26,7;52,6;36;
2015-01-18;30,6;28;26,7;59;46;
2015-01-19;30,4;27,4;26,1;61;42;
2015-01-20;30,9;27,9;25,4;53,8;45;
2015-01-21;30,3;27,9;26,5;46,7;37;
2015-01-22;30,6;27,7;25,5;62;40;
2015-01-23;31,1;28;27;41,8;28;
2015-01-24;30,9;27,9;26,2;41;29;
2015-01-25;30,3;28;26,5;51,9;45;
2015-01-26;31,3;27,8;24,8;58,8;48;
2015-01-27;31;28,1;26,8;62,4;56;
2015-01-28;31,2;28,1;26,6;59;48;
2015-01-29;31;28,2;26,8;53,5;41;
2015-01-30;30,7;28,1;26,9;55,6;46;
2015-01-31;30,8;28,3;26,8;56,5;44;
2015-02-01;31,4;28;27,1;54,2;43;
2015-02-02;30,4;27,2;23,8;59,6;46;
2015-02-03;27,4;25,4;22,5;71,6;57;
2015-02-04;29,4;26,3;22,6;69;54;
2015-02-05;29,9;27,7;25,4;52,6;42;
2015-02-06;30,4;27,3;25,2;57,3;46;
2015-02-07;28,1;25,5;23,9;68,3;60;
2015-02-08;30,3;27,1;23,3;49,7;32;
2015-02-09;29,3;27,4;26;56,5;39;
2015-02-10;29,9;27,6;26,4;65,3;47;
2015-02-11;30,5;27,9;26,2;64,8;48;
2015-02-12;30,7;28,1;25,4;70,8;46;
2015-02-13;30,8;28,2;27,2;66,3;52;
2015-02-14;30,9;28,2;26,9;62,6;43;
2015-02-15;31,3;28,2;26,7;59,6;41;
2015-02-16;30,6;28,3;26,7;62,6;56;
2015-02-17;31,1;27,9;25,4;64,3;56;
2015-02-18;29,5;27,4;24,5;69,6;56;
2015-02-19;28,8;25,7;23,3;77,5;62;
2015-02-20;30,7;26,6;23,4;71,3;54;
