Nome: BRAGANCA
Codigo Estacao: A226
Latitude: -1.05583333
Longitude: -46.78277777
Altitude: 5.6
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,4;28;25,4;71,9;50;
2015-01-02;33,4;27,8;23,7;70,5;41;
2015-01-03;29,9;25,9;23,7;83,4;63;
2015-01-04;31,8;26,4;23,1;80,9;56;
2015-01-05;27,3;24,5;23,1;90,5;76;
2015-01-06;32,3;26,6;23,1;79,5;53;
2015-01-07;32,2;27,4;24,3;75,3;55;
2015-01-08;31,7;27,4;24,2;74,8;54;
2015-01-09;32,4;27,8;24,4;73,6;53;
2015-01-10;32,3;27,5;24,4;76,2;53;
2015-01-11;32,3;28;25,3;72,4;54;
2015-01-12;32,6;28,2;25,4;70,5;49;
2015-01-13;32,6;28,1;25;74;53;
2015-01-14;31,9;28,2;25,9;71,9;55;
2015-01-15;33,1;28,1;25,1;73,2;51;
2015-01-16;33,2;28;24,2;72,1;49;
2015-01-17;33,2;28;23,6;71,6;47;
2015-01-18;32,9;27,9;24,5;71,7;50;
2015-01-19;32,2;27,5;23,6;76,9;56;
2015-01-20;33,5;27,8;23,9;74,4;49;
2015-01-21;34,1;28,1;24,3;72;44;
2015-01-22;33,4;28;23,9;74;51;
2015-01-23;32,7;27,8;25;70,9;47;
2015-01-24;32,8;27,9;24,4;69,9;49;
2015-01-25;32,4;27,9;24,7;72,8;54;
2015-01-26;31,7;27;23,9;76,1;57;
2015-01-27;33,5;27,7;24,1;74,7;51;
2015-01-28;33,3;28;24,2;73,7;51;
2015-01-29;33,5;28,2;24,2;69,4;46;
2015-01-30;33,6;28,2;24,7;70,2;46;
2015-01-31;33,1;28;24;73,3;49;
2015-02-01;33,1;28,3;25,8;74,3;55;
2015-02-02;32,1;27,1;24,1;81,4;60;
2015-02-03;27,7;24,9;23;90,8;81;
2015-02-04;31,6;26,3;23,2;83;61;
2015-02-05;32,1;26,9;22,9;77,6;55;
2015-02-06;32,6;27,3;24,6;78,1;54;
2015-02-07;29,9;25,2;22,7;87,7;63;
2015-02-08;32,5;27,1;23,9;81,3;57;
2015-02-09;32,6;27,5;24,7;80,7;58;
2015-02-10;32,1;27,6;24,5;78,5;56;
2015-02-11;33;28;24,4;75,3;49;
2015-02-12;32,8;28,3;25,3;74,5;56;
2015-02-13;32,7;28,5;25,9;73,9;56;
2015-02-14;33,7;28,4;24,9;72,5;49;
2015-02-15;32,9;28;23,9;74;54;
2015-02-16;32,9;28,1;25;74,8;52;
2015-02-17;32,2;27,5;24,5;79,5;59;
2015-02-18;31,4;25,8;24,3;87;62;
2015-02-19;29,3;25,4;23,2;84,3;62;
2015-02-20;31,1;26,1;23,8;82,3;56;
2015-02-21;29,5;24,8;21,5;83,6;64;
2015-02-22;31,3;25;22,9;83;54;
2015-02-23;30,8;24,7;21,9;85,7;56;
2015-02-24;27,5;24,9;23,4;86,7;72;
2015-02-25;31,7;26,9;23,4;79,4;57;
2015-02-26;32,2;27,4;24,1;78,6;56;
2015-02-27;31,3;26,5;24,2;82,8;64;
2015-02-28;31,4;25,7;22,8;86,5;65;
2015-03-01;30,8;26,3;23,4;85,2;67;
2015-03-02;30,1;25,3;22,9;89,8;68;
2015-03-03;29,1;24,9;23,4;90;73;
2015-03-04;30;25,3;23,1;88,2;67;
2015-03-05;29,4;25,7;22,9;85,3;68;
2015-03-06;26,2;24,3;23,2;92,3;85;
2015-03-07;27,5;24,3;23,4;91,7;76;
2015-03-08;26,9;24,6;23,2;91,6;84;
2015-03-09;30,9;25,8;22,7;87,2;66;
2015-03-10;27,9;25,2;23,4;91;81;
2015-03-11;27,6;24,9;23,3;91,8;82;
2015-03-12;32,2;26,6;23,7;84,3;62;
2015-03-13;30,5;26,3;24,3;87,1;70;
2015-03-14;31,8;27,5;24,7;81,2;62;
2015-03-15;32,1;27,5;24,8;82,3;61;
2015-03-16;28,7;25,3;22,9;90,3;76;
2015-03-17;31,5;25,3;23,2;null;70;
2015-03-18;28,6;25,1;22,4;null;76;
2015-03-19;29,5;25,3;23,9;95,9;76;
2015-03-20;29,6;25,5;23,3;91,9;71;
2015-03-21;28,7;24;21,9;93,1;73;
2015-03-22;29,5;24,1;22,7;92,3;68;
2015-03-23;31,5;25,4;22,4;86,4;58;
2015-03-24;30,4;25,5;23,5;87,7;69;
2015-03-25;30,8;24,7;22,7;90,2;65;
2015-03-26;32,6;26,1;22,4;83,4;56;
2015-03-27;31,9;26,6;23,6;85;60;
2015-03-28;31,6;26,6;23,2;85,4;64;
2015-03-29;32;27,2;24,2;82,6;61;
2015-03-30;30,6;25,3;23,6;91,4;67;
2015-03-31;31,2;26,1;23,6;86,8;64;
2015-04-01;29,9;24,8;24;92,2;72;
2015-04-02;31,3;25,9;22;84,9;63;
2015-04-03;30,7;26,4;22,9;78,6;57;
2015-04-04;30;25,8;23,1;80,4;64;
2015-04-05;26,6;24,4;23,3;91,6;79;
2015-04-06;31,9;25,8;22,8;86,5;60;
2015-04-07;30,3;25,8;23,6;86,9;67;
2015-04-08;31,5;26,3;23,4;86,3;63;
2015-04-09;30,8;26,2;23,3;87,5;68;
2015-04-10;29;25,1;23,7;92,5;77;
2015-04-11;31,8;26,2;23,5;87;64;
2015-04-12;26,1;24,1;23,2;94,3;88;
2015-04-13;31;25,9;22,4;86,8;66;
2015-04-14;28;24,9;23,9;92,4;81;
2015-04-15;30,3;25;23,2;90,5;68;
2015-04-16;31,3;25,8;22,9;89,2;63;
2015-04-17;31,8;26,6;23,2;85,7;63;
2015-04-18;32,3;27,1;24,1;82,9;61;
2015-04-19;30,1;25,5;23,4;90,6;72;
2015-04-20;32,2;26,3;22,6;83;58;
2015-04-21;32,5;27,2;23,1;81,6;57;
2015-04-22;31,5;26;23,6;88;65;
2015-04-23;28,7;25,2;23,3;90,8;73;
2015-04-24;28,8;25,3;23,2;89,5;75;
2015-04-25;30,7;25,7;23,3;90,7;68;
2015-04-26;30,9;26;23,9;89,8;73;
2015-04-27;31;25,7;23,9;89,8;64;
2015-04-28;31,8;26,7;23,2;83,9;65;
2015-04-29;31,9;26,2;23,7;85,9;60;
2015-04-30;32,7;27,2;23,8;82,3;56;
2015-05-01;33;27,4;23,7;81,1;58;
2015-05-02;29,4;25,9;23,9;89,8;74;
2015-05-03;27,5;24;21,6;92,5;79;
2015-05-04;31,2;24,9;22,7;90,5;67;
2015-05-05;31,9;26,9;23,8;83,1;61;
2015-05-06;31,6;26;23,5;88;65;
2015-05-07;31,7;26,5;23,3;86;63;
2015-05-08;31,4;26,9;23,9;85,4;65;
2015-05-09;32,4;27,4;24,2;81;58;
2015-05-10;32,1;27,2;23,5;80,5;56;
2015-05-11;32,2;27,2;22,9;78,8;55;
2015-05-12;32,7;27,4;23,8;78,2;59;
2015-05-13;33,1;27,6;24;76,4;53;
2015-05-14;31;26,5;23,4;84,7;64;
2015-05-15;31;25,9;23,1;86,5;67;
2015-05-16;30,8;26,1;23,7;86,8;67;
2015-05-17;31,5;26,6;23,4;83,8;64;
2015-05-18;32,1;26,1;23,4;87;63;
2015-05-19;30,3;26,2;24,1;88,2;69;
2015-05-20;32;26,6;24;86;64;
2015-05-21;31,2;26,4;23,7;86,5;66;
2015-05-22;32,2;27,4;23,7;79,1;54;
2015-05-23;32,3;27,3;23,9;81,7;62;
2015-05-24;32,3;27;23,8;83,2;60;
2015-05-25;31,8;26,6;24;85,4;59;
2015-05-26;32,8;27,1;24,2;84,6;60;
2015-05-27;32;25,8;24,1;87,4;56;
2015-05-28;31,4;26,5;23,3;84,3;64;
2015-05-29;32,4;27,3;23,7;80,4;56;
2015-05-30;32,5;26,6;23,6;82,3;52;
2015-05-31;31,9;26,9;23,7;83,9;64;
