Nome: ITAITUBA
Codigo Estacao: A231
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.46
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,6;27,9;22,8;69,2;68;
2015-01-02;33,4;28,4;24,5;69,5;68;
2015-01-03;33,6;28,8;24,1;68,7;67;
2015-01-04;33,2;28,5;24,5;68,4;67;
2015-01-05;30,8;26,7;24;69,4;68;
2015-01-06;32,8;27,1;22,1;70,9;69;
2015-01-07;33,9;28,2;23,6;70;68;
2015-01-08;33,3;26,7;23,6;69,8;68;
2015-01-09;32,5;27,4;23,8;71,3;70;
2015-01-10;33,4;28;25;71,3;69;
2015-01-11;28;24,8;23,4;72,8;71;
2015-01-12;32;27,3;23,8;74,6;73;
2015-01-13;28,7;26,5;24,9;74,6;74;
2015-01-14;30;25;23,7;75,6;74;
2015-01-15;31,1;25,2;22,8;76,9;75;
2015-01-16;25,7;24,3;24;78,2;77;
2015-01-17;31,1;25,6;21,7;78,5;77;
2015-01-18;31,5;25,8;24,1;78,7;77;
2015-01-19;26,9;24,3;22,9;79,8;79;
2015-01-20;29,7;25;21,9;80;79;
2015-01-21;31;26,5;23,4;79,2;78;
2015-01-22;34;27,2;23,8;78,4;76;
2015-01-23;28,7;25,6;24,9;77,8;77;
2015-01-24;30,3;25,4;23,5;78,8;77;
2015-01-25;30,3;26;23;78,7;77;
2015-01-26;28,7;25,6;22,9;78,8;77;
2015-01-27;32;26,9;23,2;79;77;
2015-01-28;33,4;28,2;24,9;78;76;
2015-01-29;34,2;27,9;23,7;76,8;74;
2015-01-30;32,4;27,5;23,8;75,7;74;
