Nome: OBIDOS
Codigo Estacao: A232
Latitude: -1.88083332
Longitude: -55.51972221
Altitude: 89.64
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,5;25,7;22,7;84,8;57;
2015-01-02;32,9;26,7;22,5;77,7;51;
2015-01-03;33,8;27,1;22,7;74,6;49;
2015-01-04;34,4;27,1;22,2;72,7;45;
2015-01-05;30;25,3;22,9;83,1;66;
2015-01-06;33,4;26,1;21,9;77;47;
2015-01-07;34,5;26,9;21;73,8;44;
2015-01-08;35,8;27,3;22,4;73,4;41;
2015-01-09;34,9;27,3;21,7;73,3;47;
2015-01-10;34,6;27,1;23,4;76,2;46;
2015-01-11;27,1;24;22,6;93,5;79;
2015-01-12;29,2;24;22;88,7;65;
2015-01-13;32,2;25,9;22;81,9;55;
2015-01-14;32,6;25,4;22,3;85,6;55;
2015-01-15;29,6;24,9;22,4;87;64;
2015-01-16;30,6;25,6;22,6;85,6;64;
2015-01-17;31,7;25,7;22,3;84,8;56;
2015-01-18;33,6;26,8;23,3;81,6;49;
2015-01-19;28,5;24,8;23,2;90;73;
2015-01-20;31,2;24,9;23,2;88;61;
2015-01-21;29,2;24,6;22,3;89,6;72;
2015-01-22;32,8;25,1;22;86,5;57;
2015-01-23;31,5;25,2;22,6;85,9;57;
2015-01-24;29,2;24,6;22,4;89;68;
2015-01-25;31,9;25,6;21,9;82,5;57;
2015-01-26;28,9;24,4;21,5;85,5;61;
2015-01-27;32,6;25,9;21,2;78,6;51;
2015-01-28;33,1;26,1;22,3;82,9;53;
2015-01-29;33;26,4;21,9;80,8;56;
2015-01-30;32,8;26,2;22,1;81,8;57;
2015-01-31;32,5;26,3;22,8;80,7;56;
2015-02-01;30,7;25,5;22,1;87,1;63;
2015-02-02;25,3;23,6;23,3;94;90;
