Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.34055555
Longitude: -50.35027777
Altitude: 154
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;34,9;26,8;21,6;73,3;39;
2015-01-02;36;28,7;22,9;67,7;34;
2015-01-03;35,2;28,4;22,4;68;41;
2015-01-04;29,2;25;23,3;80,5;57;
2015-01-05;33,6;25,5;21,1;78,1;46;
2015-01-06;34,5;26,2;21,7;75,7;43;
2015-01-07;33,8;25,6;21,3;76,4;45;
2015-01-08;34;25,9;21,1;74,2;45;
2015-01-09;35,9;26,3;21,8;72,6;37;
2015-01-10;33,8;25,4;21;76,3;43;
2015-01-11;34,8;25,2;21,5;76,9;44;
2015-01-12;31,7;23,8;22;84,8;57;
2015-01-13;31,6;23,9;21,3;81,5;50;
2015-01-14;31,6;24,2;20,8;81,8;55;
2015-01-15;33,4;26,1;20,9;73;46;
2015-01-16;30;24,7;21,4;80;57;
2015-01-17;32;25,3;22,7;81,1;54;
2015-01-18;31,5;24,7;21,8;81,8;53;
2015-01-19;30,2;24,9;21,2;79,6;53;
2015-01-20;32,6;25,7;21,2;76,7;48;
2015-01-21;33,2;26,7;21,6;72,4;43;
2015-01-22;31,8;26,2;22,9;75;48;
2015-01-23;34;27,3;22,6;71,8;42;
2015-01-24;29,8;23,7;22,3;84,8;62;
2015-01-25;26,8;23,3;21,2;86,5;74;
2015-01-26;32,2;25,1;21,3;75,5;46;
2015-01-27;34,2;26,4;22,5;75,3;43;
2015-01-28;35,7;27,4;22;73,2;38;
2015-01-29;31,7;25,4;22,9;79,2;51;
2015-01-30;35,7;27,7;21,5;68,9;38;
2015-01-31;35,3;26,1;22,9;76,2;47;
2015-02-01;33,3;25,3;20,3;71,2;44;
2015-02-02;35,6;26,6;20,6;69,4;36;
2015-02-03;34,2;26,2;22,7;78,6;47;
2015-02-04;29,5;25,2;23;77,6;61;
2015-02-05;31,2;25,2;22;80,3;53;
2015-02-06;32,5;25,2;22,9;81,4;51;
2015-02-07;31,7;25,1;22,6;81,4;54;
2015-02-08;30,5;25,3;22,6;81,6;61;
2015-02-09;30,7;26,1;22,5;79,4;59;
2015-02-10;33,9;27;23,7;77,4;48;
2015-02-11;33,8;26,9;22,4;75,4;44;
2015-02-12;34,8;27,6;22,6;70,6;43;
2015-02-13;33,9;26,6;22,8;74,3;47;
2015-02-14;34,5;26,9;21,3;69,4;38;
2015-02-15;34,7;27,4;22,4;70,8;39;
2015-02-16;35,1;27,4;24,4;75,7;46;
2015-02-17;33;25,4;23,3;81,8;50;
2015-02-18;29,2;24,4;22,8;85,5;67;
2015-02-19;30,3;25,6;22,5;80,4;58;
2015-02-20;28,4;24,2;21,5;84,2;66;
2015-02-21;31,2;24,7;21,8;81,6;55;
2015-02-22;30,5;24,4;21,3;81,3;56;
2015-02-23;31,5;24,8;20,7;76,5;48;
2015-02-24;30,7;24,8;22,2;80,5;59;
2015-02-25;31,3;25,6;21;78,9;58;
2015-02-26;34,1;27,1;23,3;77,4;48;
2015-02-27;30,1;24,6;23,6;83,5;64;
2015-02-28;32,2;25,2;20,3;77,2;47;
2015-03-01;32,5;25,9;22,1;78,6;55;
2015-03-02;34,1;26,9;21,5;74,3;42;
2015-03-03;33,3;27,3;23,2;71,6;42;
2015-03-04;32,3;26,9;22,6;70,9;48;
2015-03-05;31,7;25,2;22,6;81,5;57;
2015-03-06;34;26,2;22;76;46;
2015-03-07;29,7;23,3;21,3;84,9;60;
2015-03-08;32,7;25,3;21;77,3;49;
2015-03-09;33,6;26,6;22,2;77,9;51;
2015-03-10;33;27,1;22,5;79,3;52;
2015-03-11;33,8;27,2;22,9;76,6;51;
2015-03-12;31,2;25,4;22,1;81,5;59;
2015-03-13;33,7;27;23,1;76,7;48;
2015-03-14;28,4;24,6;22,2;84,2;68;
2015-03-15;32,5;26,5;23,4;79;55;
2015-03-16;33,5;26,2;22;76,4;48;
2015-03-17;30,9;25,1;21,3;79,3;55;
2015-03-18;33,2;26,8;23,3;73,6;46;
2015-03-19;27,6;23,8;22,3;85,8;72;
2015-03-20;30,8;25,2;22,3;79,3;54;
2015-03-21;27,2;24;22,9;86,2;71;
2015-03-22;27,2;24,1;22;84,8;68;
2015-03-23;32,9;25,3;21,5;80,8;49;
2015-03-24;32,3;26,5;22,9;78,3;49;
2015-03-25;32,3;26,1;23,4;80,8;52;
2015-03-26;31,9;25,9;21,7;77,7;54;
2015-03-27;32,1;27;23,2;78,1;53;
2015-03-28;34,4;27,9;22,7;73,6;44;
2015-03-29;33,3;27,7;22,6;75,6;52;
2015-03-30;33,2;26,5;22,3;79,7;50;
2015-03-31;32,2;25,6;22,3;82,5;55;
2015-04-01;33,4;26,9;22,9;78,2;49;
2015-04-02;30,8;25,6;22,1;82,7;60;
2015-04-03;33,4;27,1;21,9;75,8;48;
2015-04-04;30,9;25,4;23,4;85,1;62;
2015-04-05;33,4;26,9;21,4;76,1;47;
2015-04-06;28,8;25,1;22,9;84,1;68;
2015-04-07;32,8;25,6;22,1;82,5;54;
2015-04-08;34,2;26,6;23,2;78,8;46;
2015-04-09;28,5;25,1;23,2;83,9;72;
2015-04-10;31,9;25,5;22,7;82,5;57;
