Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,5;26;21,5;83,1;58;
2015-01-02;32,1;26,1;21,2;82,3;55;
2015-01-03;32,6;26,3;22,4;81,8;55;
2015-01-04;32,1;25,4;20,9;84;56;
2015-01-05;30,6;24,9;20,8;84,9;63;
2015-01-06;31,7;25,1;21,1;82,8;54;
2015-01-07;32,7;26;21,8;81,4;53;
2015-01-08;32,8;25,6;21,1;81,5;55;
2015-01-09;32,2;25,7;21,1;83,6;57;
2015-01-10;31,3;25,8;22;86,4;62;
2015-01-11;30,3;25,7;23,3;87,5;67;
2015-01-12;31,9;25,9;22,8;85,9;62;
2015-01-13;31,8;25,8;21,6;82,9;57;
2015-01-14;26,7;23,8;22,1;91,7;80;
2015-01-15;32,9;26,3;22,4;84,3;56;
2015-01-16;27,5;24,3;21,9;91,4;75;
2015-01-17;32,4;25,5;21,7;86,5;57;
2015-01-18;30,4;25,1;22,6;88,9;67;
2015-01-19;29,4;24,7;22,4;90,7;69;
2015-01-20;30,2;25,1;22;87;66;
2015-01-21;30,7;25,3;21,5;83,7;58;
2015-01-22;31,9;25,6;21,7;84,5;55;
2015-01-23;29,6;24,8;21,8;88,5;64;
2015-01-24;29,3;24,6;22,2;89,4;69;
2015-01-25;31,2;25;21;86,5;59;
2015-01-26;31,6;25,4;22,1;83,9;58;
2015-01-27;32,6;26,4;22;80;51;
2015-01-28;33,2;26,3;21,8;82;52;
2015-01-29;33,1;26,3;21,8;82,4;56;
2015-01-30;33,1;27;23,3;81,3;55;
2015-01-31;31,4;26,5;22,7;84;60;
2015-02-01;32,1;26,7;23,5;83,4;59;
2015-02-02;27,8;23,8;21,9;91,8;77;
2015-02-03;31,4;25,5;21,9;85,5;61;
2015-02-04;32,5;25,9;22,4;83,5;59;
2015-02-05;29;24,8;22,3;89,9;72;
2015-02-06;31,1;25,6;23,1;87;63;
2015-02-07;30;25,1;22,8;90,3;70;
2015-02-08;31,4;26;22,6;87,1;64;
2015-02-09;31,9;26;22,9;88,4;61;
2015-02-10;30,2;24,5;21,7;87,8;60;
2015-02-11;32,9;26,2;22,1;84,4;58;
2015-02-12;31,2;25,7;22,1;89,6;67;
2015-02-13;32,7;26,8;23,3;84,9;58;
2015-02-14;32,7;26,9;23,3;82,1;55;
2015-02-15;32,3;26,5;22,1;84,6;59;
2015-02-16;30,2;25,5;23,3;90,4;70;
2015-02-17;32,4;26,8;23;84,1;58;
2015-02-18;28;24,9;22,5;92,4;79;
2015-02-19;29,1;24,9;22,3;88,1;72;
2015-02-20;30,1;25;22,5;87,3;60;
2015-02-21;29,3;24,7;22,2;86,4;65;
2015-02-22;24,2;22,7;20,7;95,4;89;
2015-02-23;29,4;24,2;20,5;86,8;65;
2015-02-24;32,4;25,5;21,4;82,5;54;
2015-02-25;32,6;26,2;22,1;84,7;58;
2015-02-26;31,1;25,6;22,8;89;64;
2015-02-27;31,5;26,2;23,9;86,8;62;
2015-02-28;31,8;25,1;21,9;87,9;60;
2015-03-01;32,3;26,3;22,2;85,7;58;
2015-03-02;32,5;26,2;23,1;83,5;56;
2015-03-03;31,2;25,6;22,2;84,2;60;
2015-03-04;30,2;25,2;22,7;88,4;65;
2015-03-05;32,1;25,7;22,6;84,8;57;
2015-03-06;30,4;24,5;21,5;89,2;63;
2015-03-07;29,8;24,4;21,5;87;63;
2015-03-08;32,3;25,9;22,6;84,6;56;
2015-03-09;32,6;26,5;22,8;84;58;
2015-03-10;32,5;26,4;22,1;84,7;59;
2015-03-11;32,9;26,8;23,8;84,5;57;
2015-03-12;31,5;26,4;23,7;85,9;62;
2015-03-13;32;26,5;23,5;86,8;62;
2015-03-14;30,4;25,6;22,3;90,1;72;
2015-03-15;31,8;26,5;23,2;87,1;65;
2015-03-16;28,4;24,8;22,4;93,1;80;
2015-03-17;30,9;25,8;23,1;88,3;64;
2015-03-18;31,4;24,9;22,3;89;67;
2015-03-19;31,9;26,4;23,2;85,5;60;
2015-03-20;26,8;24,2;22,6;93,6;81;
2015-03-21;28,3;24,6;22,2;88,6;72;
2015-03-22;31,9;25,7;22,7;85,8;56;
2015-03-23;32,6;26,2;22,4;82,3;53;
2015-03-24;30,1;24,8;22,4;91,1;68;
2015-03-25;31,3;25,2;23,2;90,3;63;
2015-03-26;31,8;25,5;22,3;88;62;
2015-03-27;34;27,2;23,2;81,3;55;
2015-03-28;32,6;26,8;22,9;83,8;60;
2015-03-29;32,6;26,2;22,1;85;60;
2015-03-30;31,6;26,1;23,4;87,3;60;
2015-03-31;31,8;26;22,4;89,5;62;
2015-04-01;31,3;25,5;23;91,4;70;
2015-04-02;29,9;25,4;23,1;91;73;
2015-04-03;32,5;26,1;22,9;87,3;60;
2015-04-04;32,3;26,5;22,3;82,2;57;
2015-04-05;30,6;25,3;22,9;87,3;67;
2015-04-06;32,3;26,2;21,9;83,9;58;
2015-04-07;32;26;23;87;64;
2015-04-08;32;25,7;22,5;87,9;61;
2015-04-09;32,1;26,5;23,1;86;62;
2015-04-10;30,3;25,5;22;88,3;68;
2015-04-11;32,6;26,7;23,1;85,3;60;
2015-04-12;32;26,3;22,9;85;60;
2015-04-13;32,3;26,1;23,1;87,6;63;
2015-04-14;32,1;25,4;21,9;88;61;
2015-04-15;32,4;26,3;21,6;84,9;59;
2015-04-16;31,3;25,9;22,3;87,4;68;
2015-04-17;32;26,2;21,9;85,6;62;
2015-04-18;32,8;26,6;22,8;84,4;59;
2015-04-19;32,6;25,9;22;86,9;63;
2015-04-20;31,9;26,1;22,9;86,1;62;
2015-04-21;32,3;26,7;23;84,3;58;
2015-04-22;32,1;26,6;22,8;84;61;
2015-04-23;32,5;26,7;22,8;83,5;61;
2015-04-24;32,3;26,5;23,5;86,9;63;
2015-04-25;31,8;26,7;23,9;86,2;62;
2015-04-26;32,2;26,6;23,7;85,4;62;
2015-04-27;31,1;25,7;22,3;87,9;64;
2015-04-28;32;26,4;22,1;84,5;59;
2015-04-29;32;26,2;22,4;86,5;60;
2015-04-30;32,1;26,1;22,5;86,7;63;
2015-05-01;30,9;25,4;22,5;90;67;
2015-05-02;31,7;25,6;23,5;89,3;63;
2015-05-03;30,9;25,3;22,8;87,5;62;
2015-05-04;31,6;26;22,2;85,3;62;
2015-05-05;31,9;26,2;22,8;86,4;61;
2015-05-06;32,6;26,7;22,2;84,4;59;
2015-05-07;32,3;26,3;22,7;85,8;61;
2015-05-08;31,5;25,8;22,9;88,5;67;
2015-05-09;31,8;26,3;22,8;87,2;61;
2015-05-10;32;26,6;23,7;86,6;64;
2015-05-11;32,9;26,4;22,7;85,4;59;
2015-05-12;32,3;26,7;22,6;84,7;60;
2015-05-13;33;26,7;22,6;85;57;
2015-05-14;32,6;26,4;22,4;84,5;56;
2015-05-15;32,6;26,4;22,3;85,2;59;
2015-05-16;32,6;26,5;22,5;86,4;62;
2015-05-17;33,3;27,1;22,8;83,2;54;
2015-05-18;33,4;27,3;22,7;82,3;54;
2015-05-19;33,1;27,6;24;82,5;56;
2015-05-20;32,8;26,9;23,7;85,3;57;
2015-05-21;31;25,8;22,6;88,1;67;
2015-05-22;31;25,7;22,8;89,3;69;
2015-05-23;32,4;26,6;22,6;85,4;59;
2015-05-24;33,1;27;23,9;84,8;57;
2015-05-25;32,8;26,7;22,2;83,8;56;
2015-05-26;31,6;26,1;21,6;84,4;61;
2015-05-27;32,7;26,4;23,1;85,3;60;
2015-05-28;31,9;26,1;22,3;85,3;61;
2015-05-29;32;26,4;22,3;85,2;61;
2015-05-30;32,5;26,7;22,9;84,5;60;
2015-05-31;33,3;27,3;22,9;82,4;55;
2015-06-01;33,1;27,1;22,7;82,9;57;
2015-06-02;32,6;26,7;23;83,8;57;
2015-06-03;32,1;26,4;22,5;83,8;58;
2015-06-04;32,3;26,4;22,4;83,4;56;
2015-06-05;31,8;25,7;22,3;86,8;62;
2015-06-06;32,2;26,3;22,2;83,6;57;
2015-06-07;30,9;25,9;22,3;83,8;59;
2015-06-08;31,5;25,7;21,7;86,8;63;
2015-06-09;30,8;25,8;22,9;86,7;67;
2015-06-10;32,5;26,6;22,2;80,3;50;
2015-06-11;33,3;27;22,4;81;52;
2015-06-12;33,3;27,1;23,2;80,7;53;
2015-06-13;32,9;26,2;22,1;83;57;
