Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,1;26,6;23;77,5;49;
2015-01-02;32,5;26,2;22,8;77;50;
2015-01-03;31,4;26,5;23;79;55;
2015-01-04;31,4;25,8;21,6;78,8;54;
2015-01-05;31,9;26,4;22,3;76,5;48;
2015-01-06;30,3;25,3;22,5;79;54;
2015-01-07;32,1;25,7;22,8;81;52;
2015-01-08;31;24,5;21;83,6;58;
2015-01-09;31,9;26,4;22,5;79;50;
2015-01-10;29,3;25,2;22,4;86,2;69;
2015-01-11;30,7;25,3;21,7;81,8;61;
2015-01-12;31,3;25,6;22,8;82,5;57;
2015-01-13;31,5;25,3;21,4;81,6;56;
2015-01-14;28,9;24,8;22,2;83,2;63;
2015-01-15;31,9;26,2;22,4;78,1;56;
2015-01-16;28;24,4;22,5;86,5;66;
2015-01-17;30;25;23,2;84,6;62;
2015-01-18;29,8;25,4;22,7;84,5;64;
2015-01-19;28,9;24,6;22,3;86,8;66;
2015-01-20;30,3;24,3;21,5;85;58;
2015-01-21;31,4;25,7;22,4;79,8;52;
2015-01-22;30,9;25;21,6;84,3;53;
2015-01-23;26,2;23,8;21,4;90,1;76;
2015-01-24;28,8;24,3;21,8;89,8;64;
2015-01-25;30,2;24,8;21,4;84,4;57;
2015-01-26;30,6;24,7;21,5;84,7;52;
2015-01-27;31,8;26,4;22,7;80,3;53;
2015-01-28;32,4;26,6;22,4;78,2;50;
2015-01-29;32,3;26,6;22,9;80;53;
2015-01-30;32,2;27,3;24,1;78,7;52;
2015-01-31;32,4;27,6;24,8;76;51;
2015-02-01;28,6;25,4;24,9;85,4;69;
2015-02-02;28,6;23,7;21;83,9;64;
2015-02-03;31,2;25,5;22,1;80;53;
2015-02-04;30,8;25,7;23,4;81,8;56;
2015-02-05;29,6;25;23,1;84,8;63;
2015-02-06;29,7;25,7;23,2;81,8;63;
2015-02-07;25,8;24;22,6;90,8;81;
2015-02-08;30,2;25,5;22,5;86,1;65;
2015-02-09;33;26,9;23,5;81,4;53;
