Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;33;25,7;20,2;77,8;49;
2015-01-02;34;26,6;21,9;78,2;42;
2015-01-03;34,9;26,4;20,5;76,9;39;
2015-01-04;29;24,1;22,5;88,5;69;
2015-01-05;32,4;25,4;21,1;81,3;51;
2015-01-06;33,1;25,5;21,6;80,4;47;
2015-01-07;32,2;24,3;20,7;81,8;53;
2015-01-08;32,6;23,5;19,6;85,8;51;
2015-01-09;33,3;25,3;21,2;83,9;48;
2015-01-10;33,6;24,7;21,6;84,1;49;
2015-01-11;32,4;25,2;20;84,2;54;
2015-01-12;29,5;23,3;21,7;88,1;66;
2015-01-13;29,5;23,6;21,2;84,4;61;
2015-01-14;32;24,7;20,5;82,3;49;
2015-01-15;32,2;24,2;21,3;83,4;53;
2015-01-16;29,1;23,6;21,3;88;67;
2015-01-17;32,3;24,8;22,1;84,5;49;
2015-01-18;31,8;24,1;21,7;85,5;50;
2015-01-19;29,6;23,5;21,3;88,6;65;
2015-01-20;30,1;24;20,8;85,8;61;
2015-01-21;32,1;24,8;20,3;80,1;44;
2015-01-22;32,2;25,4;22;79,5;46;
2015-01-23;33,4;26,4;22,3;76,9;43;
2015-01-24;29,8;23,4;21,9;89,1;63;
2015-01-25;29,4;23,1;20,8;89,2;67;
2015-01-26;31,1;24,6;21;79,6;47;
2015-01-27;32,6;25,6;21,7;80;48;
2015-01-28;33,8;26;20,3;78,5;43;
2015-01-29;32,9;25,5;21,3;81,9;51;
2015-01-30;34,6;26,6;20,3;76,1;47;
2015-01-31;32,5;27,1;23;80,1;56;
2015-02-01;31,2;24,7;20,6;81,9;54;
2015-02-02;32,1;25,3;20,9;79,3;48;
2015-02-03;32;26;21,8;77,8;52;
2015-02-04;27,8;23,8;21,4;88,3;69;
2015-02-05;31,4;25,1;21,9;82,9;52;
2015-02-06;31,7;25,8;22,6;82,5;50;
2015-02-07;31,7;25,2;21,1;82,9;53;
2015-02-08;32,1;25,2;22,7;85,1;55;
2015-02-09;32;26,1;22,7;79,4;47;
2015-02-10;30,4;25,5;21,7;82,1;56;
2015-02-11;32,6;26,3;22,7;81;53;
2015-02-12;33,7;25,8;21,2;82,2;46;
2015-02-13;33,1;26,3;22,8;80,2;50;
2015-02-14;31,7;24,7;21,1;80,6;47;
2015-02-15;33,3;26,7;21,3;74,7;48;
2015-02-16;33,8;26,5;22,7;79,3;48;
2015-02-17;31,3;25,2;22,3;83,7;58;
2015-02-18;28,9;24,6;22,8;87,6;66;
2015-02-19;30,8;25,2;22,3;82,3;54;
2015-02-20;27,5;23,6;21,6;88;68;
2015-02-21;29,8;24,5;22,5;85,9;60;
2015-02-22;27,9;23,4;21,2;86,8;64;
2015-02-23;31,3;24,3;20,6;84;53;
2015-02-24;30,2;24,8;21,4;85,3;61;
2015-02-25;33,4;26,6;21;77,3;47;
2015-02-26;32,2;25,9;22;85,2;57;
2015-02-27;29,7;24,6;22,7;89,9;74;
2015-02-28;31,9;null;21,6;84;54;
2015-03-01;29,8;24,5;21,9;84,3;55;
2015-03-02;32,9;25,7;22,2;81,5;49;
2015-03-03;30,7;25,4;22,5;81,9;57;
2015-03-04;32;25,3;21,7;81,3;51;
2015-03-05;32,8;26,1;21,9;80,8;48;
2015-03-06;32,3;26,2;21,3;76,5;49;
2015-03-07;29,3;24,2;21,8;85,9;61;
2015-03-08;33,5;25,9;21,1;79,5;45;
2015-03-09;33,4;26,6;21,6;79,5;49;
2015-03-10;33,1;27,2;22,6;79,1;50;
2015-03-11;31,9;25,8;23,5;85;56;
2015-03-12;31,7;25,1;23;88,2;59;
2015-03-13;33,2;25,7;23,4;86,3;56;
2015-03-14;26,9;24;22;91,6;77;
2015-03-15;33,2;25,7;21,9;83,2;52;
2015-03-16;33,2;26,1;23,1;79,3;46;
2015-03-17;31,6;25,2;22,1;80,3;49;
2015-03-18;31,6;25,3;21,7;82,2;53;
2015-03-19;27,7;23,8;21,7;87,8;68;
2015-03-20;30,7;24,8;22,2;84,1;57;
2015-03-21;25,8;22,7;21;91;76;
2015-03-22;30;24;20,7;86,3;60;
2015-03-23;31,2;25,1;21,5;84,8;58;
2015-03-24;31,6;25,2;22;85,1;56;
2015-03-25;31,5;25,4;22,4;86,1;58;
2015-03-26;31,6;25,1;20,9;83,7;57;
2015-03-27;31,7;25,5;22,1;85,8;61;
2015-03-28;33,5;26,2;22,4;84,3;50;
2015-03-29;33,2;26,1;22,2;83,7;52;
2015-03-30;32,5;25,8;22,6;85,3;57;
2015-03-31;29,7;25,2;22,5;88,4;71;
2015-04-01;31,7;25,3;21,9;84,4;58;
2015-04-02;31,9;26,3;22,8;82,1;54;
2015-04-03;32,9;26,6;22,1;82,4;53;
2015-04-04;30,5;24,9;21,3;87,6;64;
2015-04-05;32,5;24,7;20;83;50;
2015-04-06;30,5;24,8;21,4;86,1;58;
2015-04-07;31,1;25,2;21,5;85,9;63;
2015-04-08;32,5;null;21,8;84,8;50;
2015-04-09;27,5;24,2;22,4;89,6;72;
2015-04-10;31,5;25,2;21,7;85,4;58;
2015-04-11;29,1;24,1;21,6;89,1;67;
2015-04-12;33;24,8;20,7;85,8;48;
2015-04-13;33,1;26,4;22,2;83,3;53;
2015-04-14;30,3;24,9;21;86,8;65;
2015-04-15;33;26,6;21,7;81,4;51;
2015-04-16;32,2;25,9;22,3;84,7;56;
2015-04-17;33,5;26,2;22,5;82,1;50;
2015-04-18;32,9;24,9;21,9;85,1;54;
2015-04-19;33,2;25,8;21,1;83;47;
2015-04-20;32,4;25;23,3;88;59;
2015-04-21;32;24,5;20,3;85,9;52;
2015-04-22;32,4;26;22,2;83,6;55;
2015-04-23;32,8;26,4;21,6;80,4;47;
2015-04-24;30;25,4;22,8;84,2;62;
2015-04-25;33,1;25,6;21,8;85,2;53;
2015-04-26;31,8;25,2;23,3;88,2;61;
2015-04-27;30,3;24,8;21,3;87,2;62;
2015-04-28;33,4;26,6;22,1;82,2;47;
2015-04-29;32,7;25,6;22,4;86,1;50;
2015-04-30;31,8;25,5;22,5;82,3;52;
2015-05-01;27,4;23,7;21,1;89,4;65;
2015-05-02;32,9;25,5;21,4;83,3;48;
2015-05-03;29,3;24;21,4;86,7;57;
2015-05-04;31,8;24,5;20,7;86,2;56;
2015-05-05;31,7;25,3;21,6;85,5;55;
2015-05-06;31,6;25,3;22,8;86,4;57;
2015-05-07;33,1;25,7;22;85,5;50;
2015-05-08;32,5;null;21,5;85,3;55;
2015-05-09;32,9;25,3;20,7;81;49;
2015-05-10;32;25,9;22,3;82,7;56;
2015-05-11;33,8;26,1;21,8;80,1;46;
2015-05-12;32;25;21,3;84,1;57;
2015-05-13;33,6;26,4;21,9;79,9;47;
2015-05-14;33,2;26;22,2;82;53;
2015-05-15;33,1;26,3;21,9;78,9;46;
2015-05-16;32,7;25,2;20,6;78,3;44;
2015-05-17;33,2;26,1;20,8;75,3;44;
2015-05-18;32,5;25,7;20,6;78,1;48;
2015-05-19;33,8;26,1;21,4;78,1;44;
2015-05-20;32,6;26,3;21,9;80;47;
2015-05-21;32,9;26,7;22,5;79,2;50;
2015-05-22;32,9;26,2;21,6;79,5;48;
2015-05-23;33,5;26;21,1;77,9;44;
2015-05-24;33,6;26;20,6;76,1;42;
2015-05-25;33,7;26,2;20,4;74,9;40;
2015-05-26;34,4;26,7;21,6;72,8;39;
2015-05-27;33;25,3;21,1;83,8;47;
2015-05-28;33,6;26;21,4;82,1;49;
2015-05-29;33,8;26,5;21,1;77,3;46;
2015-05-30;34,4;26,4;20,5;76,9;41;
2015-05-31;35;26,4;20,2;73,7;37;
2015-06-01;34,4;26;20,2;75;37;
2015-06-02;34,6;26,2;19,9;74,3;34;
2015-06-03;34,2;25,8;19,2;75,5;39;
2015-06-04;33,7;25,9;20,7;75,6;41;
2015-06-05;33,3;25,6;20,1;73,5;42;
2015-06-06;33,3;25,5;19,9;75,5;42;
2015-06-07;31,5;25;20,8;76,8;46;
2015-06-08;33;26,1;20,9;72,1;42;
2015-06-09;32,5;25,1;19;75,3;39;
2015-06-10;33,1;24,8;18,6;77,4;41;
2015-06-11;34,8;25,2;17,4;73;32;
2015-06-12;34,7;25,7;19,2;72,5;33;
2015-06-13;34,6;25,4;18,2;74,1;37;
2015-06-14;34,5;25,9;19,3;74,5;37;
2015-06-15;34,3;25,9;19,4;74,5;40;
2015-06-16;35,4;25,9;19,1;72,8;32;
2015-06-17;33,2;25,2;19,8;76,6;47;
2015-06-18;33,6;24,9;18,6;70,5;30;
2015-06-19;34,2;24;15,7;66,9;26;
2015-06-20;33,5;23,9;17;71,1;32;
2015-06-21;33,2;24,4;17,3;69,8;34;
2015-06-22;33,2;24,2;17,3;68,5;32;
2015-06-23;33,2;24,2;16,5;67,3;30;
2015-06-24;33,9;24,1;16,7;66,7;25;
2015-06-25;33,4;24,2;16,9;67,6;35;
2015-06-26;33,4;25,5;20;68;35;
2015-06-27;32,3;24,4;18;68,3;36;
2015-06-28;32,5;23,8;17,7;71,2;37;
2015-06-29;33,3;24,4;17,9;69,8;35;
2015-06-30;32,9;24,6;18,5;70,8;36;
2015-07-01;33,1;24,9;18,6;70,7;38;
2015-07-02;34,3;25,5;18,6;69,6;33;
2015-07-03;34,6;25,6;19,2;69,4;35;
2015-07-04;35;25,9;19,1;71,8;37;
2015-07-05;34,3;26,1;19,7;73,5;38;
2015-07-06;31,2;24,2;21,5;87;55;
2015-07-07;31,7;25,3;21,6;82,5;53;
2015-07-08;33,1;26,1;21,2;75,3;40;
2015-07-09;34,7;26;20;70,4;34;
2015-07-10;34,4;25,7;19,9;71,1;33;
2015-07-11;33,5;25,1;18,9;74,6;40;
2015-07-12;34,4;25,5;18,8;70,8;31;
2015-07-13;34,6;25,1;17,3;68,4;30;
2015-07-14;34,8;26,2;20,7;66,5;31;
2015-07-15;34,1;25;17,3;63,7;26;
2015-07-16;33,8;24;15,8;63,7;28;
2015-07-17;33,6;24,4;16,4;63,4;27;
2015-07-18;33,8;24,9;17,4;62,4;29;
2015-07-19;33,5;24,7;17,4;62,8;28;
2015-07-20;34;24,2;15,9;62,8;26;
2015-07-21;35,2;25,1;17;62,5;26;
2015-07-22;35,8;25,9;18,9;61,5;25;
2015-07-23;35,4;25,2;18,3;62,2;24;
2015-07-24;34,9;24,7;17,1;62,3;22;
2015-07-25;35;25,4;17,6;60,6;28;
2015-07-26;36,2;25,9;18;64;27;
2015-07-27;35,5;26,1;18,3;63,6;27;
2015-07-28;35,8;25,1;16,9;67,1;27;
2015-07-29;36,3;25,4;16,8;61,5;23;
2015-07-30;35,5;25,1;16,1;56,4;20;
2015-07-31;35,2;24,9;16,1;58,7;25;
2015-08-01;35,3;24,4;14,8;60,1;21;
2015-08-02;35,2;24,1;14,7;59,2;22;
2015-08-03;36;25,4;16,7;59,4;23;
2015-08-04;36,1;25,7;16,8;57,2;20;
2015-08-05;35,8;25,1;15,6;57,6;20;
2015-08-06;36,7;25,2;15,7;57,7;18;
2015-08-07;36,1;25,2;16,2;61,6;22;
2015-08-08;36,6;25,5;16,7;59,4;19;
2015-08-09;36,5;25,3;15,9;54,8;18;
2015-08-10;36,3;25,2;15,5;53,9;18;
2015-08-11;35,3;25;15,4;55,6;22;
2015-08-12;34,4;24,8;15,8;55;23;
2015-08-13;33,8;23,6;13,5;53,2;22;
2015-08-14;34,5;23,3;13,4;55,2;21;
2015-08-15;36;25,1;16,2;54,9;22;
2015-08-16;37,3;26,5;17,2;55,3;20;
2015-08-17;35,6;26,2;17,6;52,6;22;
2015-08-18;36,2;25,5;16,4;54,4;20;
2015-08-19;36,8;26;16,7;51,5;18;
2015-08-20;37,5;27,1;19,7;49,7;18;
2015-08-21;37,6;27;19,1;56,6;20;
2015-08-22;37,7;27,9;19,3;56,2;25;
2015-08-23;38,3;28,7;20,4;55,9;20;
2015-08-24;37,8;28,5;21;57,5;28;
2015-08-25;37,4;26,6;21,2;73,5;33;
2015-08-26;35,3;27,1;21;72,3;36;
2015-08-27;36,7;27,6;20,6;66,9;32;
2015-08-28;36,3;27,6;20,6;65;31;
2015-08-29;35,9;27,5;21;67,2;35;
2015-08-30;37,2;27,3;19,8;62,3;19;
2015-08-31;36,8;26,6;17,5;56;22;
2015-09-01;36,3;26;17,9;55,7;20;
2015-09-02;38,5;26,5;15,9;53,4;16;
2015-09-03;38,3;27,9;18,3;54,4;19;
2015-09-04;38,2;28,8;20,7;57;24;
2015-09-05;38,6;29;21,6;57,5;25;
2015-09-06;36,6;29,5;22,2;58,7;35;
2015-09-07;36,8;28,5;21,4;62,4;31;
2015-09-08;37,5;29,5;20,6;54,2;27;
2015-09-09;37,9;28,9;19,7;56,4;25;
2015-09-10;37,5;28,1;19,9;55,9;27;
2015-09-11;38;29,1;21,9;55,9;24;
2015-09-12;38,1;28,9;20,7;57,6;24;
2015-09-13;37;28;24;62,3;31;
2015-09-14;34,5;25,2;21,6;81,6;47;
2015-09-15;37;26,9;20,6;69,9;30;
2015-09-16;38,3;28,5;19,8;55,1;19;
2015-09-17;38;29;21,1;48,5;18;
2015-09-18;38,9;28,7;19,1;48,5;16;
2015-09-19;38,6;27,8;19;48,8;21;
2015-09-20;38,8;28,4;19,8;55,9;24;
2015-09-21;37,2;27,3;21,2;65;31;
2015-09-22;36,4;27,1;22,2;71,6;35;
2015-09-23;37;28,4;20,9;62,8;29;
2015-09-24;37,7;29,1;21,3;59,4;28;
2015-09-25;37,3;29,7;22,8;53,9;29;
2015-09-26;37,4;29;21,2;57,8;30;
2015-09-27;36,7;29,8;23;55,9;34;
2015-09-28;36,1;29,6;23,8;57,9;35;
2015-09-29;37,4;28,2;22,6;63,2;31;
2015-09-30;37,5;28,3;21,9;61,2;29;
2015-10-01;37,7;29,9;23,5;55,5;28;
2015-10-02;37,4;29,5;22,6;52,8;26;
2015-10-03;38,5;28,7;20,7;55,1;23;
2015-10-04;38,9;29,7;21;54,2;26;
2015-10-05;38;30,7;24,1;54,4;33;
2015-10-06;31,3;27,3;22,5;66,1;47;
2015-10-07;36,4;27,5;20,3;64,7;31;
2015-10-08;35,5;27,3;22,7;71,5;35;
2015-10-09;36,1;28,4;21,2;65,4;37;
2015-10-10;36,6;28,7;22,2;62,3;33;
2015-10-11;37,8;28,9;21,1;59,1;29;
2015-10-12;37,6;29,5;22;57,4;29;
2015-10-13;35,9;29;22,7;60,1;33;
2015-10-14;37,3;null;22,7;61,1;28;
2015-10-15;38;29,2;21,9;55,9;26;
2015-10-16;38,6;30,4;24,3;51,5;22;
2015-10-17;38,4;null;22,4;61,5;26;
2015-10-18;38;29,1;21,2;56,5;22;
2015-10-19;36,5;30,2;23,9;56,5;34;
2015-10-20;37,4;29,3;22,9;56,9;28;
2015-10-21;38,5;null;21,6;58,3;27;
2015-10-22;39,1;null;23,1;58,2;26;
2015-10-23;34,1;27,7;24,6;68,8;43;
2015-10-24;34,6;null;22,1;72,6;39;
2015-10-25;null;null;null;null;36;
2015-10-26;null;null;null;null;56;
2015-10-27;null;null;null;null;33;
2015-10-28;null;null;null;null;47;
2015-10-29;null;null;null;null;34;
2015-10-30;null;null;null;null;33;
