Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-06-23
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,2;26,3;23,3;85,4;60;
2015-01-02;32,4;null;23,3;84,4;57;
2015-01-03;32,7;26,5;22,8;82,2;55;
2015-01-04;32,5;26,1;21,8;80,5;50;
2015-01-05;31,7;24,7;23,3;87,7;56;
2015-01-06;30;24,2;21,6;89,3;65;
2015-01-07;32,5;25,5;21,6;84,8;52;
2015-01-08;32,7;26,4;22,3;81,2;52;
2015-01-09;32,4;25,7;22,1;86,2;56;
2015-01-10;32,5;26,5;22,4;83,1;57;
2015-01-11;32,2;26,3;22,9;82,5;56;
2015-01-12;33,1;26,5;22,4;80,6;54;
2015-01-13;30,2;25;22,9;91,5;73;
2015-01-14;32,3;26,1;22,6;87,3;58;
2015-01-15;32,1;26,9;23,3;83,6;59;
2015-01-16;32,3;26,5;23,2;85,1;60;
2015-01-17;32,5;26,7;23,2;82;52;
2015-01-18;33,6;26,5;22,6;82,5;51;
2015-01-19;31,7;25,5;22,5;87,6;62;
2015-01-20;32,2;26,4;23,1;84,9;61;
2015-01-21;33,5;25,7;23;87,5;49;
2015-01-22;29,2;null;22,4;94,1;74;
2015-01-23;null;null;null;93,7;73;
2015-01-24;30,9;25,6;22,6;87;65;
2015-01-25;27,5;23,7;22,4;94,2;81;
2015-01-26;30,8;25,2;21,7;86,7;66;
2015-01-27;30,7;25,4;22,1;89,3;67;
2015-01-28;29,6;25,1;22,5;91;74;
2015-01-29;31,9;26,4;23,1;85,6;60;
2015-01-30;31,5;26,4;22,9;84,5;62;
2015-01-31;32,5;26,7;22,8;82,4;56;
2015-02-01;null;null;null;90,5;76;
2015-02-02;27,3;null;23,1;95,6;82;
2015-02-03;28,8;null;22,3;93,7;74;
2015-02-04;null;null;null;null;null;
2015-02-05;null;null;null;null;null;
2015-02-06;null;null;null;null;null;
2015-02-07;null;null;null;null;null;
2015-02-08;null;null;null;null;null;
2015-02-09;null;null;null;null;null;
2015-02-10;null;null;null;null;69;
2015-02-11;null;null;null;null;61;
2015-02-12;null;null;null;null;63;
2015-02-13;null;null;null;null;73;
2015-02-14;null;null;null;null;74;
2015-02-15;null;null;null;null;null;
2015-02-16;null;null;null;null;null;
2015-02-17;null;null;null;null;89;
2015-02-18;null;null;null;null;83;
2015-02-19;null;null;null;null;96;
2015-02-20;null;null;null;null;null;
2015-02-21;null;null;null;null;null;
2015-02-22;null;null;null;null;null;
2015-02-23;null;null;null;null;null;
2015-02-24;null;null;null;null;null;
2015-02-25;null;null;null;null;null;
2015-02-26;null;null;null;null;null;
2015-02-27;null;null;null;null;null;
2015-02-28;null;null;null;null;null;
2015-03-01;null;null;null;null;null;
2015-03-02;null;null;null;null;null;
2015-03-03;null;null;null;null;null;
2015-03-04;null;null;null;null;null;
2015-03-05;null;null;null;null;null;
2015-03-06;null;null;null;null;null;
2015-03-07;null;null;null;null;null;
2015-03-08;null;null;null;null;null;
2015-03-09;null;null;null;null;null;
2015-03-10;null;null;null;null;null;
2015-03-11;null;null;null;null;null;
2015-03-12;null;null;null;null;null;
2015-03-13;null;null;null;null;null;
2015-03-14;null;null;null;null;null;
2015-03-15;null;null;null;null;null;
2015-03-16;null;null;null;null;null;
2015-03-17;null;null;null;null;null;
2015-03-18;null;null;null;null;null;
2015-03-19;null;null;null;null;null;
2015-03-20;null;null;null;null;null;
2015-03-21;null;null;null;null;null;
2015-03-22;null;null;null;null;null;
2015-03-23;null;null;null;null;null;
2015-03-24;null;null;null;null;null;
2015-03-25;null;null;null;null;null;
2015-03-26;null;null;null;null;null;
2015-03-27;null;null;null;null;null;
2015-03-28;null;null;null;null;null;
2015-03-29;null;null;null;null;null;
2015-03-30;null;null;null;null;null;
2015-03-31;null;null;null;null;null;
2015-04-01;null;null;null;null;null;
2015-04-02;null;null;null;null;null;
2015-04-03;null;null;null;null;null;
2015-04-04;null;null;null;null;null;
2015-04-05;null;null;null;null;null;
2015-04-06;null;null;null;null;93;
2015-04-07;null;null;null;null;null;
2015-04-08;null;null;null;null;null;
2015-04-09;null;null;null;null;82;
2015-04-10;null;null;null;null;80;
2015-04-11;null;null;null;null;95;
2015-04-12;null;null;null;null;64;
2015-04-13;null;null;null;null;67;
2015-04-14;null;null;null;null;null;
2015-04-15;null;null;null;null;null;
2015-04-16;null;null;null;null;null;
2015-04-17;null;null;null;null;null;
2015-04-18;null;null;null;null;83;
2015-04-19;null;null;null;null;null;
2015-04-20;null;null;null;null;null;
2015-04-21;null;null;null;null;null;
2015-04-22;null;null;null;null;null;
2015-04-23;null;null;null;null;null;
2015-04-24;null;null;null;null;75;
2015-04-25;null;null;null;null;null;
2015-04-26;null;null;null;null;null;
2015-04-27;null;null;null;null;null;
2015-04-28;null;null;null;null;null;
2015-04-29;null;null;null;null;null;
2015-04-30;null;null;null;null;null;
2015-05-01;null;null;null;null;null;
2015-05-02;null;null;null;null;98;
2015-05-03;null;null;null;null;null;
2015-05-04;null;null;null;null;null;
2015-05-05;null;null;null;null;87;
2015-05-06;null;null;null;null;null;
2015-05-07;null;null;null;null;null;
2015-05-08;null;null;null;null;null;
2015-05-09;null;null;null;null;null;
2015-05-10;null;null;null;null;null;
2015-05-11;null;null;null;null;null;
2015-05-12;null;null;null;null;null;
2015-05-13;null;null;null;null;null;
2015-05-14;null;null;null;null;null;
2015-05-15;null;null;null;null;null;
2015-05-16;null;null;null;null;null;
2015-05-17;null;null;null;null;null;
2015-05-18;null;null;null;null;null;
2015-05-19;null;null;null;null;null;
2015-05-20;null;null;null;null;null;
2015-05-21;null;null;null;null;null;
2015-05-22;null;null;null;null;null;
2015-05-23;null;null;null;null;98;
2015-05-24;null;null;null;null;null;
2015-05-25;null;null;null;null;null;
2015-05-26;null;null;null;null;null;
2015-05-27;null;null;null;null;null;
2015-05-28;null;null;null;null;null;
2015-05-29;null;null;null;null;null;
2015-05-30;null;null;null;null;null;
2015-05-31;null;null;null;null;null;
2015-06-01;null;null;null;null;null;
2015-06-02;null;null;null;null;null;
2015-06-03;null;null;null;null;null;
2015-06-04;null;null;null;null;null;
2015-06-05;null;null;null;null;null;
2015-06-06;null;null;null;null;null;
2015-06-07;null;null;null;null;null;
2015-06-08;null;null;null;null;null;
2015-06-09;null;null;null;null;null;
2015-06-10;null;null;null;null;null;
2015-06-11;null;null;null;null;null;
2015-06-12;null;null;null;null;null;
