Nome: PORTO DE MOZ
Codigo Estacao: A245
Latitude: -1.82194443
Longitude: -52.11166666
Altitude: 19
Situacao: Operante
Data Inicial: 2022-04-06
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2022-04-06;null;null;null;null;null;
2022-04-07;null;null;null;null;75;
2022-04-08;33,2;26,2;24,1;88,5;62;
2022-04-09;31,7;25,9;23,1;null;96;
2022-04-10;31,4;25,5;23,3;null;69;
2022-04-11;32,8;26,5;23,4;null;88;
2022-04-12;30,3;26;23,2;null;null;
2022-04-13;31,3;25,9;22,8;89,8;67;
2022-04-14;31,6;26,1;23,5;91,6;68;
2022-04-15;32,4;26,1;23,7;null;null;
2022-04-16;32,2;27,2;24;null;97;
2022-04-17;31,9;25,6;23,4;null;null;
2022-04-18;32,8;27,1;23,7;null;57;
2022-04-19;32,7;26,8;23,8;87,2;60;
2022-04-20;28,9;25,8;24,3;94;81;
2022-04-21;31,3;26;22,8;95,9;79;
2022-04-22;31,9;26,6;24,1;null;null;
2022-04-23;30,2;25;23;null;null;
2022-04-24;32,6;27,1;23,9;82,1;52;
2022-04-25;33,2;26,9;22,8;null;27;
2022-04-26;30,3;25;23,3;92,1;71;
2022-04-27;32,6;25,6;22,1;88,4;61;
2022-04-28;32,5;26,4;23,7;88,5;59;
2022-04-29;31,5;25,7;22,8;90,2;65;
2022-04-30;31,4;25,7;23;null;97;
2022-05-01;30,3;25,9;23,6;null;null;
2022-05-02;30,7;25,6;23,8;null;67;
2022-05-03;30,4;25,9;23,9;91,6;70;
2022-05-04;31,5;25,7;23,3;91,3;64;
2022-05-05;32,1;26,2;23,9;94;67;
2022-05-06;32,5;26,6;23,7;87,7;62;
2022-05-07;31,3;25,5;23,5;null;86;
2022-05-08;29,8;25,5;23;null;null;
2022-05-09;30,2;25,9;23,8;90,9;72;
2022-05-10;30,9;25,7;24;91,4;65;
2022-05-11;32,3;26,1;22,7;87,2;59;
2022-05-12;30,9;25,9;23,5;91,8;68;
2022-05-13;31,7;26,9;23,8;89,8;68;
2022-05-14;32,6;27,3;24,2;null;94;
2022-05-15;29,9;26,6;24,9;null;28;
2022-05-16;32,9;27,5;24,4;null;null;
2022-05-17;32,9;27,2;24,2;null;null;
2022-05-18;31,5;26,2;24,2;91,5;69;
2022-05-19;28,4;25,5;23,5;87,8;71;
2022-05-20;28;24,3;21,2;91,4;69;
2022-05-21;30,6;25,1;22,2;91,5;63;
2022-05-22;32,2;26,2;22,2;87;60;
2022-05-23;30,9;25,2;23,1;91,8;65;
2022-05-24;31,7;25,8;22,2;85,9;60;
2022-05-25;32,5;27,1;23,5;83,4;56;
2022-05-26;32;26,1;23,2;88;61;
2022-05-27;31,5;26,1;23,3;88,2;61;
2022-05-28;32,8;26,3;23,6;88,4;62;
2022-05-29;31,6;26,6;23,9;88,2;61;
2022-05-30;31,2;26,1;23,2;89,1;67;
2022-05-31;33,2;27;23,3;85,4;56;
2022-06-01;32;26,1;23,3;88,2;61;
2022-06-02;31,3;25,6;23,4;91;65;
2022-06-03;33;27;23,6;86,6;58;
2022-06-04;32,3;26,3;23,6;89,8;61;
2022-06-05;31,1;25,5;21,9;89,9;64;
2022-06-06;29,4;25,4;22,5;89,3;66;
2022-06-07;31;25,9;22,8;88;64;
2022-06-08;31,2;25,6;23,6;89,8;65;
2022-06-09;31,8;25,2;22,6;92,5;66;
2022-06-10;32,5;25,2;21,9;90,6;61;
2022-06-11;30,7;25,3;22,3;89,6;66;
2022-06-12;32,2;25,5;21,8;89,8;64;
2022-06-13;32,2;26,3;22,5;87,2;60;
2022-06-14;26,8;24,3;23,1;95,5;81;
2022-06-15;31,4;25,7;21,7;86,8;59;
2022-06-16;33;25,8;20,8;81,9;45;
2022-06-17;32,2;25,4;21,1;87,4;58;
2022-06-18;32;26,4;22,5;86,7;62;
2022-06-19;32,2;27;23,1;84;57;
2022-06-20;32,1;26,1;22,9;86,4;62;
2022-06-21;32,4;26,4;22,2;85,6;56;
2022-06-22;31,8;25,8;23,3;88,9;59;
2022-06-23;31,5;26,1;22,5;87,1;62;
2022-06-24;32,7;26,5;22;84,3;56;
2022-06-25;33,1;26,7;22,3;84,8;56;
2022-06-26;32,3;25,8;23,2;89,8;64;
2022-06-27;31,9;25,6;22,5;89,1;63;
2022-06-28;32,3;25,4;21,9;89;58;
2022-06-29;29,8;25,2;22,2;92,5;77;
2022-06-30;32,1;25,4;21,1;87,1;60;
2022-07-01;32;26,1;23,1;87,4;60;
2022-07-02;32;26,5;22,5;85,1;60;
2022-07-03;31;25,7;23,4;90;66;
2022-07-04;30,5;25,9;22,9;83,8;61;
2022-07-05;31,8;26,4;23,1;84,8;58;
2022-07-06;32,6;26,7;22,6;86,5;57;
2022-07-07;32;27;23;83,4;57;
2022-07-08;31,7;26;23,1;87,3;62;
2022-07-09;32,7;26,7;22,2;83,1;53;
2022-07-10;30,7;25;22,5;91,3;69;
2022-07-11;32,4;26,1;22;87,2;54;
2022-07-12;32,8;26;22,9;90;59;
2022-07-13;32,2;27;23,7;85,8;59;
2022-07-14;31,8;26,5;22,8;83,5;60;
2022-07-15;32;26,7;22,5;85,3;57;
2022-07-16;32,9;27,2;23,4;83,8;58;
2022-07-17;33,3;26,8;22,4;86,3;56;
2022-07-18;32,7;26,8;22,1;86,2;55;
2022-07-19;32,3;26,9;22,6;83;56;
2022-07-20;31,7;26,6;23,6;86,9;63;
2022-07-21;31,8;25,6;21,8;91,4;62;
2022-07-22;32,8;27,1;23,2;84,9;53;
2022-07-23;33,2;26,7;22,3;85,1;54;
2022-07-24;33,3;26,8;22,1;84,2;52;
2022-07-25;33,2;26,7;23,2;86,9;58;
2022-07-26;33,1;26,9;23,6;85,8;59;
2022-07-27;32,5;26,6;22,4;86,7;59;
2022-07-28;32,8;26,4;22,4;86,9;53;
2022-07-29;32,9;27,3;22,7;82,4;53;
2022-07-30;32,2;26,5;23,3;84,7;58;
2022-07-31;31,7;26;22,9;89,1;62;
2022-08-01;32,1;26,5;22,9;86,1;59;
2022-08-02;32,7;26,9;23,5;84,6;56;
2022-08-03;33,3;26,7;22,4;84,1;51;
2022-08-04;32,8;26,4;22,3;86,2;53;
2022-08-05;32,9;26,9;22,6;83,5;57;
2022-08-06;33,6;26,5;22,5;84,3;51;
2022-08-07;32,8;26,8;21,6;82,5;55;
2022-08-08;34,2;27,1;21,9;81,3;49;
2022-08-09;34;27,1;22,2;82;52;
2022-08-10;34,5;27,1;22,6;82,3;50;
2022-08-11;34,3;26,4;22,3;85,5;53;
2022-08-12;34,2;26,9;21,9;83;52;
2022-08-13;34;27,1;23,8;82,5;53;
2022-08-14;32,1;25,3;22,6;89,8;61;
2022-08-15;33,8;26,2;21,6;85,4;50;
2022-08-16;33,7;26,9;21,9;82;48;
2022-08-17;34,1;26,8;21,7;82,2;49;
2022-08-18;33,8;26,9;22,1;81,5;49;
2022-08-19;34,1;27,4;22,7;80,5;51;
2022-08-20;33,5;27,3;23;83,1;56;
2022-08-21;33,4;26,9;22,9;83,5;56;
2022-08-22;33,3;26,6;22;82,3;51;
2022-08-23;33,8;26,9;23,8;84,2;52;
2022-08-24;33,4;25,9;23,1;88,8;59;
2022-08-25;33,9;26,5;23,3;86,6;57;
2022-08-26;33,5;26,1;22,5;85,5;55;
2022-08-27;34;26,4;21,5;84,4;54;
2022-08-28;33,6;27,1;21,8;82,2;52;
2022-08-29;33,7;27,1;22,1;83,1;50;
2022-08-30;34,9;27,4;22,2;83,5;51;
2022-08-31;34,7;27,5;22,5;83,5;51;
2022-09-01;34,1;27,7;22,9;81,5;54;
2022-09-02;34,6;28,2;23,4;78,8;46;
2022-09-03;34,6;27,7;22,7;81,1;49;
2022-09-04;34,5;27,8;23,2;80;49;
2022-09-05;34,2;28,1;22,7;79,5;52;
2022-09-06;33,5;27;22,5;82,5;56;
2022-09-07;31,9;26,1;21,8;85,4;62;
2022-09-08;33,4;26,7;22,5;84,7;58;
2022-09-09;34,3;27,4;23,4;82,1;53;
2022-09-10;34,4;27,3;22,2;81,6;52;
2022-09-11;34,2;27,7;22,8;81,9;54;
2022-09-12;34,2;27,3;23,4;84,1;55;
2022-09-13;34,5;27,9;23,3;78,8;51;
2022-09-14;33,8;27,4;23,3;83;57;
2022-09-15;35;28,2;22,8;79,9;53;
2022-09-16;34,3;28,1;22,6;77,2;50;
2022-09-17;34,4;28,1;23,4;77,8;52;
2022-09-18;35,1;27,9;21,7;75,6;47;
2022-09-19;34,8;28;23,1;77,1;49;
2022-09-20;35,3;27,9;22,4;78,8;49;
2022-09-21;34,6;28,2;23,7;78,8;53;
2022-09-22;34,6;28;23,3;77,4;48;
2022-09-23;34,7;27,4;21,4;77,5;48;
2022-09-24;36,1;27,8;22,2;76,9;44;
2022-09-25;35,1;28,1;23,6;78,6;50;
