Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Pane
Data Inicial: 2016-09-10
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2016-09-10;null;null;null;null;null;
2016-09-11;null;null;null;null;null;
2016-09-12;null;null;null;null;null;
2016-09-13;null;null;null;null;39;
2016-09-14;35,2;28,6;22,9;64,4;37;
2016-09-15;34,4;28,6;22,9;65,6;43;
2016-09-16;34,6;28,8;24;65;43;
2016-09-17;29,5;24,4;23,4;79,9;59;
2016-09-18;32,4;25,9;20,7;77,8;48;
2016-09-19;33,9;27,3;22,1;71,6;41;
2016-09-20;34,2;27,6;21,7;69;41;
2016-09-21;35,7;27,5;22,5;69,6;38;
2016-09-22;33,9;27,2;23;72,4;46;
2016-09-23;28,2;24,9;22,6;82,5;66;
2016-09-24;33,3;26,8;21,6;73,3;45;
2016-09-25;31,6;25;22,9;81,5;55;
2016-09-26;27,7;23,3;21,2;89,9;67;
2016-09-27;32,4;25,7;22,1;82;51;
2016-09-28;33;25,3;22,2;84,6;50;
2016-09-29;32,1;25,7;21,9;81;54;
2016-09-30;28,6;23,6;22;88,3;69;
2016-10-01;30,7;25,1;21,6;81,7;54;
2016-10-02;33,7;26,9;21,6;77,2;47;
2016-10-03;33,3;27,6;22,7;76,2;48;
2016-10-04;32,7;26,3;22,9;81,7;54;
2016-10-05;28,8;25,5;22,5;81,2;65;
2016-10-06;32,6;24,5;21,3;84,9;52;
2016-10-07;32,7;26,6;21,3;77,6;46;
2016-10-08;33,1;25,4;22,8;87,1;54;
2016-10-09;29;24,5;22,6;90,6;71;
2016-10-10;33,2;26,5;22,3;82,2;52;
2016-10-11;33,7;27,8;22,8;75,8;46;
2016-10-12;33,3;27,1;21,8;75,4;44;
2016-10-13;33,1;27,1;21,4;73,6;45;
2016-10-14;33,3;27,8;21,7;72,6;49;
2016-10-15;34,1;28,1;22,1;70,5;42;
2016-10-16;34,3;28;21,5;69;43;
2016-10-17;33,1;28,1;22,6;71,1;48;
2016-10-18;34;27,6;22,2;71,1;47;
2016-10-19;34,2;28;22,4;69,3;46;
2016-10-20;33,7;27,5;22,9;71;49;
2016-10-21;33,5;25,4;20,6;76,3;47;
2016-10-22;34,7;27;20,7;71,5;40;
2016-10-23;34,7;26,6;21,6;75,3;45;
2016-10-24;29,4;25,2;22,6;83,4;65;
2016-10-25;33,2;26,5;21,9;77,9;48;
2016-10-26;34,6;26,8;21,8;75,3;45;
2016-10-27;34,6;26,1;22;78,9;43;
2016-10-28;31,9;25,9;22,5;83,3;62;
2016-10-29;32,5;25,2;22,2;82,6;53;
2016-10-30;33,5;25,8;20,4;78;46;
2016-10-31;32,6;25,7;21,8;82,8;55;
2016-11-01;32,7;26,6;21,5;78,7;52;
2016-11-02;31,9;26,6;21,8;80,4;56;
2016-11-03;32;27;23,1;79,7;56;
2016-11-04;34,3;28,2;23;74,3;44;
2016-11-05;35,1;28,6;22,5;70,9;45;
2016-11-06;32,7;26,3;23,2;82,1;58;
2016-11-07;32,6;25,8;23,3;83,3;54;
2016-11-08;29,8;24,3;22,4;88,5;61;
2016-11-09;30,7;25,2;22,2;84,5;65;
2016-11-10;32,9;26,4;21;77,1;50;
2016-11-11;31,1;25,1;23,4;89,6;63;
2016-11-12;30,7;25,6;22,7;86,4;65;
2016-11-13;29,4;25,9;23,5;86,4;69;
2016-11-14;33,8;27,3;22,8;80;48;
2016-11-15;27,7;24,2;22,7;89,4;74;
2016-11-16;28,2;23,9;21,9;92;73;
2016-11-17;31,6;25,9;21,9;82,4;57;
2016-11-18;30,6;25,8;22,3;81,2;63;
2016-11-19;33,2;25,3;22,8;86,8;54;
2016-11-20;26,9;24,5;22,2;90,6;79;
2016-11-21;32,1;27,1;23,5;77,5;53;
