Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;32,6;26,2;21,7;75,9;47;
2015-01-02;33,8;26,7;21,5;71,6;41;
2015-01-03;32,6;24,9;20,9;82,1;46;
2015-01-04;32,6;25,2;21,5;82,7;49;
2015-01-05;30,1;24,3;22,7;86,8;57;
2015-01-06;33;25,6;21,5;79,1;43;
2015-01-07;32,4;25,4;21,9;81,7;51;
2015-01-08;32,8;26,5;22,1;75,8;47;
2015-01-09;33,1;25,9;21,4;77,3;47;
2015-01-10;32,8;26,2;21,8;77,4;50;
2015-01-11;32,8;26,3;22,4;77,6;52;
2015-01-12;32,9;26,8;22,6;73,9;46;
2015-01-13;34,1;26,6;21,8;75,8;43;
2015-01-14;32,7;26,5;22,8;77,7;50;
2015-01-15;33,2;26,9;22,3;72,5;45;
2015-01-16;33,3;26,4;21,1;74;46;
2015-01-17;33,5;27,2;22,4;71,4;43;
2015-01-18;33;26,4;21,8;73,8;45;
2015-01-19;32,8;26,1;21,3;75,7;45;
2015-01-20;33,2;25,4;22,5;80,7;45;
2015-01-21;33,6;26,1;22,2;78,4;43;
2015-01-22;32,9;26,2;22,9;80;48;
2015-01-23;31,2;25,6;22,5;82;54;
2015-01-24;32,3;26,4;22,8;74,8;46;
2015-01-25;31,6;25,4;22,5;81,5;53;
2015-01-26;31,1;25,9;22,9;79,8;55;
2015-01-27;33,5;25,6;21,6;79;44;
2015-01-28;32,2;25,1;21,2;82,4;53;
2015-01-29;33,4;26,5;21,6;74,9;43;
2015-01-30;32,6;26,5;22,1;74,4;48;
2015-01-31;32,2;25,7;22,1;83,1;53;
2015-02-01;32,6;25,5;22,6;82,7;54;
2015-02-02;30,7;24,6;22,4;86,3;61;
2015-02-03;29,3;24,4;21,8;87,7;68;
2015-02-04;31,4;25,1;22,6;85,7;56;
2015-02-05;30,4;24,6;22,1;84,6;59;
2015-02-06;31,9;26,1;23;80,8;54;
2015-02-07;31,9;25;22,6;83,8;53;
2015-02-08;32,3;26,5;22,6;80,3;54;
2015-02-09;32,5;25,7;23,3;83,5;53;
2015-02-10;32,4;26,1;21,5;81,5;51;
2015-02-11;33,4;27,2;22,6;75,9;49;
2015-02-12;33,6;26,9;22,6;77,2;48;
2015-02-13;33,3;26,9;23,1;77,1;50;
2015-02-14;33,1;26,6;22,4;77,2;50;
2015-02-15;33,3;26,5;21,5;75,7;48;
2015-02-16;32,7;26;22,9;81;49;
2015-02-17;32,5;26,3;23,4;80,9;53;
2015-02-18;29,4;24,4;23,2;89,3;69;
2015-02-19;27;24,2;22,8;88;71;
2015-02-20;30,9;24,8;22,8;85,2;53;
2015-02-21;29,4;24,7;21,9;81,1;61;
2015-02-22;28,3;24,7;22,4;81,5;62;
2015-02-23;30,5;25,4;22,2;77,3;53;
2015-02-24;28,2;24,8;22,3;82,6;66;
2015-02-25;31,6;25,5;22,7;84,6;56;
2015-02-26;32,3;26,1;22,7;82;51;
2015-02-27;30,8;25;22,8;87,1;61;
2015-02-28;32,1;25,9;22,9;83,2;52;
2015-03-01;31,4;24,7;22,1;87,7;58;
2015-03-02;30,8;24,3;21;88,1;61;
2015-03-03;31;25,2;22,1;84,7;57;
2015-03-04;31,8;25,3;22,9;85;51;
2015-03-05;31,3;25,6;22,2;83,5;61;
2015-03-06;29,5;24,4;23,2;88,4;68;
2015-03-07;30,2;24,9;21,3;85,8;63;
2015-03-08;29,9;24,8;22,6;86,3;64;
2015-03-09;31,3;24,7;22,4;88,7;58;
2015-03-10;30,8;26;23,1;83,4;62;
2015-03-11;29,9;25,6;23,6;84,6;66;
2015-03-12;32,9;25,8;23;83,8;50;
2015-03-13;31,2;25,8;24;85,8;60;
2015-03-14;33;26;23,2;84,6;51;
2015-03-15;32,3;26;23,3;85,8;58;
2015-03-16;31,6;25,8;23,6;85,5;58;
2015-03-17;32,1;25,1;23,2;86,8;59;
2015-03-18;30,6;25,3;22,5;84,3;59;
2015-03-19;31,9;25,5;23,3;86,5;60;
2015-03-20;30,1;24,1;23,1;90;66;
2015-03-21;30,9;24,7;21,9;84,8;58;
2015-03-22;31,5;24,4;22,5;87;54;
2015-03-23;32,2;25,4;21,6;81,7;54;
2015-03-24;32,7;25,6;23,2;84,2;50;
2015-03-25;29,7;24,3;22,2;89;62;
2015-03-26;32,9;25,6;22,5;84,1;51;
2015-03-27;31,9;25,4;22,6;86,6;57;
2015-03-28;32,4;26;23,1;84,3;55;
2015-03-29;32,1;25,6;23;85,6;56;
2015-03-30;31,1;25,3;21,6;85,5;62;
2015-03-31;31,1;25,3;22,8;87;62;
2015-04-01;30,6;24,5;22,7;89,2;63;
2015-04-02;32;26,1;22,3;80,7;54;
2015-04-03;31,8;26;22,5;80,1;53;
2015-04-04;30,7;25,3;22;82,1;60;
2015-04-05;29,4;24,5;23,3;87,1;65;
2015-04-06;31,9;25;22;86;53;
2015-04-07;30,5;25,2;21,7;84,8;59;
2015-04-08;31,4;25,3;22,6;85,7;59;
2015-04-09;31,2;25,3;22,8;86,7;62;
2015-04-10;27,6;24,6;23;89,9;77;
2015-04-11;31,6;25,1;22,4;86,8;56;
2015-04-12;27,7;24,3;22,5;88,8;74;
2015-04-13;32,1;25,2;22,3;85,8;56;
2015-04-14;30,5;24,7;22,7;88,7;65;
2015-04-15;31,9;25,3;23,2;85,8;59;
2015-04-16;31;24,7;22,7;89,2;66;
2015-04-17;32,2;25,3;22,2;85,8;59;
2015-04-18;30,9;25,4;22,3;87,3;63;
2015-04-19;30,7;25,6;23,4;86,5;64;
2015-04-20;31,3;26;21,9;80,8;59;
2015-04-21;32,3;25,6;22,2;84,8;56;
2015-04-22;31,1;24,7;21,9;88,7;60;
2015-04-23;31,1;25,7;21,8;83,5;61;
2015-04-24;29;25,3;22,9;84,6;68;
2015-04-25;32,8;25,4;22,9;85,6;51;
2015-04-26;32,3;25,1;22,6;87;56;
2015-04-27;31,8;25,4;23,2;86,5;58;
2015-04-28;32;25,4;22,2;85,5;55;
2015-04-29;32,2;25,3;22,6;85,9;56;
