Nome: MACAPA
Codigo Estacao: A249
Latitude: 0.03499999
Longitude: -51.08888888
Altitude: 16.62
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;31,9;26,9;22,6;77,8;58;
2015-01-02;32,9;28,2;24,1;71,5;44;
2015-01-03;33;28;23,7;72,1;46;
2015-01-04;32,8;27,3;24;75;49;
2015-01-05;25,9;24,4;22,4;88,4;72;
2015-01-06;31,3;26,2;22,2;77,3;52;
2015-01-07;31,9;26,6;22,5;77,9;55;
2015-01-08;31,6;27,6;24,4;76;55;
2015-01-09;32;27,4;23,6;75,4;51;
2015-01-10;32,7;27,9;24,6;74,3;51;
2015-01-11;32,1;27,9;24,3;73,6;54;
2015-01-12;31,4;27,3;24,5;77,6;58;
2015-01-13;31,1;27;23,7;78,9;62;
2015-01-14;32,5;27,8;24,2;76,5;55;
2015-01-15;31,4;28;24,4;76,5;58;
2015-01-16;32,7;27,9;24,3;74,4;45;
2015-01-17;32,4;27,8;23,7;74,2;51;
2015-01-18;32,1;27,8;23,9;73;51;
2015-01-19;31,9;27,6;23,8;74,6;54;
2015-01-20;31,7;27,3;23,7;76,9;53;
2015-01-21;32,7;27,7;24,3;75,1;47;
2015-01-22;32,3;26,7;24,2;80,2;55;
2015-01-23;28,8;24,6;22;89,5;72;
2015-01-24;31,3;26,5;23,1;79,2;51;
2015-01-25;30,8;25,8;22,9;81,4;59;
2015-01-26;30,1;25,4;22,5;82;60;
2015-01-27;32,3;27,3;23;76,8;52;
2015-01-28;32,3;27,3;23,8;76,5;50;
2015-01-29;31,7;27,2;24,1;78,6;55;
2015-01-30;32,2;27,8;24,4;75,6;53;
2015-01-31;32,4;27,9;23,7;74,5;54;
2015-02-01;32,2;27,3;23,8;77,6;56;
2015-02-02;26,8;24,8;22,2;89,8;76;
2015-02-03;30,1;24,5;22,7;89,3;66;
2015-02-04;30,4;25,5;23,1;84,6;63;
2015-02-05;30,8;26,1;21,9;76,2;52;
2015-02-06;30,9;26,4;21,6;74,8;50;
2015-02-07;31,3;26,3;24,4;79,3;58;
2015-02-08;29,9;24,8;22,9;89,3;66;
2015-02-09;26,5;24,2;23,4;91,7;82;
2015-02-10;null;null;null;72,2;57;
2015-02-11;32;27,5;24,5;77,9;56;
2015-02-12;32,2;null;25,3;69,7;55;
2015-02-13;32,4;28;24,2;76;53;
2015-02-14;32,1;27,5;24,6;77,1;54;
2015-02-15;32;27,6;24,5;77,5;54;
2015-02-16;32,3;28,1;24,3;73,8;54;
2015-02-17;31,3;27,3;24,5;79,9;61;
2015-02-18;28,8;25,4;24,8;88;75;
2015-02-19;28,1;25,4;23,3;84,3;69;
2015-02-20;27,9;24,7;23,1;86,8;69;
2015-02-21;30;25;23,3;86,4;63;
2015-02-22;27,9;null;23,4;87,4;72;
2015-02-23;28,2;null;null;81;62;
2015-02-24;30,6;null;23,7;78,7;55;
2015-02-25;31;26,5;23,8;82,5;61;
2015-02-26;null;null;null;81,2;62;
2015-02-27;null;null;null;69,9;54;
2015-02-28;30,2;null;24,7;78,9;63;
2015-03-01;28,4;null;23;85,9;67;
2015-03-02;null;null;null;null;68;
2015-03-03;null;null;null;null;60;
2015-03-04;null;null;null;null;71;
2015-03-05;null;null;null;null;69;
2015-03-06;null;null;null;null;61;
2015-03-07;null;null;null;null;null;
2015-03-08;null;null;null;null;65;
2015-03-09;null;null;null;null;57;
2015-03-10;null;null;null;null;66;
2015-03-11;null;null;null;null;61;
2015-03-12;null;null;null;null;65;
2015-03-13;null;null;null;null;69;
2015-03-14;null;null;null;null;69;
2015-03-15;null;null;null;null;62;
2015-03-16;null;null;null;null;null;
2015-03-17;null;null;null;null;72;
2015-03-18;null;null;null;null;85;
2015-03-19;null;null;null;null;68;
2015-03-20;null;null;null;null;73;
2015-03-21;null;null;null;null;57;
2015-03-22;null;null;null;null;51;
2015-03-23;null;null;null;null;59;
2015-03-24;null;null;null;null;62;
2015-03-25;null;null;null;null;74;
2015-03-26;null;null;null;null;63;
2015-03-27;null;null;null;null;63;
2015-03-28;null;null;null;null;65;
2015-03-29;null;null;null;null;63;
2015-03-30;null;null;null;null;null;
2015-03-31;null;null;null;null;61;
2015-04-01;null;null;null;null;null;
2015-04-02;null;null;null;null;null;
2015-04-03;null;null;null;null;null;
2015-04-04;null;null;null;null;null;
2015-04-05;null;null;null;null;null;
2015-04-06;null;null;null;null;null;
2015-04-07;null;null;null;null;null;
2015-04-08;null;null;null;null;null;
2015-04-09;null;null;null;null;null;
2015-04-10;null;null;null;null;null;
2015-04-11;null;null;null;null;null;
2015-04-12;null;null;null;null;null;
2015-04-13;null;null;null;null;null;
2015-04-14;null;null;null;null;null;
2015-04-15;null;null;null;null;null;
2015-04-16;null;null;null;null;null;
2015-04-17;null;null;null;null;null;
2015-04-18;null;null;null;null;null;
2015-04-19;null;null;null;null;null;
2015-04-20;null;null;null;null;null;
2015-04-21;null;null;null;null;null;
2015-04-22;null;null;null;null;null;
2015-04-23;null;null;null;null;null;
2015-04-24;null;null;null;null;null;
2015-04-25;null;null;null;null;null;
2015-04-26;null;null;null;null;null;
