Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Operante
Data Inicial: 2015-09-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-09-01;null;null;null;null;null;
2015-09-02;null;null;null;null;null;
2015-09-03;null;null;null;65,8;50;
2015-09-04;31,7;26,4;23;83,3;59;
2015-09-05;32;27,1;23,9;80,6;56;
2015-09-06;31,7;27,6;24,7;75,6;54;
2015-09-07;31,5;27,7;24,8;69,9;52;
2015-09-08;31,7;26,5;23,1;77,5;55;
2015-09-09;31,8;26,5;23,3;79,3;52;
2015-09-10;31,5;26,6;23,5;77,4;56;
2015-09-11;32,8;27;23,1;74,9;44;
2015-09-12;32,9;27,1;23,5;77,3;48;
2015-09-13;33,1;27,8;24,4;77,3;46;
2015-09-14;32,4;27,4;23,6;76,8;50;
2015-09-15;33,2;27,9;24,3;72,2;36;
2015-09-16;32,8;27,5;24;77,8;53;
2015-09-17;31,7;27,5;24,2;79,1;59;
2015-09-18;32,7;28;25,7;76;54;
2015-09-19;32,6;28,2;25,8;75,9;55;
2015-09-20;32,7;27,7;24;74,8;50;
2015-09-21;32,1;27,8;24,1;75;50;
2015-09-22;31,8;27,8;24,9;70,9;51;
2015-09-23;32,3;27,9;25,4;71,6;51;
2015-09-24;32;28;25,2;73,5;53;
2015-09-25;31,4;28;25,2;72,3;56;
2015-09-26;32,4;28,3;25,2;67,8;49;
2015-09-27;33,7;28,9;25,5;62,3;31;
2015-09-28;32,5;28,5;25,2;66;33;
2015-09-29;33,3;28,6;25,5;67;40;
2015-09-30;33,4;28,3;24,7;71,8;46;
2015-10-01;32,7;28,3;25,8;71,7;48;
2015-10-02;32,1;28;25,4;71,3;53;
2015-10-03;32,8;28,2;24,1;69;45;
2015-10-04;33,3;28,3;25,1;70,5;45;
2015-10-05;33,4;29;26,4;69,7;44;
2015-10-06;32,9;29,1;26,2;65,3;44;
2015-10-07;32,1;28,1;24,7;68,1;46;
2015-10-08;34,5;28,2;24;72,4;42;
2015-10-09;31,9;28,2;26,4;74,8;53;
2015-10-10;32,9;27,9;23,8;76,1;52;
2015-10-11;32,5;28,1;25,5;73,1;53;
2015-10-12;33,1;28,6;25,1;69;45;
2015-10-13;31,4;28,2;25,1;71,9;57;
2015-10-14;32,2;28,4;25,2;68;47;
2015-10-15;32;28;25,1;70,8;54;
2015-10-16;31,7;28,2;25,2;70,3;56;
2015-10-17;31,8;28,1;25,4;70,8;52;
2015-10-18;34;28,3;23,5;70;37;
2015-10-19;34,4;29,2;25,1;65;39;
2015-10-20;34,8;28,4;25,8;69,8;35;
2015-10-21;33,9;28,4;24,7;69,5;40;
2015-10-22;34,8;29,3;25,7;64,2;35;
2015-10-23;33,9;28,9;25,4;69,5;45;
2015-10-24;33,3;28,5;23,9;68;51;
2015-10-25;33;28,6;25,1;67,6;51;
2015-10-26;34,3;28,7;24,4;65,1;36;
2015-10-27;34,8;28,8;23,7;62,5;35;
2015-10-28;34,1;28,2;24,7;68,4;38;
2015-10-29;35,3;27,9;23,9;70,8;34;
2015-10-30;34,2;27,7;23;71,3;39;
2015-10-31;32,5;27;24,2;76,8;52;
2015-11-01;33,5;27,3;24,4;73,7;49;
2015-11-02;33,2;28,7;25,2;67,7;46;
2015-11-03;34,4;29;24,1;66,5;38;
2015-11-04;32,7;29;26;68;50;
2015-11-05;30,3;27,9;25,6;71,2;60;
2015-11-06;32,5;27,7;24,1;67,3;47;
2015-11-07;35,2;28,2;22,9;68,3;35;
2015-11-08;34,1;28,7;25,6;70,4;42;
2015-11-09;32,9;28,7;25,5;68;42;
2015-11-10;33,5;28,7;24,9;66,8;48;
2015-11-11;33,6;28,7;25,4;66,7;40;
2015-11-12;35,1;27,9;23;69,2;34;
2015-11-13;34,9;29;25,4;66,4;37;
2015-11-14;33,4;28,9;25,9;68,6;47;
2015-11-15;32,8;28,1;25;64,8;39;
2015-11-16;33,2;28,3;23,4;63;43;
2015-11-17;33,8;27,9;23,1;67,8;40;
2015-11-18;33,2;28,6;25,6;68,5;46;
2015-11-19;34,3;28,8;25,4;66,6;35;
2015-11-20;34,2;28,7;24,3;66,2;38;
2015-11-21;33,8;29,1;25,2;62,3;45;
2015-11-22;33,3;28,9;25,7;63,5;44;
2015-11-23;34,4;29;24,9;61,6;35;
2015-11-24;35,3;29,1;24,2;62,7;31;
2015-11-25;34,1;28,6;25,6;69;49;
2015-11-26;34,3;29;25,7;66,8;45;
2015-11-27;33,5;28,9;25,4;64,3;39;
2015-11-28;34,5;29;24,7;63,3;38;
2015-11-29;32,9;28,2;24,2;67;48;
2015-11-30;32,4;28,3;25,1;68,5;50;
2015-12-01;32,9;28;25,2;67,9;50;
2015-12-02;32,9;28;24,4;71,3;53;
2015-12-03;32,2;28,6;25,9;69,9;53;
2015-12-04;32,4;28,6;25,8;64,5;45;
2015-12-05;33,3;28,7;24,8;64,8;41;
2015-12-06;33,3;28,3;24,9;65,8;43;
2015-12-07;32,5;28,2;24,9;67,7;49;
2015-12-08;31,8;28,3;25,1;66,3;48;
2015-12-09;33,9;28,1;23,5;64,2;38;
2015-12-10;33,6;28,9;25,7;63,2;40;
2015-12-11;32,9;28,8;25,7;67,2;47;
2015-12-12;33,3;28,5;24,7;65,8;45;
2015-12-13;33,3;28,5;25,1;64,8;44;
2015-12-14;33;28,3;24,1;68;45;
2015-12-15;33,6;28,8;24,9;65,7;44;
2015-12-16;33,1;28,9;25,3;66;48;
2015-12-17;33,4;28,9;25,1;63,6;42;
2015-12-18;34,1;28,7;24,8;64,3;38;
2015-12-19;32,1;28,2;24,8;66;51;
2015-12-20;33,1;28,3;23,6;68,3;48;
2015-12-21;33;28,4;24,5;67;46;
