Nome: DOM ELISEU
Codigo Estacao: A252
Latitude: -4.28055554
Longitude: -47.56388888
Altitude: 251
Situacao: Operante
Data Inicial: 2018-03-07
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2018-03-07;null;null;null;null;null;
2018-03-08;null;null;null;null;null;
2018-03-09;null;null;null;null;60;
2018-03-10;30,8;25,2;22,3;85,8;61;
2018-03-11;29,3;25,3;23,1;87,5;67;
2018-03-12;30,5;25,7;23,4;86,8;62;
2018-03-13;31,3;26,1;22,6;81,9;54;
2018-03-14;30,8;25,2;22,9;87,3;61;
2018-03-15;30,8;25,2;22,4;86,1;61;
2018-03-16;30,7;25,5;22,6;86,8;63;
2018-03-17;32,6;26,8;22,8;79,7;49;
2018-03-18;32,3;26,2;22,8;79,3;52;
2018-03-19;32;26,4;23,1;78,6;54;
2018-03-20;30,9;26,1;23,1;82,6;62;
2018-03-21;32,1;26,4;22,2;81,5;55;
2018-03-22;31,6;26,2;22,9;82,4;60;
2018-03-23;25,7;23,1;23,1;95,7;85;
2018-03-24;30,1;23,8;20,7;88;61;
2018-03-25;29,1;23,6;22,7;92,1;72;
2018-03-26;28,5;23,3;21,3;90,2;67;
2018-03-27;30,7;24,8;21,4;83,8;57;
2018-03-28;30,8;25,1;21,7;88,4;65;
2018-03-29;30,6;25,6;23,3;88,5;63;
2018-03-30;28,6;24,4;21,6;90,4;66;
2018-03-31;29,9;25,1;21,4;86;63;
2018-04-01;31,8;25,2;22,4;95,3;68;
2018-04-02;30,6;25,1;22,4;null;null;
2018-04-03;30,8;24,9;21,2;null;null;
2018-04-04;30,1;25,1;22,6;null;null;
2018-04-05;30,5;24,4;20,2;null;null;
2018-04-06;29,5;24,8;22;86,9;49;
2018-04-07;27,5;23,8;21,7;92,5;76;
2018-04-08;30,6;24,5;20,7;85,5;59;
2018-04-09;27,8;24,5;22,7;90,1;75;
2018-04-10;27,4;23,3;22;94;73;
2018-04-11;29,8;24,3;21,3;86,7;62;
2018-04-12;24,8;22,7;21,8;95;86;
2018-04-13;30,3;24;21,3;null;null;
2018-04-14;29,1;24,5;22,2;null;null;
2018-04-15;31;25,6;22,1;null;64;
2018-04-16;29,3;24,4;22,2;null;null;
2018-04-17;30,8;25,3;22,1;null;null;
2018-04-18;29,6;24,5;21,5;null;null;
2018-04-19;31;25,8;22,2;null;null;
2018-04-20;31,6;26;21,9;null;null;
2018-04-21;31,9;26;22,1;87,1;56;
2018-04-22;31,1;25,7;22,5;null;78;
2018-04-23;30,7;25,8;22,8;null;null;
2018-04-24;31,2;25,9;23;null;59;
2018-04-25;31,9;25,7;21,5;null;null;
2018-04-26;31,3;25,4;20,2;null;null;
2018-04-27;32,2;25,8;22,3;null;null;
2018-04-28;29,8;25,3;21,8;null;null;
2018-04-29;29,6;24,5;21,4;null;null;
2018-04-30;30,9;24,8;20,8;null;null;
2018-05-01;30,8;25,6;21,4;null;null;
2018-05-02;30,7;25,1;22,4;null;null;
2018-05-03;30,2;24,4;21,3;null;null;
2018-05-04;30,1;25;21,7;null;null;
2018-05-05;30,3;24,6;21,4;null;null;
2018-05-06;28,3;24,7;22,2;null;null;
2018-05-07;31,2;25,9;21,7;null;null;
2018-05-08;30,2;25,5;21,9;null;null;
2018-05-09;31,2;25,9;22;null;null;
2018-05-10;30,3;25,6;22;null;null;
2018-05-11;31,8;26,2;22,3;null;null;
2018-05-12;29,7;24,6;22;null;null;
2018-05-13;31,1;24,5;22,2;null;null;
2018-05-14;29,9;23,7;20,9;null;null;
2018-05-15;29,7;25,1;22,7;null;null;
2018-05-16;30,7;25,5;21,8;null;null;
2018-05-17;30,9;25,8;21,5;null;null;
2018-05-18;30,7;25,9;22,8;null;null;
2018-05-19;30,2;24,8;21,1;null;null;
2018-05-20;30,6;25,2;21,2;null;null;
2018-05-21;31,4;25;21,8;null;null;
2018-05-22;29,2;24;22,9;null;null;
2018-05-23;31;24,8;20,2;null;null;
2018-05-24;30,9;25,3;21,4;null;null;
2018-05-25;31;25,7;20,9;null;null;
2018-05-26;31,1;25,7;19,6;null;null;
2018-05-27;31,1;25;19;null;null;
2018-05-28;29,3;25,2;21,1;null;null;
2018-05-29;31,2;25,7;20,1;null;null;
2018-05-30;31,6;25,9;20,2;null;null;
2018-05-31;32,1;27;22,6;null;null;
2018-06-01;31,6;26;19,7;null;null;
2018-06-02;32,1;25,9;20,9;null;null;
2018-06-03;32,4;26,4;21,9;null;null;
2018-06-04;31,6;25,1;22,4;null;null;
2018-06-05;29,9;24,2;20,4;null;null;
2018-06-06;31;25,6;21,4;null;null;
2018-06-07;30,9;26,1;22,9;null;null;
2018-06-08;31,2;25,4;21,4;null;null;
2018-06-09;30,1;25,2;21,7;null;null;
2018-06-10;31,4;25,6;20,5;null;null;
2018-06-11;31,4;25,6;19,9;null;null;
2018-06-12;31,7;25,7;19,1;null;null;
2018-06-13;32,3;25,7;19,2;null;null;
2018-06-14;32,7;26,5;19,5;null;null;
2018-06-15;31,3;26,1;20;null;null;
2018-06-16;31,7;26,1;20,4;71,4;51;
2018-06-17;31,4;25,7;21,1;null;42;
2018-06-18;31,3;24,7;19,8;null;null;
2018-06-19;28,5;23,6;19,9;null;null;
2018-06-20;31,2;24,7;21,2;null;null;
2018-06-21;30,8;25,4;19,4;null;null;
2018-06-22;31,9;25,4;18,6;null;null;
2018-06-23;32,4;25,8;19,6;null;null;
2018-06-24;32,3;25,9;19,6;null;null;
2018-06-25;31,3;25,1;18,6;null;null;
2018-06-26;31,7;25,7;19,5;null;null;
2018-06-27;33,2;26;19,2;null;null;
2018-06-28;32,4;26,1;19,2;null;null;
2018-06-29;31,9;26;19,5;null;null;
2018-06-30;32,6;26;19,5;null;null;
2018-07-01;34,2;27,1;20,3;null;null;
2018-07-02;34,3;26,5;19;null;null;
2018-07-03;32,7;26,9;20,7;null;null;
2018-07-04;30,7;25,4;21,3;null;null;
2018-07-05;31,4;25,4;20,4;null;null;
2018-07-06;32,9;25,9;18,8;null;null;
2018-07-07;31,1;24,2;18,6;null;null;
2018-07-08;32,3;26,2;21,5;null;null;
2018-07-09;34;26,7;20,1;null;null;
2018-07-10;30,4;25,4;20,9;null;null;
2018-07-11;31,1;25,6;21,7;null;null;
2018-07-12;31,7;26;21,4;null;null;
2018-07-13;32;25,6;20,2;null;null;
2018-07-14;31,2;25,6;21,9;null;null;
2018-07-15;32,1;25,7;21,6;null;null;
2018-07-16;32,5;25,9;19,5;null;null;
2018-07-17;31,5;25,4;18,7;null;null;
2018-07-18;32,1;25,6;19,3;null;null;
2018-07-19;32,5;26,1;19,1;null;null;
