Nome: ALTAMIRA
Codigo Estacao: A253
Latitude: -3.26999999
Longitude: -52.39472221
Altitude: 191
Situacao: Operante
Data Inicial: 2018-10-24
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2018-10-24;null;null;null;null;null;
2018-10-25;null;null;null;null;null;
2018-10-26;null;null;null;null;null;
2018-10-27;null;null;null;null;null;
2018-10-28;null;null;null;null;41;
2018-10-29;34,8;28,7;24,4;67,4;44;
2018-10-30;33,7;27,9;24;73,5;48;
2018-10-31;34;28,3;24,7;69,1;46;
2018-11-01;34,7;27,8;23,9;72,7;44;
2018-11-02;33;26,7;23,5;80;50;
2018-11-03;33,7;27,4;22,8;75,3;46;
2018-11-04;34,1;27,5;23,5;73,2;48;
2018-11-05;33,3;27,4;23,4;76,1;48;
2018-11-06;32,9;27,7;23,9;75,5;53;
2018-11-07;30,6;26,8;24,1;78,4;60;
2018-11-08;31;26,1;23,3;83,6;61;
2018-11-09;33,4;26,9;22,9;75,8;49;
2018-11-10;33,4;27,6;23,3;74,8;49;
2018-11-11;33,8;27,7;24,6;75,1;50;
2018-11-12;33,2;27,4;23,8;76,6;51;
2018-11-13;33,4;27,6;23,7;71,8;47;
2018-11-14;33,9;27,9;23,6;71,1;48;
2018-11-15;33,9;27,7;24,6;75,5;52;
2018-11-16;32;26,9;24,2;77,2;56;
2018-11-17;33,7;27,3;23,5;71,2;46;
2018-11-18;34,3;27,9;23;68,7;46;
2018-11-19;34;28,4;24,6;70,5;48;
2018-11-20;32,6;27,6;24,4;76,3;55;
2018-11-21;32,7;27,7;24;76;53;
2018-11-22;32,4;27,4;23,8;76,2;54;
2018-11-23;33,4;27,1;24,2;77;50;
2018-11-24;32,5;26,5;22,9;78,9;53;
2018-11-25;32,1;26,9;23,9;77,7;53;
2018-11-26;33,1;27,2;24,4;78,9;52;
2018-11-27;26,9;24,6;22,9;89,5;74;
2018-11-28;31,4;25,8;22,7;84,3;54;
2018-11-29;26,7;24,2;22,6;91,8;77;
2018-11-30;26,9;23,7;23;95;79;
2018-12-01;31,1;25,9;22,9;83,5;57;
2018-12-02;30,7;25,5;23,6;86,1;62;
2018-12-03;30,2;24,6;22,4;90,3;65;
2018-12-04;26,4;23,2;21,7;94,2;80;
2018-12-05;28,7;24,6;22,4;89,3;68;
2018-12-06;25,1;23,2;22,1;93,2;76;
2018-12-07;31,3;25,3;21,5;81,4;52;
2018-12-08;30,3;24,5;22,8;89,1;64;
2018-12-09;27,7;24,2;22,2;92,1;76;
2018-12-10;26,9;24,2;22,3;91,4;79;
2018-12-11;30,6;25,1;22,1;85,7;62;
2018-12-12;30,3;26,2;23,2;82,7;62;
2018-12-13;30,1;25,1;21,7;83,4;64;
2018-12-14;27,9;24,3;22;85,8;70;
2018-12-15;28;24,4;20,8;85,6;67;
2018-12-16;30,7;25,2;21,8;82,1;51;
2018-12-17;30,3;25,6;22,6;81,3;59;
2018-12-18;31,1;25,8;21,4;82,7;60;
2018-12-19;31,2;25,9;22,5;84,5;61;
2018-12-20;30,9;25,7;21,3;83,6;59;
2018-12-21;30,5;24,9;22,1;89,5;66;
2018-12-22;28,2;24,5;22,5;90;73;
2018-12-23;29,7;25,5;23,1;84,5;63;
2018-12-24;29,2;24,9;21,9;85;67;
2018-12-25;31,2;25,6;21,9;81,4;58;
2018-12-26;32;26,4;23;77,8;53;
2018-12-27;32,4;26,6;22,3;75,1;47;
2018-12-28;32,2;26,3;22,1;77,8;55;
2018-12-29;28,7;25,3;22,7;83,1;69;
2018-12-30;30,3;24,6;22,6;88,9;62;
