Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2019-07-10
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2019-07-10;null;null;null;null;null;
2019-07-11;null;null;null;null;36;
2019-07-12;34,9;27,8;21,1;58,4;35;
2019-07-13;34,6;27,9;21,4;58,2;33;
2019-07-14;34,7;27,4;20,5;58;34;
2019-07-15;35,1;27,7;19,9;57,4;33;
2019-07-16;35,8;28,2;20,7;54,8;27;
2019-07-17;36,2;28,2;19,6;52,9;27;
2019-07-18;35,6;28,2;21,1;57,5;32;
2019-07-19;34;27;20,2;59,6;32;
2019-07-20;33,6;27,6;22,7;47,7;30;
2019-07-21;34,7;28;22,1;46,2;24;
2019-07-22;34,5;28;20,3;49;30;
2019-07-23;34,1;28,6;21,3;42,5;27;
2019-07-24;34,5;27;19,3;51;31;
2019-07-25;35,6;28,2;19,7;48,6;25;
2019-07-26;35,5;27,8;18,9;47;24;
2019-07-27;34,3;28;23,6;41,9;26;
2019-07-28;35,5;28,3;21;44,1;25;
2019-07-29;35,9;29,2;22,4;45,1;27;
2019-07-30;37,1;28,7;20,8;46,9;18;
2019-07-31;36,3;29,4;22;40,7;22;
2019-08-01;36,3;28,3;19;45,8;24;
2019-08-02;37,3;29;20,4;49,8;27;
2019-08-03;38,8;29,5;20,7;49,3;19;
2019-08-04;36,2;29,3;22,1;46;27;
2019-08-05;34,1;28,3;22,5;50,1;34;
2019-08-06;34,9;28,5;22,2;48,2;29;
2019-08-07;34,4;27,9;21;41,9;25;
2019-08-08;35,2;28,7;22,8;40,7;25;
2019-08-09;35,7;28,6;19,2;39;23;
2019-08-10;36,1;28,1;18,7;39,8;18;
2019-08-11;36,1;null;19,6;41,5;22;
2019-08-12;null;null;null;37,3;24;
2019-08-13;37,6;29,5;21,1;45;22;
2019-08-14;37,3;30,1;21,3;39;23;
2019-08-15;36,2;29,2;21;48,2;27;
2019-08-16;35,7;29;22,4;40,3;23;
2019-08-17;35,4;28,8;22,5;42,4;26;
2019-08-18;35,7;28,8;21;44,9;28;
2019-08-19;37,9;29,4;20,2;45,5;20;
2019-08-20;38;29,8;21,2;42,9;20;
2019-08-21;38,8;30,6;23,7;46,6;18;
2019-08-22;37,6;29,8;24,2;55,7;25;
2019-08-23;35,9;30,2;24,3;52,6;31;
2019-08-24;36,2;29,3;23,1;52,6;28;
2019-08-25;36,4;28,7;20,9;51;25;
2019-08-26;36,7;28,8;20,6;43,6;20;
2019-08-27;36,9;29;21;42,8;22;
2019-08-28;36,8;29,3;20,7;40,1;22;
2019-08-29;37,2;29,4;21,5;43,3;21;
2019-08-30;36,8;29,3;21,5;45,1;27;
2019-08-31;37,5;29,5;21,4;49,3;26;
2019-09-01;38,7;30,4;21,6;45,8;19;
2019-09-02;38,9;31,2;24,8;43,8;19;
2019-09-03;38,7;31,1;25,1;46;25;
2019-09-04;38,3;30,1;23,8;54,5;28;
2019-09-05;37,5;29,8;23;58,7;32;
2019-09-06;35,2;28;25;63,8;40;
2019-09-07;36,4;28,5;21,6;56,5;22;
2019-09-08;37,3;29,2;20;40,4;20;
2019-09-09;37,1;29,3;21;44,8;27;
2019-09-10;37,7;29,8;22,1;47,8;24;
2019-09-11;38,6;30,2;22,1;46,7;22;
2019-09-12;37,7;30,2;22,3;48,8;29;
2019-09-13;38,8;31,2;23,6;46,7;22;
2019-09-14;39,2;31,9;25,5;49,6;24;
2019-09-15;38,2;31,7;26,5;50,6;29;
2019-09-16;36,8;30,9;25;52,6;33;
2019-09-17;37,5;31,3;24,4;49,6;31;
2019-09-18;38,7;31,5;24,2;49,3;26;
2019-09-19;38,4;31,7;23,7;48;29;
2019-09-20;38,6;32;25,3;46,6;25;
2019-09-21;38;31,8;24,5;49,2;29;
2019-09-22;37,3;31,1;26,6;52,4;33;
2019-09-23;37,3;28,5;25,1;62,1;35;
2019-09-24;35,8;28,3;23;68,3;37;
2019-09-25;36,9;30,3;23,6;56,2;29;
2019-09-26;36,3;28,8;27;60;35;
2019-09-27;36;27,9;22,5;69,5;37;
2019-09-28;37,6;29,4;24,4;65,5;33;
2019-09-29;27,1;23,8;22;87,3;72;
2019-09-30;32,9;25,7;20,8;79,6;48;
2019-10-01;28,9;25;23,3;83,8;64;
2019-10-02;27,7;23,1;21,4;93,6;72;
2019-10-03;32,9;25,6;20,4;81,1;50;
2019-10-04;34,1;28,6;22,8;67,5;46;
2019-10-05;33,4;26,9;22,5;75,9;47;
2019-10-06;34,3;26,6;22,2;78,4;43;
2019-10-07;33,3;27,3;23,1;75,9;50;
2019-10-08;33,9;27,2;23,4;74,4;48;
2019-10-09;29,1;25,1;23;82;62;
2019-10-10;32,8;26,5;21,1;75,9;49;
2019-10-11;34,1;27,7;22,8;72,1;46;
2019-10-12;33,8;27,9;23,6;71,5;46;
2019-10-13;31,1;26,5;23,4;75,8;60;
2019-10-14;33,8;25,8;22;80,3;48;
2019-10-15;33,6;25,2;22;84,4;52;
2019-10-16;31,5;24,8;20,7;81,6;56;
2019-10-17;34,1;25,9;21,4;79,5;47;
2019-10-18;31,7;24,9;20,7;85,5;55;
2019-10-19;32,7;26,4;21,8;80,9;56;
2019-10-20;32,1;27,9;24,4;77,9;59;
2019-10-21;33,3;28;23,8;76,2;50;
2019-10-22;32,4;25,4;22,5;83,8;56;
2019-10-23;33,6;26,3;22,1;79,8;44;
2019-10-24;34,9;28,5;23,6;71,4;44;
2019-10-25;34,9;28,5;24,1;72,3;47;
2019-10-26;34,1;27,4;24,1;75,8;48;
2019-10-27;33;27,3;22,1;75,9;50;
2019-10-28;35,2;28,1;23,7;73,9;45;
2019-10-29;31,4;25,5;22,7;85,1;60;
2019-10-30;33,2;27,1;22,6;79;48;
2019-10-31;33,4;27,3;22,9;76;50;
2019-11-01;33,9;26,9;23,3;80,6;48;
2019-11-02;34,9;28,3;22,8;74,8;47;
2019-11-03;30,1;26,3;23,7;75,6;53;
2019-11-04;33;26,8;21,5;78;51;
2019-11-05;33,1;28,1;23,2;74,9;51;
2019-11-06;31,3;26,2;24,6;79,2;58;
2019-11-07;34,4;26,6;20,8;76,9;45;
2019-11-08;33,4;26,9;23,8;76,6;50;
2019-11-09;30,3;25,2;21,6;81,3;61;
2019-11-10;33,4;26;22,5;79,8;51;
2019-11-11;34,1;26,7;22,8;78;49;
2019-11-12;33,5;25;22,9;86,8;55;
2019-11-13;31,8;25,9;21,4;83,7;57;
2019-11-14;33,4;27;23,5;81,5;53;
2019-11-15;34;27,7;22,6;76,7;46;
2019-11-16;33,4;27,3;23,4;80,8;54;
2019-11-17;26,6;23,9;20,9;93,5;87;
2019-11-18;30,7;25,4;20,9;85;62;
2019-11-19;29,5;25;20,7;84,5;64;
2019-11-20;30,9;26,4;21,6;77;53;
2019-11-21;32,5;26,1;24,1;83,3;62;
2019-11-22;31;26,1;23,1;null;88;
2019-11-23;27,7;25,5;24,1;null;80;
2019-11-24;33,2;26,5;21,7;null;89;
2019-11-25;34,7;29,1;23,6;null;null;
2019-11-26;29,6;26,2;24,5;null;null;
2019-11-27;32,6;26;24;null;null;
2019-11-28;34;26,5;23,1;null;null;
2019-11-29;33,3;26,8;22,4;null;null;
2019-11-30;34,7;27,9;23,3;null;null;
2019-12-01;31,3;27,3;23,7;null;null;
2019-12-02;33,6;28,1;23,3;null;null;
2019-12-03;34,2;28,7;23,6;null;null;
2019-12-04;29,6;25,2;23,4;null;null;
2019-12-05;32,6;26,4;22,5;null;null;
2019-12-06;32,1;27,5;22,9;null;null;
2019-12-07;34,5;28,3;23,5;null;null;
2019-12-08;34,2;27,4;24,4;null;null;
2019-12-09;32,3;25,2;23,2;null;null;
2019-12-10;32,8;26,2;22,1;null;null;
2019-12-11;30,8;26,9;24,2;null;null;
2019-12-12;31,8;25,6;22,4;null;null;
2019-12-13;32;25,5;22,4;null;null;
2019-12-14;32,4;26,5;23,1;null;null;
2019-12-15;34;27,9;22,9;null;null;
2019-12-16;34,7;28;23,6;null;null;
2019-12-17;33,6;28;23,4;null;null;
2019-12-18;33,4;26,5;22,9;null;null;
2019-12-19;32,8;26,3;22,6;null;null;
2019-12-20;34,1;26,7;21,5;null;null;
2019-12-21;33,8;26;23,3;null;null;
2019-12-22;31,5;25,1;21,5;null;null;
2019-12-23;33,1;26,8;22,2;null;null;
2019-12-24;34,9;28,2;24,1;null;null;
2019-12-25;32;25,7;23,6;null;null;
2019-12-26;33;26,5;22,6;null;null;
2019-12-27;35,1;27,8;24,7;null;null;
2019-12-28;28;24,8;23,5;null;null;
2019-12-29;31,6;25,4;22,6;null;null;
2019-12-30;31,5;26;21,7;null;null;
2019-12-31;29,5;25,4;23,9;null;null;
2020-01-01;30,2;25,6;22,4;null;null;
2020-01-02;30,8;25,7;23,7;null;null;
2020-01-03;27,2;24,7;23,6;null;null;
2020-01-04;30,9;25,8;23,3;null;null;
2020-01-05;29,3;25,1;23,7;null;null;
2020-01-06;27,6;24,7;21,7;null;null;
2020-01-07;32,7;26,5;23;null;null;
2020-01-08;32;27,2;24,1;null;null;
2020-01-09;30;26,1;23,8;null;null;
2020-01-10;34,2;27,8;23,2;null;null;
2020-01-11;29,2;25,4;22,5;null;null;
2020-01-12;29,3;25,2;22,7;null;null;
2020-01-13;31,8;26,7;22,9;null;null;
2020-01-14;34;27,9;23,5;null;null;
2020-01-15;32,6;27;23,9;null;null;
2020-01-16;33;27,3;23,4;null;null;
2020-01-17;32,5;28,3;23,9;null;null;
2020-01-18;34,4;27,1;24;null;null;
2020-01-19;33,8;26,8;23;null;null;
2020-01-20;32;26,8;23,2;null;null;
2020-01-21;33,7;27,7;23,2;null;null;
2020-01-22;30,7;27,3;24,5;null;null;
2020-01-23;28,3;25,4;24,5;null;null;
2020-01-24;30,1;26,1;23,5;null;null;
2020-01-25;33;28,2;24;null;null;
2020-01-26;33;27,3;23,7;null;null;
2020-01-27;29;24,9;24,5;null;null;
2020-01-28;30,7;25,7;23,1;null;null;
2020-01-29;32;26,3;22,7;null;null;
2020-01-30;32,2;26,6;21,7;null;null;
2020-01-31;33,4;26,4;23;null;null;
2020-02-01;32,2;27,1;22,9;null;null;
2020-02-02;32,6;27,5;23;null;null;
2020-02-03;30,8;26,3;22,5;null;null;
2020-02-04;29,1;25,2;23,1;null;null;
2020-02-05;30,1;25,5;22,2;null;null;
2020-02-06;30,2;25,3;22,2;null;null;
2020-02-07;30,5;24,9;22,3;null;null;
2020-02-08;27,8;24,4;23;null;null;
2020-02-09;25,8;23,2;21,1;null;null;
2020-02-10;33,3;27;21,2;null;null;
2020-02-11;32,4;27,5;23,8;null;null;
2020-02-12;28,7;25,5;22,8;null;null;
2020-02-13;33,2;26,7;22,9;null;null;
2020-02-14;35,1;28,9;23,6;null;null;
2020-02-15;28,9;25,6;21,7;null;null;
2020-02-16;33,4;26,2;22,7;null;null;
2020-02-17;32,1;27,5;23,9;null;null;
2020-02-18;30,9;26,4;22,9;null;null;
2020-02-19;31,8;25,8;23,4;null;null;
2020-02-20;30;24,7;22,8;null;null;
2020-02-21;31,6;25,4;22,3;null;null;
2020-02-22;31,1;26,2;23,1;null;null;
2020-02-23;30,9;26,3;24,7;null;null;
2020-02-24;33,5;26,2;22,9;null;null;
2020-02-25;27,5;25,3;23,9;null;null;
2020-02-26;31,8;26,5;23,1;null;null;
2020-02-27;30,5;26,9;23,3;null;null;
2020-02-28;29,8;26,2;24,2;null;null;
2020-02-29;32,1;26,1;23,4;null;null;
2020-03-01;33,3;26,7;22,9;null;null;
2020-03-02;32,1;26,1;23,3;null;null;
2020-03-03;31,1;25,7;23;null;null;
2020-03-04;31,1;26,2;24,1;null;null;
2020-03-05;32;26,3;23,8;null;null;
2020-03-06;30,1;26;24,3;null;null;
2020-03-07;31,8;26;23,6;null;null;
2020-03-08;29,7;25,8;23,4;null;null;
2020-03-09;31,8;26,6;23,5;null;null;
2020-03-10;32,1;26,4;23,4;null;null;
2020-03-11;31,2;24,9;23,1;null;null;
2020-03-12;31,5;25,3;22,6;null;null;
2020-03-13;26;24,7;24,2;null;null;
2020-03-14;30,1;25,6;22,4;null;null;
2020-03-15;29;25,5;23,1;null;null;
2020-03-16;32,1;26,6;22,6;null;null;
2020-03-17;32,4;27;23,9;null;null;
2020-03-18;33,7;27;24,5;null;null;
2020-03-19;30;25,4;21,9;null;null;
2020-03-20;28,6;25,2;22,3;null;null;
2020-03-21;27,1;24,2;21,2;null;null;
2020-03-22;31,2;26,3;22,1;null;null;
2020-03-23;33,8;27,9;23,5;null;null;
2020-03-24;30,6;25,9;24,1;null;null;
2020-03-25;31,2;26;23,6;null;null;
2020-03-26;27,4;24,8;23,4;null;null;
2020-03-27;31,3;25,9;22,8;null;null;
2020-03-28;31,7;26,1;22,1;null;null;
2020-03-29;33,3;27,5;23,5;null;null;
2020-03-30;33,9;null;24;null;null;
2020-03-31;33,1;28,1;24,1;null;null;
2020-04-01;33,5;28,4;24,3;null;null;
2020-04-02;33;27,6;23,3;null;null;
2020-04-03;33,6;27,9;23,8;null;null;
2020-04-04;33,4;27,8;23,4;null;null;
2020-04-05;34;28,7;24,4;null;null;
