Nome: SANTA MARIA DAS BARREIRAS
Codigo Estacao: A256
Latitude: -8.72972221
Longitude: -49.85638888
Altitude: 165
Situacao: Operante
Data Inicial: 2020-12-17
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2020-12-17;null;null;null;null;null;
2020-12-18;null;null;null;null;null;
2020-12-19;null;null;null;null;null;
2020-12-20;null;null;null;null;null;
2020-12-21;null;null;null;null;null;
2020-12-22;null;null;null;null;null;
2020-12-23;null;null;null;null;null;
2020-12-24;null;null;null;null;null;
2020-12-25;null;null;null;null;null;
2020-12-26;null;null;null;null;null;
2020-12-27;null;null;null;null;null;
2020-12-28;null;null;null;null;null;
2020-12-29;null;null;null;null;null;
2020-12-30;null;null;null;null;null;
2020-12-31;null;null;null;null;null;
2021-01-01;null;null;null;null;null;
2021-01-02;null;null;null;null;null;
2021-01-03;null;null;null;null;null;
2021-01-04;null;null;null;null;null;
2021-01-05;null;null;null;null;null;
2021-01-06;null;null;null;null;null;
2021-01-07;null;null;null;null;null;
2021-01-08;null;null;null;null;null;
2021-01-09;null;null;null;null;null;
2021-01-10;null;null;null;null;null;
2021-01-11;null;null;null;null;null;
2021-01-12;null;null;null;null;null;
2021-01-13;null;null;null;null;null;
2021-01-14;null;null;null;null;null;
2021-01-15;null;null;null;null;null;
2021-01-16;null;null;null;null;null;
2021-01-17;null;null;null;null;null;
2021-01-18;null;null;null;null;82;
2021-01-19;32,3;25,8;22,2;83,8;54;
2021-01-20;31,7;25,1;21,9;85,2;56;
2021-01-21;33,6;25,9;22,6;82,2;47;
2021-01-22;32,1;25,7;22,4;84,6;51;
2021-01-23;31,7;26,3;22;80,2;53;
2021-01-24;32,9;27,5;23,4;78,8;52;
2021-01-25;33,4;28;23,2;76,6;45;
2021-01-26;29;24;23,7;93;71;
2021-01-27;29,5;24,5;21,4;88,2;68;
2021-01-28;32,8;26,1;23,1;84,7;54;
2021-01-29;33;26,6;23,2;81,5;48;
2021-01-30;32,4;25,8;23,1;86,2;56;
2021-01-31;32,9;26,3;22,2;83;48;
2021-02-01;33,3;27,3;22,7;78,1;51;
2021-02-02;32,8;26,7;23;80,2;49;
2021-02-03;33,4;27,2;23,2;80,7;48;
2021-02-04;35;26,5;24,1;82,8;48;
2021-02-05;29,7;25,6;22,8;88,2;68;
2021-02-06;28,9;25;22;91,1;71;
2021-02-07;29,2;24,6;21,5;87,3;61;
2021-02-08;29,9;25,7;22,6;88,1;68;
2021-02-09;28,5;24,2;22,2;91,5;71;
2021-02-10;31,4;24,5;22,3;91,5;57;
2021-02-11;33,5;26,6;22,5;81,5;48;
2021-02-12;32,9;26,7;23,8;82,4;53;
2021-02-13;27,5;24,6;23,2;92;75;
2021-02-14;32,3;26,6;23,5;84,4;53;
2021-02-15;27,4;24,2;22,1;94,1;79;
2021-02-16;31;25,4;23,1;87,5;58;
2021-02-17;29,5;24,7;22,8;91,5;67;
2021-02-18;30,3;25,1;23;87;62;
2021-02-19;28,5;23,6;22,1;94,5;71;
2021-02-20;26,4;23,6;22,4;96;85;
2021-02-21;24,3;23,4;22,7;95,9;88;
2021-02-22;31;25,3;22,5;85,7;60;
2021-02-23;27,8;24,1;23,3;92,5;73;
2021-02-24;32,3;25,8;22,6;85,1;54;
2021-02-25;30,8;25,8;23,6;87,5;61;
2021-02-26;29,1;25,1;22;87,4;66;
2021-02-27;28,6;24,9;22,7;91,5;71;
