Nome: VILHENA
Codigo Estacao: A938
Latitude: -12.73499999
Longitude: -60.15777777
Altitude: 583.3
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);
2015-01-01;30,2;23,9;21,7;81,5;53;
2015-01-02;31,3;25;20,8;77,3;45;
2015-01-03;29;23,7;21,1;83,2;60;
2015-01-04;31,3;24,8;20,3;74,5;39;
2015-01-05;30,2;23,3;21,2;84,8;50;
2015-01-06;29,4;23,3;20,4;82;58;
2015-01-07;30,5;24,2;19,9;77,3;46;
2015-01-08;31,7;24,3;21,2;79,5;44;
2015-01-09;30,6;25;20,3;73,5;41;
2015-01-10;31,8;24,7;20,5;74,1;40;
2015-01-11;29,2;23,8;21,5;79;53;
2015-01-12;28;23,9;21;77,3;60;
2015-01-13;27,1;23,6;20,8;80,3;60;
2015-01-14;31,1;25,2;20,7;71,5;44;
2015-01-15;28,5;23,9;21,8;79;52;
2015-01-16;30,2;23,7;20;77,5;46;
2015-01-17;28;23,7;20,7;77,7;58;
2015-01-18;29;23,6;19,7;80,5;54;
2015-01-19;27,4;22,7;21,7;86;68;
2015-01-20;30;22,8;19,8;84,8;53;
2015-01-21;27,8;22,6;20,4;82;61;
2015-01-22;32;24,6;19,7;72,3;36;
2015-01-23;28,2;23,8;21,1;81,6;61;
2015-01-24;31,5;23,3;20,9;84,9;45;
2015-01-25;27,7;22,2;20,1;87,6;64;
2015-01-26;28,7;23;20,6;85,7;61;
2015-01-27;29,9;23,7;21;81,8;52;
2015-01-28;28,3;22,5;20,3;87,8;60;
2015-01-29;29,9;23,7;20,8;79,3;52;
2015-01-30;32,4;25,4;20,6;70,9;40;
2015-01-31;33,3;26;20,4;67,4;39;
2015-02-01;30,2;24,4;19,7;77,2;49;
2015-02-02;32,4;25,6;20,5;74,7;40;
2015-02-03;30,1;24,8;19,8;75,3;53;
2015-02-04;30,6;25,2;19,8;76,6;50;
2015-02-05;31,5;25,5;21,3;74,8;48;
2015-02-06;26,7;22,6;21,2;90,3;69;
2015-02-07;26,8;22,5;20,4;87,5;67;
2015-02-08;29;23;20,5;85;55;
2015-02-09;27,8;23;20,6;85,7;63;
2015-02-10;29,9;24,7;20,9;79;54;
2015-02-11;29,9;23,6;21;79,5;48;
2015-02-12;30,7;23,9;20,9;80,8;52;
2015-02-13;29,8;24,2;21,5;78,5;53;
2015-02-14;29,2;23,6;21,3;84,8;58;
2015-02-15;30,2;23,8;20,5;82;53;
2015-02-16;28,5;23,4;21,7;85,9;60;
2015-02-17;27,4;23,1;21,1;86,9;65;
2015-02-18;29,5;23,8;21,1;83,5;58;
2015-02-19;29,3;23,4;21,4;84,4;58;
2015-02-20;28,1;23;20,9;84,8;60;
2015-02-21;23,6;21,9;21,4;92;83;
2015-02-22;25,3;21,8;20;90,2;74;
2015-02-23;29,4;23,5;20,4;80,2;53;
2015-02-24;32;25,9;20,8;67;37;
2015-02-25;29,8;25;21,5;70,4;48;
2015-02-26;30,3;23,7;21,4;81,4;51;
2015-02-27;29,3;23,8;20,1;75,8;50;
2015-02-28;29,5;24,8;21,9;75,3;53;
2015-03-01;27,8;23,3;21,1;84,8;63;
2015-03-02;30,1;24,2;20,4;79,4;49;
2015-03-03;28,5;23;22;89;65;
2015-03-04;31,6;24,1;21,1;81,3;46;
2015-03-05;31;24,5;21,2;77;46;
2015-03-06;29,1;23,2;20,4;85,8;57;
2015-03-07;28,8;24,1;21;81,9;57;
2015-03-08;29,7;24,4;21,6;82,5;56;
2015-03-09;31,5;24,7;21;79,8;44;
2015-03-10;32,2;25,9;22,2;75,6;44;
2015-03-11;26,9;23,7;22,1;87,7;74;
2015-03-12;29,8;23,3;20,3;86,6;58;
2015-03-13;24,6;22,4;20,3;87,7;71;
2015-03-14;29,9;24;20,9;82,5;55;
2015-03-15;27,7;23,9;22;84,3;67;
2015-03-16;27,9;23,7;21,2;84,5;65;
2015-03-17;29;24;22,1;86,4;61;
2015-03-18;28,5;23,4;21,7;88;63;
