Nome: PALMAS
Codigo Estacao: A009
Latitude: -10.14777777
Longitude: -48.31444444
Altitude: 267
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;21;145,4;26,1;
2015-02-28;22;193,4;25,7;
2015-03-31;25;142,4;26;
2015-04-30;24;296,2;26,1;
2015-05-31;9;71,8;27,1;
2015-06-30;0;0;27,6;
2015-07-31;null;0;27,9;
2015-08-31;1;,2;29,5;
2015-09-30;4;75,2;30,5;
2015-10-31;5;123;29,8;
2015-11-30;2;null;null;
2015-12-31;null;null;null;
2016-01-31;2;null;null;
2016-02-29;5;5,2;29,4;
2016-03-31;20;166,4;27,3;
2016-04-30;11;83,8;28,1;
2016-05-31;3;3,2;28,5;
2016-06-30;5;17,8;28;
2016-07-31;0;0;28,4;
2016-08-31;0;0;30,3;
2016-09-30;10;88,2;29,8;
2016-10-31;11;34,4;29,1;
2016-11-30;12;138,6;28;
2016-12-31;2;24,8;26,8;
2017-01-31;19;399,4;25,7;
2017-02-28;24;276,6;25,5;
2017-03-31;23;204,6;26,1;
2017-04-30;21;163,6;26,7;
2017-05-31;5;18,4;27,8;
2017-06-30;0;0;27,3;
2017-07-31;0;0;26,9;
2017-08-31;0;0;29,6;
2017-09-30;0;0;31,8;
2017-10-31;6;21,8;31;
2017-11-30;20;183,8;27,2;
2017-12-31;21;356,4;25,8;
2018-01-31;23;266;25,9;
2018-02-28;25;334,2;25,5;
2018-03-31;22;180,4;26,2;
2018-04-30;17;247,6;26,2;
2018-05-31;2;,4;27,6;
2018-06-30;0;0;27,1;
2018-07-31;0;0;27,2;
2018-08-31;3;2,6;29,4;
2018-09-30;6;25,4;30;
2018-10-31;19;191,6;27,3;
2018-11-30;23;386,6;26,6;
2018-12-31;18;250,8;26,4;
2019-01-31;22;198,6;26,2;
2019-02-28;20;266,2;25,8;
2019-03-31;28;270,8;26;
2019-04-30;17;215,2;26,7;
2019-05-31;8;87,2;27,6;
2019-06-30;1;1,2;27,6;
2019-07-31;0;0;27,6;
2019-08-31;0;0;29,4;
2019-09-30;2;6,8;30,9;
2019-10-31;16;94,2;27,3;
2019-11-30;17;107,6;27,1;
2019-12-31;18;216;27,3;
2020-01-31;20;null;26,4;
2020-02-29;18;null;26,7;
2020-03-31;23;163,2;26,5;
2020-04-30;17;323;26,9;
2020-05-31;8;88,4;27,5;
2020-06-30;0;0;27,5;
2020-07-31;0;0;27,4;
2020-08-31;0;0;29,2;
2020-09-30;1;1;31,3;
2020-10-31;13;123,4;29,5;
2020-11-30;12;93;28;
2020-12-31;16;167,4;27,3;
2021-01-31;21;null;26,3;
2021-02-28;25;398,6;25,4;
2021-03-31;24;341;26;
2021-04-30;22;190;26,5;
2021-05-31;2;5,4;27,2;
2021-06-30;0;0;27,2;
2021-07-31;0;0;27,2;
2021-08-31;1;3,2;29,3;
2021-09-30;5;25,8;30;
2021-10-31;18;157;27,7;
2021-11-30;24;474,4;26,1;
2021-12-31;25;448,8;25,7;
2022-01-31;25;229,4;25,8;
2022-02-28;22;325,6;26,3;
2022-03-31;25;435,8;25,7;
2022-04-30;15;99;27,4;
2022-05-31;1;null;null;
2022-06-30;null;null;null;
2022-07-31;1;,4;27,7;
2022-08-31;0;0;29,6;
2022-09-30;4;31;30,4;
2022-10-31;3;40,2;29,7;
2022-11-30;16;null;26,2;
2022-12-31;18;null;25,7;
2023-01-31;10;null;null;
2023-02-28;3;null;null;
2023-03-31;25;324;26;
2023-04-30;16;116,6;26,7;
2023-05-31;6;50,4;27,6;
2023-06-30;0;0;27,4;
2023-07-31;0;0;27,5;
2023-08-31;3;23,8;28,6;
2023-09-30;4;24;30,1;
2023-10-31;13;null;29;
2023-11-30;14;null;28,2;
2023-12-31;8;null;27,9;
2024-01-31;17;null;26,6;
2024-02-29;17;null;27,1;
2024-03-31;21;250,2;27,5;
2024-04-30;21;225,6;27,2;
2024-05-31;2;19;null;
2024-06-30;0;0;null;
2024-07-31;0;0;null;
2024-08-31;0;0;null;
2024-09-30;1;1;null;
2024-10-31;15;191,4;null;
2024-11-30;17;null;null;
2024-12-31;21;null;null;

