Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.01527777
Longitude: -48.54444444
Altitude: 250.87
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;13;104,8;26,6;
2015-02-28;17;206,8;25,6;
2015-03-31;18;null;25,2;
2015-04-30;null;null;null;
2015-05-31;null;null;null;
2015-06-30;null;0;25,3;
2015-07-31;0;0;25,5;
2015-08-31;1;2,4;26,3;
2015-09-30;3;12,4;28,7;
2015-10-31;2;9,8;29,2;
2015-11-30;11;60,2;28,1;
2015-12-31;16;151,4;28,2;
2016-01-31;26;359,6;25,8;
2016-02-29;14;97;27,8;
2016-03-31;14;147,6;27,2;
2016-04-30;4;6,2;27,7;
2016-05-31;0;0;27,3;
2016-06-30;0;0;26,2;
2016-07-31;0;0;25,9;
2016-08-31;null;0;28,1;
2016-09-30;9;18,6;29;
2016-10-31;15;65,8;28,3;
2016-11-30;13;153,8;28,2;
2016-12-31;16;202,8;26,9;
2017-01-31;18;188,4;26,5;
2017-02-28;10;null;25,5;
2017-03-31;2;null;null;
2017-04-30;2;null;null;
2017-05-31;null;null;null;
2017-06-30;null;null;null;
2017-07-31;null;null;null;
2017-08-31;null;null;null;
2017-09-30;null;null;null;
2017-10-31;null;null;null;
2017-11-30;null;null;null;
2017-12-31;20;194,2;26;
2018-01-31;null;null;25,8;
2018-02-28;null;null;25,5;
2018-03-31;null;null;26;
2018-04-30;4;null;25,9;
2018-05-31;1;,2;26,2;
2018-06-30;0;0;25,1;
2018-07-31;0;0;24,6;
2018-08-31;0;0;27,3;
2018-09-30;0;0;28,8;
2018-10-31;null;null;28;
2018-11-30;7;null;26,3;
2018-12-31;1;null;null;
2019-01-31;null;null;null;
2019-02-28;10;null;null;
2019-03-31;20;173,8;26;
2019-04-30;16;161,6;26,6;
2019-05-31;4;8,8;27,1;
2019-06-30;0;0;25,5;
2019-07-31;0;0;25,3;
2019-08-31;null;0;27,1;
2019-09-30;2;28,8;29,4;
2019-10-31;13;66,6;28;
2019-11-30;15;195;27;
2019-12-31;16;205,4;27,2;
2020-01-31;20;413,2;26,4;
2020-02-29;20;243,4;26,2;
2020-03-31;17;null;25,9;
2020-04-30;16;150,4;26,5;
2020-05-31;5;59,4;26,2;
2020-06-30;0;0;25,3;
2020-07-31;0;0;24,6;
2020-08-31;0;0;26,6;
2020-09-30;0;0;28,7;
2020-10-31;12;117,6;28,6;
2020-11-30;11;null;26,5;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;3;null;29,1;
2021-10-31;10;100,4;27,8;
2021-11-30;22;219,6;25,9;
2021-12-31;27;432,2;25,2;
2022-01-31;21;303;25,5;
2022-02-28;14;null;25,7;
2022-03-31;23;223;25,8;
2022-04-30;10;39,2;26,8;
2022-05-31;1;12,4;25,3;
2022-06-30;0;0;24,9;
2022-07-31;0;0;24,7;
2022-08-31;0;0;26,8;
2022-09-30;5;37,4;27,9;
2022-10-31;3;null;28,9;
2022-11-30;3;null;26;
2022-12-31;18;null;25,1;
2023-01-31;17;162;25,4;
2023-02-28;15;72,2;26,4;
2023-03-31;24;221,2;25,7;
2023-04-30;9;72,2;26,6;
2023-05-31;2;7,8;26,6;
2023-06-30;0;0;25,9;
2023-07-31;null;null;25,3;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;4;null;29,4;
2023-11-30;6;null;29,1;
2023-12-31;7;null;28;
2024-01-31;18;null;26,1;
2024-02-29;8;null;26,7;
2024-03-31;19;193,2;27,2;
2024-04-30;19;179,6;27,3;
2024-05-31;2;3,4;27;
2024-06-30;0;0;25,4;
2024-07-31;null;0;25,1;
2024-08-31;null;null;null;
2024-09-30;null;null;29,7;
2024-10-31;9;null;29,4;
2024-11-30;15;null;26,8;
2024-12-31;14;null;27,1;

