Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.71
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;23;245,2;25,5;
2015-02-28;7;null;null;
2015-03-31;18;null;26;
2015-04-30;23;218;26,3;
2015-05-31;12;76;26,8;
2015-06-30;4;,8;26,4;
2015-07-31;1;,2;26,8;
2015-08-31;0;0;27,4;
2015-09-30;4;28,6;29,2;
2015-10-31;8;69,8;29,5;
2015-11-30;15;219;27,7;
2015-12-31;10;106,6;27,1;
2016-01-31;24;588,2;25,8;
2016-02-29;6;34,2;28,3;
2016-03-31;20;228,6;27,1;
2016-04-30;15;143,6;27,4;
2016-05-31;8;18,2;27,5;
2016-06-30;2;null;null;
2016-07-31;null;null;null;
2016-08-31;null;0;28,3;
2016-09-30;null;null;null;
2016-10-31;6;null;28,2;
2016-11-30;12;223,4;27,5;
2016-12-31;12;217,4;26,8;
2017-01-31;16;285,2;25,8;
2017-02-28;24;414,6;25,4;
2017-03-31;20;255;26,4;
2017-04-30;18;197,8;26,8;
2017-05-31;9;11,4;27,6;
2017-06-30;3;31;26;
2017-07-31;0;0;25,3;
2017-08-31;0;0;28,1;
2017-09-30;0;0;29,5;
2017-10-31;6;32,2;29,5;
2017-11-30;17;201,4;27;
2017-12-31;25;390,8;25,8;
2018-01-31;22;253,2;25,7;
2018-02-28;21;451;25,7;
2018-03-31;19;310,8;26,4;
2018-04-30;19;291,4;26,5;
2018-05-31;4;1,8;27,3;
2018-06-30;0;0;26,3;
2018-07-31;0;0;26,4;
2018-08-31;3;8,4;27,9;
2018-09-30;7;48,8;28,6;
2018-10-31;10;141,8;27,2;
2018-11-30;14;139,8;26,9;
2018-12-31;17;197,6;26,4;
2019-01-31;8;null;null;
2019-02-28;5;null;null;
2019-03-31;21;247,4;26,3;
2019-04-30;18;257,2;26,7;
2019-05-31;11;102,2;27,1;
2019-06-30;2;,4;26,7;
2019-07-31;0;0;26,7;
2019-08-31;0;0;27,6;
2019-09-30;4;26,6;29,3;
2019-10-31;15;89,6;27,1;
2019-11-30;15;64,2;27;
2019-12-31;14;110,4;27,2;
2020-01-31;23;227,8;26,5;
2020-02-29;20;312,2;26,1;
2020-03-31;22;326,2;26,1;
2020-04-30;13;129,8;26,8;
2020-05-31;4;72,6;27,5;
2020-06-30;0;0;26,8;
2020-07-31;1;,2;26,2;
2020-08-31;0;0;27,5;
2020-09-30;0;0;29,4;
2020-10-31;8;107,8;28,7;
2020-11-30;14;138,4;27,3;
2020-12-31;15;150;26,9;
2021-01-31;17;146,6;26,1;
2021-02-28;23;280;25,5;
2021-03-31;18;199;26,4;
2021-04-30;18;51,8;26,4;
2021-05-31;8;21,6;26,8;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;3;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;25;257,2;25,7;
2023-04-30;15;78,4;26,9;
2023-05-31;10;64;27,5;
2023-06-30;0;0;27,3;
2023-07-31;0;0;27;
2023-08-31;3;35,4;28,2;
2023-09-30;6;37,4;29,2;
2023-10-31;8;59,6;29,1;
2023-11-30;13;102,2;28,2;
2023-12-31;11;97,6;28,1;
2024-01-31;22;343,2;26,7;
2024-02-29;18;283,8;27;
2024-03-31;19;274,8;27,7;
2024-04-30;23;122;27,4;
2024-05-31;3;1;28,2;
2024-06-30;0;0;27,3;
2024-07-31;0;0;27;
2024-08-31;2;5,2;28,1;
2024-09-30;1;2,2;29,8;
2024-10-31;9;38,6;28,9;
2024-11-30;15;257,4;27,3;
2024-12-31;18;128,8;26,5;

