Nome: ARAGUAINA
Codigo Estacao: A021
Latitude: -7.10388888
Longitude: -48.20111111
Altitude: 230.76
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;2;null;null;
2015-02-28;1;null;null;
2015-03-31;4;null;null;
2015-04-30;null;null;null;
2015-05-31;null;null;null;
2015-06-30;null;null;25,4;
2015-07-31;null;null;null;
2015-08-31;null;null;null;
2015-09-30;null;null;null;
2015-10-31;null;null;null;
2015-11-30;null;null;null;
2015-12-31;10;48,2;25,9;
2016-01-31;25;357;25,2;
2016-02-29;14;123,2;26,8;
2016-03-31;22;252,4;26,2;
2016-04-30;18;106;26,2;
2016-05-31;10;56,2;25,8;
2016-06-30;10;87;24,9;
2016-07-31;1;,4;25;
2016-08-31;2;3,8;26;
2016-09-30;10;99,8;26,6;
2016-10-31;11;82,2;26,2;
2016-11-30;16;273,4;25,8;
2016-12-31;15;99,4;25,4;
2017-01-31;24;284,4;24,8;
2017-02-28;22;333;24,8;
2017-03-31;24;254,8;25,3;
2017-04-30;20;204;25,4;
2017-05-31;7;14,4;26,3;
2017-06-30;5;64,8;24,8;
2017-07-31;0;0;24,4;
2017-08-31;3;6,4;26,4;
2017-09-30;null;0;27,4;
2017-10-31;9;188,2;27;
2017-11-30;10;null;25,7;
2017-12-31;22;232;24,9;
2018-01-31;25;256,2;24,6;
2018-02-28;26;341,8;24,7;
2018-03-31;27;308,6;25,2;
2018-04-30;18;123,8;25,4;
2018-05-31;7;30,8;25,5;
2018-06-30;0;0;24,8;
2018-07-31;0;0;24,9;
2018-08-31;5;12;25,7;
2018-09-30;8;54;26,6;
2018-10-31;14;79,2;26,6;
2018-11-30;13;212,8;25,6;
2018-12-31;16;164;25,5;
2019-01-31;22;180,6;25;
2019-02-28;24;338,2;25,3;
2019-03-31;24;291,4;25,4;
2019-04-30;18;215,8;25,6;
2019-05-31;9;60,2;26;
2019-06-30;0;0;25,4;
2019-07-31;4;35;25;
2019-08-31;1;2,8;25,5;
2019-09-30;4;19,2;27,1;
2019-10-31;16;120,6;25,7;
2019-11-30;15;178,2;25,4;
2019-12-31;20;113,2;25,6;
2020-01-31;23;183,6;25,4;
2020-02-29;21;254,4;25,4;
2020-03-31;25;582,2;25,6;
2020-04-30;20;241,6;25,7;
2020-05-31;3;null;26,7;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;4;null;null;
2022-05-31;2;null;25,7;
2022-06-30;6;14,4;25,1;
2022-07-31;null;null;25,6;
2022-08-31;0;0;26,3;
2022-09-30;3;null;26,7;
2022-10-31;5;null;27,2;
2022-11-30;18;null;25;
2022-12-31;21;330,2;24,7;
2023-01-31;26;241,4;24,8;
2023-02-28;15;null;25,2;
2023-03-31;14;null;null;
2023-04-30;20;145,8;25,5;
2023-05-31;13;168,6;26;
2023-06-30;null;0;25,8;
2023-07-31;null;null;25,2;
2023-08-31;2;null;26,6;
2023-09-30;4;null;27,4;
2023-10-31;11;64;26,7;
2023-11-30;13;112,4;26,6;
2023-12-31;13;null;26,4;
2024-01-31;22;null;26,1;
2024-02-29;18;null;25,7;
2024-03-31;25;272,6;26,4;
2024-04-30;13;null;26,8;
2024-05-31;2;null;27;
2024-06-30;null;null;26,3;
2024-07-31;1;3,4;25,4;
2024-08-31;1;24,4;26,7;
2024-09-30;2;null;27,8;
2024-10-31;9;null;27,8;
2024-11-30;9;null;26,8;
2024-12-31;13;null;25,7;

