Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;13;134,2;25;
2015-02-28;20;291;23,4;
2015-03-31;21;264,8;23,4;
2015-04-30;26;351,4;23,7;
2015-05-31;10;38,2;24,4;
2015-06-30;0;0;24,1;
2015-07-31;null;null;24,5;
2015-08-31;null;null;null;
2015-09-30;4;null;27,9;
2015-10-31;11;90,4;28;
2015-11-30;14;106,8;26;
2015-12-31;13;159,6;26,1;
2016-01-31;26;364,4;23,4;
2016-02-29;5;24;26,2;
2016-03-31;20;53,8;25,5;
2016-04-30;4;4,4;26,3;
2016-05-31;0;0;26,5;
2016-06-30;0;0;25,1;
2016-07-31;0;0;25,2;
2016-08-31;0;0;27;
2016-09-30;3;,6;27,1;
2016-10-31;null;null;26,8;
2016-11-30;null;null;26,3;
2016-12-31;null;null;24,9;
2017-01-31;null;null;24,4;
2017-02-28;9;132,2;23,1;
2017-03-31;21;253,8;24;
2017-04-30;14;187,8;25,2;
2017-05-31;3;39;25,6;
2017-06-30;0;0;24,6;
2017-07-31;0;0;22,5;
2017-08-31;0;0;26,5;
2017-09-30;0;0;26,4;
2017-10-31;3;14,8;28,9;
2017-11-30;17;174;24,5;
2017-12-31;23;428,4;23,6;
2018-01-31;24;215,6;23,7;
2018-02-28;20;443,4;23,3;
2018-03-31;4;null;23,6;
2018-04-30;3;null;23,9;
2018-05-31;1;,4;24,8;
2018-06-30;0;0;24,3;
2018-07-31;0;0;24,4;
2018-08-31;2;4,2;26,2;
2018-09-30;1;2;28;
2018-10-31;18;63;26,2;
2018-11-30;18;281,6;24,2;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;11;null;23,8;
2019-03-31;26;270,6;23,7;
2019-04-30;22;125,4;24,5;
2019-05-31;5;25,6;25,7;
2019-06-30;1;,4;24,5;
2019-07-31;0;0;24,5;
2019-08-31;null;0;25,7;
2019-09-30;2;11,2;27,9;
2019-10-31;8;73,8;26,8;
2019-11-30;20;248,8;25,2;
2019-12-31;19;116,4;25,5;
2020-01-31;24;367,2;23,9;
2020-02-29;23;256;24;
2020-03-31;21;196,2;23,7;
2020-04-30;15;186,4;24,3;
2020-05-31;5;64,6;24,1;
2020-06-30;1;1,8;23,6;
2020-07-31;0;0;23,7;
2020-08-31;0;0;25,2;
2020-09-30;1;3,4;27,3;
2020-10-31;7;63,6;27,4;
2020-11-30;null;null;24,6;
2020-12-31;null;null;24,9;
2021-01-31;null;null;24,5;
2021-02-28;null;null;22,5;
2021-03-31;null;null;24,1;
2021-04-30;null;null;24;
2021-05-31;null;0;24,7;
2021-06-30;0;0;24,8;
2021-07-31;0;0;24,5;
2021-08-31;0;0;25,4;
2021-09-30;null;null;28;
2021-10-31;null;null;25,9;
2021-11-30;null;null;23,4;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;24,2;
2022-08-31;0;0;25,8;
2022-09-30;3;32;27,1;
2022-10-31;6;null;27,3;
2022-11-30;12;null;23,2;
2022-12-31;19;null;23,4;
2023-01-31;14;null;23,4;
2023-02-28;14;null;24,2;
2023-03-31;17;null;23,7;
2023-04-30;10;89,2;24,6;
2023-05-31;3;34,6;25;
2023-06-30;0;0;24,8;
2023-07-31;0;0;25;
2023-08-31;4;13,4;26,1;
2023-09-30;4;23;28,1;
2023-10-31;7;null;28,1;
2023-11-30;9;null;26,2;
2023-12-31;6;null;26,2;
2024-01-31;null;null;24;
2024-02-29;null;null;24,7;
2024-03-31;null;null;25,5;
2024-04-30;null;null;25,2;
2024-05-31;null;null;25,6;
2024-06-30;null;null;24,5;
2024-07-31;null;null;24,5;
2024-08-31;null;null;26,1;
2024-09-30;null;null;28,1;
2024-10-31;4;null;28;
2024-11-30;2;null;null;
2024-12-31;null;null;null;

