Nome: FORMOSO DO ARAGUAIA
Codigo Estacao: A039
Latitude: -11.88749999
Longitude: -49.60833333
Altitude: 215.2
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;8;9,4;26,1;
2015-02-28;null;null;25,9;
2015-03-31;18;281,6;25,6;
2015-04-30;19;153,8;25,9;
2015-05-31;4;56,8;25,8;
2015-06-30;0;0;25,8;
2015-07-31;1;,2;26,2;
2015-08-31;0;0;27,6;
2015-09-30;4;38,6;29,4;
2015-10-31;5;44;29,7;
2015-11-30;9;null;27,7;
2015-12-31;3;null;null;
2016-01-31;3;null;null;
2016-02-29;13;106,6;27,9;
2016-03-31;18;162,2;27,2;
2016-04-30;6;44,4;27,8;
2016-05-31;0;0;27,4;
2016-06-30;0;0;26,7;
2016-07-31;0;0;26,5;
2016-08-31;0;0;28,4;
2016-09-30;3;15,6;29,3;
2016-10-31;12;171,2;28,3;
2016-11-30;16;207,6;27,3;
2016-12-31;18;208;26,4;
2017-01-31;18;170,8;26,2;
2017-02-28;16;482;25,2;
2017-03-31;16;109;26,2;
2017-04-30;17;151,4;26,4;
2017-05-31;null;null;27;
2017-06-30;null;0;26;
2017-07-31;0;0;24,7;
2017-08-31;0;0;28,1;
2017-09-30;1;2,4;30;
2017-10-31;8;133,6;29,7;
2017-11-30;21;319,4;26,4;
2017-12-31;22;264,6;25,9;
2018-01-31;22;179,6;26;
2018-02-28;22;495,6;25,1;
2018-03-31;19;null;25,8;
2018-04-30;6;null;26;
2018-05-31;1;5,8;26,1;
2018-06-30;null;null;25,9;
2018-07-31;null;null;25,9;
2018-08-31;null;null;null;
2018-09-30;1;null;null;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;12;null;26,3;
2019-02-28;10;null;25,9;
2019-03-31;21;358,8;25,9;
2019-04-30;12;39;26,6;
2019-05-31;4;105,4;27,1;
2019-06-30;0;0;25,6;
2019-07-31;0;0;25,8;
2019-08-31;0;0;27,8;
2019-09-30;0;0;29,9;
2019-10-31;9;4;27,7;
2019-11-30;null;null;27;
2019-12-31;null;null;27;
2020-01-31;null;null;26,1;
2020-02-29;null;null;25,9;
2020-03-31;null;null;25,9;
2020-04-30;null;null;26,4;
2020-05-31;null;null;26,1;
2020-06-30;null;0;25,6;
2020-07-31;0;0;25,6;
2020-08-31;0;0;27,5;
2020-09-30;0;0;29,6;
2020-10-31;null;null;28,7;
2020-11-30;null;null;26,9;
2020-12-31;null;null;26,5;
2021-01-31;null;null;26,5;
2021-02-28;null;null;25;
2021-03-31;null;null;25,8;
2021-04-30;null;null;26,7;
2021-05-31;null;null;26,2;
2021-06-30;null;null;26;
2021-07-31;null;null;25,7;
2021-08-31;null;null;28,1;
2021-09-30;5;22,2;29;
2021-10-31;10;72;27,6;
2021-11-30;19;200,6;25,9;
2021-12-31;21;311;25,7;
2022-01-31;21;188,2;25,6;
2022-02-28;14;null;26;
2022-03-31;20;197,4;25,9;
2022-04-30;13;63,6;26,7;
2022-05-31;1;,6;25,5;
2022-06-30;0;0;25,9;
2022-07-31;0;0;26,2;
2022-08-31;0;0;28,2;
2022-09-30;3;59,8;29;
2022-10-31;3;null;28,6;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;1;null;26,5;
2023-07-31;0;0;26,6;
2023-08-31;1;2,4;28,5;
2023-09-30;1;,8;30,5;
2023-10-31;8;47;30;
2023-11-30;9;null;28,5;
2023-12-31;10;null;28,2;
2024-01-31;16;null;26,3;
2024-02-29;10;null;26,7;
2024-03-31;11;147;27,1;
2024-04-30;15;63,4;27,1;
2024-05-31;0;0;27,2;
2024-06-30;0;0;26,1;
2024-07-31;0;0;26,2;
2024-08-31;0;0;28,1;
2024-09-30;null;0;30,9;
2024-10-31;9;109,2;29,4;
2024-11-30;14;null;26,5;
2024-12-31;11;null;27;

