Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;10;108,8;24,4;
2015-02-28;16;181;22,8;
2015-03-31;16;148,6;22,9;
2015-04-30;23;175,6;23,1;
2015-05-31;null;null;23,2;
2015-06-30;null;0;22;
2015-07-31;0;0;22,5;
2015-08-31;0;0;23,1;
2015-09-30;null;null;26,4;
2015-10-31;5;null;26,8;
2015-11-30;8;26,2;25,1;
2015-12-31;null;null;26,2;
2016-01-31;null;null;null;
2016-02-29;null;null;null;
2016-03-31;null;null;null;
2016-04-30;1;null;null;
2016-05-31;0;0;24,2;
2016-06-30;3;20;23,1;
2016-07-31;0;0;22,3;
2016-08-31;0;0;24,5;
2016-09-30;null;null;25,3;
2016-10-31;null;null;25,7;
2016-11-30;null;null;25,4;
2016-12-31;null;null;24,3;
2017-01-31;null;null;23,5;
2017-02-28;12;145,2;22,1;
2017-03-31;17;122,4;23,4;
2017-04-30;8;124,4;24,3;
2017-05-31;1;8,4;24,3;
2017-06-30;0;0;22,8;
2017-07-31;0;0;20,8;
2017-08-31;0;0;24,1;
2017-09-30;0;0;24,4;
2017-10-31;0;0;27,3;
2017-11-30;18;203,2;24,2;
2017-12-31;19;229,2;24;
2018-01-31;20;218,8;23;
2018-02-28;20;241,8;22,2;
2018-03-31;17;228,6;22,6;
2018-04-30;10;68,8;23,1;
2018-05-31;0;0;23,3;
2018-06-30;0;0;21,9;
2018-07-31;0;0;21,8;
2018-08-31;null;null;25;
2018-09-30;null;null;null;
2018-10-31;4;null;null;
2018-11-30;16;230,4;24,4;
2018-12-31;15;257;23,6;
2019-01-31;13;75,8;24,1;
2019-02-28;18;174,6;23,3;
2019-03-31;22;315,8;23,5;
2019-04-30;15;201,2;24;
2019-05-31;3;21;23,7;
2019-06-30;0;0;21,9;
2019-07-31;null;null;22,9;
2019-08-31;null;0;23,1;
2019-09-30;1;2,6;25,9;
2019-10-31;8;71,2;26,2;
2019-11-30;10;80,6;25,6;
2019-12-31;11;52,6;26,2;
2020-01-31;22;303,8;23,6;
2020-02-29;13;244,2;23,3;
2020-03-31;23;329;23;
2020-04-30;11;173,6;23,9;
2020-05-31;3;null;23,3;
2020-06-30;1;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;0;0;23,4;
2022-09-30;3;55,2;25,3;
2022-10-31;7;44,8;26,1;
2022-11-30;24;367,4;22,8;
2022-12-31;22;317,8;23,4;
2023-01-31;17;245,2;22,6;
2023-02-28;14;151,8;23;
2023-03-31;21;199,2;22,9;
2023-04-30;7;83,2;23,7;
2023-05-31;8;94;23,1;
2023-06-30;0;0;21,9;
2023-07-31;0;0;22,3;
2023-08-31;2;43,2;24,2;
2023-09-30;3;26,6;26,1;
2023-10-31;3;40,2;27,6;
2023-11-30;16;95;25,6;
2023-12-31;17;151,6;25,8;
2024-01-31;21;343,8;24;
2024-02-29;15;228,2;23,8;
2024-03-31;10;132,8;24,6;
2024-04-30;11;104,2;24,7;
2024-05-31;0;0;24;
2024-06-30;0;0;22,9;
2024-07-31;0;0;22,2;
2024-08-31;0;0;24;
2024-09-30;0;0;25,5;
2024-10-31;14;180,4;26,9;
2024-11-30;19;164,8;25,1;
2024-12-31;20;133;24,5;

