Nome: MARIANOPOLIS DO TO
Codigo Estacao: A041
Latitude: -9.57638888
Longitude: -49.72333332
Altitude: 186.69
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;22;282,4;25,1;
2015-02-28;17;181,8;25,2;
2015-03-31;19;393,6;25,7;
2015-04-30;20;null;25,8;
2015-05-31;9;125,2;26,1;
2015-06-30;0;0;25,5;
2015-07-31;2;4,8;25,7;
2015-08-31;0;0;26,6;
2015-09-30;4;8,2;28,2;
2015-10-31;10;159,6;28,1;
2015-11-30;15;171,8;26,9;
2015-12-31;null;null;null;
2016-01-31;1;null;null;
2016-02-29;6;43,8;27,6;
2016-03-31;23;314,6;26,4;
2016-04-30;9;101,6;27;
2016-05-31;2;null;null;
2016-06-30;null;null;null;
2016-07-31;null;null;null;
2016-08-31;null;null;null;
2016-09-30;null;null;null;
2016-10-31;11;null;27,4;
2016-11-30;13;121;26,8;
2016-12-31;16;189;25,7;
2017-01-31;16;144,8;25,7;
2017-02-28;22;329,4;25,1;
2017-03-31;21;216,2;25,9;
2017-04-30;18;122,4;26,1;
2017-05-31;7;20;27;
2017-06-30;2;3;25,4;
2017-07-31;0;0;24,6;
2017-08-31;0;0;27,1;
2017-09-30;0;0;28,5;
2017-10-31;8;95,6;28,2;
2017-11-30;16;207;26,7;
2017-12-31;26;249,2;25,5;
2018-01-31;22;397,4;25,2;
2018-02-28;25;490;25,1;
2018-03-31;27;278,8;25,7;
2018-04-30;19;110;25,6;
2018-05-31;7;32,2;26,4;
2018-06-30;0;0;25,3;
2018-07-31;0;0;25,5;
2018-08-31;1;16,6;26,9;
2018-09-30;6;78,2;27,3;
2018-10-31;18;169,6;26,7;
2018-11-30;4;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;7;null;null;
2019-03-31;26;316,4;25,7;
2019-04-30;18;123,8;26,4;
2019-05-31;11;62;26,9;
2019-06-30;1;1,4;26;
2019-07-31;0;0;25,9;
2019-08-31;null;0;26,7;
2019-09-30;5;81,4;28,1;
2019-10-31;19;171,2;26;
2019-11-30;17;192,2;26,1;
2019-12-31;22;210;26;
2020-01-31;25;349,4;26;
2020-02-29;22;250,6;25,9;
2020-03-31;22;404,2;25,8;
2020-04-30;22;106,8;26,5;
2020-05-31;6;91,4;26,7;
2020-06-30;0;0;26;
2020-07-31;null;null;25,6;
2020-08-31;1;null;27,6;
2020-09-30;4;30,8;28,2;
2020-10-31;4;null;null;
2020-11-30;3;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;9;null;null;
2021-05-31;6;14,8;26,3;
2021-06-30;2;1,8;26;
2021-07-31;null;0;25,6;
2021-08-31;null;0;26,9;
2021-09-30;7;127,4;27,9;
2021-10-31;13;70;26,9;
2021-11-30;11;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;26,2;
2023-07-31;0;0;26;
2023-08-31;4;87;27,4;
2023-09-30;4;11,8;28,2;
2023-10-31;8;76,2;28,4;
2023-11-30;13;158,4;27,3;
2023-12-31;11;54,4;26,9;
2024-01-31;17;null;26,1;
2024-02-29;11;null;26,6;
2024-03-31;null;null;27,1;
2024-04-30;null;null;26,8;
2024-05-31;null;null;27,4;
2024-06-30;null;null;26,3;
2024-07-31;null;null;25,8;
2024-08-31;null;null;27,1;
2024-09-30;null;null;28,8;
2024-10-31;null;null;28,1;
2024-11-30;null;null;26,3;
2024-12-31;null;null;26,1;

