Nome: ARAGUATINS
Codigo Estacao: A044
Latitude: -5.6436111
Longitude: -48.11194444
Altitude: 130.71
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-01-31;20;148,8;26;
2015-02-28;19;144,6;25,9;
2015-03-31;20;441;25,9;
2015-04-30;15;69;26,8;
2015-05-31;9;90;26,8;
2015-06-30;5;7,2;27,3;
2015-07-31;5;41,4;27,3;
2015-08-31;1;2,8;28,2;
2015-09-30;3;24,6;29;
2015-10-31;7;45;29,6;
2015-11-30;11;54,2;28,4;
2015-12-31;12;59;27,7;
2016-01-31;16;null;26,2;
2016-02-29;14;111;27,7;
2016-03-31;20;157,4;27,1;
2016-04-30;16;216,6;27,3;
2016-05-31;12;67,2;27,3;
2016-06-30;4;8,8;27,1;
2016-07-31;2;1;27,7;
2016-08-31;2;6,6;28,7;
2016-09-30;12;126,4;28,6;
2016-10-31;7;31,6;28,2;
2016-11-30;3;null;null;
2016-12-31;null;null;null;
2017-01-31;null;null;null;
2017-02-28;8;null;null;
2017-03-31;22;327;26,1;
2017-04-30;23;132,6;26,7;
2017-05-31;9;65,4;27,4;
2017-06-30;4;5,2;27,4;
2017-07-31;2;18,2;27,4;
2017-08-31;2;23,8;28,4;
2017-09-30;1;5,4;29,7;
2017-10-31;2;,8;29,5;
2017-11-30;11;189,8;27,5;
2017-12-31;18;136;26,8;
2018-01-31;20;283,4;26,2;
2018-02-28;25;266;25,5;
2018-03-31;25;355,6;26,2;
2018-04-30;21;316;26,2;
2018-05-31;8;25,4;27,2;
2018-06-30;4;3,2;27,1;
2018-07-31;1;3,2;27,8;
2018-08-31;null;null;28,1;
2018-09-30;null;null;null;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;4;null;null;
2019-01-31;21;255;26,2;
2019-02-28;21;239;26,3;
2019-03-31;25;360,4;26,1;
2019-04-30;17;156,2;26,8;
2019-05-31;12;117,6;27,3;
2019-06-30;1;null;27,4;
2019-07-31;null;null;null;
2019-08-31;null;null;null;
2019-09-30;null;null;null;
2019-10-31;4;null;null;
2019-11-30;1;null;null;
2019-12-31;7;null;null;
2020-01-31;21;401,4;26,4;
2020-02-29;15;null;26,6;
2020-03-31;15;null;26,3;
2020-04-30;11;null;null;
2020-05-31;5;null;null;
2020-06-30;null;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;2;null;null;
2020-11-30;4;null;null;
2020-12-31;4;null;26,8;
2021-01-31;7;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;7;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;1;null;null;
2023-09-30;1;8;29,9;
2023-10-31;5;null;29,2;
2023-11-30;7;null;28,6;
2023-12-31;16;211,4;27,7;
2024-01-31;22;399,8;27,2;
2024-02-29;22;313,6;26,6;
2024-03-31;23;371,4;27,1;
2024-04-30;21;206,6;27,2;
2024-05-31;6;32,4;28,7;
2024-06-30;1;,4;28,8;
2024-07-31;1;35,4;28,1;
2024-08-31;2;6,8;28,9;
2024-09-30;0;0;30,5;
2024-10-31;5;70;29,4;
2024-11-30;7;64,4;29,2;
2024-12-31;19;162,6;27,3;

