Nome: PIUM
Codigo Estacao: A051
Latitude: -10.47694443
Longitude: -49.62944443
Altitude: 161
Situacao: Pane
Data Inicial: 2016-04-05
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-04-30;6;null;27;
2016-05-31;3;16,6;26,5;
2016-06-30;3;1,4;25,3;
2016-07-31;0;0;24,2;
2016-08-31;0;0;26,4;
2016-09-30;8;75,2;27,5;
2016-10-31;12;195,2;27,3;
2016-11-30;13;158,4;26,6;
2016-12-31;15;258,8;25,9;
2017-01-31;17;277,4;25,6;
2017-02-28;20;314,2;25,2;
2017-03-31;22;247,2;26;
2017-04-30;21;154,4;26,1;
2017-05-31;6;9,4;26,6;
2017-06-30;1;,6;24,4;
2017-07-31;0;0;22,8;
2017-08-31;0;0;25,7;
2017-09-30;1;1,2;27,6;
2017-10-31;3;75,4;28,6;
2017-11-30;null;null;null;
2017-12-31;25;473;25,4;
2018-01-31;27;294,4;25,5;
2018-02-28;22;595,2;25,2;
2018-03-31;23;182,2;25,7;
2018-04-30;20;82,4;25,5;
2018-05-31;3;69;25,6;
2018-06-30;0;0;24,1;
2018-07-31;0;0;23,8;
2018-08-31;1;,2;26;
2018-09-30;4;15,8;26,8;
2018-10-31;18;116,2;26,8;
2018-11-30;23;539,6;25,7;
2018-12-31;18;167;25,6;
2019-01-31;24;318,2;25,6;
2019-02-28;19;196,8;25,7;
2019-03-31;22;155;25,8;
2019-04-30;15;64,2;26,4;
2019-05-31;11;139,8;26,7;
2019-06-30;4;,8;24,7;
2019-07-31;0;0;24,3;
2019-08-31;0;0;25,1;
2019-09-30;2;2,4;27,3;
2019-10-31;19;187,4;25,9;
2019-11-30;16;192,8;26,1;
2019-12-31;16;243,2;26,4;
2020-01-31;26;332;26,1;
2020-02-29;20;219,8;26;
2020-03-31;26;301,6;25,8;
2020-04-30;15;273,6;26,5;
2020-05-31;3;27,4;26,2;
2020-06-30;1;null;null;
2020-07-31;null;null;null;
2020-08-31;null;null;null;
2020-09-30;null;null;null;
2020-10-31;null;null;null;
2020-11-30;null;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;6;null;27,5;
2021-10-31;15;164;26,7;
2021-11-30;22;333,8;25,3;
2021-12-31;29;379,4;25,3;
2022-01-31;23;307,2;25,5;
2022-02-28;24;416,6;25,5;
2022-03-31;24;321,4;25,4;
2022-04-30;20;128;26,4;
2022-05-31;6;60,4;24,7;
2022-06-30;2;16,8;24,4;
2022-07-31;0;0;24;
2022-08-31;0;0;25,4;
2022-09-30;6;42,4;26,9;
2022-10-31;12;136,8;26,8;
2022-11-30;16;330,2;25,4;
2022-12-31;23;357;25,1;
2023-01-31;23;216,6;25;
2023-02-28;19;209,4;25,8;
2023-03-31;23;248,8;25,3;
2023-04-30;16;282;26;
2023-05-31;6;58,8;26,1;
2023-06-30;0;0;25,2;
2023-07-31;0;0;24,5;
2023-08-31;4;9,2;26,1;
2023-09-30;5;39,2;27,9;
2023-10-31;12;128,4;27,9;
2023-11-30;12;117,8;27;
2023-12-31;13;76,4;27;
2024-01-31;25;465,6;26;
2024-02-29;10;null;null;
2024-03-31;null;null;null;
2024-04-30;null;null;null;
2024-05-31;null;null;null;
2024-06-30;null;null;null;
2024-07-31;null;null;null;
2024-08-31;null;null;null;
2024-09-30;null;null;null;
2024-10-31;null;null;null;
2024-11-30;null;null;null;
2024-12-31;null;null;null;

