Nome: SANTA ROSA DO TOCANTINS
Codigo Estacao: A052
Latitude: -11.42888888
Longitude: -48.18499999
Altitude: 306
Situacao: Operante
Data Inicial: 2015-08-13
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-08-31;null;null;null;
2015-09-30;1;,2;28,8;
2015-10-31;3;23,8;29,2;
2015-11-30;19;175,6;27,4;
2015-12-31;17;101,4;27,5;
2016-01-31;28;330;25,2;
2016-02-29;13;83,2;26,9;
2016-03-31;20;161,8;26,8;
2016-04-30;7;11,4;27,2;
2016-05-31;3;2,4;27,1;
2016-06-30;2;19,8;26,2;
2016-07-31;0;0;25,9;
2016-08-31;0;0;28,1;
2016-09-30;4;11;28,6;
2016-10-31;8;null;27,8;
2016-11-30;15;78,6;27,7;
2016-12-31;22;255;26,1;
2017-01-31;18;157,8;25,2;
2017-02-28;16;131,6;24,5;
2017-03-31;7;null;25,8;
2017-04-30;null;null;null;
2017-05-31;2;null;null;
2017-06-30;0;0;25,1;
2017-07-31;0;0;23,6;
2017-08-31;0;0;26,9;
2017-09-30;0;0;28,7;
2017-10-31;6;56,4;29,7;
2017-11-30;19;197,8;26,3;
2017-12-31;23;293,2;25,3;
2018-01-31;22;158,4;24,7;
2018-02-28;26;358,4;24,8;
2018-03-31;25;358;25,5;
2018-04-30;17;106,8;25;
2018-05-31;5;4,2;25,4;
2018-06-30;0;0;24,5;
2018-07-31;0;0;24,5;
2018-08-31;2;5,4;27;
2018-09-30;null;null;28,3;
2018-10-31;null;null;27,2;
2018-11-30;12;null;26;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;10;null;null;
2019-03-31;20;475,6;25,2;
2019-04-30;17;175,8;25,8;
2019-05-31;8;50,4;26,3;
2019-06-30;0;0;24,9;
2019-07-31;0;0;24,8;
2019-08-31;null;0;26,4;
2019-09-30;1;36,8;28,9;
2019-10-31;10;185,4;27,2;
2019-11-30;15;215,4;26,6;
2019-12-31;13;143,4;26,2;
2020-01-31;19;349,8;25,4;
2020-02-29;18;219,2;25,8;
2020-03-31;19;232,4;25,5;
2020-04-30;18;256;25,6;
2020-05-31;3;15,4;25,3;
2020-06-30;0;0;24,6;
2020-07-31;0;0;24,4;
2020-08-31;0;0;26,3;
2020-09-30;1;,6;28,3;
2020-10-31;7;64,2;28,3;
2020-11-30;11;102,6;26,7;
2020-12-31;17;294,8;26,1;
2021-01-31;11;null;25,7;
2021-02-28;24;326;24,2;
2021-03-31;8;28;25,6;
2021-04-30;null;null;25,7;
2021-05-31;null;0;25;
2021-06-30;0;0;24,8;
2021-07-31;0;0;24,5;
2021-08-31;0;0;26,4;
2021-09-30;null;null;null;
2021-10-31;null;null;null;
2021-11-30;null;null;null;
2021-12-31;null;null;null;
2022-01-31;null;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;26,2;
2022-05-31;null;null;24,8;
2022-06-30;null;null;24,8;
2022-07-31;null;null;24,6;
2022-08-31;null;null;26,6;
2022-09-30;3;71,8;28;
2022-10-31;6;null;28;
2022-11-30;10;null;25,1;
2022-12-31;18;null;24,3;
2023-01-31;9;null;24,6;
2023-02-28;9;null;null;
2023-03-31;16;null;24,9;
2023-04-30;10;59,2;25,6;
2023-05-31;2;null;25,8;
2023-06-30;null;null;25,3;
2023-07-31;null;null;25,7;
2023-08-31;1;11,8;27,3;
2023-09-30;4;null;29,4;
2023-10-31;5;null;29,3;
2023-11-30;2;null;null;
2023-12-31;6;null;null;
2024-01-31;6;null;null;
2024-02-29;9;null;null;
2024-03-31;21;null;26,7;
2024-04-30;22;188,4;26,4;
2024-05-31;4;,8;26,3;
2024-06-30;0;0;25,1;
2024-07-31;null;null;24,9;
2024-08-31;null;0;26,8;
2024-09-30;null;null;29,2;
2024-10-31;5;null;29,3;
2024-11-30;15;null;26,2;
2024-12-31;10;null;25,8;

