Nome: ALMAS
Codigo Estacao: A053
Latitude: -11.28416666
Longitude: -47.21222222
Altitude: 503
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-03-31;null;null;null;
2016-04-30;5;19,6;26,7;
2016-05-31;3;12,4;26,7;
2016-06-30;4;21,6;25,6;
2016-07-31;0;0;25,6;
2016-08-31;2;1;27,9;
2016-09-30;6;86,6;28,5;
2016-10-31;9;66,6;27,6;
2016-11-30;15;123;27,2;
2016-12-31;19;167,2;25,4;
2017-01-31;19;142,4;24,9;
2017-02-28;19;204,4;23,9;
2017-03-31;22;185,8;24,7;
2017-04-30;20;163;25,6;
2017-05-31;3;15,2;25,7;
2017-06-30;1;3,8;24,4;
2017-07-31;0;0;22,8;
2017-08-31;0;0;26,7;
2017-09-30;null;null;null;
2017-10-31;null;null;null;
2017-11-30;1;null;null;
2017-12-31;21;335,2;24,6;
2018-01-31;18;158;24,6;
2018-02-28;23;341,6;24,3;
2018-03-31;27;270;24,7;
2018-04-30;19;157,2;24,7;
2018-05-31;2;3,2;24,9;
2018-06-30;0;0;24,1;
2018-07-31;0;0;24;
2018-08-31;2;1,4;26,8;
2018-09-30;2;13;28,6;
2018-10-31;16;138,2;27,1;
2018-11-30;24;172,6;25,1;
2018-12-31;18;175;24,8;
2019-01-31;17;218,6;25;
2019-02-28;21;103;24,8;
2019-03-31;27;223,4;24,6;
2019-04-30;18;253,4;25,1;
2019-05-31;6;135,4;25,5;
2019-06-30;0;0;24,1;
2019-07-31;0;0;23,9;
2019-08-31;0;0;26,1;
2019-09-30;2;31,8;28,6;
2019-10-31;12;36,2;27,6;
2019-11-30;25;212;25,8;
2019-12-31;17;207,2;26,1;
2020-01-31;25;340,2;25;
2020-02-29;24;252,8;24,9;
2020-03-31;25;187,8;24,8;
2020-04-30;20;276,8;25,1;
2020-05-31;5;43,2;24,8;
2020-06-30;0;0;23,9;
2020-07-31;0;0;23,6;
2020-08-31;0;0;25,6;
2020-09-30;2;null;27,9;
2020-10-31;6;null;27,6;
2020-11-30;6;null;null;
2020-12-31;null;null;null;
2021-01-31;null;null;null;
2021-02-28;null;null;null;
2021-03-31;null;null;null;
2021-04-30;null;null;null;
2021-05-31;null;null;null;
2021-06-30;null;null;null;
2021-07-31;null;null;null;
2021-08-31;null;null;null;
2021-09-30;5;null;29;
2021-10-31;18;162,4;26,5;
2021-11-30;26;276,4;24,5;
2021-12-31;25;358,4;24,2;
2022-01-31;22;428;24,4;
2022-02-28;17;null;24,7;
2022-03-31;21;126;24,8;
2022-04-30;10;48,6;25,7;
2022-05-31;3;null;25,4;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;null;null;null;
2022-12-31;null;null;null;
2023-01-31;null;null;null;
2023-02-28;null;null;null;
2023-03-31;null;null;null;
2023-04-30;null;null;null;
2023-05-31;null;null;null;
2023-06-30;null;null;null;
2023-07-31;null;null;null;
2023-08-31;null;null;null;
2023-09-30;null;null;null;
2023-10-31;8;null;28,6;
2023-11-30;9;null;26,8;
2023-12-31;11;null;26,9;
2024-01-31;16;null;25;
2024-02-29;11;null;25,8;
2024-03-31;15;221,4;26,4;
2024-04-30;23;280;25,7;
2024-05-31;3;12,6;25,3;
2024-06-30;0;0;24,1;
2024-07-31;0;0;24;
2024-08-31;0;0;26,3;
2024-09-30;null;0;29,1;
2024-10-31;9;42,6;28,5;
2024-11-30;21;null;25,5;
2024-12-31;20;null;24,8;

