Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2015-08-18
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-08-31;null;null;null;
2015-09-30;2;28,6;28,7;
2015-10-31;8;21,4;29,2;
2015-11-30;15;124,2;27,7;
2015-12-31;11;134,6;28,2;
2016-01-31;26;610,4;25,8;
2016-02-29;6;37,4;27,9;
2016-03-31;16;279,2;27,2;
2016-04-30;6;28,8;27,6;
2016-05-31;2;,4;26,8;
2016-06-30;2;18,4;25,3;
2016-07-31;0;0;24,8;
2016-08-31;0;0;27;
2016-09-30;3;58,4;28,7;
2016-10-31;13;123,8;28,1;
2016-11-30;18;169,4;27,4;
2016-12-31;20;198,8;26,7;
2017-01-31;16;156,2;26,4;
2017-02-28;23;315,2;25,4;
2017-03-31;15;71,8;26,5;
2017-04-30;null;null;null;
2017-05-31;3;null;null;
2017-06-30;0;0;25,1;
2017-07-31;0;0;22,9;
2017-08-31;0;0;26,4;
2017-09-30;0;0;27,9;
2017-10-31;5;75;29,2;
2017-11-30;18;351;26,5;
2017-12-31;23;232,4;26;
2018-01-31;17;143,8;26,2;
2018-02-28;16;429,6;25,7;
2018-03-31;23;331;25,9;
2018-04-30;14;114;25,7;
2018-05-31;4;5,2;25,5;
2018-06-30;null;0;24,3;
2018-07-31;null;0;23,8;
2018-08-31;1;null;26,3;
2018-09-30;null;null;null;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;null;null;null;
2019-03-31;null;null;null;
2019-04-30;null;null;null;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;null;0;24,4;
2019-08-31;0;0;26,3;
2019-09-30;2;16,4;28,7;
2019-10-31;11;133,6;28,1;
2019-11-30;17;186,8;27,1;
2019-12-31;16;149,8;27,2;
2020-01-31;23;391,4;26,2;
2020-02-29;19;235;26,2;
2020-03-31;22;374,6;26;
2020-04-30;23;161,4;26,3;
2020-05-31;8;4,6;25,6;
2020-06-30;4;,8;24,3;
2020-07-31;0;0;23,8;
2020-08-31;0;0;25,9;
2020-09-30;0;0;28;
2020-10-31;13;185,8;28,5;
2020-11-30;11;197,6;26,8;
2020-12-31;1;null;null;
2021-01-31;9;null;26,8;
2021-02-28;17;null;25;
2021-03-31;6;null;26;
2021-04-30;null;null;26,3;
2021-05-31;1;null;25,5;
2021-06-30;null;null;25;
2021-07-31;null;null;24;
2021-08-31;null;null;26,2;
2021-09-30;5;24,4;28,7;
2021-10-31;11;110;27,9;
2021-11-30;20;null;25,9;
2021-12-31;26;507,8;25,7;
2022-01-31;20;304,4;25,7;
2022-02-28;14;null;26;
2022-03-31;22;null;25,7;
2022-04-30;4;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;null;null;null;
2022-08-31;null;null;null;
2022-09-30;null;null;null;
2022-10-31;null;null;null;
2022-11-30;11;null;25,9;
2022-12-31;14;null;25,1;
2023-01-31;13;null;25,4;
2023-02-28;12;null;26,9;
2023-03-31;13;null;25,9;
2023-04-30;null;null;26,4;
2023-05-31;null;null;26,1;
2023-06-30;null;null;25,5;
2023-07-31;null;null;24,7;
2023-08-31;null;null;26,7;
2023-09-30;null;null;29,4;
2023-10-31;null;null;null;
2023-11-30;null;null;null;
2023-12-31;null;null;null;
2024-01-31;null;null;null;
2024-02-29;null;null;null;
2024-03-31;11;null;27,2;
2024-04-30;2;41,4;27,2;
2024-05-31;0;0;26,5;
2024-06-30;0;0;24,5;
2024-07-31;0;0;24,1;
2024-08-31;0;0;26;
2024-09-30;null;null;28,6;
2024-10-31;null;null;28,8;
2024-11-30;null;null;26,5;
2024-12-31;null;null;26,9;

