Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-11-30;6;null;null;
2016-12-31;20;165,6;26;
2017-01-31;16;55,8;25,9;
2017-02-28;20;null;25,3;
2017-03-31;17;126,8;26,3;
2017-04-30;18;89,4;26,4;
2017-05-31;3;9,2;26,8;
2017-06-30;null;0;24,8;
2017-07-31;0;0;23,3;
2017-08-31;null;0;26,2;
2017-09-30;1;null;27,9;
2017-10-31;1;82,6;28,8;
2017-11-30;22;163,8;26,3;
2017-12-31;27;446,6;25,6;
2018-01-31;23;157,8;25,7;
2018-02-28;25;426;25,3;
2018-03-31;22;299,6;26,1;
2018-04-30;16;190;26,1;
2018-05-31;4;16;26,2;
2018-06-30;null;0;24,6;
2018-07-31;0;0;24,1;
2018-08-31;0;0;26,2;
2018-09-30;1;null;27,1;
2018-10-31;null;null;null;
2018-11-30;null;null;null;
2018-12-31;null;null;null;
2019-01-31;null;null;null;
2019-02-28;9;null;null;
2019-03-31;25;343,2;25,8;
2019-04-30;11;null;26,5;
2019-05-31;null;null;null;
2019-06-30;null;null;null;
2019-07-31;null;0;24,4;
2019-08-31;null;null;25,2;
2019-09-30;null;null;null;
2019-10-31;8;null;26,2;
2019-11-30;18;236,8;26,1;
2019-12-31;17;247,8;26,3;
2020-01-31;21;371;26;
2020-02-29;20;355,8;25,9;
2020-03-31;20;236;25,8;
2020-04-30;14;313,6;26,6;
2020-05-31;7;16,4;26,4;
2020-06-30;5;1;24,9;
2020-07-31;4;,8;23,8;
2020-08-31;0;0;25,5;
2020-09-30;2;25,4;27,2;
2020-10-31;6;45,6;27,8;
2020-11-30;10;116,4;26,8;
2020-12-31;22;292,4;26,1;
2021-01-31;14;null;25,8;
2021-02-28;14;347,8;25,1;
2021-03-31;19;159,6;25,7;
2021-04-30;18;180,8;25,9;
2021-05-31;10;15;25,5;
2021-06-30;1;,2;24,7;
2021-07-31;0;0;23,8;
2021-08-31;1;,2;25,2;
2021-09-30;4;12,2;27,6;
2021-10-31;5;null;26,9;
2021-11-30;16;null;25,4;
2021-12-31;11;null;null;
2022-01-31;2;null;null;
2022-02-28;null;null;null;
2022-03-31;null;null;null;
2022-04-30;null;null;null;
2022-05-31;null;null;null;
2022-06-30;null;null;null;
2022-07-31;1;3,6;24;
2022-08-31;0;0;25,6;
2022-09-30;6;97,2;27;
2022-10-31;8;106,8;27;
2022-11-30;13;null;25,5;
2022-12-31;22;336,8;25,2;
2023-01-31;18;161,2;25,3;
2023-02-28;15;null;26,5;
2023-03-31;19;291,2;25,6;
2023-04-30;18;94,8;26,6;
2023-05-31;5;13,4;26,5;
2023-06-30;2;1,4;25,5;
2023-07-31;0;0;24,7;
2023-08-31;3;9,2;26,4;
2023-09-30;2;20,2;28,2;
2023-10-31;11;82,2;27,9;
2023-11-30;11;null;27,2;
2023-12-31;9;null;27,3;
2024-01-31;18;null;26,3;
2024-02-29;16;null;26,7;
2024-03-31;24;204;27,1;
2024-04-30;17;58,6;27,1;
2024-05-31;3;10,8;26,6;
2024-06-30;0;0;24,8;
2024-07-31;0;0;24,1;
2024-08-31;0;0;25,6;
2024-09-30;null;0;28;
2024-10-31;9;28,8;28,5;
2024-11-30;12;null;26,6;
2024-12-31;12;null;26,4;

